Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8663334224745013,0.0031929596051460565
RF,CLR,subset0_1,0.2526743213050267,0.01887976994175888
RF,CLR,f1,0.26822623453328853,0.020071572240480985
XGBoost,CLR,hamming_accuracy,0.8874402394734345,0.005198749811729907
XGBoost,CLR,subset0_1,0.3877078355086654,0.026569018176199704
XGBoost,CLR,f1,0.4134713813717962,0.028664779338115152
ETC,CLR,hamming_accuracy,0.8584670882181257,0.0024971135733683706
ETC,CLR,subset0_1,0.20913242639383717,0.015168519577010674
ETC,CLR,f1,0.2213446686392745,0.014565853587808437
