Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8966635548553795,0.0015029653379787873
RF,,,,,BinaryVector,subset0_1,0.4551101365623168,0.0029318526893541705
RF,,,,,BinaryVector,f1,0.4715358870344148,0.002507632275500514
RF,,,,,BinaryVector,jaccard,0.46708206266380947,0.00259357003453266
RF,,,,,BinaryVector,macro_f1,0.08345051284942803,0.008289042035061386
RF,,,,,BinaryVector,micro_f1,0.1114931707729018,0.006105165875739412
RF,,,,,BinaryVector,macro_precision,0.5171018730297695,0.04395229021997999
RF,,,,,BinaryVector,micro_precision,0.5804663979221613,0.03442366528237972
RF,,,,,BinaryVector,macro_recall,0.04666946114626623,0.0048465748693994086
RF,,,,,BinaryVector,micro_recall,0.06171041536940624,0.003703267037921462
RF,,,,,BinaryVector,example_precision,0.48113638884140775,0.0027497823335009977
RF,,,,,BinaryVector,example_recall,0.46776314445366923,0.002321333588181203
RF,,,,,BinaryVector,mfrd,0.9999600399600399,7.992007992005946e-05
RF,,,,,BinaryVector,afrd,0.9475194739709873,0.005503396247804322
RF,,,,,ScoreVector,ranking_loss,0.09718711937327613,0.0006121978683103828
RF,,,,,ScoreVector,one_error,0.6744803748901151,0.005953674655526322
RF,,,,,ScoreVector,coverage,0.625058658612522,0.004574370351498837
RF,,,,,ScoreVector,lr_ap,0.8383993427479447,0.0011811939305415963
RF,,,,,ScoreVector,auc_macro,0.7434776890435506,0.0012348133065109867
RF,,,,,ScoreVector,auc_micro,0.8119882678611748,0.003027003571836001
RF,,,,,ScoreVector,auprc_macro,0.28546775311672623,0.005371743714930026
RF,,,,,ScoreVector,auprc_micro,0.35383593277081155,0.009208759661355183
