Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.2914±0.0548,0.2200±0.0472,0.4445±0.0962,0.7068±0.0949,0.6269±0.0414,0.5686±0.0409,0.4401±0.0336,0.3199±0.0295,0.7543±0.0271,0.8346±0.0339,0.9079±0.0292,0.9470±0.0268,0.6631±0.0375,0.6384±0.0351,0.5556±0.0276,0.4631±0.0252,0.7509±0.0307,0.6811±0.0390,0.5479±0.0421,0.4012±0.0379,0.6255±0.0412,0.5671±0.0404,0.4396±0.0334,0.3198±0.0295,0.5223±0.0344,0.5035±0.0286,0.4565±0.0208,0.4062±0.0124,0.4865±0.0377,0.4111±0.0264,0.3352±0.0188,0.2801±0.0119,0.6430±0.0568,0.7483±0.0699,0.8576±0.0702,0.9177±0.0589,0.4026±0.1049,0.4859±0.0623,0.6496±0.0829,0.8697±0.0814,0.6049±0.0366,0.5696±0.0334,0.5037±0.0219,0.4440±0.0167,0.5058±0.0400,0.4335±0.0339,0.3491±0.0211,0.2901±0.0138,0.7534±0.0272,0.8334±0.0343,0.9074±0.0294,0.9472±0.0269,0.5298±0.0480,0.3988±0.0569,0.1864±0.0428,0.0382±0.0355
PartialOrder__Hamming__None,0.2870±0.0604,0.2228±0.0478,0.4468±0.0939,0.7082±0.0947,0.6253±0.0400,0.5659±0.0399,0.4396±0.0330,0.3193±0.0290,0.7562±0.0272,0.8346±0.0339,0.9090±0.0272,0.9478±0.0276,0.6624±0.0366,0.6365±0.0344,0.5555±0.0274,0.4628±0.0250,0.7485±0.0306,0.6790±0.0382,0.5472±0.0420,0.4007±0.0376,0.6239±0.0397,0.5644±0.0394,0.4391±0.0328,0.3192±0.0289,0.5205±0.0340,0.5015±0.0281,0.4563±0.0205,0.4061±0.0125,0.4813±0.0365,0.4086±0.0254,0.3347±0.0187,0.2800±0.0119,0.6449±0.0608,0.7481±0.0701,0.8584±0.0686,0.9182±0.0591,0.4057±0.1049,0.4938±0.0646,0.6531±0.0813,0.8719±0.0801,0.6031±0.0367,0.5679±0.0326,0.5037±0.0218,0.4440±0.0167,0.5024±0.0395,0.4315±0.0329,0.3489±0.0209,0.2900±0.0138,0.7553±0.0271,0.8334±0.0343,0.9086±0.0274,0.9480±0.0277,0.5259±0.0447,0.3938±0.0557,0.1853±0.0409,0.0370±0.0346
PartialOrder__Subset__2,0.2935±0.0555,0.2190±0.0471,0.4444±0.0962,0.7067±0.0949,0.6260±0.0409,0.5682±0.0410,0.4401±0.0336,0.3199±0.0295,0.7524±0.0277,0.8343±0.0335,0.9079±0.0292,0.9470±0.0268,0.6618±0.0371,0.6380±0.0350,0.5556±0.0276,0.4631±0.0252,0.7499±0.0302,0.6807±0.0389,0.5479±0.0421,0.4012±0.0379,0.6245±0.0409,0.5667±0.0404,0.4396±0.0334,0.3198±0.0295,0.5210±0.0338,0.5033±0.0281,0.4566±0.0208,0.4062±0.0124,0.4858±0.0370,0.4110±0.0264,0.3352±0.0189,0.2802±0.0118,0.6418±0.0562,0.7481±0.0689,0.8576±0.0702,0.9177±0.0589,0.4057±0.1049,0.4843±0.0609,0.6496±0.0829,0.8697±0.0814,0.6033±0.0360,0.5692±0.0331,0.5037±0.0219,0.4440±0.0167,0.5044±0.0392,0.4331±0.0337,0.3491±0.0211,0.2901±0.0138,0.7515±0.0280,0.8330±0.0338,0.9074±0.0294,0.9472±0.0269,0.5298±0.0480,0.3985±0.0572,0.1864±0.0428,0.0382±0.0355
PartialOrder__Subset__None,0.2870±0.0604,0.2218±0.0477,0.4467±0.0939,0.7082±0.0946,0.6253±0.0400,0.5655±0.0400,0.4396±0.0330,0.3193±0.0290,0.7562±0.0272,0.8343±0.0335,0.9090±0.0272,0.9478±0.0276,0.6624±0.0366,0.6361±0.0343,0.5555±0.0274,0.4628±0.0250,0.7485±0.0306,0.6786±0.0380,0.5472±0.0420,0.4007±0.0376,0.6239±0.0397,0.5640±0.0395,0.4391±0.0328,0.3192±0.0289,0.5205±0.0340,0.5013±0.0276,0.4564±0.0205,0.4062±0.0125,0.4813±0.0365,0.4084±0.0253,0.3348±0.0188,0.2801±0.0118,0.6449±0.0608,0.7479±0.0691,0.8584±0.0686,0.9182±0.0591,0.4057±0.1049,0.4922±0.0632,0.6531±0.0813,0.8719±0.0801,0.6031±0.0367,0.5675±0.0324,0.5037±0.0218,0.4440±0.0167,0.5024±0.0395,0.4311±0.0328,0.3489±0.0209,0.2900±0.0138,0.7553±0.0271,0.8330±0.0338,0.9086±0.0274,0.9480±0.0277,0.5259±0.0447,0.3935±0.0559,0.1853±0.0409,0.0370±0.0346
PreOrder__Hamming__2,0.2973±0.0694,0.2465±0.0658,0.2588±0.0727,0.2784±0.0787,0.6351±0.0369,0.6263±0.0363,0.5900±0.0408,0.5103±0.0481,0.7524±0.0297,0.7855±0.0328,0.7992±0.0360,0.8120±0.0431,0.6687±0.0336,0.6709±0.0300,0.6484±0.0347,0.5940±0.0381,0.7591±0.0265,0.7487±0.0328,0.7172±0.0409,0.6565±0.0425,0.6337±0.0367,0.6245±0.0358,0.5885±0.0407,0.5094±0.0480,0.5282±0.0342,0.5295±0.0308,0.5046±0.0316,0.4663±0.0265,0.4988±0.0367,0.4739±0.0381,0.4291±0.0349,0.3696±0.0270,0.6424±0.0595,0.6957±0.0639,0.7050±0.0797,0.7213±0.0777,0.3992±0.1199,0.4363±0.1026,0.4845±0.1247,0.5466±0.1528,0.6119±0.0330,0.6126±0.0328,0.5888±0.0360,0.5446±0.0309,0.5166±0.0359,0.5041±0.0408,0.4679±0.0409,0.4116±0.0350,0.7516±0.0304,0.7844±0.0337,0.7981±0.0365,0.8107±0.0425,0.5432±0.0453,0.5067±0.0539,0.4369±0.0588,0.2998±0.0751
PreOrder__Hamming__None,0.2854±0.0712,0.2423±0.0614,0.2569±0.0704,0.3131±0.0731,0.6351±0.0337,0.6257±0.0332,0.5822±0.0365,0.4818±0.0399,0.7601±0.0209,0.7992±0.0250,0.8112±0.0298,0.8353±0.0311,0.6709±0.0289,0.6745±0.0268,0.6466±0.0299,0.5810±0.0303,0.7581±0.0277,0.7488±0.0299,0.7116±0.0376,0.6377±0.0370,0.6337±0.0331,0.6241±0.0328,0.5806±0.0362,0.4812±0.0400,0.5316±0.0321,0.5337±0.0279,0.5044±0.0268,0.4626±0.0193,0.4989±0.0382,0.4727±0.0328,0.4228±0.0306,0.3572±0.0199,0.6496±0.0586,0.7027±0.0648,0.7190±0.0770,0.7494±0.0770,0.3919±0.1191,0.4447±0.0988,0.4910±0.1207,0.5723±0.1378,0.6136±0.0318,0.6166±0.0288,0.5874±0.0315,0.5382±0.0237,0.5156±0.0376,0.5036±0.0360,0.4620±0.0363,0.3981±0.0276,0.7591±0.0214,0.7982±0.0258,0.8100±0.0304,0.8344±0.0310,0.5375±0.0429,0.4959±0.0499,0.4126±0.0547,0.2320±0.0647
PreOrder__Subset__2,0.2940±0.0722,0.2487±0.0686,0.2595±0.0751,0.2762±0.0744,0.6358±0.0362,0.6254±0.0361,0.5891±0.0414,0.5113±0.0488,0.7543±0.0287,0.7828±0.0322,0.7976±0.0380,0.8093±0.0451,0.6696±0.0327,0.6696±0.0297,0.6473±0.0354,0.5938±0.0386,0.7591±0.0265,0.7481±0.0329,0.7163±0.0411,0.6574±0.0427,0.6343±0.0360,0.6237±0.0357,0.5875±0.0413,0.5103±0.0486,0.5288±0.0337,0.5280±0.0302,0.5034±0.0324,0.4662±0.0264,0.4987±0.0368,0.4735±0.0379,0.4281±0.0348,0.3705±0.0274,0.6437±0.0599,0.6932±0.0653,0.7037±0.0817,0.7191±0.0787,0.3959±0.1224,0.4355±0.1022,0.4824±0.1233,0.5368±0.1548,0.6125±0.0326,0.6113±0.0323,0.5875±0.0366,0.5444±0.0311,0.5166±0.0359,0.5034±0.0407,0.4669±0.0413,0.4122±0.0355,0.7535±0.0295,0.7818±0.0331,0.7966±0.0385,0.8080±0.0445,0.5432±0.0453,0.5067±0.0539,0.4365±0.0598,0.3036±0.0770
PreOrder__Subset__None,0.2835±0.0694,0.2483±0.0679,0.2572±0.0695,0.3171±0.0703,0.6377±0.0319,0.6247±0.0340,0.5817±0.0353,0.4805±0.0392,0.7620±0.0184,0.7980±0.0278,0.8135±0.0320,0.8349±0.0321,0.6732±0.0272,0.6734±0.0284,0.6470±0.0294,0.5799±0.0297,0.7596±0.0268,0.7472±0.0298,0.7118±0.0368,0.6364±0.0356,0.6363±0.0314,0.6231±0.0336,0.5802±0.0349,0.4799±0.0392,0.5333±0.0301,0.5319±0.0302,0.5055±0.0273,0.4609±0.0195,0.5002±0.0369,0.4710±0.0332,0.4234±0.0302,0.3557±0.0205,0.6512±0.0555,0.6970±0.0723,0.7213±0.0792,0.7464±0.0788,0.3907±0.1217,0.4551±0.1061,0.4919±0.1175,0.5785±0.1312,0.6156±0.0301,0.6147±0.0298,0.5881±0.0312,0.5371±0.0227,0.5175±0.0363,0.5013±0.0357,0.4621±0.0354,0.3970±0.0265,0.7611±0.0191,0.7970±0.0285,0.8122±0.0326,0.8340±0.0320,0.5413±0.0403,0.4952±0.0487,0.4099±0.0523,0.2301±0.0635
br,0.5995±0.0490,0.5791±0.0414,0.5771±0.0483,0.5247±0.0645,0.5183±0.0677,0.5250±0.0590,0.5093±0.0650,0.4891±0.0523,0.5163±0.0676,0.5266±0.0573,0.5184±0.0645,0.5248±0.0548,0.5170±0.0676,0.5251±0.0581,0.5118±0.0645,0.5002±0.0527,0.8560±0.0160,0.8509±0.0143,0.8407±0.0160,0.8165±0.0183,0.5163±0.0676,0.5237±0.0581,0.5079±0.0644,0.4872±0.0531,0.4431±0.0401,0.4577±0.0414,0.4421±0.0390,0.4305±0.0497,0.6262±0.0394,0.6316±0.0646,0.5928±0.0455,0.5307±0.0574,0.3669±0.0480,0.3837±0.0418,0.3752±0.0476,0.3883±0.0524,1.0000±0.0000,0.9883±0.0535,0.9980±0.0040,0.9606±0.0738,0.6402±0.0570,0.6374±0.0474,0.6181±0.0510,0.5885±0.0452,0.8552±0.0160,0.8197±0.0325,0.7790±0.0430,0.6795±0.0519,0.5143±0.0673,0.5237±0.0565,0.5158±0.0650,0.5230±0.0556,0.5144±0.0675,0.5194±0.0584,0.4963±0.0650,0.4489±0.0576
cc,0.5606±0.0372,0.5677±0.0348,0.5789±0.0461,0.5418±0.0731,0.5626±0.0479,0.5417±0.0484,0.5049±0.0557,0.4677±0.0628,0.5607±0.0471,0.5444±0.0476,0.5120±0.0574,0.4982±0.0662,0.5614±0.0473,0.5423±0.0479,0.5066±0.0558,0.4772±0.0630,0.8569±0.0093,0.8521±0.0129,0.8405±0.0128,0.8144±0.0197,0.5607±0.0471,0.5406±0.0477,0.5032±0.0546,0.4663±0.0618,0.4658±0.0264,0.4519±0.0297,0.4410±0.0292,0.4243±0.0501,0.6279±0.0319,0.6017±0.0385,0.5920±0.0408,0.5256±0.0574,0.4012±0.0337,0.3888±0.0343,0.3721±0.0388,0.3743±0.0570,1.0000±0.0000,1.0000±0.0000,0.9976±0.0058,0.9546±0.0895,0.6617±0.0335,0.6475±0.0384,0.6153±0.0428,0.5720±0.0519,0.8164±0.0165,0.8090±0.0339,0.7845±0.0466,0.6858±0.0566,0.5582±0.0462,0.5414±0.0477,0.5100±0.0565,0.4959±0.0668,0.5588±0.0464,0.5356±0.0475,0.4929±0.0518,0.4345±0.0617
