Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PartialOrder__Hamming__None,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PartialOrder__Subset__2,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PartialOrder__Subset__None,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PreOrder__Hamming__2,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PreOrder__Hamming__None,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PreOrder__Subset__2,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
PreOrder__Subset__None,0.8427±0.0348,0.8134±0.0310,0.7761±0.0349,0.7169±0.0418,0.8921±0.0132,0.8826±0.0157,0.8627±0.0158,0.8140±0.0264,0.6291±0.0426,0.5989±0.0394,0.5565±0.0229,0.4996±0.0346,0.7809±0.0246,0.7705±0.0289,0.7330±0.0273,0.6427±0.0502,0.4374±0.0360,0.4498±0.0482,0.5022±0.0567,0.6439±0.0672,0.8409±0.0119,0.8362±0.0166,0.8176±0.0178,0.7701±0.0246,0.2697±0.0206,0.2760±0.0275,0.3060±0.0334,0.3792±0.0415,0.1437±0.0117,0.1476±0.0156,0.1653±0.0191,0.2123±0.0230
br,0.8427±0.0348,0.8048±0.0304,0.7726±0.0430,0.7316±0.0469,0.8921±0.0132,0.8785±0.0134,0.8637±0.0137,0.8237±0.0225,0.6291±0.0426,0.5886±0.0290,0.5668±0.0199,0.5179±0.0347,0.7809±0.0246,0.7617±0.0249,0.7301±0.0276,0.6606±0.0444,0.4374±0.0360,0.4656±0.0475,0.5122±0.0555,0.6089±0.0834,0.8409±0.0119,0.8313±0.0139,0.8151±0.0165,0.7854±0.0254,0.2697±0.0206,0.2836±0.0263,0.3083±0.0279,0.3511±0.0420,0.1437±0.0117,0.1530±0.0147,0.1682±0.0183,0.2004±0.0266
cc,0.8359±0.0369,0.8191±0.0331,0.7758±0.0462,0.7274±0.0428,0.8953±0.0120,0.8813±0.0158,0.8647±0.0158,0.8205±0.0195,0.6344±0.0375,0.6047±0.0447,0.5686±0.0355,0.5138±0.0334,0.7846±0.0227,0.7658±0.0306,0.7331±0.0340,0.6559±0.0442,0.4220±0.0347,0.4478±0.0474,0.4953±0.0528,0.6278±0.0566,0.8434±0.0137,0.8369±0.0167,0.8225±0.0180,0.7797±0.0195,0.2659±0.0254,0.2748±0.0309,0.2945±0.0316,0.3569±0.0350,0.1386±0.0102,0.1470±0.0152,0.1628±0.0168,0.2071±0.0189
