Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8076363160648874,0.023702437308037637
RF,,,,,BinaryVector,subset0_1,0.05235478806907378,0.020533787968225598
RF,,,,,BinaryVector,f1,0.1875207495452393,0.032372416537768
RF,,,,,BinaryVector,jaccard,0.14751238194911662,0.027307427103482884
RF,,,,,BinaryVector,macro_f1,0.13935651177995878,0.02328604879002212
RF,,,,,BinaryVector,micro_f1,0.20856149597744106,0.03126416026285881
RF,,,,,BinaryVector,macro_precision,0.12805903573368374,0.024905237151164387
RF,,,,,BinaryVector,micro_precision,0.16751753298539668,0.027286736738111106
RF,,,,,BinaryVector,macro_recall,0.20179256366006942,0.045005125188345964
RF,,,,,BinaryVector,micro_recall,0.28163387240158516,0.051471380906017765
RF,,,,,BinaryVector,example_precision,0.1530884254067927,0.027302372511458433
RF,,,,,BinaryVector,example_recall,0.28489272632129775,0.053426309265251014
RF,,,,,BinaryVector,mfrd,0.9575962452959229,0.047881149191532225
RF,,,,,BinaryVector,afrd,0.6536715668041162,0.06045306396069759
RF,,,,,ScoreVector,ranking_loss,0.42958006931340265,0.02345882116996927
RF,,,,,ScoreVector,one_error,0.8388613291470435,0.041087096160744796
RF,,,,,ScoreVector,coverage,4.897622187336473,0.2679606988274361
RF,,,,,ScoreVector,lr_ap,0.3355557931108956,0.030626512408813096
RF,,,,,ScoreVector,auc_macro,0.5279410625868912,0.02886172725474622
RF,,,,,ScoreVector,auc_micro,0.5696889547640374,0.02259337146292245
RF,,,,,ScoreVector,auprc_macro,0.10169881186917157,0.004688599935427449
RF,,,,,ScoreVector,auprc_micro,0.13191885851774326,0.017270476985629418
