Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.916047175973081,0.0013477610433812743
RF,CLR,subset0_1,0.019897478913276482,0.010344257555151278
RF,CLR,f1,0.021955104738925046,0.011584062539826943
XGBoost,CLR,hamming_accuracy,0.914055278541508,0.00252206216311759
XGBoost,CLR,subset0_1,0.08254946124651143,0.01328584599131646
XGBoost,CLR,f1,0.10381428642931972,0.014367014739604719
ETC,CLR,hamming_accuracy,0.9158631779909566,0.0010965151212790295
ETC,CLR,subset0_1,0.016356876938451104,0.008094104760025785
ETC,CLR,f1,0.01839639070544518,0.009245493887788067
