Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,afrd_pa__0.0,afrd_pa__0.1,afrd_pa__0.2,afrd_pa__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,example_precision_pa__0.0,example_precision_pa__0.1,example_precision_pa__0.2,example_precision_pa__0.3,example_recall_pa__0.0,example_recall_pa__0.1,example_recall_pa__0.2,example_recall_pa__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,jaccard_pa__0.0,jaccard_pa__0.1,jaccard_pa__0.2,jaccard_pa__0.3,macro_f1_pa__0.0,macro_f1_pa__0.1,macro_f1_pa__0.2,macro_f1_pa__0.3,macro_precision_pa__0.0,macro_precision_pa__0.1,macro_precision_pa__0.2,macro_precision_pa__0.3,macro_recall_pa__0.0,macro_recall_pa__0.1,macro_recall_pa__0.2,macro_recall_pa__0.3,mfrd_pa__0.0,mfrd_pa__0.1,mfrd_pa__0.2,mfrd_pa__0.3,micro_f1_pa__0.0,micro_f1_pa__0.1,micro_f1_pa__0.2,micro_f1_pa__0.3,micro_precision_pa__0.0,micro_precision_pa__0.1,micro_precision_pa__0.2,micro_precision_pa__0.3,micro_recall_pa__0.0,micro_recall_pa__0.1,micro_recall_pa__0.2,micro_recall_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.7445±0.0307,0.7118±0.0333,0.6178±0.0217,0.3893±0.0175,0.9254±0.0221,0.9857±0.0082,0.9928±0.0052,0.9724±0.0136,0.4606±0.0958,0.4297±0.1369,0.3993±0.0411,0.2992±0.0556,0.9628±0.0067,0.9423±0.0048,0.8914±0.0109,0.7634±0.0104,0.4954±0.0404,0.4183±0.0224,0.3016±0.0343,0.1686±0.0066,0.4987±0.0466,0.4741±0.0269,0.4766±0.0468,0.4906±0.0149,0.4939±0.0439,0.4360±0.0228,0.3541±0.0385,0.2433±0.0079,0.8543±0.0183,0.7988±0.0137,0.7158±0.0261,0.6127±0.0078,0.4876±0.0447,0.4164±0.0223,0.3006±0.0354,0.1673±0.0065,0.2603±0.0310,0.2611±0.0307,0.2427±0.0243,0.1769±0.0085,0.2694±0.0484,0.2249±0.0391,0.1742±0.0247,0.1162±0.0044,0.2945±0.0533,0.3560±0.0406,0.4735±0.0133,0.4692±0.0737,1.0000±0.0000,0.9118±0.1562,0.9361±0.0278,0.6429±0.1403,0.5443±0.0438,0.5030±0.0239,0.4085±0.0404,0.2614±0.0056,0.4883±0.0419,0.3934±0.0196,0.2805±0.0318,0.1627±0.0040,0.6160±0.0526,0.6992±0.0455,0.7533±0.0519,0.6649±0.0140,0.7209±0.0485,0.5348±0.0283,0.2290±0.0327,0.0184±0.0070,0.4686±0.0481,0.3596±0.0236,0.1558±0.0280,0.0124±0.0042
PartialOrder__Hamming__None,0.7445±0.0307,0.7118±0.0331,0.6172±0.0217,0.3899±0.0184,0.9254±0.0221,0.9857±0.0082,0.9928±0.0052,0.9724±0.0136,0.4567±0.0938,0.4262±0.1386,0.3941±0.0457,0.3033±0.0532,0.9618±0.0066,0.9418±0.0051,0.8885±0.0114,0.7553±0.0118,0.4895±0.0396,0.4175±0.0200,0.2968±0.0342,0.1662±0.0085,0.5028±0.0478,0.4795±0.0300,0.4789±0.0480,0.5019±0.0200,0.4913±0.0437,0.4373±0.0225,0.3505±0.0386,0.2420±0.0104,0.8504±0.0189,0.7970±0.0142,0.7086±0.0268,0.5990±0.0102,0.4817±0.0439,0.4156±0.0202,0.2958±0.0352,0.1648±0.0085,0.2591±0.0273,0.2631±0.0234,0.2394±0.0250,0.1793±0.0079,0.2658±0.0492,0.2234±0.0211,0.1682±0.0213,0.1166±0.0054,0.2971±0.0512,0.3619±0.0385,0.4832±0.0198,0.5143±0.0787,1.0000±0.0000,0.9079±0.1542,0.9361±0.0278,0.5938±0.0893,0.5398±0.0426,0.5036±0.0258,0.4031±0.0415,0.2592±0.0087,0.4782±0.0408,0.3916±0.0193,0.2749±0.0320,0.1602±0.0063,0.6206±0.0505,0.7073±0.0510,0.7569±0.0552,0.6796±0.0120,0.7127±0.0482,0.5296±0.0246,0.2239±0.0323,0.0174±0.0062,0.4527±0.0458,0.3525±0.0162,0.1502±0.0272,0.0113±0.0039
PartialOrder__Subset__2,0.7447±0.0308,0.7121±0.0330,0.6184±0.0218,0.3901±0.0169,0.9254±0.0221,0.9857±0.0082,0.9928±0.0052,0.9724±0.0136,0.4609±0.0961,0.4302±0.1391,0.3980±0.0403,0.2980±0.0592,0.9626±0.0065,0.9421±0.0050,0.8917±0.0113,0.7636±0.0101,0.4920±0.0356,0.4170±0.0218,0.3028±0.0354,0.1688±0.0063,0.4925±0.0428,0.4714±0.0274,0.4766±0.0468,0.4895±0.0141,0.4896±0.0393,0.4342±0.0225,0.3549±0.0391,0.2434±0.0077,0.8535±0.0173,0.7981±0.0137,0.7160±0.0271,0.6126±0.0080,0.4842±0.0398,0.4150±0.0219,0.3017±0.0365,0.1675±0.0062,0.2579±0.0354,0.2595±0.0305,0.2426±0.0245,0.1767±0.0078,0.2675±0.0516,0.2237±0.0381,0.1742±0.0247,0.1162±0.0044,0.2920±0.0559,0.3531±0.0429,0.4735±0.0133,0.4682±0.0704,1.0000±0.0000,0.9118±0.1562,0.9361±0.0278,0.6463±0.1423,0.5399±0.0420,0.5009±0.0251,0.4091±0.0413,0.2612±0.0067,0.4858±0.0379,0.3921±0.0198,0.2811±0.0327,0.1627±0.0048,0.6089±0.0544,0.6955±0.0487,0.7533±0.0519,0.6635±0.0111,0.7209±0.0455,0.5348±0.0283,0.2311±0.0344,0.0184±0.0070,0.4681±0.0423,0.3596±0.0236,0.1581±0.0303,0.0124±0.0042
PartialOrder__Subset__None,0.7447±0.0308,0.7122±0.0330,0.6178±0.0218,0.3903±0.0176,0.9254±0.0221,0.9857±0.0082,0.9928±0.0052,0.9724±0.0136,0.4559±0.0934,0.4262±0.1387,0.3945±0.0451,0.3023±0.0536,0.9617±0.0063,0.9418±0.0051,0.8884±0.0116,0.7556±0.0109,0.4872±0.0362,0.4182±0.0203,0.2968±0.0342,0.1667±0.0082,0.5005±0.0441,0.4809±0.0294,0.4789±0.0480,0.5029±0.0196,0.4890±0.0401,0.4382±0.0226,0.3505±0.0386,0.2427±0.0101,0.8496±0.0179,0.7968±0.0143,0.7079±0.0272,0.5993±0.0097,0.4794±0.0405,0.4163±0.0204,0.2958±0.0352,0.1654±0.0081,0.2584±0.0283,0.2631±0.0234,0.2395±0.0250,0.1798±0.0081,0.2650±0.0498,0.2235±0.0213,0.1695±0.0213,0.1170±0.0056,0.2966±0.0517,0.3619±0.0385,0.4832±0.0198,0.5162±0.0798,1.0000±0.0000,0.9077±0.1541,0.9363±0.0278,0.5974±0.0901,0.5375±0.0396,0.5044±0.0250,0.4030±0.0417,0.2598±0.0085,0.4761±0.0372,0.3923±0.0191,0.2748±0.0322,0.1606±0.0062,0.6181±0.0489,0.7080±0.0498,0.7569±0.0552,0.6809±0.0119,0.7116±0.0468,0.5296±0.0246,0.2239±0.0323,0.0174±0.0062,0.4505±0.0428,0.3525±0.0162,0.1502±0.0272,0.0113±0.0039
PreOrder__Hamming__2,0.7428±0.0316,0.6518±0.0405,0.4894±0.0289,0.1661±0.0161,0.9233±0.0267,0.9530±0.0153,0.9509±0.0147,0.7699±0.0474,0.4083±0.0791,0.4241±0.1131,0.4511±0.0688,0.3019±0.0227,0.9628±0.0056,0.9342±0.0085,0.8642±0.0123,0.7116±0.0104,0.4902±0.0127,0.4146±0.0246,0.2833±0.0309,0.1662±0.0127,0.4921±0.0198,0.4804±0.0343,0.4805±0.0526,0.5372±0.0421,0.4877±0.0151,0.4353±0.0277,0.3407±0.0362,0.2463±0.0195,0.8550±0.0142,0.8113±0.0070,0.7340±0.0189,0.6542±0.0113,0.4806±0.0151,0.4118±0.0256,0.2789±0.0301,0.1628±0.0128,0.2723±0.0477,0.2342±0.0329,0.2246±0.0282,0.1773±0.0099,0.2820±0.0526,0.2136±0.0444,0.1623±0.0207,0.1178±0.0066,0.3149±0.0776,0.3057±0.0453,0.4240±0.0562,0.4735±0.0443,1.0000±0.0000,0.9425±0.0967,0.9226±0.0548,0.7154±0.0920,0.5412±0.0196,0.4927±0.0309,0.3723±0.0394,0.2477±0.0186,0.4831±0.0127,0.3929±0.0251,0.2614±0.0288,0.1561±0.0124,0.6153±0.0301,0.6606±0.0407,0.6474±0.0643,0.5990±0.0375,0.7178±0.0371,0.4908±0.0592,0.1513±0.0276,0.0031±0.0041,0.4595±0.0178,0.3443±0.0204,0.1163±0.0169,0.0031±0.0041
PreOrder__Hamming__None,0.7427±0.0315,0.6518±0.0407,0.4905±0.0283,0.1714±0.0160,0.9233±0.0267,0.9540±0.0161,0.9540±0.0142,0.7883±0.0406,0.4062±0.0746,0.4162±0.1099,0.4206±0.0558,0.2788±0.0529,0.9621±0.0054,0.9320±0.0089,0.8562±0.0132,0.6694±0.0099,0.4842±0.0107,0.4061±0.0277,0.2743±0.0297,0.1524±0.0110,0.4979±0.0202,0.4895±0.0373,0.4970±0.0548,0.5970±0.0520,0.4859±0.0145,0.4326±0.0306,0.3375±0.0351,0.2373±0.0185,0.8521±0.0156,0.8048±0.0094,0.7179±0.0173,0.6010±0.0108,0.4753±0.0142,0.4038±0.0292,0.2701±0.0287,0.1501±0.0116,0.2721±0.0443,0.2342±0.0324,0.2243±0.0268,0.1777±0.0115,0.2809±0.0549,0.1995±0.0339,0.1591±0.0187,0.1148±0.0078,0.3187±0.0754,0.3128±0.0462,0.4506±0.0620,0.5487±0.0894,1.0000±0.0000,0.9298±0.1110,0.9126±0.0527,0.6386±0.0767,0.5392±0.0187,0.4890±0.0339,0.3673±0.0375,0.2418±0.0168,0.4758±0.0124,0.3845±0.0267,0.2530±0.0264,0.1477±0.0106,0.6223±0.0292,0.6716±0.0468,0.6699±0.0648,0.6657±0.0432,0.7096±0.0375,0.4724±0.0653,0.1350±0.0270,0.0010±0.0021,0.4437±0.0171,0.3210±0.0279,0.0992±0.0164,0.0010±0.0021
PreOrder__Subset__2,0.7439±0.0321,0.6528±0.0400,0.4908±0.0286,0.1712±0.0165,0.9233±0.0267,0.9530±0.0153,0.9509±0.0147,0.7761±0.0480,0.4103±0.0816,0.4300±0.1180,0.4560±0.0691,0.3081±0.0380,0.9631±0.0056,0.9346±0.0084,0.8644±0.0123,0.7161±0.0071,0.4911±0.0113,0.4149±0.0288,0.2814±0.0323,0.1670±0.0120,0.4886±0.0162,0.4752±0.0378,0.4741±0.0553,0.5287±0.0454,0.4871±0.0132,0.4338±0.0316,0.3378±0.0378,0.2462±0.0192,0.8558±0.0136,0.8116±0.0082,0.7337±0.0195,0.6573±0.0100,0.4815±0.0135,0.4121±0.0301,0.2771±0.0316,0.1638±0.0121,0.2709±0.0524,0.2313±0.0292,0.2232±0.0296,0.1770±0.0088,0.2817±0.0580,0.2128±0.0431,0.1618±0.0217,0.1183±0.0064,0.3128±0.0804,0.3003±0.0398,0.4184±0.0592,0.4738±0.0570,1.0000±0.0000,0.9425±0.0967,0.9192±0.0582,0.6950±0.1350,0.5413±0.0186,0.4912±0.0337,0.3697±0.0403,0.2466±0.0180,0.4857±0.0121,0.3935±0.0273,0.2602±0.0296,0.1561±0.0118,0.6114±0.0286,0.6535±0.0443,0.6389±0.0648,0.5877±0.0395,0.7209±0.0380,0.4949±0.0613,0.1514±0.0294,0.0051±0.0056,0.4646±0.0150,0.3497±0.0268,0.1163±0.0186,0.0051±0.0056
PreOrder__Subset__None,0.7436±0.0320,0.6529±0.0409,0.4915±0.0293,0.1751±0.0162,0.9233±0.0267,0.9540±0.0161,0.9530±0.0143,0.7945±0.0421,0.4066±0.0752,0.4161±0.1101,0.4313±0.0654,0.2593±0.0526,0.9621±0.0054,0.9322±0.0088,0.8552±0.0136,0.6707±0.0074,0.4830±0.0098,0.4062±0.0287,0.2715±0.0299,0.1523±0.0116,0.4968±0.0185,0.4880±0.0373,0.4917±0.0542,0.5929±0.0524,0.4848±0.0131,0.4323±0.0313,0.3339±0.0351,0.2369±0.0194,0.8516±0.0150,0.8046±0.0104,0.7155±0.0177,0.6007±0.0098,0.4741±0.0133,0.4040±0.0302,0.2673±0.0289,0.1501±0.0121,0.2718±0.0448,0.2344±0.0324,0.2226±0.0271,0.1778±0.0102,0.2806±0.0553,0.2001±0.0343,0.1578±0.0191,0.1149±0.0072,0.3185±0.0757,0.3124±0.0465,0.4485±0.0611,0.5488±0.0777,1.0000±0.0000,0.9296±0.1113,0.9125±0.0525,0.6344±0.0822,0.5381±0.0177,0.4888±0.0349,0.3635±0.0372,0.2406±0.0172,0.4747±0.0114,0.3849±0.0277,0.2502±0.0265,0.1472±0.0107,0.6213±0.0283,0.6696±0.0472,0.6640±0.0629,0.6599±0.0460,0.7096±0.0375,0.4734±0.0658,0.1340±0.0281,0.0010±0.0021,0.4424±0.0174,0.3223±0.0295,0.0982±0.0175,0.0010±0.0021
