Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PartialOrder__Hamming__None,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PartialOrder__Subset__2,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PartialOrder__Subset__None,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PreOrder__Hamming__2,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PreOrder__Hamming__None,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PreOrder__Subset__2,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
PreOrder__Subset__None,0.6899±0.0048,0.6254±0.0174,0.6059±0.0131,0.5744±0.0260,0.8611±0.0079,0.8021±0.0109,0.7238±0.0118,0.6496±0.0092,0.2291±0.0147,0.1859±0.0137,0.1509±0.0039,0.1301±0.0025,0.3990±0.0275,0.3396±0.0206,0.2313±0.0174,0.1587±0.0063,2.1736±0.1386,2.8793±0.1387,3.9360±0.1316,4.9456±0.1215,0.6228±0.0177,0.5636±0.0102,0.4616±0.0137,0.3777±0.0077,0.5522±0.0252,0.5998±0.0098,0.7032±0.0155,0.7923±0.0097,0.1420±0.0089,0.1925±0.0092,0.2706±0.0093,0.3455±0.0081
br,0.6899±0.0048,0.6330±0.0141,0.6040±0.0200,0.5704±0.0155,0.8611±0.0079,0.7965±0.0105,0.7205±0.0065,0.6434±0.0115,0.2291±0.0147,0.1762±0.0135,0.1476±0.0047,0.1205±0.0034,0.3990±0.0275,0.3284±0.0303,0.2227±0.0106,0.1493±0.0054,2.1736±0.1386,2.9775±0.1793,3.9591±0.1053,5.0425±0.2112,0.6228±0.0177,0.5555±0.0234,0.4548±0.0160,0.3647±0.0106,0.5522±0.0252,0.6082±0.0333,0.7131±0.0209,0.8046±0.0111,0.1420±0.0089,0.2004±0.0118,0.2713±0.0081,0.3519±0.0128
cc,0.6924±0.0143,0.6286±0.0179,0.5895±0.0243,0.5601±0.0265,0.8525±0.0107,0.8021±0.0127,0.7239±0.0072,0.6508±0.0107,0.2199±0.0102,0.1832±0.0147,0.1474±0.0067,0.1289±0.0079,0.3538±0.0428,0.3443±0.0234,0.2308±0.0229,0.1575±0.0041,2.2760±0.1552,2.8970±0.1654,3.9189±0.1106,4.8860±0.1415,0.5975±0.0195,0.5657±0.0157,0.4624±0.0072,0.3797±0.0071,0.5840±0.0289,0.5966±0.0182,0.7025±0.0082,0.7894±0.0074,0.1500±0.0098,0.1924±0.0105,0.2691±0.0059,0.3418±0.0097
