Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PartialOrder__Hamming__None,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PartialOrder__Subset__2,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PartialOrder__Subset__None,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PreOrder__Hamming__2,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PreOrder__Hamming__None,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PreOrder__Subset__2,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
PreOrder__Subset__None,0.9558±0.0042,0.9367±0.0032,0.9019±0.0087,0.8460±0.0086,0.9622±0.0046,0.9416±0.0028,0.9031±0.0080,0.8462±0.0076,0.8757±0.0113,0.8306±0.0165,0.7622±0.0161,0.6249±0.0154,0.8803±0.0135,0.8378±0.0146,0.7607±0.0171,0.6242±0.0190,0.3465±0.0355,0.4342±0.0254,0.6124±0.0462,0.8530±0.0553,0.9023±0.0110,0.8823±0.0112,0.8366±0.0154,0.7714±0.0135,0.1678±0.0169,0.1944±0.0214,0.2613±0.0270,0.3602±0.0224,0.0530±0.0078,0.0691±0.0054,0.1042±0.0095,0.1521±0.0110
br,0.9558±0.0042,0.9373±0.0037,0.9063±0.0074,0.8449±0.0082,0.9622±0.0046,0.9429±0.0039,0.9086±0.0074,0.8444±0.0092,0.8757±0.0113,0.8307±0.0154,0.7690±0.0178,0.6390±0.0247,0.8803±0.0135,0.8385±0.0109,0.7697±0.0160,0.6340±0.0261,0.3465±0.0355,0.4445±0.0154,0.5841±0.0441,0.8803±0.0320,0.9023±0.0110,0.8766±0.0076,0.8434±0.0126,0.7698±0.0146,0.1678±0.0169,0.2065±0.0131,0.2534±0.0204,0.3581±0.0257,0.0530±0.0078,0.0714±0.0046,0.0992±0.0090,0.1563±0.0083
cc,0.9489±0.0077,0.9336±0.0065,0.9031±0.0087,0.8508±0.0145,0.9406±0.0091,0.9387±0.0068,0.9042±0.0070,0.8482±0.0143,0.8619±0.0132,0.8279±0.0143,0.7579±0.0117,0.6382±0.0277,0.8232±0.0135,0.8322±0.0166,0.7598±0.0113,0.6305±0.0304,0.4728±0.0654,0.4732±0.0403,0.6045±0.0434,0.8658±0.0866,0.8749±0.0159,0.8714±0.0128,0.8404±0.0107,0.7702±0.0242,0.2002±0.0215,0.2119±0.0201,0.2559±0.0163,0.3623±0.0372,0.0781±0.0131,0.0764±0.0089,0.1030±0.0087,0.1547±0.0181
clr,0.9428±0.0055,0.9463±0.0065,0.9369±0.0084,0.9047±0.0069,0.9486±0.0066,0.9521±0.0065,0.9415±0.0091,0.9061±0.0090,0.8522±0.0144,0.8594±0.0136,0.8369±0.0139,0.7584±0.0188,0.8562±0.0164,0.8644±0.0139,0.8429±0.0149,0.7558±0.0249,0.3918±0.0346,0.3881±0.0361,0.4591±0.0498,0.6464±0.0536,0.8883±0.0092,0.8902±0.0105,0.8740±0.0098,0.8271±0.0167,0.1903±0.0145,0.1874±0.0176,0.2081±0.0117,0.2771±0.0249,0.0618±0.0069,0.0607±0.0074,0.0741±0.0105,0.1107±0.0106
