Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1286±0.0172,0.1326±0.0288,0.2158±0.0246,0.2879±0.0474,0.6483±0.0218,0.5955±0.0140,0.5104±0.0179,0.4309±0.0212,0.7787±0.0492,0.7878±0.0414,0.7966±0.0512,0.7687±0.0338,0.6810±0.0286,0.6476±0.0239,0.5909±0.0257,0.5241±0.0148,0.7802±0.0228,0.7378±0.0219,0.6678±0.0168,0.5776±0.0175,0.5908±0.0276,0.5436±0.0241,0.4685±0.0303,0.3961±0.0186,0.6748±0.0306,0.6388±0.0247,0.5870±0.0261,0.5240±0.0165,0.6067±0.0231,0.5468±0.0175,0.4753±0.0168,0.4030±0.0160,0.7708±0.0455,0.7806±0.0399,0.7843±0.0512,0.7692±0.0316,0.2219±0.0195,0.2459±0.0557,0.4480±0.0530,0.4876±0.0667,0.6884±0.0297,0.6515±0.0239,0.5977±0.0231,0.5324±0.0169,0.6165±0.0242,0.5561±0.0176,0.4796±0.0154,0.4065±0.0172,0.7799±0.0438,0.7871±0.0398,0.7942±0.0483,0.7728±0.0289,0.3170±0.0252,0.2361±0.0295,0.1163±0.0433,0.0608±0.0282
PartialOrder__Hamming__None,0.1234±0.0156,0.1570±0.0266,0.2561±0.0278,0.3214±0.0508,0.6315±0.0243,0.5809±0.0221,0.4909±0.0175,0.4184±0.0236,0.7998±0.0499,0.8105±0.0402,0.8241±0.0449,0.7810±0.0342,0.6792±0.0296,0.6471±0.0280,0.5879±0.0227,0.5195±0.0180,0.7738±0.0242,0.7302±0.0253,0.6543±0.0165,0.5658±0.0175,0.5832±0.0292,0.5387±0.0305,0.4583±0.0264,0.3898±0.0216,0.6762±0.0335,0.6389±0.0279,0.5873±0.0218,0.5218±0.0174,0.5950±0.0284,0.5359±0.0217,0.4653±0.0150,0.3966±0.0169,0.7935±0.0458,0.8032±0.0391,0.8139±0.0434,0.7831±0.0302,0.2577±0.0463,0.3133±0.0280,0.4914±0.0399,0.5160±0.0619,0.6883±0.0308,0.6521±0.0257,0.5969±0.0191,0.5301±0.0185,0.6031±0.0268,0.5453±0.0211,0.4685±0.0136,0.4000±0.0188,0.8023±0.0427,0.8113±0.0372,0.8231±0.0403,0.7870±0.0271,0.2884±0.0267,0.2141±0.0385,0.0876±0.0362,0.0507±0.0269
PartialOrder__Subset__2,0.1212±0.0193,0.1279±0.0329,0.2156±0.0230,0.2860±0.0502,0.6457±0.0218,0.5947±0.0146,0.5106±0.0198,0.4309±0.0226,0.7709±0.0492,0.7816±0.0358,0.7943±0.0529,0.7678±0.0356,0.6758±0.0291,0.6451±0.0224,0.5902±0.0276,0.5240±0.0165,0.7757±0.0226,0.7367±0.0208,0.6683±0.0175,0.5776±0.0191,0.5860±0.0275,0.5423±0.0247,0.4682±0.0326,0.3963±0.0201,0.6686±0.0306,0.6374±0.0236,0.5861±0.0278,0.5238±0.0187,0.6019±0.0221,0.5461±0.0168,0.4753±0.0182,0.4029±0.0177,0.7628±0.0459,0.7775±0.0380,0.7810±0.0539,0.7686±0.0333,0.2228±0.0352,0.2494±0.0646,0.4481±0.0490,0.4827±0.0617,0.6815±0.0290,0.6494±0.0227,0.5973±0.0245,0.5321±0.0190,0.6111±0.0226,0.5549±0.0170,0.4800±0.0165,0.4064±0.0187,0.7710±0.0434,0.7833±0.0375,0.7915±0.0504,0.7718±0.0310,0.3170±0.0195,0.2378±0.0365,0.1163±0.0477,0.0625±0.0278
PartialOrder__Subset__None,0.1178±0.0191,0.1530±0.0297,0.2566±0.0314,0.3214±0.0524,0.6300±0.0232,0.5806±0.0218,0.4912±0.0163,0.4178±0.0247,0.7965±0.0468,0.8097±0.0398,0.8258±0.0457,0.7807±0.0362,0.6771±0.0281,0.6466±0.0276,0.5886±0.0220,0.5191±0.0200,0.7712±0.0226,0.7296±0.0248,0.6546±0.0155,0.5658±0.0192,0.5823±0.0277,0.5384±0.0305,0.4590±0.0254,0.3893±0.0236,0.6736±0.0316,0.6386±0.0270,0.5877±0.0205,0.5218±0.0196,0.5923±0.0261,0.5354±0.0210,0.4650±0.0131,0.3964±0.0185,0.7917±0.0437,0.8033±0.0386,0.8155±0.0439,0.7833±0.0327,0.2629±0.0434,0.3098±0.0308,0.4914±0.0399,0.5192±0.0567,0.6851±0.0287,0.6516±0.0252,0.5976±0.0181,0.5301±0.0205,0.5997±0.0249,0.5446±0.0204,0.4688±0.0121,0.4000±0.0200,0.7995±0.0403,0.8113±0.0372,0.8250±0.0410,0.7870±0.0300,0.2918±0.0245,0.2141±0.0385,0.0876±0.0362,0.0507±0.0264
PreOrder__Hamming__2,0.1623±0.0280,0.1460±0.0267,0.1555±0.0120,0.1380±0.0151,0.6732±0.0189,0.6483±0.0172,0.5766±0.0173,0.4984±0.0262,0.7307±0.0522,0.7375±0.0394,0.7268±0.0353,0.6695±0.0385,0.6697±0.0351,0.6592±0.0248,0.6133±0.0205,0.5418±0.0185,0.7886±0.0233,0.7701±0.0197,0.7285±0.0154,0.6647±0.0102,0.5789±0.0385,0.5650±0.0267,0.5109±0.0240,0.4281±0.0188,0.6660±0.0385,0.6515±0.0260,0.6111±0.0136,0.5435±0.0170,0.6291±0.0314,0.6012±0.0248,0.5407±0.0053,0.4642±0.0166,0.7170±0.0492,0.7231±0.0364,0.7149±0.0325,0.6677±0.0347,0.3207±0.0645,0.3045±0.0762,0.3274±0.0637,0.2906±0.0200,0.6820±0.0353,0.6659±0.0216,0.6251±0.0148,0.5564±0.0188,0.6413±0.0301,0.6088±0.0195,0.5485±0.0081,0.4734±0.0210,0.7291±0.0478,0.7356±0.0328,0.7272±0.0325,0.6765±0.0334,0.3120±0.0429,0.2985±0.0339,0.2006±0.0378,0.1147±0.0330
PreOrder__Hamming__None,0.1334±0.0229,0.1457±0.0448,0.1783±0.0243,0.2120±0.0228,0.6479±0.0167,0.6058±0.0325,0.5272±0.0265,0.4495±0.0243,0.7866±0.0410,0.7864±0.0302,0.8049±0.0268,0.7476±0.0242,0.6793±0.0288,0.6565±0.0290,0.6080±0.0211,0.5370±0.0182,0.7785±0.0229,0.7504±0.0273,0.6916±0.0156,0.6127±0.0157,0.5801±0.0307,0.5549±0.0334,0.4888±0.0271,0.4127±0.0214,0.6742±0.0335,0.6478±0.0316,0.6088±0.0181,0.5407±0.0133,0.6037±0.0315,0.5650±0.0366,0.4973±0.0184,0.4272±0.0139,0.7719±0.0400,0.7721±0.0303,0.7961±0.0202,0.7520±0.0188,0.2750±0.0290,0.3375±0.0501,0.4415±0.0555,0.4232±0.0410,0.6876±0.0308,0.6629±0.0291,0.6191±0.0181,0.5496±0.0178,0.6133±0.0291,0.5733±0.0331,0.5031±0.0187,0.4310±0.0194,0.7830±0.0388,0.7864±0.0264,0.8053±0.0209,0.7591±0.0168,0.2816±0.0301,0.2579±0.0455,0.1364±0.0430,0.0691±0.0186
PreOrder__Subset__2,0.1635±0.0186,0.1655±0.0340,0.1716±0.0137,0.1510±0.0168,0.6886±0.0141,0.6617±0.0150,0.5898±0.0145,0.5052±0.0176,0.7009±0.0447,0.6878±0.0501,0.6771±0.0294,0.6389±0.0486,0.6624±0.0286,0.6422±0.0303,0.5973±0.0186,0.5330±0.0198,0.7864±0.0184,0.7631±0.0231,0.7260±0.0160,0.6678±0.0119,0.5738±0.0304,0.5489±0.0346,0.4971±0.0262,0.4203±0.0206,0.6555±0.0304,0.6271±0.0313,0.5888±0.0114,0.5320±0.0173,0.6346±0.0273,0.5987±0.0228,0.5393±0.0053,0.4649±0.0115,0.6862±0.0394,0.6704±0.0437,0.6597±0.0218,0.6341±0.0421,0.3272±0.0667,0.3339±0.1019,0.3452±0.0384,0.3038±0.0480,0.6693±0.0266,0.6413±0.0280,0.6050±0.0156,0.5452±0.0178,0.6464±0.0249,0.6071±0.0187,0.5490±0.0086,0.4754±0.0152,0.6950±0.0398,0.6802±0.0423,0.6739±0.0266,0.6409±0.0417,0.3136±0.0307,0.2833±0.0492,0.2040±0.0537,0.1130±0.0317
PreOrder__Subset__None,0.1351±0.0239,0.1407±0.0382,0.1811±0.0267,0.2120±0.0249,0.6493±0.0163,0.6048±0.0315,0.5307±0.0282,0.4455±0.0247,0.7875±0.0395,0.7847±0.0319,0.8063±0.0292,0.7468±0.0235,0.6804±0.0289,0.6555±0.0280,0.6100±0.0247,0.5336±0.0169,0.7791±0.0232,0.7490±0.0249,0.6939±0.0174,0.6099±0.0150,0.5811±0.0308,0.5546±0.0319,0.4917±0.0300,0.4083±0.0184,0.6746±0.0342,0.6460±0.0293,0.6103±0.0197,0.5372±0.0108,0.6046±0.0316,0.5615±0.0317,0.4994±0.0188,0.4242±0.0134,0.7719±0.0397,0.7714±0.0318,0.7959±0.0241,0.7478±0.0153,0.2856±0.0381,0.3289±0.0505,0.4488±0.0561,0.4385±0.0258,0.6881±0.0314,0.6612±0.0269,0.6211±0.0203,0.5470±0.0160,0.6141±0.0291,0.5712±0.0292,0.5054±0.0197,0.4287±0.0189,0.7830±0.0390,0.7856±0.0280,0.8061±0.0249,0.7566±0.0153,0.2833±0.0271,0.2613±0.0446,0.1415±0.0446,0.0674±0.0198
br,0.2559±0.0232,0.2539±0.0245,0.1948±0.0404,0.1423±0.0284,0.6579±0.0137,0.6283±0.0250,0.5791±0.0225,0.4974±0.0130,0.6468±0.0299,0.6279±0.0314,0.6552±0.0256,0.6098±0.0385,0.6205±0.0208,0.5943±0.0230,0.5811±0.0192,0.5095±0.0173,0.8021±0.0103,0.7819±0.0127,0.7499±0.0204,0.6822±0.0214,0.5396±0.0233,0.5060±0.0212,0.4832±0.0200,0.4045±0.0152,0.6539±0.0184,0.6267±0.0220,0.6036±0.0217,0.5335±0.0210,0.6869±0.0088,0.6468±0.0202,0.5834±0.0332,0.4889±0.0144,0.6338±0.0263,0.6168±0.0278,0.6354±0.0206,0.5957±0.0293,0.4589±0.0658,0.4214±0.0474,0.3568±0.0374,0.2561±0.0787,0.6711±0.0197,0.6429±0.0204,0.6181±0.0215,0.5418±0.0193,0.6951±0.0143,0.6558±0.0223,0.5908±0.0319,0.4920±0.0152,0.6493±0.0302,0.6312±0.0273,0.6493±0.0232,0.6032±0.0299,0.2935±0.0318,0.2445±0.0307,0.1872±0.0123,0.1113±0.0312
cc,0.2334±0.0269,0.2304±0.0373,0.1787±0.0407,0.1716±0.0367,0.6754±0.0205,0.6421±0.0120,0.5702±0.0304,0.5002±0.0555,0.6812±0.0313,0.6538±0.0294,0.6237±0.0429,0.5909±0.0389,0.6475±0.0242,0.6173±0.0194,0.5600±0.0313,0.5055±0.0445,0.8010±0.0155,0.7889±0.0103,0.7437±0.0187,0.6993±0.0222,0.5628±0.0277,0.5298±0.0203,0.4663±0.0288,0.4043±0.0375,0.6609±0.0273,0.6438±0.0208,0.5957±0.0202,0.5398±0.0320,0.6721±0.0188,0.6548±0.0146,0.5788±0.0333,0.5061±0.0311,0.6634±0.0362,0.6417±0.0316,0.6246±0.0300,0.5901±0.0369,0.4740±0.0701,0.4305±0.0825,0.3555±0.0695,0.4009±0.0555,0.6794±0.0296,0.6597±0.0139,0.6026±0.0243,0.5520±0.0345,0.6805±0.0227,0.6624±0.0085,0.5840±0.0341,0.5148±0.0330,0.6787±0.0391,0.6575±0.0248,0.6244±0.0334,0.5955±0.0402,0.3052±0.0362,0.2596±0.0348,0.1889±0.0285,0.1232±0.0235
