Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PartialOrder__Hamming__None,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PartialOrder__Subset__2,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PartialOrder__Subset__None,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PreOrder__Hamming__2,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PreOrder__Hamming__None,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PreOrder__Subset__2,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
PreOrder__Subset__None,0.7284±0.0220,0.6352±0.0256,0.6217±0.0240,0.5548±0.0371,0.8288±0.0126,0.7660±0.0214,0.7047±0.0275,0.6312±0.0252,0.2690±0.0242,0.2061±0.0097,0.1689±0.0149,0.1366±0.0134,0.3655±0.0081,0.2955±0.0118,0.2033±0.0177,0.1461±0.0107,2.0697±0.1314,2.6905±0.2623,3.3592±0.3512,4.1896±0.2326,0.5871±0.0057,0.5210±0.0209,0.4462±0.0298,0.3703±0.0173,0.6074±0.0139,0.6677±0.0297,0.7485±0.0250,0.8190±0.0208,0.1760±0.0111,0.2309±0.0229,0.2914±0.0304,0.3656±0.0199
br,0.7284±0.0220,0.6260±0.0117,0.6201±0.0134,0.5561±0.0331,0.8288±0.0126,0.7576±0.0151,0.7144±0.0158,0.6373±0.0143,0.2690±0.0242,0.1799±0.0080,0.1873±0.0200,0.1441±0.0111,0.3655±0.0081,0.2605±0.0233,0.2343±0.0277,0.1621±0.0128,2.0697±0.1314,2.8112±0.2194,3.2313±0.1767,4.1016±0.1999,0.5871±0.0057,0.5072±0.0222,0.4654±0.0262,0.3861±0.0169,0.6074±0.0139,0.6902±0.0271,0.7198±0.0345,0.7976±0.0222,0.1760±0.0111,0.2413±0.0185,0.2778±0.0162,0.3575±0.0168
cc,0.7288±0.0108,0.6271±0.0161,0.5927±0.0206,0.5519±0.0360,0.8168±0.0116,0.7601±0.0122,0.6937±0.0104,0.6335±0.0257,0.2661±0.0118,0.2016±0.0160,0.1789±0.0288,0.1415±0.0085,0.3403±0.0054,0.2904±0.0206,0.2045±0.0224,0.1561±0.0088,2.2160±0.1521,2.7454±0.1922,3.4840±0.1679,4.1587±0.2870,0.5576±0.0145,0.5149±0.0218,0.4432±0.0206,0.3774±0.0264,0.6401±0.0252,0.6759±0.0234,0.7454±0.0270,0.8088±0.0341,0.1891±0.0121,0.2363±0.0148,0.3012±0.0144,0.3635±0.0266
