Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6281±0.0479,0.6314±0.0713,0.5570±0.0361,0.3742±0.0242,0.1455±0.0106,0.1139±0.0088,0.1090±0.0051,0.1098±0.0032,0.8462±0.0319,0.8599±0.0359,0.8642±0.0287,0.7666±0.0195,0.2145±0.0110,0.1911±0.0100,0.1901±0.0077,0.1898±0.0049,0.2723±0.0237,0.2784±0.0263,0.3140±0.0180,0.4010±0.0067,0.1443±0.0113,0.1137±0.0088,0.1087±0.0052,0.1093±0.0033,0.1593±0.0055,0.1601±0.0056,0.1638±0.0062,0.1611±0.0075,0.0957±0.0030,0.0959±0.0030,0.0980±0.0035,0.0984±0.0034,0.8440±0.0362,0.8512±0.0571,0.8036±0.0367,0.7063±0.0469,0.8008±0.0287,0.8203±0.0665,0.8232±0.0445,0.6848±0.0312,0.1728±0.0051,0.1763±0.0057,0.1846±0.0065,0.1867±0.0037,0.0963±0.0029,0.0983±0.0033,0.1034±0.0037,0.1063±0.0021,0.8456±0.0330,0.8588±0.0315,0.8637±0.0321,0.7649±0.0190,0.0450±0.0118,0.0082±0.0069,0.0010±0.0021,0.0000±0.0000
PartialOrder__Hamming__None,0.6315±0.0473,0.6353±0.0712,0.5638±0.0391,0.3968±0.0266,0.1455±0.0106,0.1143±0.0101,0.1084±0.0054,0.1089±0.0021,0.8483±0.0305,0.8640±0.0373,0.8662±0.0307,0.7771±0.0176,0.2146±0.0110,0.1921±0.0118,0.1894±0.0083,0.1891±0.0035,0.2713±0.0239,0.2779±0.0261,0.3116±0.0180,0.3923±0.0071,0.1443±0.0113,0.1140±0.0101,0.1082±0.0055,0.1084±0.0023,0.1593±0.0054,0.1605±0.0061,0.1637±0.0067,0.1616±0.0058,0.0956±0.0028,0.0961±0.0033,0.0979±0.0039,0.0983±0.0023,0.8459±0.0351,0.8541±0.0580,0.8078±0.0377,0.7364±0.0347,0.8008±0.0287,0.8233±0.0639,0.8261±0.0471,0.6968±0.0397,0.1730±0.0049,0.1769±0.0061,0.1844±0.0069,0.1866±0.0019,0.0963±0.0028,0.0986±0.0035,0.1032±0.0039,0.1060±0.0010,0.8475±0.0319,0.8626±0.0331,0.8656±0.0340,0.7754±0.0154,0.0450±0.0118,0.0071±0.0069,0.0010±0.0021,0.0000±0.0000
PartialOrder__Subset__2,0.6264±0.0481,0.6305±0.0720,0.5574±0.0360,0.3741±0.0237,0.1454±0.0108,0.1136±0.0088,0.1089±0.0051,0.1096±0.0027,0.8432±0.0330,0.8578±0.0381,0.8642±0.0287,0.7655±0.0183,0.2137±0.0113,0.1905±0.0102,0.1900±0.0077,0.1895±0.0042,0.2719±0.0238,0.2780±0.0259,0.3136±0.0181,0.4005±0.0066,0.1441±0.0115,0.1133±0.0088,0.1087±0.0052,0.1091±0.0029,0.1589±0.0056,0.1598±0.0056,0.1638±0.0062,0.1609±0.0070,0.0954±0.0031,0.0957±0.0030,0.0980±0.0035,0.0983±0.0031,0.8421±0.0369,0.8501±0.0581,0.8036±0.0367,0.7056±0.0456,0.8008±0.0287,0.8214±0.0652,0.8202±0.0464,0.6859±0.0302,0.1723±0.0052,0.1759±0.0058,0.1845±0.0065,0.1864±0.0029,0.0960±0.0030,0.0980±0.0033,0.1033±0.0037,0.1061±0.0016,0.8428±0.0338,0.8569±0.0335,0.8637±0.0321,0.7640±0.0171,0.0460±0.0130,0.0082±0.0069,0.0010±0.0021,0.0000±0.0000
PartialOrder__Subset__None,0.6315±0.0473,0.6358±0.0707,0.5645±0.0390,0.3984±0.0270,0.1454±0.0107,0.1141±0.0102,0.1083±0.0053,0.1091±0.0021,0.8473±0.0300,0.8640±0.0373,0.8662±0.0307,0.7781±0.0170,0.2143±0.0110,0.1919±0.0119,0.1893±0.0082,0.1894±0.0034,0.2710±0.0241,0.2775±0.0260,0.3109±0.0180,0.3923±0.0074,0.1441±0.0114,0.1139±0.0102,0.1081±0.0055,0.1087±0.0023,0.1592±0.0053,0.1605±0.0061,0.1636±0.0066,0.1619±0.0054,0.0955±0.0028,0.0961±0.0033,0.0978±0.0039,0.0985±0.0020,0.8456±0.0351,0.8541±0.0580,0.8078±0.0377,0.7381±0.0347,0.8008±0.0287,0.8233±0.0639,0.8253±0.0485,0.6979±0.0388,0.1727±0.0048,0.1768±0.0061,0.1843±0.0069,0.1868±0.0018,0.0962±0.0027,0.0985±0.0035,0.1031±0.0039,0.1062±0.0009,0.8465±0.0313,0.8626±0.0331,0.8656±0.0340,0.7764±0.0148,0.0450±0.0118,0.0071±0.0069,0.0010±0.0021,0.0000±0.0000
PreOrder__Hamming__2,0.6395±0.0484,0.5459±0.0673,0.3485±0.0720,0.2031±0.0402,0.1481±0.0123,0.1349±0.0101,0.1220±0.0065,0.1330±0.0093,0.8498±0.0285,0.8185±0.0362,0.7613±0.0485,0.6491±0.0295,0.2163±0.0122,0.2102±0.0081,0.2014±0.0102,0.2155±0.0142,0.2742±0.0244,0.3241±0.0285,0.4026±0.0203,0.5563±0.0137,0.1468±0.0128,0.1347±0.0101,0.1212±0.0064,0.1313±0.0093,0.1601±0.0053,0.1607±0.0054,0.1606±0.0069,0.1677±0.0082,0.0961±0.0024,0.0972±0.0024,0.0983±0.0046,0.1066±0.0050,0.8576±0.0269,0.8116±0.0497,0.7074±0.0539,0.5852±0.0265,0.8034±0.0286,0.7579±0.0621,0.6752±0.0615,0.4972±0.0926,0.1734±0.0046,0.1786±0.0046,0.1851±0.0081,0.2080±0.0124,0.0966±0.0027,0.1003±0.0027,0.1055±0.0043,0.1239±0.0078,0.8465±0.0300,0.8169±0.0339,0.7556±0.0507,0.6473±0.0296,0.0491±0.0119,0.0245±0.0113,0.0031±0.0041,0.0000±0.0000
PreOrder__Hamming__None,0.6426±0.0481,0.5532±0.0686,0.3794±0.0667,0.2425±0.0344,0.1481±0.0117,0.1346±0.0091,0.1194±0.0067,0.1243±0.0095,0.8529±0.0273,0.8247±0.0375,0.7771±0.0489,0.7094±0.0355,0.2168±0.0121,0.2107±0.0085,0.1999±0.0107,0.2086±0.0151,0.2737±0.0249,0.3217±0.0288,0.3934±0.0176,0.5088±0.0130,0.1468±0.0122,0.1344±0.0091,0.1186±0.0066,0.1231±0.0096,0.1603±0.0056,0.1609±0.0062,0.1613±0.0073,0.1685±0.0084,0.0962±0.0026,0.0972±0.0029,0.0983±0.0050,0.1051±0.0054,0.8598±0.0265,0.8156±0.0518,0.7279±0.0501,0.6474±0.0687,0.8034±0.0286,0.7629±0.0628,0.7097±0.0449,0.5900±0.0711,0.1738±0.0048,0.1791±0.0053,0.1858±0.0086,0.2055±0.0122,0.0968±0.0028,0.1005±0.0031,0.1057±0.0047,0.1202±0.0074,0.8493±0.0291,0.8226±0.0354,0.7708±0.0511,0.7061±0.0349,0.0481±0.0100,0.0235±0.0094,0.0021±0.0041,0.0000±0.0000
PreOrder__Subset__2,0.6387±0.0485,0.5429±0.0687,0.3445±0.0734,0.2062±0.0374,0.1487±0.0124,0.1346±0.0100,0.1216±0.0067,0.1319±0.0097,0.8488±0.0277,0.8144±0.0377,0.7551±0.0480,0.6416±0.0289,0.2162±0.0120,0.2093±0.0081,0.2003±0.0105,0.2135±0.0154,0.2736±0.0245,0.3234±0.0283,0.4014±0.0206,0.5557±0.0152,0.1473±0.0128,0.1344±0.0100,0.1209±0.0067,0.1305±0.0098,0.1599±0.0050,0.1601±0.0055,0.1595±0.0070,0.1663±0.0078,0.0960±0.0023,0.0969±0.0025,0.0977±0.0047,0.1061±0.0055,0.8563±0.0271,0.8078±0.0519,0.7029±0.0549,0.5815±0.0405,0.8044±0.0285,0.7536±0.0554,0.6682±0.0638,0.4759±0.0908,0.1731±0.0042,0.1777±0.0046,0.1837±0.0082,0.2054±0.0131,0.0964±0.0025,0.0998±0.0027,0.1047±0.0044,0.1224±0.0082,0.8455±0.0291,0.8132±0.0353,0.7499±0.0502,0.6378±0.0299,0.0511±0.0116,0.0255±0.0116,0.0041±0.0038,0.0010±0.0021
PreOrder__Subset__None,0.6435±0.0483,0.5537±0.0687,0.3779±0.0736,0.2309±0.0257,0.1480±0.0117,0.1342±0.0094,0.1187±0.0068,0.1233±0.0101,0.8529±0.0273,0.8237±0.0366,0.7730±0.0482,0.7063±0.0340,0.2165±0.0120,0.2101±0.0089,0.1988±0.0107,0.2070±0.0157,0.2728±0.0250,0.3209±0.0292,0.3915±0.0179,0.5065±0.0139,0.1466±0.0122,0.1340±0.0094,0.1179±0.0067,0.1222±0.0100,0.1602±0.0055,0.1606±0.0064,0.1605±0.0076,0.1675±0.0080,0.0961±0.0025,0.0970±0.0030,0.0978±0.0051,0.1045±0.0053,0.8598±0.0265,0.8153±0.0516,0.7247±0.0571,0.6465±0.0613,0.8044±0.0285,0.7604±0.0609,0.7065±0.0430,0.5822±0.0785,0.1736±0.0046,0.1787±0.0055,0.1846±0.0085,0.2036±0.0127,0.0967±0.0027,0.1003±0.0033,0.1050±0.0046,0.1191±0.0076,0.8493±0.0291,0.8217±0.0348,0.7670±0.0505,0.7014±0.0369,0.0481±0.0100,0.0235±0.0094,0.0021±0.0041,0.0000±0.0000
br,0.8985±0.0130,0.8944±0.0178,0.7652±0.0443,0.6232±0.0430,0.1626±0.0213,0.1578±0.0239,0.1980±0.0371,0.1658±0.0147,0.1610±0.0158,0.1614±0.0294,0.2516±0.0448,0.3105±0.0138,0.1593±0.0183,0.1566±0.0264,0.2122±0.0386,0.2031±0.0145,0.9121±0.0023,0.9037±0.0050,0.8750±0.0078,0.8032±0.0078,0.1542±0.0184,0.1503±0.0265,0.1898±0.0361,0.1592±0.0167,0.1184±0.0137,0.1100±0.0187,0.1673±0.0369,0.1527±0.0098,0.2530±0.0439,0.2149±0.0486,0.1832±0.0361,0.1284±0.0081,0.0860±0.0123,0.0797±0.0158,0.1672±0.0420,0.2245±0.0362,1.0000±0.0000,1.0000±0.0000,0.9809±0.0044,0.9151±0.0221,0.2431±0.0233,0.2269±0.0318,0.2615±0.0369,0.2197±0.0063,0.5368±0.0283,0.4098±0.0534,0.2794±0.0382,0.1709±0.0056,0.1574±0.0179,0.1575±0.0246,0.2465±0.0390,0.3081±0.0140,0.1390±0.0202,0.1319±0.0265,0.1278±0.0301,0.0552±0.0226
cc,0.8252±0.0208,0.8604±0.0182,0.7587±0.0442,0.6225±0.0458,0.2428±0.0133,0.1795±0.0105,0.1825±0.0173,0.1549±0.0176,0.2324±0.0164,0.1887±0.0181,0.2447±0.0323,0.3172±0.0301,0.2352±0.0149,0.1798±0.0135,0.1990±0.0224,0.1953±0.0194,0.9018±0.0022,0.9026±0.0027,0.8716±0.0080,0.7935±0.0082,0.2303±0.0163,0.1715±0.0133,0.1743±0.0193,0.1499±0.0156,0.1585±0.0236,0.1430±0.0233,0.1720±0.0398,0.1431±0.0133,0.2403±0.0679,0.2344±0.0611,0.1883±0.0445,0.1157±0.0079,0.1394±0.0191,0.1099±0.0166,0.1708±0.0453,0.2125±0.0406,1.0000±0.0000,0.9990±0.0021,0.9760±0.0204,0.9022±0.0164,0.2949±0.0124,0.2542±0.0172,0.2519±0.0207,0.2138±0.0183,0.4164±0.0130,0.4087±0.0206,0.2657±0.0226,0.1626±0.0134,0.2285±0.0126,0.1850±0.0163,0.2408±0.0262,0.3126±0.0316,0.2157±0.0226,0.1473±0.0132,0.1073±0.0132,0.0460±0.0092
