Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.2986±0.0440,0.2472±0.0290,0.3710±0.0249,0.4247±0.0743,0.6749±0.0351,0.5762±0.0542,0.4336±0.0404,0.3584±0.0332,0.7735±0.0385,0.8053±0.0435,0.8583±0.0257,0.8650±0.0373,0.7024±0.0347,0.6391±0.0488,0.5452±0.0368,0.4903±0.0334,0.7924±0.0227,0.7037±0.0466,0.5717±0.0478,0.5115±0.0320,0.6728±0.0351,0.5749±0.0542,0.4322±0.0406,0.3578±0.0324,0.5534±0.0441,0.5015±0.0313,0.4523±0.0292,0.4210±0.0211,0.5140±0.0377,0.4174±0.0287,0.3378±0.0245,0.3057±0.0144,0.6542±0.1015,0.7531±0.0533,0.8409±0.0440,0.7774±0.1003,0.5822±0.1607,0.4734±0.0511,0.6057±0.0421,0.6363±0.0886,0.6518±0.0333,0.5797±0.0484,0.5034±0.0320,0.4711±0.0249,0.5655±0.0335,0.4537±0.0469,0.3570±0.0300,0.3241±0.0190,0.7706±0.0410,0.8051±0.0436,0.8567±0.0264,0.8623±0.0372,0.5972±0.0391,0.4160±0.0695,0.1695±0.0406,0.0558±0.0335
PartialOrder__Hamming__None,0.2609±0.0569,0.2521±0.0348,0.4058±0.0548,0.4370±0.0715,0.6685±0.0411,0.5630±0.0494,0.4292±0.0341,0.3478±0.0273,0.7812±0.0403,0.8072±0.0425,0.8651±0.0191,0.8670±0.0395,0.6992±0.0400,0.6304±0.0445,0.5446±0.0310,0.4829±0.0303,0.7856±0.0284,0.6945±0.0463,0.5703±0.0445,0.5038±0.0291,0.6664±0.0410,0.5617±0.0492,0.4287±0.0342,0.3472±0.0268,0.5520±0.0456,0.4954±0.0285,0.4543±0.0246,0.4176±0.0204,0.5017±0.0434,0.4081±0.0269,0.3378±0.0209,0.3021±0.0131,0.6848±0.0879,0.7547±0.0554,0.8707±0.0256,0.7786±0.1021,0.4802±0.1392,0.4893±0.0452,0.6182±0.0270,0.6570±0.0884,0.6471±0.0398,0.5728±0.0459,0.5046±0.0282,0.4676±0.0238,0.5545±0.0405,0.4448±0.0447,0.3569±0.0271,0.3206±0.0174,0.7782±0.0423,0.8071±0.0426,0.8643±0.0198,0.8642±0.0395,0.5856±0.0449,0.3910±0.0630,0.1580±0.0314,0.0385±0.0236
PartialOrder__Subset__2,0.2993±0.0451,0.2289±0.0560,0.3713±0.0236,0.4254±0.0742,0.6759±0.0341,0.5745±0.0560,0.4320±0.0396,0.3581±0.0330,0.7735±0.0385,0.8014±0.0478,0.8564±0.0254,0.8650±0.0373,0.7030±0.0342,0.6368±0.0514,0.5436±0.0369,0.4900±0.0333,0.7928±0.0220,0.7027±0.0477,0.5703±0.0483,0.5110±0.0317,0.6738±0.0342,0.5733±0.0560,0.4306±0.0397,0.3575±0.0323,0.5539±0.0436,0.4981±0.0358,0.4512±0.0296,0.4209±0.0211,0.5149±0.0368,0.4151±0.0309,0.3369±0.0245,0.3057±0.0144,0.6542±0.1015,0.7259±0.0504,0.8397±0.0460,0.7774±0.1003,0.5822±0.1607,0.4459±0.0936,0.6039±0.0302,0.6397±0.0934,0.6523±0.0328,0.5778±0.0506,0.5021±0.0326,0.4708±0.0248,0.5661±0.0324,0.4525±0.0482,0.3560±0.0302,0.3239±0.0189,0.7706±0.0410,0.8013±0.0479,0.8548±0.0260,0.8623±0.0372,0.5991±0.0368,0.4160±0.0695,0.1676±0.0373,0.0558±0.0335
PartialOrder__Subset__None,0.2609±0.0569,0.2505±0.0362,0.4058±0.0548,0.4360±0.0693,0.6685±0.0411,0.5630±0.0494,0.4292±0.0341,0.3472±0.0271,0.7812±0.0403,0.8072±0.0425,0.8651±0.0191,0.8650±0.0373,0.6992±0.0400,0.6304±0.0445,0.5446±0.0310,0.4820±0.0298,0.7856±0.0284,0.6945±0.0463,0.5703±0.0445,0.5033±0.0289,0.6664±0.0410,0.5617±0.0492,0.4287±0.0342,0.3466±0.0266,0.5520±0.0456,0.4953±0.0284,0.4543±0.0246,0.4171±0.0203,0.5017±0.0434,0.4076±0.0264,0.3378±0.0209,0.3018±0.0132,0.6848±0.0879,0.7547±0.0554,0.8707±0.0256,0.7774±0.1003,0.4802±0.1392,0.4861±0.0480,0.6182±0.0270,0.6555±0.0888,0.6471±0.0398,0.5728±0.0459,0.5046±0.0282,0.4668±0.0233,0.5545±0.0405,0.4448±0.0447,0.3569±0.0271,0.3201±0.0171,0.7782±0.0423,0.8071±0.0426,0.8643±0.0198,0.8623±0.0372,0.5856±0.0449,0.3910±0.0630,0.1580±0.0314,0.0385±0.0236
PreOrder__Hamming__2,0.3118±0.0465,0.2570±0.0656,0.2710±0.0818,0.2237±0.0652,0.6661±0.0363,0.6189±0.0587,0.5482±0.0456,0.4790±0.0470,0.7619±0.0339,0.7899±0.0443,0.7842±0.0241,0.7725±0.0501,0.6930±0.0343,0.6672±0.0527,0.6164±0.0331,0.5650±0.0462,0.7890±0.0226,0.7393±0.0444,0.6907±0.0421,0.6526±0.0371,0.6640±0.0364,0.6178±0.0580,0.5469±0.0458,0.4777±0.0480,0.5427±0.0401,0.5216±0.0329,0.4728±0.0148,0.4480±0.0293,0.5049±0.0341,0.4574±0.0337,0.3933±0.0271,0.3563±0.0237,0.6367±0.0985,0.7081±0.0601,0.6766±0.0960,0.6740±0.0475,0.6145±0.1542,0.4466±0.1235,0.5750±0.1801,0.4345±0.1053,0.6449±0.0314,0.6062±0.0511,0.5629±0.0330,0.5285±0.0382,0.5612±0.0336,0.4930±0.0537,0.4411±0.0438,0.4023±0.0320,0.7591±0.0365,0.7898±0.0433,0.7840±0.0241,0.7708±0.0515,0.5895±0.0450,0.4913±0.0714,0.3642±0.0756,0.2484±0.0563
PreOrder__Hamming__None,0.2784±0.0421,0.2662±0.0478,0.2800±0.0640,0.2699±0.0705,0.6638±0.0389,0.5993±0.0561,0.5259±0.0355,0.4351±0.0219,0.7735±0.0371,0.8024±0.0340,0.8160±0.0319,0.8015±0.0381,0.6942±0.0368,0.6571±0.0480,0.6101±0.0272,0.5419±0.0234,0.7846±0.0251,0.7278±0.0418,0.6729±0.0311,0.6170±0.0250,0.6618±0.0390,0.5980±0.0552,0.5255±0.0355,0.4339±0.0223,0.5448±0.0382,0.5154±0.0290,0.4750±0.0122,0.4395±0.0156,0.4976±0.0378,0.4426±0.0354,0.3805±0.0159,0.3385±0.0129,0.6697±0.0812,0.7386±0.0624,0.7223±0.0857,0.7012±0.0464,0.5125±0.1519,0.4745±0.0959,0.5333±0.1012,0.4866±0.0945,0.6437±0.0338,0.5990±0.0444,0.5580±0.0228,0.5127±0.0226,0.5536±0.0361,0.4793±0.0470,0.4248±0.0283,0.3776±0.0180,0.7706±0.0396,0.8013±0.0342,0.8165±0.0312,0.7993±0.0389,0.5799±0.0486,0.4470±0.0733,0.3045±0.0580,0.1541±0.0276
PreOrder__Subset__2,0.3125±0.0473,0.2574±0.0705,0.2732±0.0870,0.2167±0.0683,0.6671±0.0352,0.6179±0.0576,0.5461±0.0464,0.4809±0.0441,0.7619±0.0339,0.7860±0.0476,0.7736±0.0336,0.7590±0.0551,0.6936±0.0337,0.6653±0.0526,0.6110±0.0343,0.5625±0.0457,0.7895±0.0218,0.7388±0.0460,0.6878±0.0430,0.6564±0.0328,0.6650±0.0354,0.6168±0.0569,0.5438±0.0465,0.4796±0.0454,0.5432±0.0397,0.5207±0.0352,0.4685±0.0150,0.4461±0.0282,0.5059±0.0332,0.4578±0.0370,0.3929±0.0289,0.3569±0.0213,0.6367±0.0985,0.7056±0.0622,0.6672±0.0998,0.6647±0.0507,0.6145±0.1542,0.4418±0.1309,0.5692±0.1869,0.3921±0.1201,0.6453±0.0308,0.6047±0.0533,0.5570±0.0342,0.5265±0.0379,0.5619±0.0324,0.4926±0.0560,0.4377±0.0452,0.4037±0.0299,0.7591±0.0365,0.7861±0.0466,0.7726±0.0343,0.7574±0.0565,0.5914±0.0425,0.4932±0.0683,0.3680±0.0787,0.2619±0.0504
PreOrder__Subset__None,0.2770±0.0427,0.2631±0.0514,0.2834±0.0727,0.2719±0.0718,0.6648±0.0399,0.5977±0.0567,0.5239±0.0353,0.4381±0.0203,0.7754±0.0381,0.7985±0.0363,0.8121±0.0330,0.8063±0.0417,0.6955±0.0379,0.6549±0.0491,0.6075±0.0270,0.5459±0.0233,0.7856±0.0258,0.7253±0.0431,0.6715±0.0314,0.6213±0.0219,0.6627±0.0400,0.5964±0.0558,0.5236±0.0353,0.4373±0.0209,0.5468±0.0408,0.5130±0.0304,0.4728±0.0097,0.4433±0.0182,0.4994±0.0399,0.4401±0.0370,0.3797±0.0172,0.3417±0.0152,0.6718±0.0850,0.7363±0.0620,0.7193±0.0829,0.7054±0.0532,0.5125±0.1519,0.4664±0.1047,0.5353±0.1042,0.4797±0.1004,0.6453±0.0350,0.5958±0.0461,0.5557±0.0230,0.5172±0.0230,0.5550±0.0372,0.4766±0.0484,0.4233±0.0286,0.3811±0.0172,0.7725±0.0404,0.7974±0.0363,0.8127±0.0328,0.8050±0.0422,0.5799±0.0486,0.4470±0.0733,0.3045±0.0580,0.1541±0.0276
br,0.4816±0.0240,0.4640±0.0911,0.4177±0.0464,0.3207±0.0637,0.6088±0.0533,0.5894±0.0775,0.5462±0.0229,0.4629±0.0188,0.6165±0.0503,0.6096±0.0847,0.6011±0.0312,0.5839±0.0157,0.6107±0.0520,0.5958±0.0796,0.5642±0.0247,0.5008±0.0166,0.8545±0.0211,0.8482±0.0226,0.8217±0.0172,0.7625±0.0175,0.6068±0.0528,0.5884±0.0770,0.5455±0.0239,0.4617±0.0175,0.4986±0.0351,0.5123±0.0787,0.5132±0.0387,0.4620±0.0297,0.5727±0.0378,0.5980±0.0677,0.5626±0.0682,0.4487±0.0310,0.4537±0.0379,0.4657±0.0888,0.4898±0.0348,0.5130±0.0425,0.9900±0.0089,0.9174±0.1311,0.7662±0.1734,0.6244±0.1867,0.6796±0.0477,0.6652±0.0638,0.6290±0.0254,0.5535±0.0219,0.7624±0.0488,0.7418±0.0326,0.6659±0.0512,0.5276±0.0329,0.6136±0.0490,0.6063±0.0868,0.5985±0.0307,0.5831±0.0138,0.5953±0.0557,0.5663±0.0693,0.4913±0.0260,0.3507±0.0253
cc,0.3906±0.0665,0.4365±0.0235,0.3905±0.0566,0.3628±0.0851,0.7186±0.0407,0.6547±0.0301,0.5485±0.0271,0.4357±0.0562,0.7157±0.0406,0.6705±0.0295,0.6098±0.0347,0.5426±0.0649,0.7166±0.0406,0.6592±0.0294,0.5674±0.0285,0.4685±0.0567,0.8573±0.0211,0.8565±0.0147,0.8102±0.0130,0.7418±0.0081,0.7157±0.0406,0.6528±0.0295,0.5456±0.0239,0.4335±0.0536,0.5684±0.0276,0.5239±0.0219,0.4777±0.0302,0.4109±0.0364,0.6212±0.0859,0.5659±0.0255,0.4890±0.0308,0.4067±0.0337,0.5709±0.0256,0.5011±0.0271,0.4811±0.0497,0.4443±0.0755,0.8587±0.1993,0.9818±0.0185,0.8206±0.1975,0.7085±0.1782,0.7159±0.0415,0.7009±0.0276,0.6172±0.0278,0.5118±0.0382,0.7186±0.0407,0.7398±0.0401,0.6275±0.0289,0.4874±0.0187,0.7132±0.0425,0.6673±0.0317,0.6078±0.0337,0.5407±0.0631,0.7128±0.0408,0.6339±0.0330,0.4817±0.0168,0.3353±0.0516
clr,0.9042±0.0237,0.7575±0.0359,0.7575±0.0255,0.6615±0.0926,0.1146±0.0373,0.3005±0.0551,0.2755±0.0473,0.3004±0.0570,0.1175±0.0370,0.3014±0.0528,0.2784±0.0478,0.3285±0.0673,0.1155±0.0372,0.3005±0.0539,0.2762±0.0474,0.3093±0.0599,0.7678±0.0108,0.8097±0.0184,0.7934±0.0195,0.7832±0.0091,0.1146±0.0373,0.2995±0.0538,0.2746±0.0471,0.3001±0.0566,0.1373±0.0335,0.3128±0.0348,0.2924±0.0354,0.3400±0.0702,0.5488±0.0955,0.6225±0.0809,0.5569±0.0663,0.5255±0.0701,0.0821±0.0234,0.2213±0.0355,0.2052±0.0294,0.2697±0.0819,0.9920±0.0075,1.0000±0.0000,0.9960±0.0049,0.8911±0.1324,0.2002±0.0559,0.4409±0.0662,0.4023±0.0643,0.4276±0.0595,0.7495±0.1099,0.8461±0.0892,0.7410±0.1091,0.6363±0.0252,0.1167±0.0373,0.3001±0.0533,0.2772±0.0480,0.3267±0.0669,0.1117±0.0376,0.2966±0.0537,0.2697±0.0466,0.2736±0.0484
ecc,0.4754±0.0415,0.4868±0.0619,0.4610±0.0459,0.3379±0.1237,0.7081±0.0295,0.6213±0.0582,0.5921±0.0540,0.5119±0.0448,0.7129±0.0249,0.6280±0.0540,0.6156±0.0504,0.6126±0.0677,0.7090±0.0279,0.6229±0.0564,0.5989±0.0523,0.5440±0.0521,0.8607±0.0152,0.8574±0.0150,0.8386±0.0208,0.7827±0.0127,0.7061±0.0299,0.6194±0.0574,0.5892±0.0520,0.5099±0.0447,0.5297±0.0247,0.5206±0.0698,0.5085±0.0499,0.4833±0.0763,0.5563±0.0330,0.6299±0.1154,0.5923±0.1144,0.5057±0.0980,0.5293±0.0251,0.4732±0.0646,0.4844±0.0420,0.5031±0.1117,1.0000±0.0000,0.9500±0.1000,0.8541±0.1879,0.7789±0.2838,0.7204±0.0271,0.6872±0.0404,0.6565±0.0481,0.5842±0.0379,0.7301±0.0318,0.7648±0.0187,0.7061±0.0449,0.5631±0.0182,0.7113±0.0263,0.6253±0.0562,0.6136±0.0503,0.6099±0.0677,0.6974±0.0362,0.6088±0.0610,0.5606±0.0512,0.4104±0.0268
