Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PartialOrder__Hamming__None,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PartialOrder__Subset__2,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PartialOrder__Subset__None,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PreOrder__Hamming__2,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PreOrder__Hamming__None,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PreOrder__Subset__2,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
PreOrder__Subset__None,0.8424±0.0162,0.8272±0.0217,0.7852±0.0195,0.7232±0.0129,0.8618±0.0126,0.8427±0.0206,0.7974±0.0203,0.7299±0.0184,0.7231±0.0234,0.6967±0.0320,0.6521±0.0192,0.5611±0.0051,0.7413±0.0294,0.7098±0.0305,0.6573±0.0235,0.5565±0.0155,1.7554±0.1329,1.8381±0.1696,2.0470±0.1885,2.4027±0.2356,0.8068±0.0141,0.7938±0.0181,0.7540±0.0172,0.6980±0.0213,0.2613±0.0160,0.2749±0.0253,0.3389±0.0240,0.4148±0.0195,0.1526±0.0151,0.1656±0.0221,0.2091±0.0227,0.2725±0.0303
br,0.8424±0.0162,0.8212±0.0152,0.7849±0.0259,0.7081±0.0343,0.8618±0.0126,0.8383±0.0137,0.7937±0.0236,0.7161±0.0353,0.7231±0.0234,0.6900±0.0222,0.6390±0.0325,0.5427±0.0361,0.7413±0.0294,0.7006±0.0278,0.6407±0.0409,0.5372±0.0355,1.7554±0.1329,1.8566±0.1769,2.0723±0.2401,2.4395±0.2743,0.8068±0.0141,0.7882±0.0226,0.7550±0.0297,0.6917±0.0289,0.2613±0.0160,0.2867±0.0313,0.3423±0.0333,0.4198±0.0231,0.1526±0.0151,0.1738±0.0197,0.2104±0.0352,0.2829±0.0396
cc,0.8445±0.0189,0.8232±0.0164,0.7850±0.0194,0.7312±0.0147,0.8590±0.0167,0.8398±0.0134,0.7916±0.0198,0.7374±0.0215,0.7160±0.0255,0.6978±0.0267,0.6452±0.0308,0.5783±0.0226,0.7272±0.0293,0.7127±0.0201,0.6405±0.0353,0.5658±0.0276,1.7118±0.1509,1.8754±0.1470,2.0759±0.1871,2.3319±0.1505,0.8079±0.0223,0.7769±0.0158,0.7475±0.0181,0.7008±0.0214,0.2699±0.0481,0.3053±0.0219,0.3456±0.0228,0.4080±0.0202,0.1511±0.0192,0.1827±0.0163,0.2145±0.0233,0.2626±0.0215
