Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1061±0.0151,0.1871±0.0186,0.3545±0.0095,0.4738±0.0127,0.7214±0.0228,0.5951±0.0220,0.4302±0.0092,0.3006±0.0029,0.8711±0.0212,0.8981±0.0116,0.9206±0.0037,0.9116±0.0096,0.7490±0.0216,0.6615±0.0164,0.5411±0.0075,0.4324±0.0031,0.8191±0.0163,0.7385±0.0118,0.6261±0.0072,0.5193±0.0046,0.7038±0.0218,0.5833±0.0199,0.4251±0.0085,0.2980±0.0030,0.6296±0.0272,0.5481±0.0127,0.4654±0.0061,0.4016±0.0036,0.4992±0.0275,0.3979±0.0129,0.3131±0.0054,0.2587±0.0021,0.8656±0.0188,0.8932±0.0102,0.9177±0.0054,0.9087±0.0086,0.1674±0.0155,0.2949±0.0133,0.4475±0.0327,0.5636±0.0289,0.6295±0.0268,0.5485±0.0128,0.4666±0.0060,0.4024±0.0035,0.4978±0.0278,0.3971±0.0127,0.3133±0.0053,0.2588±0.0022,0.8564±0.0192,0.8866±0.0101,0.9134±0.0056,0.9040±0.0095,0.5991±0.0227,0.4076±0.0292,0.1757±0.0091,0.0341±0.0117
PartialOrder__Hamming__None,0.1018±0.0146,0.2104±0.0185,0.3706±0.0092,0.4911±0.0109,0.7102±0.0205,0.5841±0.0207,0.4139±0.0092,0.2909±0.0046,0.8878±0.0172,0.9116±0.0090,0.9239±0.0050,0.9157±0.0088,0.7464±0.0187,0.6580±0.0157,0.5300±0.0079,0.4249±0.0044,0.8143±0.0155,0.7340±0.0116,0.6169±0.0074,0.5100±0.0030,0.6949±0.0202,0.5746±0.0194,0.4098±0.0093,0.2889±0.0044,0.6284±0.0244,0.5482±0.0118,0.4605±0.0059,0.3985±0.0036,0.4911±0.0251,0.3948±0.0121,0.3081±0.0052,0.2557±0.0021,0.8826±0.0159,0.9076±0.0083,0.9215±0.0058,0.9136±0.0080,0.1813±0.0157,0.3058±0.0107,0.4579±0.0335,0.5818±0.0317,0.6282±0.0241,0.5484±0.0120,0.4617±0.0060,0.3991±0.0035,0.4903±0.0254,0.3941±0.0120,0.3084±0.0052,0.2557±0.0022,0.8746±0.0162,0.9017±0.0085,0.9176±0.0059,0.9091±0.0091,0.5746±0.0245,0.3864±0.0288,0.1512±0.0127,0.0245±0.0089
PartialOrder__Subset__2,0.1055±0.0123,0.1826±0.0195,0.3526±0.0097,0.4729±0.0128,0.7209±0.0229,0.5955±0.0227,0.4304±0.0091,0.3004±0.0033,0.8622±0.0240,0.8946±0.0129,0.9183±0.0025,0.9110±0.0101,0.7456±0.0225,0.6606±0.0173,0.5407±0.0071,0.4321±0.0037,0.8177±0.0163,0.7382±0.0123,0.6254±0.0070,0.5193±0.0048,0.7027±0.0223,0.5830±0.0205,0.4253±0.0083,0.2977±0.0035,0.6251±0.0280,0.5466±0.0136,0.4643±0.0057,0.4014±0.0038,0.4969±0.0277,0.3972±0.0136,0.3124±0.0051,0.2586±0.0022,0.8567±0.0222,0.8893±0.0113,0.9155±0.0045,0.9078±0.0089,0.1683±0.0150,0.2959±0.0171,0.4475±0.0326,0.5571±0.0268,0.6250±0.0275,0.5471±0.0135,0.4656±0.0055,0.4021±0.0037,0.4954±0.0279,0.3965±0.0133,0.3126±0.0049,0.2586±0.0024,0.8471±0.0220,0.8827±0.0113,0.9114±0.0047,0.9033±0.0096,0.6045±0.0235,0.4084±0.0290,0.1770±0.0095,0.0336±0.0119
PartialOrder__Subset__None,0.1019±0.0142,0.2097±0.0182,0.3700±0.0091,0.4912±0.0113,0.7101±0.0206,0.5839±0.0209,0.4135±0.0089,0.2909±0.0045,0.8878±0.0172,0.9108±0.0093,0.9227±0.0044,0.9157±0.0088,0.7463±0.0188,0.6577±0.0160,0.5294±0.0076,0.4249±0.0044,0.8141±0.0156,0.7338±0.0117,0.6160±0.0071,0.5100±0.0034,0.6948±0.0203,0.5744±0.0196,0.4094±0.0091,0.2889±0.0044,0.6281±0.0244,0.5477±0.0122,0.4596±0.0056,0.3984±0.0036,0.4907±0.0251,0.3945±0.0124,0.3075±0.0049,0.2557±0.0021,0.8826±0.0159,0.9067±0.0085,0.9202±0.0052,0.9136±0.0080,0.1823±0.0153,0.3053±0.0102,0.4594±0.0340,0.5803±0.0317,0.6279±0.0241,0.5480±0.0123,0.4608±0.0057,0.3991±0.0035,0.4900±0.0253,0.3939±0.0122,0.3078±0.0049,0.2557±0.0023,0.8746±0.0162,0.9009±0.0088,0.9165±0.0054,0.9091±0.0091,0.5746±0.0245,0.3864±0.0288,0.1512±0.0127,0.0245±0.0089
PreOrder__Hamming__2,0.1073±0.0072,0.1011±0.0233,0.1544±0.0134,0.1912±0.0069,0.7257±0.0225,0.6706±0.0173,0.5760±0.0201,0.4525±0.0115,0.8585±0.0135,0.8705±0.0092,0.8790±0.0088,0.8564±0.0155,0.7478±0.0190,0.7120±0.0144,0.6482±0.0175,0.5566±0.0129,0.8207±0.0145,0.7926±0.0119,0.7479±0.0136,0.6948±0.0107,0.7047±0.0204,0.6535±0.0159,0.5636±0.0192,0.4446±0.0110,0.6274±0.0228,0.5961±0.0146,0.5509±0.0161,0.4979±0.0126,0.5016±0.0254,0.4586±0.0159,0.4049±0.0161,0.3539±0.0099,0.8524±0.0112,0.8635±0.0085,0.8726±0.0082,0.8509±0.0149,0.1700±0.0120,0.2053±0.0235,0.2366±0.0352,0.2959±0.0160,0.6274±0.0223,0.5965±0.0146,0.5514±0.0157,0.4978±0.0125,0.5004±0.0254,0.4581±0.0165,0.4049±0.0159,0.3529±0.0100,0.8417±0.0113,0.8553±0.0073,0.8646±0.0081,0.8449±0.0145,0.6037±0.0241,0.5181±0.0192,0.3660±0.0216,0.1782±0.0082
PreOrder__Hamming__None,0.0980±0.0119,0.1274±0.0132,0.2170±0.0180,0.2981±0.0140,0.7138±0.0213,0.6486±0.0095,0.5228±0.0142,0.3733±0.0064,0.8792±0.0126,0.8959±0.0057,0.9068±0.0065,0.8862±0.0157,0.7473±0.0177,0.7055±0.0088,0.6185±0.0106,0.5011±0.0054,0.8166±0.0151,0.7844±0.0093,0.7225±0.0091,0.6373±0.0044,0.6980±0.0197,0.6367±0.0085,0.5149±0.0123,0.3696±0.0068,0.6288±0.0223,0.5947±0.0103,0.5358±0.0083,0.4644±0.0068,0.4945±0.0247,0.4489±0.0112,0.3827±0.0091,0.3165±0.0042,0.8742±0.0120,0.8899±0.0056,0.9014±0.0087,0.8823±0.0148,0.1759±0.0119,0.2243±0.0224,0.2856±0.0399,0.3967±0.0310,0.6287±0.0221,0.5948±0.0107,0.5363±0.0082,0.4642±0.0067,0.4939±0.0250,0.4484±0.0119,0.3828±0.0090,0.3155±0.0044,0.8657±0.0116,0.8836±0.0049,0.8960±0.0084,0.8778±0.0149,0.5808±0.0253,0.4757±0.0096,0.2696±0.0144,0.0735±0.0205
PreOrder__Subset__2,0.1106±0.0067,0.1010±0.0212,0.1467±0.0197,0.1761±0.0083,0.7238±0.0212,0.6736±0.0162,0.5808±0.0189,0.4616±0.0148,0.8487±0.0135,0.8614±0.0111,0.8724±0.0060,0.8483±0.0167,0.7427±0.0183,0.7109±0.0126,0.6495±0.0151,0.5607±0.0157,0.8180±0.0135,0.7926±0.0114,0.7493±0.0123,0.6987±0.0123,0.7017±0.0192,0.6553±0.0138,0.5679±0.0181,0.4527±0.0151,0.6207±0.0216,0.5933±0.0132,0.5501±0.0136,0.4987±0.0145,0.4970±0.0236,0.4582±0.0153,0.4057±0.0145,0.3562±0.0115,0.8424±0.0124,0.8546±0.0100,0.8660±0.0063,0.8426±0.0173,0.1789±0.0104,0.1983±0.0277,0.2315±0.0388,0.2799±0.0060,0.6210±0.0212,0.5938±0.0131,0.5507±0.0133,0.4985±0.0146,0.4958±0.0240,0.4576±0.0158,0.4057±0.0145,0.3551±0.0118,0.8313±0.0117,0.8460±0.0089,0.8577±0.0070,0.8360±0.0171,0.6074±0.0211,0.5276±0.0175,0.3785±0.0247,0.1953±0.0131
PreOrder__Subset__None,0.0980±0.0125,0.1274±0.0130,0.2179±0.0182,0.2995±0.0149,0.7128±0.0217,0.6484±0.0098,0.5226±0.0141,0.3728±0.0065,0.8792±0.0132,0.8954±0.0071,0.9072±0.0060,0.8858±0.0167,0.7464±0.0181,0.7052±0.0093,0.6183±0.0105,0.5004±0.0054,0.8153±0.0152,0.7840±0.0095,0.7221±0.0091,0.6360±0.0046,0.6970±0.0200,0.6365±0.0087,0.5146±0.0121,0.3691±0.0069,0.6271±0.0226,0.5942±0.0109,0.5353±0.0082,0.4633±0.0072,0.4924±0.0249,0.4484±0.0115,0.3822±0.0091,0.3156±0.0044,0.8742±0.0122,0.8895±0.0067,0.9016±0.0082,0.8822±0.0159,0.1784±0.0139,0.2248±0.0225,0.2866±0.0397,0.3957±0.0250,0.6270±0.0224,0.5943±0.0113,0.5360±0.0082,0.4633±0.0071,0.4919±0.0253,0.4480±0.0122,0.3824±0.0091,0.3147±0.0046,0.8657±0.0121,0.8832±0.0060,0.8964±0.0079,0.8778±0.0159,0.5800±0.0253,0.4757±0.0096,0.2692±0.0143,0.0739±0.0213
br,0.1825±0.0153,0.1462±0.0169,0.1176±0.0051,0.0768±0.0220,0.7577±0.0137,0.7160±0.0204,0.6253±0.0160,0.4890±0.0229,0.7839±0.0137,0.7926±0.0161,0.7764±0.0063,0.7444±0.0268,0.7599±0.0133,0.7345±0.0193,0.6679±0.0121,0.5587±0.0229,0.9292±0.0030,0.9072±0.0060,0.8684±0.0071,0.7885±0.0091,0.7378±0.0130,0.6963±0.0207,0.6109±0.0144,0.4760±0.0211,0.8039±0.0098,0.7593±0.0166,0.6849±0.0144,0.5578±0.0209,0.8311±0.0106,0.7340±0.0157,0.6155±0.0191,0.4479±0.0187,0.7808±0.0148,0.7884±0.0193,0.7751±0.0125,0.7436±0.0280,0.3147±0.0341,0.2593±0.0295,0.2290±0.0278,0.1849±0.0400,0.7956±0.0095,0.7501±0.0158,0.6751±0.0135,0.5549±0.0189,0.8228±0.0121,0.7242±0.0167,0.6051±0.0172,0.4453±0.0164,0.7702±0.0140,0.7779±0.0163,0.7637±0.0089,0.7365±0.0284,0.6722±0.0126,0.5841±0.0244,0.4503±0.0211,0.2622±0.0184
cc,0.1794±0.0161,0.1573±0.0201,0.1246±0.0132,0.0778±0.0075,0.7933±0.0212,0.7266±0.0229,0.6206±0.0178,0.4899±0.0164,0.7806±0.0197,0.7833±0.0223,0.7662±0.0154,0.7489±0.0229,0.7811±0.0206,0.7392±0.0219,0.6627±0.0165,0.5619±0.0172,0.9215±0.0070,0.9062±0.0062,0.8653±0.0042,0.7896±0.0088,0.7693±0.0210,0.7074±0.0208,0.6060±0.0179,0.4779±0.0146,0.7858±0.0198,0.7551±0.0168,0.6745±0.0104,0.5597±0.0146,0.7991±0.0212,0.7351±0.0198,0.6061±0.0114,0.4493±0.0152,0.7756±0.0198,0.7796±0.0206,0.7639±0.0124,0.7496±0.0244,0.3315±0.0377,0.2809±0.0231,0.2212±0.0118,0.1687±0.0424,0.7771±0.0197,0.7459±0.0171,0.6677±0.0095,0.5577±0.0150,0.7899±0.0213,0.7240±0.0186,0.5980±0.0098,0.4473±0.0147,0.7648±0.0189,0.7694±0.0197,0.7559±0.0128,0.7409±0.0221,0.7341±0.0232,0.6136±0.0180,0.4441±0.0253,0.2559±0.0136
