Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PartialOrder__Hamming__None,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PartialOrder__Subset__2,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PartialOrder__Subset__None,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PreOrder__Hamming__2,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PreOrder__Hamming__None,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PreOrder__Subset__2,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
PreOrder__Subset__None,0.7077±0.0103,0.6739±0.0113,0.6351±0.0146,0.5947±0.0081,0.8385±0.0040,0.7965±0.0062,0.7460±0.0025,0.6743±0.0037,0.5117±0.0039,0.4813±0.0033,0.4408±0.0076,0.3969±0.0072,0.7100±0.0069,0.6560±0.0094,0.5746±0.0057,0.4824±0.0085,6.3921±0.0919,7.2229±0.1352,7.9933±0.0721,8.9773±0.0717,0.7540±0.0066,0.7146±0.0030,0.6579±0.0056,0.5861±0.0088,0.2499±0.0114,0.2689±0.0103,0.3384±0.0093,0.4278±0.0223,0.1713±0.0052,0.2118±0.0026,0.2577±0.0029,0.3241±0.0082
br,0.7077±0.0103,0.6675±0.0090,0.6328±0.0061,0.6009±0.0082,0.8385±0.0040,0.8012±0.0046,0.7484±0.0078,0.6833±0.0085,0.5117±0.0039,0.4793±0.0015,0.4433±0.0135,0.4013±0.0124,0.7100±0.0069,0.6605±0.0069,0.5823±0.0154,0.4907±0.0168,6.3921±0.0919,7.1013±0.1563,7.9201±0.1025,8.8920±0.1242,0.7540±0.0066,0.7203±0.0074,0.6608±0.0115,0.5948±0.0106,0.2499±0.0114,0.2636±0.0118,0.3368±0.0219,0.4050±0.0163,0.1713±0.0052,0.2077±0.0077,0.2560±0.0060,0.3152±0.0082
cc,0.6979±0.0043,0.6665±0.0071,0.6246±0.0073,0.6128±0.0176,0.7997±0.0062,0.7846±0.0067,0.7376±0.0027,0.6881±0.0089,0.4910±0.0078,0.4773±0.0081,0.4377±0.0072,0.4085±0.0105,0.6368±0.0042,0.6339±0.0090,0.5725±0.0086,0.5009±0.0146,7.2077±0.1090,7.3681±0.1187,7.9474±0.0986,8.7939±0.0977,0.7145±0.0025,0.7043±0.0032,0.6589±0.0037,0.6030±0.0064,0.2743±0.0097,0.3012±0.0048,0.3368±0.0111,0.3997±0.0090,0.2089±0.0055,0.2243±0.0047,0.2641±0.0035,0.3106±0.0061
