Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7671±0.0372,0.6980±0.0496,0.6319±0.0466,0.4682±0.1209,0.4178±0.1197,0.3777±0.1116,0.3251±0.0656,0.5533±0.0426,0.4796±0.0708,0.4177±0.0719,0.3043±0.0520,1.2458±0.1769,1.3849±0.2448,1.7045±0.3370,2.0818±0.2164,0.6866±0.0418,0.6807±0.0516,0.6260±0.0662,0.5395±0.0581,0.5118±0.0722,0.4922±0.0871,0.5405±0.0994,0.6810±0.1051,0.2059±0.0297,0.2271±0.0434,0.2883±0.0654,0.3632±0.0514
br,nan±nan,nan±nan,nan±nan,nan±nan,0.8160±0.0254,0.7810±0.0405,0.7121±0.0668,0.6285±0.0519,0.4682±0.1209,0.4296±0.1168,0.3542±0.0730,0.3306±0.0496,0.5533±0.0426,0.4769±0.0623,0.4057±0.0676,0.3116±0.0599,1.2458±0.1769,1.3700±0.2023,1.6598±0.3072,2.1480±0.2786,0.6866±0.0418,0.6786±0.0686,0.6336±0.0732,0.5260±0.0572,0.5118±0.0722,0.5012±0.1158,0.5503±0.1091,0.6999±0.0842,0.2059±0.0297,0.2210±0.0443,0.2790±0.0707,0.3799±0.0640
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.8203±0.0200,0.7594±0.0437,0.7351±0.0484,0.6675±0.0526,0.4627±0.1078,0.3974±0.0802,0.3744±0.0740,0.3452±0.0695,0.5725±0.0535,0.4805±0.0734,0.4136±0.0436,0.3428±0.0508,1.2075±0.1642,1.5319±0.2460,1.5614±0.1439,1.9171±0.2780,0.7114±0.0348,0.6605±0.0438,0.6338±0.0350,0.5822±0.0518,0.4589±0.0605,0.5117±0.0780,0.5603±0.0815,0.6038±0.0781,0.1991±0.0277,0.2534±0.0447,0.2659±0.0203,0.3289±0.0557
clr,nan±nan,nan±nan,nan±nan,nan±nan,0.8242±0.0257,0.7924±0.0244,0.7214±0.0455,0.7107±0.0420,0.4935±0.1381,0.4162±0.1106,0.3807±0.0687,0.4084±0.0863,0.5525±0.0418,0.5096±0.0220,0.4226±0.0856,0.3968±0.0404,1.1979±0.1480,1.3286±0.1842,1.7329±0.2580,1.7599±0.2192,0.7019±0.0360,0.6859±0.0328,0.6176±0.0641,0.5959±0.0176,0.4827±0.0670,0.5022±0.0466,0.5643±0.1082,0.6038±0.0195,0.1934±0.0302,0.2207±0.0370,0.2961±0.0475,0.3013±0.0314
ecc,nan±nan,nan±nan,nan±nan,nan±nan,0.8315±0.0317,0.7513±0.0357,0.7342±0.0319,0.6873±0.0624,0.5102±0.1210,0.4356±0.1269,0.4012±0.0604,0.3577±0.0922,0.5668±0.0793,0.4770±0.0424,0.4285±0.0720,0.3783±0.0878,1.1391±0.2275,1.5159±0.1960,1.5883±0.2377,1.7986±0.3345,0.7245±0.0520,0.6746±0.0504,0.6504±0.0537,0.5973±0.0583,0.4439±0.0771,0.4778±0.0957,0.5118±0.0960,0.5941±0.0849,0.1774±0.0343,0.2523±0.0350,0.2599±0.0434,0.3034±0.0568
