Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.4429±0.0490,0.5039±0.0302,0.5029±0.0289,0.3415±0.0116,0.1820±0.0098,0.1348±0.0036,0.1131±0.0042,0.1077±0.0020,0.8339±0.0113,0.8665±0.0074,0.8684±0.0098,0.8058±0.0085,0.2484±0.0078,0.2115±0.0023,0.1929±0.0052,0.1866±0.0029,0.3710±0.0148,0.3412±0.0086,0.3440±0.0156,0.4009±0.0089,0.1762±0.0081,0.1325±0.0023,0.1122±0.0038,0.1066±0.0020,0.1558±0.0012,0.1544±0.0020,0.1528±0.0026,0.1491±0.0018,0.0965±0.0010,0.0947±0.0011,0.0933±0.0015,0.0921±0.0013,0.7684±0.0399,0.7931±0.0228,0.7931±0.0259,0.6905±0.0076,0.7878±0.0119,0.8004±0.0379,0.8358±0.0286,0.7298±0.0315,0.1825±0.0016,0.1813±0.0016,0.1827±0.0032,0.1841±0.0020,0.1025±0.0010,0.1013±0.0009,0.1022±0.0020,0.1041±0.0013,0.8294±0.0100,0.8616±0.0085,0.8661±0.0103,0.7987±0.0069,0.0654±0.0079,0.0193±0.0027,0.0029±0.0012,0.0000±0.0000
PartialOrder__Hamming__None,0.4471±0.0490,0.5099±0.0299,0.5132±0.0284,0.3572±0.0132,0.1798±0.0109,0.1336±0.0019,0.1117±0.0038,0.1067±0.0014,0.8389±0.0115,0.8745±0.0067,0.8746±0.0093,0.8146±0.0078,0.2481±0.0092,0.2120±0.0008,0.1921±0.0048,0.1856±0.0021,0.3698±0.0153,0.3400±0.0083,0.3412±0.0155,0.3928±0.0085,0.1743±0.0098,0.1316±0.0015,0.1109±0.0034,0.1058±0.0014,0.1560±0.0012,0.1549±0.0023,0.1531±0.0025,0.1491±0.0015,0.0965±0.0011,0.0949±0.0013,0.0933±0.0014,0.0919±0.0011,0.7705±0.0394,0.7968±0.0231,0.7995±0.0256,0.6969±0.0074,0.7945±0.0097,0.8058±0.0347,0.8435±0.0272,0.7409±0.0300,0.1832±0.0020,0.1824±0.0020,0.1832±0.0031,0.1838±0.0014,0.1029±0.0012,0.1019±0.0011,0.1023±0.0019,0.1037±0.0009,0.8346±0.0096,0.8695±0.0082,0.8724±0.0098,0.8077±0.0065,0.0599±0.0100,0.0155±0.0044,0.0013±0.0012,0.0000±0.0000
PartialOrder__Subset__2,0.4416±0.0485,0.5031±0.0300,0.5034±0.0287,0.3399±0.0082,0.1819±0.0098,0.1342±0.0034,0.1131±0.0042,0.1073±0.0022,0.8305±0.0107,0.8640±0.0068,0.8687±0.0101,0.8033±0.0070,0.2479±0.0079,0.2107±0.0021,0.1929±0.0052,0.1859±0.0033,0.3703±0.0150,0.3407±0.0089,0.3439±0.0154,0.4002±0.0093,0.1760±0.0081,0.1320±0.0023,0.1122±0.0039,0.1062±0.0022,0.1553±0.0012,0.1541±0.0019,0.1530±0.0025,0.1488±0.0020,0.0962±0.0010,0.0945±0.0010,0.0934±0.0014,0.0920±0.0015,0.7667±0.0392,0.7921±0.0223,0.7935±0.0257,0.6886±0.0079,0.7863±0.0121,0.7983±0.0370,0.8348±0.0301,0.7235±0.0269,0.1818±0.0017,0.1807±0.0016,0.1828±0.0031,0.1835±0.0024,0.1021±0.0010,0.1010±0.0009,0.1022±0.0019,0.1037±0.0015,0.8261±0.0098,0.8589±0.0079,0.8664±0.0104,0.7963±0.0060,0.0660±0.0076,0.0193±0.0027,0.0029±0.0012,0.0000±0.0000
PartialOrder__Subset__None,0.4466±0.0489,0.5103±0.0298,0.5159±0.0225,0.3553±0.0112,0.1797±0.0109,0.1333±0.0019,0.1117±0.0038,0.1065±0.0015,0.8372±0.0111,0.8739±0.0063,0.8748±0.0087,0.8134±0.0073,0.2478±0.0091,0.2116±0.0008,0.1921±0.0048,0.1853±0.0023,0.3695±0.0151,0.3393±0.0083,0.3410±0.0154,0.3922±0.0086,0.1742±0.0097,0.1313±0.0014,0.1109±0.0034,0.1055±0.0015,0.1558±0.0011,0.1548±0.0023,0.1531±0.0025,0.1489±0.0015,0.0963±0.0010,0.0948±0.0012,0.0933±0.0014,0.0918±0.0012,0.7698±0.0393,0.7966±0.0230,0.8020±0.0209,0.6946±0.0080,0.7936±0.0107,0.8039±0.0343,0.8421±0.0284,0.7399±0.0260,0.1828±0.0018,0.1821±0.0020,0.1831±0.0031,0.1835±0.0016,0.1027±0.0011,0.1017±0.0012,0.1023±0.0019,0.1035±0.0011,0.8332±0.0094,0.8690±0.0079,0.8723±0.0091,0.8066±0.0065,0.0599±0.0100,0.0155±0.0044,0.0013±0.0012,0.0000±0.0000
PreOrder__Hamming__2,0.4220±0.0411,0.3743±0.0352,0.2730±0.0322,0.2634±0.0189,0.1855±0.0127,0.1570±0.0059,0.1468±0.0063,0.1439±0.0062,0.8119±0.0064,0.8168±0.0068,0.7789±0.0112,0.6849±0.0077,0.2479±0.0116,0.2298±0.0050,0.2278±0.0077,0.2288±0.0082,0.3763±0.0177,0.3981±0.0103,0.4737±0.0169,0.5849±0.0114,0.1787±0.0112,0.1523±0.0048,0.1433±0.0057,0.1409±0.0059,0.1549±0.0023,0.1562±0.0015,0.1585±0.0048,0.1545±0.0050,0.0964±0.0015,0.0972±0.0010,0.0995±0.0029,0.0997±0.0031,0.7550±0.0326,0.7269±0.0336,0.6623±0.0418,0.5009±0.0210,0.7266±0.0339,0.7283±0.0455,0.7079±0.0209,0.6542±0.0325,0.1796±0.0037,0.1855±0.0010,0.1992±0.0064,0.2170±0.0087,0.1011±0.0023,0.1048±0.0007,0.1144±0.0040,0.1292±0.0057,0.8061±0.0056,0.8098±0.0050,0.7728±0.0126,0.6791±0.0151,0.0737±0.0097,0.0354±0.0060,0.0138±0.0024,0.0032±0.0014
PreOrder__Hamming__None,0.4241±0.0418,0.3903±0.0377,0.2973±0.0353,0.2619±0.0304,0.1847±0.0137,0.1525±0.0062,0.1386±0.0045,0.1302±0.0037,0.8214±0.0063,0.8317±0.0058,0.8029±0.0089,0.7499±0.0083,0.2495±0.0123,0.2291±0.0048,0.2229±0.0058,0.2169±0.0057,0.3765±0.0181,0.3941±0.0097,0.4609±0.0160,0.5315±0.0077,0.1785±0.0126,0.1488±0.0053,0.1361±0.0042,0.1284±0.0039,0.1557±0.0020,0.1569±0.0024,0.1586±0.0038,0.1558±0.0044,0.0966±0.0015,0.0972±0.0013,0.0989±0.0023,0.0981±0.0028,0.7559±0.0311,0.7367±0.0374,0.6812±0.0342,0.5727±0.0263,0.7422±0.0339,0.7471±0.0349,0.7414±0.0193,0.6598±0.0315,0.1814±0.0035,0.1873±0.0018,0.2003±0.0053,0.2124±0.0061,0.1020±0.0021,0.1056±0.0011,0.1145±0.0033,0.1238±0.0038,0.8156±0.0049,0.8247±0.0084,0.7970±0.0122,0.7460±0.0132,0.0689±0.0129,0.0261±0.0087,0.0058±0.0030,0.0000±0.0000
PreOrder__Subset__2,0.4241±0.0415,0.3721±0.0361,0.2660±0.0316,0.2544±0.0135,0.1834±0.0133,0.1565±0.0055,0.1460±0.0059,0.1436±0.0054,0.8105±0.0077,0.8110±0.0079,0.7723±0.0081,0.6743±0.0082,0.2454±0.0124,0.2284±0.0043,0.2261±0.0067,0.2272±0.0071,0.3738±0.0178,0.3970±0.0103,0.4727±0.0166,0.5855±0.0104,0.1766±0.0121,0.1518±0.0042,0.1424±0.0052,0.1405±0.0051,0.1545±0.0022,0.1554±0.0016,0.1577±0.0044,0.1535±0.0041,0.0961±0.0014,0.0968±0.0010,0.0992±0.0027,0.0993±0.0026,0.7548±0.0333,0.7244±0.0341,0.6622±0.0373,0.5005±0.0219,0.7217±0.0340,0.7194±0.0412,0.6992±0.0260,0.6476±0.0379,0.1787±0.0038,0.1842±0.0010,0.1975±0.0057,0.2146±0.0073,0.1005±0.0023,0.1040±0.0007,0.1134±0.0036,0.1278±0.0047,0.8042±0.0061,0.8044±0.0066,0.7661±0.0104,0.6686±0.0133,0.0731±0.0101,0.0367±0.0065,0.0148±0.0016,0.0039±0.0024
PreOrder__Subset__None,0.4273±0.0421,0.3906±0.0379,0.2980±0.0345,0.2598±0.0295,0.1839±0.0139,0.1520±0.0060,0.1379±0.0048,0.1292±0.0036,0.8225±0.0069,0.8309±0.0062,0.8010±0.0091,0.7472±0.0082,0.2488±0.0127,0.2285±0.0047,0.2219±0.0062,0.2156±0.0054,0.3746±0.0183,0.3932±0.0095,0.4588±0.0162,0.5296±0.0073,0.1778±0.0128,0.1483±0.0052,0.1354±0.0044,0.1275±0.0037,0.1556±0.0021,0.1567±0.0025,0.1580±0.0040,0.1548±0.0040,0.0966±0.0015,0.0971±0.0014,0.0985±0.0025,0.0975±0.0024,0.7570±0.0321,0.7362±0.0375,0.6802±0.0336,0.5708±0.0259,0.7436±0.0333,0.7456±0.0340,0.7432±0.0179,0.6593±0.0297,0.1811±0.0036,0.1869±0.0020,0.1994±0.0057,0.2110±0.0058,0.1019±0.0022,0.1054±0.0012,0.1140±0.0036,0.1230±0.0036,0.8167±0.0049,0.8239±0.0090,0.7954±0.0122,0.7430±0.0130,0.0686±0.0129,0.0258±0.0088,0.0058±0.0030,0.0000±0.0000
br,0.8305±0.0174,0.7872±0.0223,0.6559±0.0159,0.4845±0.0182,0.3049±0.0197,0.2850±0.0293,0.2271±0.0099,0.1520±0.0014,0.3127±0.0209,0.3355±0.0329,0.3658±0.0181,0.4012±0.0242,0.2984±0.0200,0.2929±0.0309,0.2596±0.0113,0.2054±0.0063,0.9136±0.0034,0.8986±0.0060,0.8474±0.0044,0.7542±0.0030,0.2773±0.0200,0.2595±0.0310,0.2072±0.0096,0.1420±0.0037,0.1652±0.0190,0.1709±0.0230,0.1659±0.0080,0.1450±0.0053,0.2718±0.0314,0.1930±0.0246,0.1457±0.0060,0.1117±0.0034,0.1339±0.0168,0.1576±0.0229,0.2306±0.0139,0.2974±0.0152,1.0000±0.0000,0.9954±0.0028,0.9161±0.0243,0.8236±0.0433,0.3698±0.0210,0.3508±0.0330,0.2835±0.0128,0.2138±0.0087,0.4837±0.0248,0.3833±0.0359,0.2354±0.0109,0.1466±0.0053,0.2996±0.0200,0.3236±0.0317,0.3569±0.0205,0.3952±0.0221,0.2164±0.0210,0.1668±0.0305,0.0808±0.0098,0.0161±0.0018
cc,0.7701±0.0166,0.7711±0.0163,0.6618±0.0291,0.4807±0.0453,0.4237±0.0213,0.3294±0.0194,0.2293±0.0072,0.1548±0.0079,0.4126±0.0217,0.3749±0.0237,0.3755±0.0174,0.4242±0.0165,0.4052±0.0208,0.3352±0.0215,0.2642±0.0107,0.2120±0.0092,0.9021±0.0049,0.8992±0.0025,0.8445±0.0055,0.7507±0.0067,0.3789±0.0222,0.3019±0.0204,0.2086±0.0096,0.1460±0.0068,0.1786±0.0093,0.1790±0.0152,0.1621±0.0072,0.1490±0.0078,0.2562±0.0425,0.2017±0.0165,0.1416±0.0080,0.1143±0.0054,0.1787±0.0129,0.1698±0.0160,0.2200±0.0273,0.2957±0.0450,1.0000±0.0000,0.9955±0.0024,0.9403±0.0050,0.7948±0.0585,0.4076±0.0184,0.3774±0.0196,0.2858±0.0084,0.2197±0.0115,0.4187±0.0251,0.3956±0.0144,0.2340±0.0078,0.1495±0.0083,0.3979±0.0197,0.3613±0.0261,0.3674±0.0172,0.4145±0.0189,0.3036±0.0283,0.2086±0.0182,0.0718±0.0094,0.0174±0.0037
