Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6059±0.0175,0.5636±0.0244,0.4857±0.0220,0.3656±0.0168,0.6832±0.0080,0.6495±0.0076,0.5823±0.0135,0.4809±0.0081,0.7094±0.0100,0.7212±0.0073,0.7389±0.0150,0.7260±0.0085,0.6727±0.0061,0.6597±0.0033,0.6265±0.0111,0.5559±0.0057,0.8049±0.0058,0.7873±0.0043,0.7449±0.0062,0.6647±0.0047,0.5721±0.0065,0.5522±0.0047,0.5042±0.0132,0.4159±0.0059,0.4585±0.0137,0.4641±0.0123,0.4571±0.0134,0.4300±0.0067,0.5074±0.0173,0.4612±0.0145,0.4067±0.0106,0.3592±0.0071,0.4665±0.0107,0.4917±0.0100,0.5313±0.0235,0.5613±0.0156,0.9992±0.0017,0.9911±0.0041,0.9612±0.0071,0.8575±0.0363,0.6848±0.0071,0.6704±0.0041,0.6347±0.0108,0.5649±0.0053,0.6700±0.0082,0.6314±0.0071,0.5601±0.0114,0.4652±0.0091,0.7004±0.0111,0.7146±0.0091,0.7325±0.0188,0.7193±0.0078,0.2292±0.0210,0.1804±0.0145,0.0914±0.0179,0.0132±0.0056
PartialOrder__Hamming__None,0.5914±0.0173,0.5360±0.0208,0.4613±0.0192,0.3596±0.0190,0.6561±0.0082,0.6112±0.0070,0.5366±0.0107,0.4511±0.0079,0.7459±0.0097,0.7624±0.0065,0.7790±0.0135,0.7724±0.0070,0.6748±0.0044,0.6549±0.0040,0.6124±0.0091,0.5492±0.0048,0.7950±0.0044,0.7687±0.0044,0.7152±0.0053,0.6356±0.0051,0.5691±0.0062,0.5388±0.0045,0.4803±0.0102,0.4041±0.0043,0.4737±0.0109,0.4732±0.0085,0.4597±0.0099,0.4354±0.0047,0.4844±0.0125,0.4339±0.0058,0.3853±0.0081,0.3500±0.0056,0.5071±0.0120,0.5379±0.0107,0.5812±0.0199,0.6168±0.0131,1.0000±0.0000,0.9978±0.0021,0.9729±0.0135,0.8961±0.0331,0.6853±0.0045,0.6643±0.0038,0.6216±0.0091,0.5599±0.0045,0.6401±0.0059,0.5924±0.0059,0.5199±0.0098,0.4413±0.0082,0.7376±0.0089,0.7561±0.0083,0.7732±0.0179,0.7661±0.0076,0.1870±0.0284,0.1171±0.0124,0.0397±0.0101,0.0029±0.0017
PartialOrder__Subset__2,0.6069±0.0164,0.5624±0.0240,0.4827±0.0242,0.3597±0.0166,0.6845±0.0065,0.6498±0.0080,0.5808±0.0140,0.4788±0.0082,0.7082±0.0104,0.7200±0.0081,0.7376±0.0146,0.7222±0.0097,0.6730±0.0058,0.6596±0.0039,0.6253±0.0113,0.5531±0.0066,0.8052±0.0055,0.7874±0.0046,0.7437±0.0062,0.6626±0.0047,0.5730±0.0060,0.5525±0.0048,0.5026±0.0132,0.4128±0.0062,0.4585±0.0132,0.4640±0.0126,0.4567±0.0141,0.4290±0.0078,0.5101±0.0160,0.4613±0.0149,0.4057±0.0114,0.3585±0.0073,0.4653±0.0110,0.4910±0.0108,0.5314±0.0240,0.5620±0.0174,0.9992±0.0017,0.9896±0.0037,0.9603±0.0066,0.8471±0.0354,0.6848±0.0069,0.6701±0.0046,0.6333±0.0107,0.5621±0.0060,0.6711±0.0072,0.6318±0.0071,0.5586±0.0116,0.4629±0.0092,0.6991±0.0114,0.7136±0.0096,0.7315±0.0185,0.7157±0.0081,0.2338±0.0205,0.1816±0.0149,0.0894±0.0174,0.0116±0.0059
PartialOrder__Subset__None,0.5911±0.0170,0.5355±0.0217,0.4583±0.0192,0.3515±0.0170,0.6557±0.0076,0.6106±0.0066,0.5357±0.0107,0.4501±0.0084,0.7445±0.0097,0.7621±0.0068,0.7774±0.0121,0.7724±0.0062,0.6740±0.0040,0.6545±0.0037,0.6114±0.0083,0.5484±0.0057,0.7946±0.0040,0.7682±0.0046,0.7142±0.0051,0.6346±0.0053,0.5682±0.0055,0.5383±0.0043,0.4792±0.0094,0.4031±0.0047,0.4728±0.0108,0.4728±0.0098,0.4596±0.0083,0.4360±0.0062,0.4842±0.0118,0.4333±0.0070,0.3851±0.0074,0.3503±0.0062,0.5059±0.0121,0.5377±0.0123,0.5816±0.0184,0.6233±0.0141,1.0000±0.0000,0.9983±0.0022,0.9728±0.0162,0.8917±0.0298,0.6845±0.0041,0.6637±0.0038,0.6205±0.0084,0.5592±0.0051,0.6396±0.0056,0.5917±0.0053,0.5188±0.0101,0.4405±0.0085,0.7363±0.0086,0.7556±0.0095,0.7723±0.0168,0.7658±0.0065,0.1870±0.0284,0.1175±0.0121,0.0389±0.0093,0.0033±0.0021
PreOrder__Hamming__2,0.6565±0.0152,0.6352±0.0054,0.5942±0.0102,0.4986±0.0189,0.7075±0.0062,0.6873±0.0067,0.6519±0.0092,0.5653±0.0076,0.6579±0.0139,0.6593±0.0104,0.6620±0.0085,0.6531±0.0074,0.6575±0.0091,0.6497±0.0053,0.6341±0.0062,0.5832±0.0054,0.8122±0.0066,0.8031±0.0044,0.7854±0.0021,0.7340±0.0034,0.5591±0.0097,0.5458±0.0059,0.5220±0.0087,0.4540±0.0039,0.4303±0.0168,0.4279±0.0118,0.4266±0.0081,0.4162±0.0049,0.5453±0.0340,0.5122±0.0313,0.4534±0.0072,0.3904±0.0028,0.4143±0.0128,0.4184±0.0066,0.4317±0.0056,0.4543±0.0125,0.9983±0.0017,0.9962±0.0024,0.9868±0.0040,0.9047±0.0497,0.6770±0.0097,0.6667±0.0052,0.6492±0.0051,0.5952±0.0058,0.7062±0.0058,0.6835±0.0070,0.6425±0.0081,0.5517±0.0076,0.6503±0.0151,0.6508±0.0088,0.6562±0.0087,0.6462±0.0089,0.2346±0.0188,0.2060±0.0142,0.1506±0.0191,0.0517±0.0054
PreOrder__Hamming__None,0.5882±0.0208,0.5337±0.0184,0.4706±0.0205,0.3809±0.0211,0.6545±0.0070,0.6012±0.0095,0.5249±0.0093,0.4351±0.0105,0.7429±0.0117,0.7651±0.0091,0.7923±0.0104,0.8096±0.0091,0.6736±0.0050,0.6506±0.0037,0.6095±0.0083,0.5475±0.0101,0.7954±0.0045,0.7643±0.0051,0.7078±0.0051,0.6169±0.0079,0.5675±0.0061,0.5308±0.0070,0.4736±0.0098,0.3994±0.0089,0.4710±0.0107,0.4730±0.0094,0.4599±0.0128,0.4391±0.0096,0.4885±0.0177,0.4320±0.0081,0.3800±0.0097,0.3443±0.0076,0.5042±0.0128,0.5423±0.0166,0.5926±0.0213,0.6582±0.0142,0.9989±0.0014,0.9961±0.0052,0.9865±0.0091,0.9621±0.0126,0.6850±0.0052,0.6608±0.0044,0.6201±0.0075,0.5593±0.0096,0.6412±0.0052,0.5855±0.0099,0.5113±0.0078,0.4291±0.0105,0.7354±0.0125,0.7586±0.0092,0.7879±0.0130,0.8032±0.0059,0.1820±0.0174,0.1063±0.0141,0.0290±0.0054,0.0012±0.0025
PreOrder__Subset__2,0.6784±0.0079,0.6713±0.0077,0.6252±0.0126,0.5161±0.0143,0.7152±0.0084,0.7014±0.0047,0.6665±0.0080,0.5779±0.0125,0.6285±0.0147,0.6265±0.0127,0.6244±0.0126,0.6166±0.0107,0.6427±0.0105,0.6372±0.0074,0.6211±0.0064,0.5731±0.0103,0.8087±0.0063,0.8037±0.0050,0.7865±0.0021,0.7375±0.0059,0.5425±0.0110,0.5323±0.0083,0.5080±0.0070,0.4450±0.0088,0.4169±0.0108,0.4124±0.0117,0.4110±0.0094,0.4042±0.0097,0.5597±0.0517,0.5156±0.0329,0.4627±0.0092,0.3940±0.0084,0.3918±0.0070,0.3898±0.0083,0.4001±0.0072,0.4225±0.0162,0.9917±0.0065,0.9961±0.0017,0.9864±0.0038,0.9054±0.0670,0.6625±0.0098,0.6560±0.0071,0.6369±0.0056,0.5843±0.0098,0.7109±0.0091,0.6983±0.0047,0.6561±0.0077,0.5611±0.0125,0.6204±0.0142,0.6186±0.0122,0.6191±0.0108,0.6096±0.0115,0.2189±0.0151,0.1936±0.0204,0.1386±0.0055,0.0575±0.0033
PreOrder__Subset__None,0.5869±0.0209,0.5330±0.0198,0.4714±0.0187,0.3785±0.0207,0.6543±0.0072,0.5999±0.0095,0.5243±0.0094,0.4358±0.0113,0.7426±0.0126,0.7634±0.0094,0.7908±0.0085,0.8082±0.0103,0.6732±0.0058,0.6491±0.0039,0.6086±0.0077,0.5479±0.0113,0.7951±0.0049,0.7633±0.0056,0.7069±0.0051,0.6179±0.0088,0.5672±0.0066,0.5293±0.0074,0.4729±0.0093,0.3999±0.0096,0.4716±0.0123,0.4720±0.0094,0.4584±0.0114,0.4396±0.0111,0.4941±0.0285,0.4303±0.0081,0.3790±0.0091,0.3450±0.0087,0.5045±0.0139,0.5414±0.0166,0.5902±0.0188,0.6582±0.0150,0.9989±0.0014,0.9951±0.0041,0.9870±0.0090,0.9625±0.0124,0.6846±0.0058,0.6594±0.0049,0.6188±0.0069,0.5599±0.0107,0.6407±0.0049,0.5842±0.0102,0.5103±0.0080,0.4298±0.0114,0.7352±0.0133,0.7571±0.0093,0.7863±0.0114,0.8029±0.0057,0.1820±0.0167,0.1055±0.0142,0.0290±0.0054,0.0012±0.0025
br,0.5258±0.0123,0.4656±0.0169,0.3671±0.0084,0.2573±0.0239,0.6676±0.0093,0.6204±0.0061,0.5359±0.0101,0.4576±0.0146,0.6208±0.0053,0.6151±0.0071,0.5927±0.0102,0.5755±0.0164,0.6129±0.0061,0.5875±0.0029,0.5345±0.0098,0.4825±0.0133,0.7910±0.0032,0.7640±0.0021,0.7145±0.0063,0.6561±0.0054,0.5037±0.0066,0.4695±0.0050,0.4060±0.0103,0.3460±0.0124,0.4488±0.0055,0.4449±0.0070,0.4281±0.0089,0.4024±0.0097,0.4923±0.0096,0.4491±0.0065,0.4093±0.0110,0.3725±0.0074,0.4294±0.0045,0.4447±0.0116,0.4631±0.0066,0.4808±0.0157,0.9987±0.0025,0.9655±0.0223,0.7813±0.0882,0.5368±0.0606,0.6399±0.0051,0.6089±0.0015,0.5556±0.0100,0.5008±0.0118,0.6685±0.0082,0.6109±0.0057,0.5252±0.0109,0.4465±0.0112,0.6137±0.0059,0.6070±0.0080,0.5898±0.0102,0.5702±0.0151,0.1477±0.0200,0.0968±0.0217,0.0356±0.0082,0.0050±0.0031
cc,0.5305±0.0139,0.4615±0.0170,0.3739±0.0105,0.2528±0.0308,0.6539±0.0071,0.6164±0.0093,0.5257±0.0078,0.4583±0.0066,0.5989±0.0106,0.5999±0.0082,0.5918±0.0092,0.5766±0.0089,0.5984±0.0088,0.5774±0.0053,0.5271±0.0051,0.4832±0.0063,0.7866±0.0032,0.7641±0.0059,0.7101±0.0041,0.6591±0.0061,0.5056±0.0067,0.4736±0.0071,0.4049±0.0045,0.3498±0.0048,0.4439±0.0049,0.4448±0.0123,0.4210±0.0086,0.4073±0.0066,0.4820±0.0061,0.4559±0.0130,0.4027±0.0083,0.3783±0.0049,0.4224±0.0069,0.4389±0.0150,0.4518±0.0123,0.4872±0.0197,0.9975±0.0016,0.9232±0.0586,0.8266±0.0610,0.5467±0.1228,0.6286±0.0064,0.6035±0.0056,0.5496±0.0050,0.5023±0.0060,0.6641±0.0056,0.6143±0.0081,0.5187±0.0072,0.4499±0.0054,0.5968±0.0094,0.5932±0.0078,0.5846±0.0096,0.5684±0.0083,0.2271±0.0103,0.1452±0.0125,0.0418±0.0103,0.0124±0.0023
