Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6226±0.0658,0.5539±0.0528,0.4317±0.0290,0.3220±0.0202,0.5719±0.0299,0.3712±0.0101,0.2077±0.0013,0.1292±0.0034,0.6565±0.0090,0.6864±0.0102,0.6945±0.0103,0.6956±0.0134,0.5717±0.0162,0.4397±0.0075,0.3006±0.0014,0.2101±0.0049,0.9151±0.0053,0.8546±0.0108,0.7775±0.0032,0.6721±0.0067,0.4535±0.0203,0.3156±0.0070,0.1900±0.0009,0.1219±0.0032,0.1853±0.0161,0.1531±0.0051,0.1355±0.0027,0.1185±0.0016,0.1577±0.0102,0.1167±0.0045,0.0968±0.0022,0.0827±0.0014,0.2698±0.0503,0.2969±0.0302,0.3760±0.0374,0.4206±0.0156,0.9727±0.0092,0.9306±0.0154,0.8655±0.0183,0.7644±0.0249,0.4831±0.0116,0.3640±0.0147,0.2772±0.0028,0.2069±0.0056,0.3957±0.0194,0.2529±0.0143,0.1748±0.0021,0.1224±0.0038,0.6214±0.0103,0.6506±0.0031,0.6694±0.0042,0.6708±0.0093,0.1169±0.0261,0.0306±0.0066,0.0029±0.0019,0.0000±0.0000
PartialOrder__Hamming__None,0.5993±0.0678,0.4954±0.0503,0.3704±0.0196,0.2732±0.0136,0.5184±0.0590,0.3020±0.0071,0.1677±0.0014,0.1153±0.0030,0.6887±0.0117,0.7245±0.0100,0.7352±0.0129,0.7395±0.0140,0.5528±0.0354,0.3967±0.0058,0.2618±0.0020,0.1936±0.0046,0.9066±0.0092,0.8321±0.0104,0.7303±0.0046,0.6191±0.0060,0.4293±0.0417,0.2702±0.0059,0.1580±0.0016,0.1104±0.0029,0.1908±0.0140,0.1549±0.0051,0.1326±0.0028,0.1179±0.0019,0.1561±0.0082,0.1130±0.0041,0.0919±0.0020,0.0803±0.0013,0.2968±0.0584,0.3472±0.0317,0.4244±0.0379,0.4792±0.0184,0.9703±0.0102,0.9047±0.0167,0.8104±0.0181,0.7036±0.0407,0.4739±0.0204,0.3454±0.0123,0.2526±0.0030,0.1939±0.0052,0.3719±0.0284,0.2301±0.0108,0.1534±0.0022,0.1121±0.0034,0.6568±0.0144,0.6935±0.0029,0.7147±0.0061,0.7188±0.0103,0.0899±0.0397,0.0117±0.0083,0.0012±0.0014,0.0000±0.0000
PartialOrder__Subset__2,0.6214±0.0669,0.5556±0.0540,0.4329±0.0289,0.3212±0.0262,0.5487±0.0585,0.3719±0.0093,0.2074±0.0018,0.1284±0.0033,0.6538±0.0103,0.6838±0.0098,0.6908±0.0098,0.6913±0.0138,0.5576±0.0318,0.4397±0.0067,0.2997±0.0021,0.2087±0.0047,0.9113±0.0076,0.8549±0.0106,0.7776±0.0033,0.6717±0.0065,0.4378±0.0383,0.3157±0.0063,0.1894±0.0014,0.1210±0.0030,0.1847±0.0161,0.1526±0.0046,0.1350±0.0030,0.1179±0.0011,0.1573±0.0099,0.1166±0.0040,0.0966±0.0024,0.0823±0.0013,0.2732±0.0573,0.2947±0.0318,0.3737±0.0367,0.4175±0.0217,0.9709±0.0090,0.9324±0.0166,0.8631±0.0206,0.7616±0.0333,0.4714±0.0185,0.3634±0.0140,0.2762±0.0032,0.2055±0.0053,0.3821±0.0273,0.2528±0.0138,0.1742±0.0024,0.1215±0.0037,0.6180±0.0108,0.6477±0.0038,0.6656±0.0043,0.6660±0.0087,0.1046±0.0433,0.0294±0.0062,0.0029±0.0019,0.0000±0.0000
PartialOrder__Subset__None,0.5982±0.0679,0.4953±0.0502,0.3685±0.0179,0.2774±0.0161,0.5171±0.0599,0.3016±0.0067,0.1673±0.0016,0.1143±0.0031,0.6876±0.0116,0.7242±0.0093,0.7351±0.0126,0.7345±0.0163,0.5515±0.0360,0.3962±0.0054,0.2614±0.0022,0.1919±0.0048,0.9062±0.0094,0.8319±0.0102,0.7300±0.0044,0.6178±0.0066,0.4280±0.0422,0.2698±0.0057,0.1576±0.0017,0.1093±0.0030,0.1909±0.0143,0.1547±0.0051,0.1326±0.0026,0.1169±0.0017,0.1562±0.0086,0.1129±0.0041,0.0919±0.0020,0.0798±0.0012,0.2972±0.0584,0.3471±0.0321,0.4255±0.0372,0.4727±0.0188,0.9703±0.0102,0.9047±0.0163,0.8139±0.0154,0.7010±0.0440,0.4724±0.0208,0.3449±0.0120,0.2522±0.0028,0.1923±0.0054,0.3705±0.0287,0.2298±0.0105,0.1532±0.0021,0.1111±0.0035,0.6556±0.0144,0.6928±0.0032,0.7145±0.0062,0.7134±0.0114,0.0893±0.0395,0.0117±0.0083,0.0012±0.0014,0.0000±0.0000
PreOrder__Hamming__2,0.6211±0.0544,0.5992±0.0436,0.5051±0.0257,0.3762±0.0233,0.5746±0.0069,0.4206±0.0071,0.2605±0.0060,0.1498±0.0035,0.6380±0.0077,0.6488±0.0112,0.6603±0.0083,0.6620±0.0136,0.5636±0.0038,0.4688±0.0036,0.3507±0.0049,0.2355±0.0047,0.9144±0.0053,0.8827±0.0084,0.8327±0.0051,0.7340±0.0041,0.4461±0.0040,0.3457±0.0044,0.2316±0.0045,0.1391±0.0033,0.1805±0.0141,0.1587±0.0020,0.1465±0.0054,0.1244±0.0019,0.1559±0.0100,0.1287±0.0036,0.1095±0.0036,0.0890±0.0012,0.2665±0.0404,0.2638±0.0242,0.3279±0.0283,0.3898±0.0262,0.9703±0.0076,0.9478±0.0140,0.9149±0.0080,0.8286±0.0253,0.4724±0.0119,0.4008±0.0125,0.3267±0.0065,0.2343±0.0048,0.3898±0.0176,0.2979±0.0153,0.2198±0.0052,0.1435±0.0036,0.6006±0.0089,0.6138±0.0097,0.6366±0.0109,0.6383±0.0040,0.1122±0.0124,0.0482±0.0086,0.0094±0.0075,0.0000±0.0000
PreOrder__Hamming__None,0.5796±0.0592,0.5210±0.0250,0.4015±0.0244,0.2546±0.0093,0.4685±0.0141,0.3207±0.0055,0.1785±0.0039,0.1101±0.0031,0.6800±0.0096,0.7045±0.0133,0.7206±0.0104,0.7627±0.0162,0.5181±0.0062,0.4126±0.0048,0.2751±0.0049,0.1875±0.0049,0.8973±0.0046,0.8523±0.0088,0.7569±0.0052,0.5890±0.0075,0.3920±0.0082,0.2849±0.0047,0.1677±0.0040,0.1061±0.0031,0.1785±0.0142,0.1599±0.0046,0.1370±0.0019,0.1195±0.0025,0.1441±0.0089,0.1194±0.0039,0.0963±0.0009,0.0807±0.0014,0.3019±0.0501,0.3298±0.0166,0.3990±0.0366,0.5443±0.0391,0.9684±0.0071,0.9213±0.0133,0.8400±0.0119,0.6463±0.0186,0.4456±0.0084,0.3697±0.0128,0.2696±0.0041,0.1889±0.0054,0.3400±0.0099,0.2543±0.0117,0.1667±0.0028,0.1080±0.0034,0.6470±0.0136,0.6779±0.0071,0.7037±0.0070,0.7504±0.0107,0.0735±0.0099,0.0176±0.0072,0.0029±0.0026,0.0000±0.0000
PreOrder__Subset__2,0.5723±0.0550,0.6091±0.0460,0.5162±0.0255,0.3930±0.0340,0.4608±0.0111,0.4358±0.0104,0.2708±0.0049,0.1535±0.0046,0.6432±0.0100,0.6357±0.0094,0.6437±0.0111,0.6452±0.0149,0.4965±0.0085,0.4728±0.0051,0.3560±0.0046,0.2383±0.0063,0.8911±0.0052,0.8851±0.0087,0.8382±0.0049,0.7431±0.0056,0.3753±0.0088,0.3510±0.0061,0.2372±0.0047,0.1414±0.0041,0.1706±0.0122,0.1564±0.0023,0.1454±0.0056,0.1238±0.0034,0.1403±0.0079,0.1289±0.0037,0.1101±0.0035,0.0895±0.0022,0.2948±0.0456,0.2538±0.0262,0.3181±0.0299,0.3738±0.0320,0.9649±0.0106,0.9484±0.0129,0.9164±0.0132,0.8333±0.0232,0.4161±0.0085,0.4002±0.0134,0.3275±0.0066,0.2354±0.0064,0.3163±0.0097,0.3008±0.0167,0.2228±0.0053,0.1453±0.0048,0.6084±0.0110,0.5994±0.0097,0.6179±0.0116,0.6200±0.0070,0.0805±0.0125,0.0535±0.0102,0.0106±0.0078,0.0000±0.0000
PreOrder__Subset__None,0.5784±0.0595,0.5231±0.0260,0.4019±0.0225,0.2527±0.0160,0.4629±0.0138,0.3201±0.0060,0.1785±0.0041,0.1111±0.0029,0.6754±0.0090,0.7033±0.0119,0.7185±0.0130,0.7528±0.0135,0.5124±0.0065,0.4118±0.0053,0.2751±0.0052,0.1887±0.0046,0.8955±0.0046,0.8521±0.0090,0.7587±0.0054,0.6009±0.0054,0.3862±0.0079,0.2843±0.0053,0.1676±0.0041,0.1069±0.0029,0.1755±0.0129,0.1591±0.0044,0.1371±0.0019,0.1195±0.0021,0.1413±0.0075,0.1190±0.0038,0.0965±0.0013,0.0811±0.0012,0.3013±0.0510,0.3270±0.0170,0.3993±0.0369,0.5256±0.0365,0.9684±0.0071,0.9219±0.0137,0.8394±0.0099,0.6726±0.0323,0.4392±0.0075,0.3688±0.0134,0.2701±0.0046,0.1910±0.0047,0.3340±0.0090,0.2537±0.0122,0.1673±0.0032,0.1097±0.0030,0.6418±0.0152,0.6764±0.0060,0.7006±0.0082,0.7389±0.0094,0.0682±0.0096,0.0176±0.0072,0.0029±0.0026,0.0000±0.0000
br,0.6403±0.0463,0.5640±0.0360,0.4395±0.0393,0.3382±0.0222,0.5533±0.0167,0.3292±0.0049,0.1980±0.0070,0.1215±0.0014,0.6050±0.0165,0.6059±0.0179,0.6163±0.0189,0.5804±0.0095,0.5475±0.0120,0.3844±0.0089,0.2719±0.0081,0.1900±0.0023,0.9395±0.0026,0.8787±0.0019,0.7879±0.0023,0.6905±0.0052,0.4247±0.0130,0.2600±0.0070,0.1683±0.0062,0.1099±0.0013,0.2302±0.0272,0.1631±0.0055,0.1397±0.0068,0.1165±0.0027,0.2421±0.0184,0.1357±0.0029,0.1096±0.0051,0.0895±0.0024,0.2571±0.0429,0.2799±0.0305,0.3350±0.0498,0.3580±0.0184,0.9988±0.0015,0.9474±0.0084,0.8611±0.0150,0.7712±0.0179,0.5462±0.0104,0.3761±0.0091,0.2601±0.0070,0.1862±0.0040,0.5237±0.0164,0.2798±0.0066,0.1672±0.0045,0.1119±0.0028,0.5712±0.0137,0.5735±0.0175,0.5849±0.0192,0.5555±0.0082,0.0870±0.0129,0.0035±0.0034,0.0000±0.0000,0.0000±0.0000
cc,0.6630±0.0315,0.5833±0.0417,0.4595±0.0462,0.3531±0.0092,0.4825±0.0618,0.3271±0.0068,0.1909±0.0057,0.1254±0.0055,0.5804±0.0116,0.6074±0.0131,0.5908±0.0163,0.5727±0.0159,0.5030±0.0375,0.3896±0.0056,0.2662±0.0053,0.1952±0.0074,0.9311±0.0077,0.8840±0.0030,0.7977±0.0009,0.7076±0.0047,0.3826±0.0428,0.2639±0.0054,0.1637±0.0038,0.1133±0.0046,0.2213±0.0058,0.1635±0.0058,0.1364±0.0054,0.1180±0.0035,0.2419±0.0116,0.1369±0.0040,0.1083±0.0030,0.0908±0.0022,0.2422±0.0196,0.2652±0.0284,0.3225±0.0394,0.3596±0.0250,1.0000±0.0000,0.9548±0.0071,0.8818±0.0114,0.7842±0.0046,0.5109±0.0314,0.3877±0.0063,0.2614±0.0037,0.1934±0.0069,0.4713±0.0502,0.2922±0.0059,0.1704±0.0029,0.1174±0.0044,0.5608±0.0085,0.5761±0.0073,0.5617±0.0053,0.5500±0.0162,0.0652±0.0456,0.0047±0.0030,0.0000±0.0000,0.0000±0.0000
