Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8004±0.0028,0.7341±0.0053,0.6732±0.0079,0.2377±0.0249,0.1724±0.0112,0.1511±0.0095,0.1241±0.0072,0.4082±0.0266,0.3129±0.0106,0.2085±0.0067,0.1458±0.0072,12.3382±0.7881,19.3524±0.4850,24.3159±0.6389,28.9035±0.6343,0.5934±0.0228,0.5237±0.0148,0.4149±0.0116,0.3178±0.0159,0.5429±0.0584,0.4007±0.0277,0.5247±0.0266,0.6528±0.0340,0.0866±0.0061,0.1601±0.0060,0.2272±0.0060,0.2920±0.0073
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9028±0.0057,0.8029±0.0084,0.7443±0.0099,0.6698±0.0053,0.2377±0.0249,0.1782±0.0156,0.1461±0.0061,0.1177±0.0022,0.4082±0.0266,0.3164±0.0160,0.2194±0.0095,0.1407±0.0039,12.3382±0.7881,19.7661±0.6311,23.9000±1.1511,28.8378±0.5167,0.5934±0.0228,0.5330±0.0104,0.4404±0.0151,0.2979±0.0084,0.5429±0.0584,0.3848±0.0205,0.4818±0.0220,0.7063±0.0243,0.0866±0.0061,0.1614±0.0070,0.2158±0.0103,0.2986±0.0055
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.8924±0.0096,0.8035±0.0066,0.7416±0.0037,0.6742±0.0072,0.2340±0.0100,0.1710±0.0154,0.1406±0.0094,0.1230±0.0065,0.3541±0.0578,0.3072±0.0105,0.2075±0.0071,0.1371±0.0041,13.1349±0.8391,19.7539±1.0172,23.8720±0.6932,28.6105±0.4962,0.5152±0.0791,0.5267±0.0118,0.4134±0.0122,0.3018±0.0159,0.7032±0.1896,0.4089±0.0210,0.5218±0.0327,0.6745±0.0230,0.1001±0.0108,0.1626±0.0087,0.2210±0.0081,0.2952±0.0043
clr,nan±nan,nan±nan,nan±nan,nan±nan,0.9192±0.0023,0.8744±0.0039,0.8221±0.0072,0.7691±0.0067,0.2768±0.0177,0.2098±0.0163,0.1650±0.0121,0.1331±0.0072,0.5598±0.0071,0.5364±0.0033,0.4055±0.0118,0.2662±0.0110,10.8388±0.4979,16.3276±0.4233,20.4014±1.4021,23.8903±1.1695,0.6838±0.0047,0.6540±0.0044,0.5592±0.0181,0.4548±0.0127,0.2738±0.0153,0.2321±0.0080,0.3220±0.0268,0.4354±0.0125,0.0704±0.0022,0.1164±0.0031,0.1642±0.0119,0.2133±0.0088
ecc,nan±nan,nan±nan,nan±nan,nan±nan,0.9011±0.0063,0.8467±0.0039,0.7916±0.0099,0.7246±0.0052,0.2655±0.0219,0.1852±0.0109,0.1551±0.0054,0.1302±0.0118,0.5892±0.0092,0.4761±0.0110,0.3286±0.0116,0.1914±0.0052,13.7116±0.9524,16.7329±0.7325,21.0768±1.0021,25.0851±0.8588,0.6860±0.0085,0.6395±0.0097,0.5444±0.0114,0.4147±0.0144,0.2403±0.0229,0.2427±0.0116,0.3225±0.0157,0.5194±0.0376,0.0914±0.0063,0.1223±0.0051,0.1726±0.0097,0.2327±0.0065
