Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.9004±0.0064,0.8920±0.0060,0.8753±0.0087,0.8287±0.0089,0.1193±0.0016,0.1164±0.0019,0.1137±0.0018,0.1120±0.0018,0.5329±0.0037,0.5313±0.0037,0.5263±0.0042,0.5151±0.0041,0.1828±0.0020,0.1812±0.0022,0.1789±0.0024,0.1768±0.0025,0.1522±0.0015,0.1560±0.0021,0.1630±0.0029,0.1846±0.0031,0.1164±0.0014,0.1145±0.0016,0.1122±0.0017,0.1105±0.0018,0.1844±0.0019,0.1844±0.0019,0.1843±0.0023,0.1848±0.0023,0.1062±0.0014,0.1063±0.0014,0.1063±0.0016,0.1070±0.0017,0.9551±0.0044,0.9512±0.0044,0.9432±0.0067,0.9230±0.0078,0.9651±0.0013,0.9626±0.0058,0.9458±0.0056,0.9055±0.0080,0.1938±0.0022,0.1941±0.0023,0.1940±0.0027,0.1949±0.0028,0.1077±0.0014,0.1079±0.0014,0.1079±0.0017,0.1087±0.0017,0.9696±0.0038,0.9670±0.0031,0.9586±0.0033,0.9391±0.0037,0.0045±0.0006,0.0026±0.0007,0.0010±0.0005,0.0002±0.0002
PartialOrder__Hamming__None,0.8971±0.0070,0.8870±0.0067,0.8685±0.0085,0.8188±0.0091,0.1196±0.0016,0.1167±0.0019,0.1140±0.0017,0.1124±0.0018,0.5327±0.0036,0.5307±0.0038,0.5254±0.0042,0.5137±0.0038,0.1832±0.0019,0.1815±0.0023,0.1792±0.0023,0.1772±0.0023,0.1538±0.0014,0.1582±0.0021,0.1661±0.0029,0.1890±0.0030,0.1168±0.0013,0.1148±0.0017,0.1125±0.0017,0.1108±0.0017,0.1844±0.0018,0.1844±0.0019,0.1844±0.0022,0.1849±0.0022,0.1062±0.0014,0.1063±0.0014,0.1064±0.0016,0.1071±0.0016,0.9536±0.0052,0.9486±0.0050,0.9400±0.0066,0.9182±0.0080,0.9638±0.0019,0.9603±0.0055,0.9422±0.0068,0.9017±0.0083,0.1940±0.0022,0.1943±0.0023,0.1943±0.0026,0.1953±0.0027,0.1078±0.0013,0.1080±0.0014,0.1081±0.0016,0.1090±0.0017,0.9691±0.0043,0.9658±0.0033,0.9568±0.0033,0.9365±0.0034,0.0046±0.0006,0.0026±0.0007,0.0010±0.0005,0.0002±0.0002
PartialOrder__Subset__2,0.9004±0.0064,0.8920±0.0061,0.8753±0.0088,0.8287±0.0088,0.1193±0.0016,0.1164±0.0019,0.1137±0.0017,0.1120±0.0018,0.5329±0.0037,0.5313±0.0037,0.5263±0.0042,0.5150±0.0041,0.1828±0.0020,0.1811±0.0022,0.1788±0.0024,0.1768±0.0025,0.1522±0.0015,0.1560±0.0021,0.1630±0.0029,0.1846±0.0031,0.1164±0.0014,0.1145±0.0016,0.1122±0.0017,0.1105±0.0018,0.1844±0.0019,0.1844±0.0019,0.1843±0.0023,0.1848±0.0023,0.1062±0.0014,0.1063±0.0014,0.1063±0.0016,0.1070±0.0017,0.9551±0.0044,0.9511±0.0044,0.9432±0.0067,0.9230±0.0077,0.9651±0.0013,0.9626±0.0058,0.9457±0.0055,0.9057±0.0078,0.1938±0.0022,0.1941±0.0023,0.1940±0.0027,0.1949±0.0028,0.1077±0.0014,0.1079±0.0014,0.1079±0.0016,0.1087±0.0017,0.9696±0.0039,0.9670±0.0031,0.9586±0.0034,0.9390±0.0037,0.0044±0.0006,0.0026±0.0008,0.0009±0.0005,0.0002±0.0002
PartialOrder__Subset__None,0.8970±0.0070,0.8884±0.0061,0.8702±0.0091,0.8207±0.0095,0.1197±0.0015,0.1168±0.0019,0.1140±0.0018,0.1123±0.0018,0.5324±0.0037,0.5307±0.0038,0.5254±0.0041,0.5137±0.0040,0.1833±0.0020,0.1815±0.0023,0.1791±0.0024,0.1771±0.0025,0.1540±0.0015,0.1578±0.0021,0.1656±0.0030,0.1883±0.0032,0.1169±0.0013,0.1148±0.0017,0.1124±0.0017,0.1107±0.0018,0.1845±0.0019,0.1845±0.0019,0.1844±0.0023,0.1850±0.0023,0.1063±0.0014,0.1063±0.0014,0.1064±0.0016,0.1071±0.0017,0.9538±0.0051,0.9496±0.0043,0.9412±0.0069,0.9195±0.0083,0.9646±0.0012,0.9624±0.0057,0.9449±0.0059,0.9041±0.0077,0.1940±0.0022,0.1942±0.0023,0.1942±0.0027,0.1952±0.0028,0.1078±0.0013,0.1080±0.0014,0.1081±0.0017,0.1089±0.0017,0.9685±0.0043,0.9657±0.0030,0.9568±0.0035,0.9365±0.0038,0.0046±0.0004,0.0027±0.0007,0.0009±0.0005,0.0002±0.0001
PreOrder__Hamming__2,0.8622±0.0100,0.8124±0.0114,0.7093±0.0150,0.4578±0.0136,0.1220±0.0015,0.1238±0.0020,0.1264±0.0022,0.1308±0.0026,0.5212±0.0031,0.5112±0.0039,0.4898±0.0048,0.4335±0.0056,0.1820±0.0018,0.1835±0.0022,0.1854±0.0025,0.1862±0.0030,0.1611±0.0021,0.1824±0.0030,0.2268±0.0060,0.3369±0.0060,0.1165±0.0013,0.1179±0.0016,0.1200±0.0019,0.1224±0.0024,0.1822±0.0016,0.1820±0.0019,0.1820±0.0023,0.1822±0.0025,0.1052±0.0013,0.1054±0.0014,0.1060±0.0016,0.1083±0.0018,0.9300±0.0078,0.9060±0.0087,0.8565±0.0090,0.7387±0.0092,0.9328±0.0033,0.9014±0.0085,0.8437±0.0124,0.6661±0.0143,0.1913±0.0020,0.1920±0.0022,0.1936±0.0027,0.1983±0.0033,0.1065±0.0012,0.1071±0.0014,0.1087±0.0017,0.1136±0.0021,0.9443±0.0048,0.9241±0.0055,0.8831±0.0069,0.7802±0.0058,0.0066±0.0008,0.0064±0.0010,0.0057±0.0010,0.0045±0.0008
PreOrder__Hamming__None,0.8579±0.0106,0.8072±0.0113,0.7030±0.0149,0.4628±0.0135,0.1224±0.0016,0.1239±0.0019,0.1261±0.0021,0.1294±0.0025,0.5209±0.0033,0.5110±0.0038,0.4899±0.0045,0.4381±0.0054,0.1825±0.0019,0.1842±0.0021,0.1862±0.0024,0.1871±0.0030,0.1634±0.0022,0.1856±0.0030,0.2313±0.0060,0.3386±0.0056,0.1169±0.0014,0.1184±0.0016,0.1204±0.0018,0.1225±0.0022,0.1824±0.0017,0.1824±0.0018,0.1826±0.0022,0.1839±0.0025,0.1053±0.0013,0.1056±0.0014,0.1064±0.0016,0.1092±0.0018,0.9283±0.0082,0.9043±0.0087,0.8549±0.0090,0.7441±0.0097,0.9334±0.0051,0.9010±0.0083,0.8456±0.0126,0.6847±0.0143,0.1916±0.0020,0.1925±0.0022,0.1946±0.0026,0.2007±0.0033,0.1066±0.0013,0.1075±0.0014,0.1094±0.0016,0.1150±0.0021,0.9436±0.0046,0.9239±0.0056,0.8837±0.0065,0.7903±0.0057,0.0064±0.0008,0.0060±0.0009,0.0047±0.0009,0.0028±0.0008
PreOrder__Subset__2,0.8616±0.0102,0.8120±0.0115,0.7084±0.0152,0.4558±0.0139,0.1220±0.0014,0.1237±0.0020,0.1263±0.0022,0.1307±0.0027,0.5207±0.0031,0.5108±0.0040,0.4891±0.0048,0.4320±0.0057,0.1818±0.0018,0.1833±0.0022,0.1851±0.0026,0.1856±0.0031,0.1610±0.0021,0.1823±0.0030,0.2267±0.0060,0.3367±0.0061,0.1163±0.0012,0.1178±0.0016,0.1198±0.0020,0.1221±0.0025,0.1821±0.0016,0.1819±0.0019,0.1818±0.0023,0.1818±0.0026,0.1052±0.0012,0.1053±0.0014,0.1059±0.0017,0.1081±0.0018,0.9295±0.0080,0.9056±0.0088,0.8557±0.0092,0.7369±0.0092,0.9325±0.0036,0.8995±0.0088,0.8409±0.0116,0.6608±0.0138,0.1912±0.0020,0.1918±0.0023,0.1933±0.0028,0.1977±0.0034,0.1064±0.0012,0.1070±0.0014,0.1086±0.0017,0.1132±0.0022,0.9437±0.0049,0.9233±0.0056,0.8818±0.0069,0.7775±0.0062,0.0065±0.0006,0.0064±0.0010,0.0058±0.0011,0.0046±0.0009
PreOrder__Subset__None,0.8585±0.0097,0.8080±0.0112,0.7044±0.0150,0.4646±0.0137,0.1224±0.0015,0.1237±0.0021,0.1260±0.0022,0.1290±0.0024,0.5207±0.0032,0.5105±0.0038,0.4896±0.0046,0.4377±0.0051,0.1825±0.0019,0.1839±0.0024,0.1860±0.0024,0.1866±0.0029,0.1632±0.0019,0.1852±0.0030,0.2306±0.0060,0.3380±0.0055,0.1170±0.0013,0.1182±0.0018,0.1203±0.0018,0.1221±0.0022,0.1824±0.0016,0.1822±0.0019,0.1824±0.0022,0.1838±0.0024,0.1053±0.0013,0.1055±0.0014,0.1063±0.0016,0.1092±0.0018,0.9287±0.0075,0.9047±0.0086,0.8557±0.0091,0.7454±0.0098,0.9287±0.0033,0.9002±0.0091,0.8471±0.0130,0.6849±0.0129,0.1916±0.0020,0.1923±0.0023,0.1944±0.0027,0.2004±0.0032,0.1066±0.0012,0.1073±0.0014,0.1092±0.0017,0.1148±0.0021,0.9434±0.0050,0.9229±0.0055,0.8831±0.0067,0.7895±0.0058,0.0066±0.0008,0.0060±0.0010,0.0049±0.0010,0.0027±0.0008
br,0.9560±0.0005,0.9438±0.0030,0.9192±0.0049,0.8554±0.0059,0.4771±0.0017,0.4745±0.0036,0.4669±0.0044,0.4234±0.0067,0.4642±0.0018,0.4607±0.0033,0.4514±0.0035,0.4093±0.0061,0.4677±0.0017,0.4642±0.0033,0.4547±0.0037,0.4098±0.0062,0.8957±0.0011,0.8939±0.0012,0.8895±0.0012,0.8712±0.0018,0.4634±0.0018,0.4590±0.0032,0.4475±0.0034,0.3980±0.0063,0.0668±0.0017,0.0797±0.0048,0.1011±0.0062,0.1335±0.0066,0.4421±0.0481,0.3766±0.0351,0.2953±0.0202,0.2048±0.0108,0.0377±0.0009,0.0463±0.0029,0.0629±0.0043,0.1002±0.0053,0.9999±0.0001,0.9991±0.0004,0.9924±0.0060,0.9680±0.0122,0.1011±0.0021,0.1172±0.0063,0.1452±0.0102,0.1797±0.0092,0.5377±0.0327,0.4676±0.0274,0.3882±0.0206,0.2719±0.0137,0.0558±0.0012,0.0670±0.0039,0.0893±0.0070,0.1342±0.0074,0.4517±0.0022,0.4449±0.0032,0.4283±0.0033,0.3672±0.0068
cc,0.9568±0.0020,0.9443±0.0037,0.9194±0.0039,0.8568±0.0046,0.4758±0.0023,0.4755±0.0031,0.4670±0.0037,0.4234±0.0050,0.4628±0.0021,0.4617±0.0030,0.4510±0.0039,0.4086±0.0052,0.4664±0.0020,0.4652±0.0029,0.4545±0.0037,0.4094±0.0051,0.8956±0.0011,0.8941±0.0013,0.8895±0.0016,0.8716±0.0015,0.4621±0.0021,0.4600±0.0030,0.4472±0.0037,0.3975±0.0053,0.0657±0.0052,0.0796±0.0056,0.1012±0.0057,0.1328±0.0059,0.4442±0.0686,0.3811±0.0331,0.2934±0.0237,0.2053±0.0101,0.0370±0.0027,0.0461±0.0034,0.0628±0.0036,0.0993±0.0046,0.9998±0.0000,0.9985±0.0022,0.9947±0.0049,0.9682±0.0111,0.0982±0.0036,0.1164±0.0072,0.1436±0.0060,0.1801±0.0062,0.5346±0.0418,0.4722±0.0247,0.3869±0.0183,0.2741±0.0110,0.0541±0.0019,0.0664±0.0045,0.0882±0.0040,0.1341±0.0050,0.4505±0.0026,0.4460±0.0032,0.4278±0.0038,0.3664±0.0062
