Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.9246±0.0039,0.9127±0.0037,0.8901±0.0046,0.8339±0.0043,0.9890±0.0011,0.9923±0.0013,0.9927±0.0011,0.9895±0.0014,0.9858±0.0013,0.9797±0.0010,0.9670±0.0012,0.9365±0.0017,0.4851±0.0275,0.4279±0.0174,0.3534±0.0107,0.2464±0.0090,0.8117±0.0088,0.7679±0.0062,0.7000±0.0046,0.6174±0.0055,0.9068±0.0076,0.8691±0.0058,0.8028±0.0081,0.6637±0.0086,0.4044±0.0242,0.3440±0.0154,0.2642±0.0116,0.1556±0.0072
PartialOrder__Hamming__None,0.9219±0.0039,0.9085±0.0038,0.8833±0.0045,0.8229±0.0042,0.9884±0.0010,0.9917±0.0011,0.9920±0.0011,0.9882±0.0016,0.9851±0.0012,0.9784±0.0011,0.9644±0.0012,0.9312±0.0017,0.4813±0.0251,0.4251±0.0163,0.3493±0.0104,0.2440±0.0086,0.8097±0.0074,0.7644±0.0060,0.6946±0.0046,0.6112±0.0046,0.9029±0.0074,0.8624±0.0060,0.7907±0.0077,0.6442±0.0085,0.4000±0.0226,0.3382±0.0147,0.2567±0.0108,0.1500±0.0073
PartialOrder__Subset__2,0.9246±0.0039,0.9127±0.0037,0.8901±0.0045,0.8340±0.0043,0.9890±0.0011,0.9923±0.0013,0.9927±0.0011,0.9895±0.0014,0.9858±0.0013,0.9797±0.0010,0.9670±0.0012,0.9365±0.0017,0.4851±0.0276,0.4278±0.0174,0.3532±0.0106,0.2463±0.0090,0.8118±0.0091,0.7680±0.0061,0.6998±0.0045,0.6173±0.0056,0.9068±0.0077,0.8691±0.0057,0.8028±0.0081,0.6637±0.0085,0.4044±0.0247,0.3440±0.0155,0.2640±0.0112,0.1556±0.0070
PartialOrder__Subset__None,0.9215±0.0039,0.9092±0.0037,0.8844±0.0047,0.8245±0.0044,0.9884±0.0013,0.9917±0.0012,0.9921±0.0013,0.9885±0.0015,0.9850±0.0013,0.9786±0.0011,0.9648±0.0013,0.9319±0.0017,0.4819±0.0282,0.4258±0.0167,0.3511±0.0100,0.2443±0.0088,0.8095±0.0088,0.7644±0.0060,0.6955±0.0044,0.6119±0.0051,0.9026±0.0079,0.8639±0.0060,0.7933±0.0082,0.6465±0.0087,0.4002±0.0253,0.3388±0.0154,0.2586±0.0107,0.1504±0.0073
PreOrder__Hamming__2,0.9073±0.0044,0.8668±0.0049,0.7798±0.0093,0.5511±0.0096,0.9783±0.0016,0.9761±0.0025,0.9684±0.0032,0.9258±0.0061,0.9812±0.0012,0.9691±0.0013,0.9388±0.0023,0.8443±0.0030,0.4497±0.0169,0.4065±0.0135,0.3370±0.0111,0.2435±0.0059,0.7976±0.0058,0.7682±0.0051,0.7222±0.0042,0.6532±0.0032,0.8819±0.0069,0.8089±0.0067,0.6483±0.0129,0.2871±0.0101,0.3467±0.0139,0.3014±0.0130,0.2228±0.0109,0.1065±0.0046
PreOrder__Hamming__None,0.9033±0.0046,0.8606±0.0051,0.7685±0.0093,0.5305±0.0096,0.9777±0.0015,0.9751±0.0026,0.9667±0.0032,0.9203±0.0067,0.9802±0.0013,0.9671±0.0014,0.9337±0.0023,0.8278±0.0036,0.4462±0.0175,0.4045±0.0133,0.3347±0.0105,0.2421±0.0059,0.7952±0.0056,0.7639±0.0043,0.7133±0.0044,0.6332±0.0031,0.8757±0.0074,0.7991±0.0075,0.6300±0.0126,0.2592±0.0104,0.3405±0.0138,0.2936±0.0132,0.2128±0.0111,0.0934±0.0048
PreOrder__Subset__2,0.9074±0.0044,0.8670±0.0049,0.7802±0.0093,0.5522±0.0097,0.9783±0.0016,0.9762±0.0024,0.9686±0.0032,0.9271±0.0059,0.9813±0.0012,0.9692±0.0013,0.9391±0.0022,0.8452±0.0031,0.4489±0.0161,0.4059±0.0138,0.3365±0.0113,0.2429±0.0060,0.7978±0.0061,0.7684±0.0051,0.7227±0.0043,0.6543±0.0033,0.8819±0.0069,0.8090±0.0068,0.6487±0.0130,0.2879±0.0104,0.3468±0.0131,0.3015±0.0134,0.2235±0.0112,0.1074±0.0048
PreOrder__Subset__None,0.9037±0.0042,0.8609±0.0050,0.7690±0.0092,0.5303±0.0093,0.9774±0.0018,0.9749±0.0026,0.9665±0.0033,0.9210±0.0064,0.9803±0.0012,0.9671±0.0014,0.9335±0.0023,0.8269±0.0035,0.4487±0.0170,0.4051±0.0134,0.3343±0.0109,0.2408±0.0056,0.7958±0.0059,0.7633±0.0050,0.7121±0.0043,0.6314±0.0032,0.8770±0.0069,0.7994±0.0071,0.6301±0.0129,0.2575±0.0100,0.3422±0.0153,0.2940±0.0128,0.2120±0.0108,0.0921±0.0047
