Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PartialOrder__Hamming__None,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PartialOrder__Subset__2,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PartialOrder__Subset__None,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PreOrder__Hamming__2,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PreOrder__Hamming__None,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PreOrder__Subset__2,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
PreOrder__Subset__None,0.7318±0.0099,0.6986±0.0117,0.6701±0.0082,0.6223±0.0091,0.7601±0.0074,0.7251±0.0085,0.6908±0.0071,0.6378±0.0089,0.5910±0.0189,0.5604±0.0205,0.5239±0.0096,0.4759±0.0106,0.6363±0.0168,0.5963±0.0223,0.5477±0.0083,0.4865±0.0110,8.5906±0.1061,9.0575±0.1715,9.4283±0.0977,9.8745±0.2240,0.7044±0.0173,0.6727±0.0170,0.6342±0.0112,0.5926±0.0149,0.2604±0.0446,0.3075±0.0422,0.3745±0.0500,0.4368±0.0516,0.2429±0.0108,0.2799±0.0091,0.3147±0.0091,0.3601±0.0120
br,0.7318±0.0099,0.7045±0.0103,0.6628±0.0096,0.6217±0.0133,0.7601±0.0074,0.7295±0.0093,0.6852±0.0089,0.6348±0.0128,0.5910±0.0189,0.5644±0.0243,0.5203±0.0234,0.4768±0.0174,0.6363±0.0168,0.6002±0.0243,0.5453±0.0273,0.4851±0.0190,8.5906±0.1061,8.9906±0.0865,9.5189±0.1280,10.1038±0.2011,0.7044±0.0173,0.6753±0.0203,0.6291±0.0188,0.5809±0.0123,0.2604±0.0446,0.3019±0.0317,0.3689±0.0444,0.4528±0.0217,0.2429±0.0108,0.2744±0.0133,0.3204±0.0116,0.3741±0.0104
cc,0.7313±0.0085,0.7060±0.0102,0.6742±0.0087,0.6195±0.0103,0.7583±0.0078,0.7304±0.0089,0.6947±0.0097,0.6341±0.0091,0.5882±0.0175,0.5644±0.0220,0.5334±0.0140,0.4705±0.0227,0.6333±0.0174,0.5971±0.0214,0.5557±0.0120,0.4771±0.0202,8.6038±0.1727,9.0189±0.1566,9.4085±0.1460,9.9264±0.2076,0.7000±0.0158,0.6671±0.0230,0.6406±0.0112,0.5775±0.0190,0.2896±0.0268,0.3226±0.0500,0.3660±0.0337,0.4792±0.0212,0.2444±0.0112,0.2762±0.0133,0.3084±0.0095,0.3689±0.0166
