Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.3148±0.0210,0.2752±0.0206,0.2281±0.0147,0.1674±0.0282,0.5969±0.0171,0.5569±0.0187,0.5120±0.0169,0.4567±0.0114,0.6465±0.0154,0.6469±0.0115,0.6444±0.0080,0.6149±0.0149,0.5905±0.0091,0.5695±0.0116,0.5423±0.0123,0.4985±0.0096,0.7049±0.0038,0.6810±0.0079,0.6457±0.0048,0.5973±0.0038,0.4442±0.0099,0.4225±0.0107,0.3943±0.0109,0.3526±0.0079,0.5516±0.0096,0.5411±0.0116,0.5242±0.0165,0.4899±0.0131,0.5436±0.0218,0.5135±0.0203,0.4767±0.0202,0.4336±0.0157,0.5737±0.0133,0.5811±0.0099,0.5889±0.0127,0.5727±0.0110,0.6200±0.0521,0.5667±0.0602,0.4748±0.0480,0.4015±0.0409,0.6072±0.0086,0.5887±0.0111,0.5625±0.0127,0.5202±0.0102,0.5865±0.0175,0.5526±0.0187,0.5089±0.0173,0.4576±0.0123,0.6302±0.0157,0.6305±0.0105,0.6290±0.0081,0.6031±0.0126,0.0132±0.0063,0.0085±0.0035,0.0019±0.0038,0.0000±0.0000
PartialOrder__Hamming__None,0.2683±0.0170,0.2534±0.0090,0.2284±0.0221,0.2032±0.0244,0.5569±0.0178,0.5156±0.0185,0.4754±0.0193,0.4362±0.0122,0.7175±0.0168,0.7216±0.0114,0.7138±0.0096,0.6941±0.0185,0.6001±0.0133,0.5749±0.0145,0.5451±0.0160,0.5104±0.0123,0.6882±0.0082,0.6544±0.0092,0.6122±0.0100,0.5659±0.0069,0.4531±0.0138,0.4266±0.0129,0.3957±0.0151,0.3626±0.0106,0.5790±0.0135,0.5603±0.0169,0.5366±0.0176,0.5059±0.0130,0.5224±0.0220,0.4864±0.0220,0.4512±0.0206,0.4177±0.0137,0.6580±0.0168,0.6669±0.0112,0.6704±0.0134,0.6559±0.0107,0.5564±0.0704,0.5582±0.0494,0.5630±0.0756,0.5105±0.0615,0.6218±0.0112,0.5980±0.0132,0.5686±0.0153,0.5332±0.0123,0.5548±0.0169,0.5169±0.0184,0.4763±0.0188,0.4367±0.0130,0.7080±0.0185,0.7097±0.0083,0.7057±0.0107,0.6846±0.0160,0.0047±0.0060,0.0038±0.0035,0.0000±0.0000,0.0009±0.0019
PartialOrder__Subset__2,0.3137±0.0215,0.2725±0.0201,0.2191±0.0109,0.1595±0.0282,0.5967±0.0164,0.5563±0.0184,0.5083±0.0169,0.4534±0.0099,0.6442±0.0149,0.6440±0.0105,0.6413±0.0096,0.6111±0.0202,0.5892±0.0089,0.5678±0.0117,0.5391±0.0116,0.4948±0.0104,0.7042±0.0045,0.6802±0.0084,0.6432±0.0059,0.5941±0.0054,0.4428±0.0100,0.4208±0.0110,0.3910±0.0098,0.3488±0.0087,0.5504±0.0093,0.5402±0.0120,0.5221±0.0151,0.4871±0.0123,0.5436±0.0208,0.5129±0.0205,0.4746±0.0199,0.4314±0.0137,0.5710±0.0135,0.5793±0.0093,0.5867±0.0108,0.5694±0.0126,0.6196±0.0478,0.5605±0.0663,0.4611±0.0534,0.3907±0.0477,0.6055±0.0086,0.5871±0.0114,0.5593±0.0117,0.5164±0.0106,0.5860±0.0170,0.5517±0.0187,0.5061±0.0170,0.4542±0.0107,0.6271±0.0161,0.6278±0.0102,0.6254±0.0073,0.5986±0.0156,0.0113±0.0048,0.0104±0.0019,0.0019±0.0038,0.0000±0.0000
PartialOrder__Subset__None,0.2664±0.0172,0.2529±0.0099,0.2264±0.0189,0.2057±0.0239,0.5561±0.0177,0.5147±0.0186,0.4750±0.0186,0.4352±0.0126,0.7166±0.0160,0.7196±0.0110,0.7136±0.0092,0.6968±0.0164,0.5994±0.0131,0.5737±0.0148,0.5448±0.0151,0.5104±0.0122,0.6873±0.0079,0.6535±0.0090,0.6117±0.0095,0.5648±0.0069,0.4524±0.0136,0.4253±0.0131,0.3954±0.0139,0.3625±0.0103,0.5788±0.0131,0.5591±0.0167,0.5360±0.0165,0.5069±0.0124,0.5221±0.0222,0.4856±0.0217,0.4507±0.0199,0.4179±0.0134,0.6580±0.0159,0.6648±0.0108,0.6697±0.0134,0.6591±0.0088,0.5540±0.0710,0.5649±0.0536,0.5584±0.0735,0.5085±0.0590,0.6209±0.0109,0.5967±0.0134,0.5682±0.0143,0.5331±0.0117,0.5538±0.0171,0.5160±0.0183,0.4759±0.0182,0.4360±0.0128,0.7072±0.0179,0.7078±0.0084,0.7054±0.0105,0.6863±0.0138,0.0047±0.0060,0.0038±0.0035,0.0000±0.0000,0.0009±0.0019
PreOrder__Hamming__2,0.3783±0.0071,0.3507±0.0084,0.2992±0.0198,0.2418±0.0202,0.6328±0.0191,0.5900±0.0225,0.5415±0.0133,0.4855±0.0080,0.5833±0.0095,0.5749±0.0053,0.5683±0.0148,0.5677±0.0195,0.5786±0.0070,0.5538±0.0098,0.5269±0.0091,0.4954±0.0097,0.7177±0.0042,0.6959±0.0037,0.6661±0.0055,0.6261±0.0064,0.4333±0.0068,0.4075±0.0078,0.3818±0.0071,0.3489±0.0087,0.5226±0.0075,0.5114±0.0119,0.4949±0.0120,0.4766±0.0090,0.5730±0.0263,0.5369±0.0272,0.4944±0.0171,0.4537±0.0136,0.5018±0.0078,0.5034±0.0074,0.5033±0.0113,0.5101±0.0064,0.7581±0.0552,0.6955±0.0776,0.6057±0.0353,0.5000±0.0739,0.5912±0.0057,0.5710±0.0086,0.5446±0.0076,0.5133±0.0100,0.6223±0.0188,0.5842±0.0209,0.5383±0.0131,0.4856±0.0113,0.5636±0.0118,0.5590±0.0088,0.5513±0.0086,0.5446±0.0133,0.0208±0.0064,0.0104±0.0019,0.0038±0.0019,0.0019±0.0023
PreOrder__Hamming__None,0.2577±0.0168,0.2505±0.0127,0.2541±0.0166,0.3257±0.0180,0.5557±0.0211,0.5121±0.0174,0.4688±0.0154,0.4231±0.0084,0.7189±0.0147,0.7319±0.0160,0.7516±0.0145,0.7617±0.0259,0.6009±0.0156,0.5789±0.0126,0.5539±0.0136,0.5207±0.0080,0.6871±0.0065,0.6534±0.0064,0.6063±0.0098,0.5427±0.0053,0.4541±0.0159,0.4314±0.0107,0.4045±0.0127,0.3711±0.0065,0.5813±0.0162,0.5689±0.0142,0.5475±0.0139,0.5198±0.0092,0.5213±0.0253,0.4868±0.0195,0.4487±0.0167,0.4096±0.0103,0.6648±0.0138,0.6907±0.0140,0.7122±0.0088,0.7287±0.0119,0.5519±0.0774,0.5647±0.0360,0.6185±0.0671,0.6670±0.0618,0.6226±0.0121,0.6044±0.0105,0.5792±0.0120,0.5451±0.0076,0.5531±0.0193,0.5154±0.0159,0.4727±0.0152,0.4262±0.0092,0.7130±0.0146,0.7313±0.0148,0.7480±0.0059,0.7568±0.0152,0.0113±0.0048,0.0028±0.0023,0.0009±0.0019,0.0000±0.0000
PreOrder__Subset__2,0.4409±0.0150,0.4025±0.0123,0.3338±0.0188,0.2739±0.0142,0.6529±0.0210,0.6098±0.0233,0.5511±0.0196,0.4937±0.0052,0.5292±0.0088,0.5272±0.0072,0.5233±0.0138,0.5270±0.0165,0.5543±0.0069,0.5352±0.0094,0.5083±0.0109,0.4810±0.0061,0.7161±0.0054,0.6970±0.0021,0.6677±0.0091,0.6321±0.0094,0.4098±0.0061,0.3900±0.0079,0.3657±0.0083,0.3369±0.0050,0.4863±0.0047,0.4832±0.0072,0.4738±0.0108,0.4612±0.0042,0.5811±0.0293,0.5440±0.0254,0.4971±0.0157,0.4591±0.0089,0.4418±0.0057,0.4509±0.0063,0.4609±0.0097,0.4705±0.0056,0.8154±0.0425,0.7520±0.0639,0.6406±0.0201,0.5377±0.0720,0.5625±0.0043,0.5467±0.0079,0.5248±0.0084,0.4981±0.0060,0.6373±0.0212,0.5970±0.0215,0.5447±0.0153,0.4925±0.0067,0.5039±0.0087,0.5047±0.0097,0.5065±0.0075,0.5041±0.0103,0.0208±0.0064,0.0142±0.0000,0.0047±0.0030,0.0009±0.0019
PreOrder__Subset__None,0.2603±0.0186,0.2553±0.0142,0.2498±0.0191,0.3266±0.0214,0.5555±0.0212,0.5111±0.0174,0.4693±0.0157,0.4222±0.0079,0.7189±0.0146,0.7306±0.0145,0.7503±0.0131,0.7617±0.0248,0.6007±0.0155,0.5778±0.0122,0.5540±0.0132,0.5198±0.0072,0.6869±0.0067,0.6524±0.0055,0.6075±0.0095,0.5416±0.0068,0.4537±0.0155,0.4304±0.0103,0.4044±0.0124,0.3703±0.0058,0.5804±0.0160,0.5673±0.0132,0.5480±0.0140,0.5191±0.0081,0.5207±0.0256,0.4855±0.0195,0.4499±0.0175,0.4091±0.0092,0.6638±0.0135,0.6886±0.0107,0.7111±0.0082,0.7279±0.0096,0.5542±0.0699,0.5656±0.0371,0.6169±0.0685,0.6676±0.0663,0.6223±0.0120,0.6031±0.0098,0.5794±0.0116,0.5442±0.0065,0.5528±0.0194,0.5144±0.0161,0.4736±0.0156,0.4254±0.0080,0.7124±0.0143,0.7296±0.0117,0.7464±0.0048,0.7558±0.0142,0.0104±0.0046,0.0028±0.0023,0.0009±0.0019,0.0000±0.0000
br,0.2482±0.0166,0.2029±0.0117,0.1639±0.0227,0.1154±0.0118,0.6015±0.0273,0.5603±0.0259,0.5111±0.0199,0.4553±0.0223,0.5916±0.0208,0.5872±0.0150,0.5755±0.0229,0.5485±0.0180,0.5656±0.0198,0.5442±0.0209,0.5114±0.0171,0.4719±0.0176,0.7086±0.0070,0.6864±0.0072,0.6458±0.0092,0.6064±0.0098,0.4260±0.0174,0.4031±0.0199,0.3693±0.0152,0.3344±0.0138,0.5575±0.0171,0.5459±0.0187,0.5139±0.0185,0.4866±0.0178,0.5627±0.0258,0.5325±0.0255,0.4835±0.0236,0.4491±0.0212,0.5574±0.0154,0.5642±0.0137,0.5546±0.0164,0.5455±0.0207,0.5375±0.0222,0.4396±0.0350,0.3716±0.0513,0.2963±0.0526,0.5963±0.0146,0.5787±0.0169,0.5435±0.0147,0.5076±0.0178,0.5985±0.0215,0.5635±0.0231,0.5099±0.0202,0.4645±0.0235,0.5945±0.0159,0.5951±0.0131,0.5824±0.0167,0.5604±0.0205,0.0255±0.0071,0.0113±0.0057,0.0028±0.0038,0.0009±0.0019
cc,0.2405±0.0253,0.1976±0.0242,0.1585±0.0199,0.1183±0.0228,0.5973±0.0285,0.5565±0.0307,0.5215±0.0180,0.4585±0.0188,0.5925±0.0302,0.5802±0.0206,0.5781±0.0141,0.5545±0.0157,0.5600±0.0264,0.5371±0.0218,0.5176±0.0130,0.4744±0.0132,0.7063±0.0099,0.6849±0.0093,0.6580±0.0087,0.6064±0.0070,0.4208±0.0239,0.3989±0.0188,0.3749±0.0112,0.3340±0.0128,0.5564±0.0225,0.5443±0.0157,0.5249±0.0161,0.4851±0.0139,0.5609±0.0287,0.5320±0.0243,0.5001±0.0185,0.4477±0.0192,0.5575±0.0243,0.5628±0.0165,0.5584±0.0173,0.5424±0.0188,0.5194±0.0389,0.4249±0.0430,0.3839±0.0447,0.2725±0.0617,0.5938±0.0205,0.5765±0.0151,0.5523±0.0122,0.5073±0.0131,0.5950±0.0271,0.5621±0.0243,0.5253±0.0150,0.4645±0.0198,0.5931±0.0215,0.5924±0.0154,0.5824±0.0144,0.5597±0.0178,0.0189±0.0042,0.0094±0.0030,0.0047±0.0030,0.0019±0.0038
clr,0.3662±0.0101,0.3371±0.0151,0.3042±0.0202,0.2608±0.0209,0.6534±0.0262,0.6202±0.0307,0.5774±0.0238,0.5192±0.0240,0.5552±0.0135,0.5554±0.0233,0.5389±0.0176,0.5178±0.0302,0.5688±0.0128,0.5541±0.0163,0.5222±0.0206,0.4856±0.0230,0.7305±0.0040,0.7168±0.0037,0.6893±0.0071,0.6523±0.0076,0.4287±0.0100,0.4155±0.0141,0.3827±0.0185,0.3467±0.0205,0.5393±0.0094,0.5356±0.0133,0.5121±0.0170,0.4807±0.0227,0.6114±0.0281,0.5842±0.0301,0.5372±0.0241,0.4838±0.0261,0.5042±0.0072,0.5091±0.0151,0.4962±0.0124,0.4833±0.0233,0.7580±0.0201,0.6824±0.0278,0.6191±0.0439,0.5491±0.0423,0.5999±0.0074,0.5874±0.0105,0.5557±0.0142,0.5191±0.0174,0.6492±0.0195,0.6225±0.0244,0.5763±0.0183,0.5201±0.0210,0.5580±0.0083,0.5569±0.0169,0.5366±0.0116,0.5185±0.0205,0.0198±0.0063,0.0179±0.0035,0.0113±0.0087,0.0075±0.0038
