Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5272±0.0264,0.4529±0.0612,0.4401±0.0441,0.3106±0.0120,0.6316±0.0277,0.6161±0.0212,0.5579±0.0142,0.5363±0.0186,0.7126±0.0165,0.7089±0.0213,0.6707±0.0323,0.6726±0.0331,0.6447±0.0229,0.6303±0.0212,0.5840±0.0169,0.5669±0.0235,0.6922±0.0195,0.6736±0.0130,0.6240±0.0184,0.5958±0.0234,0.5351±0.0254,0.5145±0.0251,0.4621±0.0162,0.4352±0.0223,0.5153±0.0153,0.5198±0.0224,0.4840±0.0244,0.4931±0.0205,0.4848±0.0195,0.4817±0.0202,0.4459±0.0259,0.4533±0.0142,0.5585±0.0091,0.5848±0.0624,0.5339±0.0317,0.5672±0.0449,0.9907±0.0117,0.9392±0.0380,0.8409±0.0582,0.6269±0.1160,0.6689±0.0247,0.6516±0.0230,0.6098±0.0168,0.5868±0.0198,0.6222±0.0331,0.6017±0.0291,0.5506±0.0154,0.5234±0.0170,0.7239±0.0139,0.7112±0.0228,0.6838±0.0285,0.6678±0.0248,0.1784±0.0358,0.1477±0.0335,0.0883±0.0105,0.0613±0.0144
PartialOrder__Hamming__None,0.5318±0.0123,0.4723±0.0671,0.4529±0.0507,0.3571±0.0183,0.6149±0.0225,0.5920±0.0297,0.5472±0.0077,0.5217±0.0171,0.7522±0.0231,0.7577±0.0288,0.7258±0.0282,0.7093±0.0267,0.6522±0.0208,0.6364±0.0293,0.5998±0.0095,0.5732±0.0169,0.6877±0.0157,0.6616±0.0206,0.6198±0.0157,0.5826±0.0153,0.5407±0.0209,0.5172±0.0321,0.4734±0.0108,0.4391±0.0156,0.5299±0.0097,0.5283±0.0178,0.5066±0.0085,0.4997±0.0144,0.4792±0.0097,0.4677±0.0183,0.4489±0.0140,0.4449±0.0140,0.6003±0.0143,0.6324±0.0611,0.5934±0.0284,0.5992±0.0392,0.9869±0.0112,0.9399±0.0433,0.8038±0.0631,0.6547±0.0756,0.6784±0.0194,0.6583±0.0296,0.6246±0.0111,0.5921±0.0136,0.6086±0.0243,0.5811±0.0327,0.5428±0.0090,0.5105±0.0145,0.7668±0.0175,0.7599±0.0308,0.7363±0.0261,0.7050±0.0188,0.1730±0.0192,0.1333±0.0175,0.0721±0.0114,0.0541±0.0127
PartialOrder__Subset__2,0.5214±0.0338,0.4479±0.0581,0.4315±0.0379,0.3083±0.0116,0.6335±0.0272,0.6130±0.0209,0.5567±0.0117,0.5369±0.0182,0.7113±0.0222,0.7046±0.0281,0.6711±0.0340,0.6748±0.0328,0.6451±0.0235,0.6270±0.0229,0.5826±0.0132,0.5679±0.0230,0.6931±0.0198,0.6712±0.0141,0.6225±0.0148,0.5955±0.0222,0.5362±0.0248,0.5107±0.0261,0.4601±0.0125,0.4361±0.0215,0.5155±0.0186,0.5149±0.0214,0.4844±0.0193,0.4950±0.0195,0.4863±0.0219,0.4783±0.0202,0.4468±0.0213,0.4546±0.0135,0.5570±0.0164,0.5828±0.0667,0.5336±0.0290,0.5703±0.0441,0.9907±0.0117,0.9342±0.0450,0.8371±0.0469,0.6257±0.1082,0.6690±0.0245,0.6484±0.0254,0.6078±0.0140,0.5873±0.0194,0.6238±0.0330,0.5994±0.0290,0.5493±0.0128,0.5230±0.0166,0.7219±0.0161,0.7070±0.0292,0.6811±0.0299,0.6698±0.0248,0.1838±0.0288,0.1441±0.0296,0.0865±0.0122,0.0613±0.0144
PartialOrder__Subset__None,0.5348±0.0131,0.4738±0.0657,0.4502±0.0470,0.3587±0.0157,0.6157±0.0225,0.5892±0.0298,0.5449±0.0088,0.5221±0.0172,0.7537±0.0226,0.7537±0.0308,0.7246±0.0292,0.7108±0.0279,0.6535±0.0191,0.6330±0.0299,0.5978±0.0114,0.5739±0.0173,0.6892±0.0139,0.6583±0.0212,0.6171±0.0169,0.5829±0.0154,0.5424±0.0187,0.5137±0.0316,0.4713±0.0126,0.4400±0.0158,0.5316±0.0079,0.5244±0.0196,0.5052±0.0096,0.4999±0.0142,0.4811±0.0086,0.4647±0.0189,0.4476±0.0158,0.4447±0.0138,0.6023±0.0147,0.6283±0.0652,0.5915±0.0246,0.5995±0.0402,0.9869±0.0112,0.9381±0.0425,0.8019±0.0653,0.6603±0.0700,0.6801±0.0170,0.6548±0.0305,0.6225±0.0124,0.5927±0.0140,0.6100±0.0234,0.5782±0.0326,0.5403±0.0102,0.5108±0.0145,0.7691±0.0156,0.7557±0.0334,0.7348±0.0253,0.7064±0.0195,0.1748±0.0167,0.1333±0.0175,0.0721±0.0114,0.0559±0.0144
PreOrder__Hamming__2,0.4993±0.0349,0.4865±0.0361,0.4309±0.0313,0.2898±0.0392,0.6511±0.0227,0.6439±0.0253,0.5983±0.0216,0.5655±0.0240,0.6623±0.0266,0.6358±0.0168,0.6115±0.0280,0.5811±0.0300,0.6304±0.0159,0.6123±0.0203,0.5770±0.0186,0.5442±0.0234,0.6988±0.0114,0.6868±0.0136,0.6486±0.0194,0.6141±0.0205,0.5187±0.0155,0.5002±0.0222,0.4580±0.0176,0.4146±0.0224,0.5007±0.0095,0.4860±0.0077,0.4636±0.0205,0.4594±0.0100,0.5035±0.0135,0.4958±0.0156,0.4611±0.0210,0.4618±0.0139,0.5097±0.0161,0.4867±0.0050,0.4691±0.0252,0.4698±0.0230,0.9888±0.0108,0.9760±0.0172,0.9166±0.0260,0.7261±0.1155,0.6549±0.0142,0.6346±0.0209,0.5996±0.0203,0.5618±0.0198,0.6458±0.0262,0.6363±0.0291,0.5879±0.0199,0.5489±0.0212,0.6654±0.0204,0.6333±0.0172,0.6124±0.0281,0.5756±0.0220,0.1586±0.0122,0.1477±0.0372,0.1045±0.0092,0.0378±0.0120
PreOrder__Hamming__None,0.5221±0.0110,0.4710±0.0620,0.4538±0.0276,0.3482±0.0320,0.6068±0.0250,0.5962±0.0278,0.5605±0.0212,0.5298±0.0176,0.7483±0.0282,0.7701±0.0123,0.7442±0.0091,0.7393±0.0315,0.6453±0.0205,0.6435±0.0233,0.6131±0.0161,0.5861±0.0187,0.6796±0.0152,0.6685±0.0181,0.6330±0.0161,0.5916±0.0165,0.5327±0.0227,0.5253±0.0267,0.4865±0.0205,0.4467±0.0183,0.5215±0.0085,0.5368±0.0195,0.5154±0.0127,0.5173±0.0133,0.4690±0.0109,0.4732±0.0211,0.4546±0.0209,0.4561±0.0104,0.5936±0.0200,0.6469±0.0687,0.6016±0.0078,0.6638±0.0561,0.9851±0.0096,0.9461±0.0281,0.8497±0.0115,0.6662±0.0787,0.6710±0.0189,0.6671±0.0239,0.6373±0.0178,0.6048±0.0163,0.6008±0.0243,0.5869±0.0305,0.5544±0.0245,0.5178±0.0152,0.7609±0.0256,0.7735±0.0169,0.7503±0.0174,0.7276±0.0274,0.1586±0.0252,0.1225±0.0315,0.0847±0.0310,0.0378±0.0067
PreOrder__Subset__2,0.5383±0.0167,0.4828±0.0598,0.3660±0.0760,0.2818±0.0402,0.6611±0.0249,0.6403±0.0202,0.5960±0.0227,0.5828±0.0105,0.6019±0.0350,0.5529±0.0132,0.5434±0.0321,0.5394±0.0245,0.6013±0.0217,0.5640±0.0083,0.5410±0.0223,0.5286±0.0138,0.6892±0.0179,0.6664±0.0102,0.6375±0.0205,0.6153±0.0200,0.4868±0.0248,0.4488±0.0076,0.4203±0.0189,0.4025±0.0168,0.4673±0.0171,0.4443±0.0115,0.4456±0.0320,0.4471±0.0171,0.5066±0.0094,0.4846±0.0089,0.4673±0.0278,0.4699±0.0074,0.4517±0.0223,0.4202±0.0164,0.4521±0.0818,0.4684±0.0692,0.9870±0.0094,0.9648±0.0168,0.8384±0.1759,0.6671±0.1848,0.6218±0.0222,0.5865±0.0117,0.5627±0.0190,0.5425±0.0143,0.6522±0.0233,0.6281±0.0250,0.5847±0.0180,0.5554±0.0116,0.5952±0.0329,0.5506±0.0112,0.5426±0.0239,0.5308±0.0225,0.1315±0.0288,0.1099±0.0251,0.0721±0.0099,0.0450±0.0171
PreOrder__Subset__None,0.5219±0.0055,0.4791±0.0623,0.4653±0.0244,0.3486±0.0302,0.6103±0.0282,0.5956±0.0293,0.5592±0.0230,0.5314±0.0149,0.7513±0.0274,0.7711±0.0134,0.7439±0.0131,0.7369±0.0264,0.6486±0.0228,0.6434±0.0254,0.6127±0.0177,0.5867±0.0149,0.6829±0.0165,0.6673±0.0208,0.6321±0.0164,0.5925±0.0132,0.5366±0.0244,0.5247±0.0283,0.4854±0.0204,0.4480±0.0146,0.5245±0.0100,0.5360±0.0207,0.5139±0.0128,0.5151±0.0052,0.4723±0.0134,0.4720±0.0224,0.4531±0.0207,0.4555±0.0081,0.5964±0.0190,0.6468±0.0669,0.6002±0.0140,0.6552±0.0526,0.9851±0.0096,0.9457±0.0245,0.8459±0.0157,0.6717±0.0648,0.6741±0.0204,0.6662±0.0269,0.6369±0.0182,0.6042±0.0111,0.6040±0.0271,0.5856±0.0326,0.5536±0.0256,0.5187±0.0127,0.7636±0.0240,0.7733±0.0185,0.7511±0.0183,0.7241±0.0202,0.1622±0.0248,0.1225±0.0283,0.0847±0.0294,0.0360±0.0127
br,0.3833±0.0249,0.3140±0.0234,0.2601±0.0553,0.2398±0.0355,0.6144±0.0283,0.5831±0.0175,0.5477±0.0261,0.4959±0.0506,0.6245±0.0060,0.5840±0.0142,0.5853±0.0297,0.5256±0.0399,0.5815±0.0126,0.5455±0.0151,0.5295±0.0206,0.4760±0.0403,0.6619±0.0050,0.6387±0.0068,0.6144±0.0183,0.5742±0.0265,0.4648±0.0121,0.4279±0.0154,0.4105±0.0182,0.3604±0.0346,0.4809±0.0119,0.4764±0.0124,0.4706±0.0170,0.4432±0.0320,0.4762±0.0161,0.4789±0.0157,0.4659±0.0032,0.4517±0.0366,0.4894±0.0152,0.4819±0.0188,0.4934±0.0496,0.4464±0.0345,0.9814±0.0059,0.8282±0.1298,0.7184±0.1975,0.6652±0.0514,0.6117±0.0134,0.5803±0.0153,0.5644±0.0180,0.5203±0.0355,0.6042±0.0254,0.5796±0.0244,0.5491±0.0192,0.5048±0.0432,0.6201±0.0119,0.5816±0.0123,0.5818±0.0306,0.5375±0.0313,0.1081±0.0189,0.0757±0.0167,0.0631±0.0171,0.0342±0.0209
cc,0.3718±0.0304,0.3224±0.0388,0.2682±0.0660,0.2167±0.0464,0.6041±0.0414,0.5884±0.0226,0.5368±0.0232,0.5142±0.0386,0.6219±0.0088,0.6141±0.0279,0.5634±0.0112,0.5436±0.0393,0.5832±0.0239,0.5673±0.0207,0.5147±0.0142,0.4934±0.0369,0.6658±0.0160,0.6529±0.0188,0.6006±0.0050,0.5841±0.0186,0.4799±0.0243,0.4574±0.0242,0.3960±0.0133,0.3753±0.0278,0.4865±0.0206,0.4943±0.0318,0.4570±0.0084,0.4489±0.0227,0.4807±0.0288,0.4881±0.0277,0.4558±0.0106,0.4524±0.0253,0.4974±0.0135,0.5076±0.0416,0.4868±0.0397,0.4639±0.0342,0.9796±0.0070,0.8167±0.1381,0.6940±0.1596,0.6997±0.1373,0.6164±0.0250,0.6028±0.0178,0.5496±0.0103,0.5322±0.0353,0.6084±0.0373,0.5935±0.0230,0.5339±0.0225,0.5146±0.0360,0.6253±0.0132,0.6128±0.0192,0.5674±0.0162,0.5518±0.0411,0.1586±0.0210,0.1207±0.0271,0.0523±0.0216,0.0432±0.0120
