Dataset,BaseLearner,PredictionType,Algorithm,Metric,Noise,Value
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,f1,0.0,0.1836±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,f1,0.0,0.1835±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,f1,0.0,0.1836±0.0024
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,f1,0.0,0.1834±0.0017
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,f1,0.0,0.1838±0.0019
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,f1,0.0,0.1829±0.0017
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,f1,0.0,0.1836±0.0019
chestxray_densenet,LGBM,BinaryVector,br,f1,0.0,0.3984±0.0058
chestxray_densenet,LGBM,BinaryVector,cc,f1,0.0,0.4034±0.0055
chestxray_densenet,LGBM,BinaryVector,clr,f1,0.0,0.4515±0.0101
chestxray_densenet,LGBM,BinaryVector,ecc,f1,0.0,0.4395±0.0054
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__2,f1,0.1,0.1791±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Hamming__None,f1,0.1,0.1791±0.0024
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__2,f1,0.1,0.1791±0.0025
chestxray_densenet,LGBM,BinaryVector,PartialOrder__Subset__None,f1,0.1,0.1791±0.0024
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__2,f1,0.1,0.1815±0.0027
chestxray_densenet,LGBM,BinaryVector,PreOrder__Hamming__None,f1,0.1,0.1815±0.0027
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__2,f1,0.1,0.1814±0.0026
chestxray_densenet,LGBM,BinaryVector,PreOrder__Subset__None,f1,0.1,0.1814±0.0027
chestxray_densenet,LGBM,BinaryVector,br,f1,0.1,0.3159±0.0046
