Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7674365197908887,0.006496800344647886
RF,CLR,subset0_1,0.07824495892457058,0.02548600015244197
RF,CLR,f1,0.07824495892457058,0.02548600015244197
XGBoost,CLR,hamming_accuracy,0.8066383495145633,0.011303025152587106
XGBoost,CLR,subset0_1,0.31754667662434655,0.05194206353669625
XGBoost,CLR,f1,0.32787652476972867,0.05312799945490305
ETC,CLR,hamming_accuracy,0.7617503734129947,0.008281746315195073
ETC,CLR,subset0_1,0.05666168782673637,0.03249330884309925
ETC,CLR,f1,0.05666168782673637,0.03249330884309925
LightGBM,CLR,hamming_accuracy,0.7971919342793129,0.015319657674770821
LightGBM,CLR,subset0_1,0.2624383868558626,0.050901850148153134
LightGBM,CLR,f1,0.26906086631814785,0.050511340592253554
