Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7548170276325616,0.0048077285612444474
RF,CLR,subset0_1,0.026997759522031366,0.015441248171250508
RF,CLR,f1,0.026997759522031366,0.015441248171250508
XGBoost,CLR,hamming_accuracy,0.7923543689320389,0.018611787581712703
XGBoost,CLR,subset0_1,0.2041448842419716,0.0597708534800443
XGBoost,CLR,f1,0.20543938262384864,0.05876139583008541
ETC,CLR,hamming_accuracy,0.7490291262135922,0.0036077618777730414
ETC,CLR,subset0_1,0.0038461538461538464,0.007692307692307693
ETC,CLR,f1,0.0038461538461538464,0.007692307692307693
LightGBM,CLR,hamming_accuracy,0.7682832337565347,0.006533220246551318
LightGBM,CLR,subset0_1,0.10595593726661688,0.013470715285503499
LightGBM,CLR,f1,0.10595593726661688,0.013470715285503499
