Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7663657580283794,0.0113393157377633
RF,CLR,subset0_1,0.07588498879761016,0.04853572003293162
RF,CLR,f1,0.07614139905402041,0.049012295186973684
XGBoost,CLR,hamming_accuracy,0.7870799103808812,0.015185748890565318
XGBoost,CLR,subset0_1,0.2855265123226288,0.05141335621815013
XGBoost,CLR,f1,0.3147709733632064,0.056718065529715915
ETC,CLR,hamming_accuracy,0.7609662061239731,0.009875470650887182
ETC,CLR,subset0_1,0.051594473487677366,0.04030179626561633
ETC,CLR,f1,0.051594473487677366,0.04030179626561633
LightGBM,CLR,hamming_accuracy,0.7883308439133683,0.012551635035908143
LightGBM,CLR,subset0_1,0.26047423450336077,0.04807905837177552
LightGBM,CLR,f1,0.2853464027881504,0.04805849811992758
