Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6311±0.0793,0.5903±0.0606,0.4743±0.0451,0.3172±0.0250,0.6129±0.0088,0.4264±0.0132,0.2404±0.0111,0.1260±0.0040,0.6372±0.0103,0.6517±0.0102,0.6748±0.0156,0.6971±0.0187,0.5784±0.0048,0.4602±0.0083,0.3188±0.0098,0.2045±0.0054,0.8989±0.0086,0.8649±0.0127,0.7837±0.0137,0.6520±0.0119,0.4665±0.0050,0.3383±0.0089,0.2083±0.0084,0.1187±0.0036,0.1588±0.0111,0.1457±0.0048,0.1296±0.0042,0.1149±0.0032,0.1336±0.0069,0.1141±0.0055,0.0935±0.0030,0.0793±0.0020,0.2602±0.0651,0.2758±0.0461,0.3339±0.0398,0.4332±0.0420,0.9502±0.0137,0.9339±0.0186,0.8678±0.0219,0.7426±0.0287,0.4325±0.0200,0.3698±0.0182,0.2770±0.0106,0.1994±0.0058,0.3384±0.0255,0.2644±0.0207,0.1763±0.0090,0.1169±0.0040,0.6021±0.0148,0.6190±0.0135,0.6487±0.0147,0.6794±0.0151,0.1375±0.0151,0.0367±0.0097,0.0023±0.0026,0.0000±0.0000
PartialOrder__Hamming__None,0.6234±0.0768,0.5824±0.0599,0.4535±0.0423,0.3007±0.0229,0.6057±0.0089,0.4057±0.0123,0.2208±0.0106,0.1194±0.0035,0.6536±0.0093,0.6675±0.0094,0.6942±0.0146,0.7139±0.0189,0.5839±0.0061,0.4543±0.0086,0.3075±0.0097,0.1973±0.0051,0.8993±0.0085,0.8618±0.0125,0.7741±0.0136,0.6342±0.0115,0.4706±0.0067,0.3304±0.0093,0.1974±0.0083,0.1134±0.0033,0.1624±0.0095,0.1475±0.0045,0.1306±0.0040,0.1152±0.0033,0.1347±0.0058,0.1136±0.0054,0.0927±0.0029,0.0787±0.0019,0.2705±0.0627,0.2844±0.0455,0.3546±0.0389,0.4540±0.0414,0.9512±0.0136,0.9327±0.0181,0.8639±0.0212,0.7249±0.0240,0.4409±0.0202,0.3711±0.0177,0.2746±0.0104,0.1957±0.0056,0.3427±0.0253,0.2625±0.0197,0.1729±0.0086,0.1138±0.0037,0.6210±0.0144,0.6367±0.0131,0.6694±0.0127,0.6978±0.0161,0.1322±0.0123,0.0282±0.0095,0.0011±0.0016,0.0000±0.0000
PartialOrder__Subset__2,0.6311±0.0791,0.5901±0.0605,0.4744±0.0451,0.3167±0.0260,0.6130±0.0085,0.4257±0.0133,0.2394±0.0112,0.1252±0.0040,0.6363±0.0099,0.6498±0.0105,0.6735±0.0153,0.6945±0.0183,0.5782±0.0046,0.4592±0.0085,0.3179±0.0100,0.2034±0.0054,0.8989±0.0086,0.8646±0.0127,0.7833±0.0138,0.6512±0.0118,0.4665±0.0049,0.3374±0.0089,0.2077±0.0085,0.1180±0.0035,0.1587±0.0110,0.1456±0.0048,0.1292±0.0043,0.1147±0.0032,0.1336±0.0068,0.1141±0.0054,0.0933±0.0031,0.0792±0.0020,0.2600±0.0649,0.2755±0.0461,0.3330±0.0404,0.4310±0.0419,0.9502±0.0137,0.9337±0.0186,0.8680±0.0211,0.7421±0.0287,0.4321±0.0198,0.3688±0.0181,0.2763±0.0107,0.1986±0.0058,0.3381±0.0253,0.2637±0.0206,0.1758±0.0091,0.1164±0.0040,0.6012±0.0147,0.6174±0.0134,0.6475±0.0148,0.6776±0.0152,0.1381±0.0145,0.0364±0.0096,0.0025±0.0030,0.0000±0.0000
PartialOrder__Subset__None,0.6228±0.0768,0.5822±0.0603,0.4546±0.0415,0.3013±0.0258,0.6048±0.0090,0.4055±0.0124,0.2200±0.0106,0.1190±0.0036,0.6520±0.0089,0.6668±0.0099,0.6936±0.0138,0.7128±0.0184,0.5829±0.0062,0.4539±0.0089,0.3066±0.0099,0.1968±0.0052,0.8989±0.0085,0.8616±0.0125,0.7734±0.0136,0.6335±0.0118,0.4695±0.0068,0.3301±0.0094,0.1967±0.0083,0.1131±0.0034,0.1623±0.0094,0.1474±0.0047,0.1302±0.0039,0.1151±0.0032,0.1347±0.0059,0.1136±0.0054,0.0925±0.0028,0.0786±0.0019,0.2709±0.0627,0.2847±0.0465,0.3530±0.0386,0.4531±0.0423,0.9513±0.0149,0.9324±0.0183,0.8627±0.0210,0.7233±0.0251,0.4397±0.0200,0.3706±0.0177,0.2739±0.0105,0.1952±0.0056,0.3415±0.0250,0.2621±0.0196,0.1723±0.0086,0.1135±0.0038,0.6198±0.0142,0.6362±0.0131,0.6689±0.0125,0.6969±0.0156,0.1310±0.0127,0.0279±0.0095,0.0009±0.0016,0.0000±0.0000
PreOrder__Hamming__2,0.6505±0.0724,0.6377±0.0558,0.6027±0.0401,0.5037±0.0398,0.6409±0.0105,0.5115±0.0070,0.3842±0.0122,0.2232±0.0098,0.5998±0.0084,0.6070±0.0101,0.6049±0.0132,0.6275±0.0147,0.5707±0.0044,0.4982±0.0056,0.4132±0.0100,0.3010±0.0078,0.9019±0.0084,0.8904±0.0106,0.8628±0.0058,0.7909±0.0056,0.4586±0.0046,0.3789±0.0056,0.2967±0.0101,0.1946±0.0065,0.1510±0.0111,0.1484±0.0064,0.1377±0.0046,0.1236±0.0041,0.1337±0.0082,0.1266±0.0069,0.1102±0.0031,0.0908±0.0026,0.2382±0.0567,0.2416±0.0419,0.2536±0.0306,0.3015±0.0343,0.9546±0.0163,0.9504±0.0142,0.9338±0.0114,0.8801±0.0136,0.4241±0.0197,0.4017±0.0211,0.3505±0.0095,0.2701±0.0059,0.3409±0.0276,0.3098±0.0265,0.2512±0.0093,0.1737±0.0044,0.5644±0.0129,0.5745±0.0100,0.5803±0.0098,0.6067±0.0128,0.1293±0.0107,0.0653±0.0091,0.0213±0.0060,0.0006±0.0012
PreOrder__Hamming__None,0.6359±0.0660,0.6149±0.0535,0.5343±0.0403,0.3665±0.0241,0.6182±0.0136,0.4546±0.0075,0.2914±0.0086,0.1432±0.0038,0.6332±0.0063,0.6461±0.0079,0.6673±0.0129,0.7095±0.0164,0.5801±0.0088,0.4840±0.0060,0.3680±0.0085,0.2287±0.0050,0.9011±0.0090,0.8821±0.0101,0.8317±0.0059,0.6932±0.0059,0.4667±0.0087,0.3603±0.0066,0.2506±0.0079,0.1351±0.0034,0.1591±0.0076,0.1522±0.0055,0.1401±0.0045,0.1206±0.0035,0.1360±0.0077,0.1230±0.0063,0.1034±0.0030,0.0830±0.0023,0.2573±0.0515,0.2632±0.0406,0.3084±0.0319,0.4052±0.0316,0.9555±0.0158,0.9443±0.0155,0.9137±0.0139,0.7954±0.0179,0.4383±0.0229,0.4014±0.0192,0.3285±0.0082,0.2236±0.0048,0.3455±0.0292,0.2980±0.0221,0.2204±0.0071,0.1333±0.0032,0.6024±0.0084,0.6173±0.0090,0.6455±0.0106,0.6931±0.0140,0.1281±0.0055,0.0444±0.0089,0.0072±0.0046,0.0000±0.0000
PreOrder__Subset__2,0.6615±0.0744,0.6428±0.0564,0.6090±0.0397,0.5120±0.0387,0.6443±0.0089,0.5210±0.0077,0.3912±0.0131,0.2276±0.0105,0.5890±0.0101,0.5969±0.0095,0.5934±0.0129,0.6153±0.0152,0.5649±0.0042,0.4983±0.0061,0.4137±0.0100,0.3026±0.0083,0.9017±0.0086,0.8911±0.0105,0.8642±0.0058,0.7942±0.0058,0.4524±0.0039,0.3800±0.0060,0.2979±0.0102,0.1965±0.0070,0.1462±0.0114,0.1464±0.0060,0.1361±0.0046,0.1224±0.0044,0.1309±0.0086,0.1263±0.0065,0.1100±0.0032,0.0907±0.0028,0.2248±0.0592,0.2354±0.0408,0.2468±0.0304,0.2930±0.0330,0.9546±0.0163,0.9510±0.0142,0.9344±0.0108,0.8815±0.0131,0.4179±0.0206,0.3988±0.0208,0.3483±0.0095,0.2694±0.0061,0.3377±0.0285,0.3096±0.0266,0.2511±0.0095,0.1742±0.0047,0.5513±0.0137,0.5635±0.0109,0.5686±0.0100,0.5953±0.0128,0.1246±0.0103,0.0691±0.0085,0.0235±0.0068,0.0008±0.0013
PreOrder__Subset__None,0.6336±0.0689,0.6145±0.0538,0.5361±0.0395,0.3725±0.0271,0.6196±0.0124,0.4538±0.0077,0.2907±0.0087,0.1433±0.0040,0.6341±0.0063,0.6451±0.0077,0.6657±0.0125,0.7041±0.0166,0.5816±0.0071,0.4832±0.0064,0.3671±0.0084,0.2288±0.0053,0.9015±0.0086,0.8817±0.0101,0.8318±0.0058,0.6980±0.0063,0.4685±0.0073,0.3596±0.0069,0.2499±0.0078,0.1351±0.0036,0.1599±0.0082,0.1520±0.0056,0.1396±0.0042,0.1207±0.0035,0.1367±0.0077,0.1228±0.0064,0.1032±0.0028,0.0833±0.0023,0.2596±0.0550,0.2633±0.0408,0.3065±0.0310,0.3979±0.0316,0.9543±0.0173,0.9437±0.0147,0.9137±0.0139,0.8034±0.0198,0.4393±0.0218,0.4003±0.0192,0.3281±0.0079,0.2250±0.0051,0.3466±0.0281,0.2970±0.0220,0.2202±0.0069,0.1345±0.0034,0.6028±0.0087,0.6166±0.0091,0.6440±0.0102,0.6877±0.0138,0.1298±0.0080,0.0444±0.0093,0.0068±0.0049,0.0000±0.0000
br,0.7605±0.0435,0.7261±0.0408,0.6812±0.0326,0.5976±0.0363,0.6859±0.0182,0.5918±0.0188,0.4908±0.0180,0.3236±0.0142,0.5034±0.0094,0.4990±0.0131,0.4960±0.0145,0.4895±0.0176,0.5490±0.0097,0.4898±0.0122,0.4282±0.0130,0.3259±0.0116,0.9537±0.0010,0.9347±0.0024,0.9051±0.0026,0.8495±0.0047,0.4381±0.0082,0.3742±0.0112,0.3141±0.0115,0.2202±0.0100,0.1847±0.0324,0.1571±0.0151,0.1388±0.0054,0.1221±0.0045,0.2871±0.0500,0.1706±0.0138,0.1302±0.0049,0.1021±0.0031,0.1552±0.0262,0.1728±0.0258,0.1915±0.0199,0.2271±0.0227,1.0000±0.0000,0.9930±0.0031,0.9693±0.0053,0.9245±0.0119,0.5702±0.0076,0.4826±0.0125,0.3905±0.0086,0.2858±0.0072,0.6991±0.0116,0.4880±0.0160,0.3307±0.0087,0.2050±0.0060,0.4816±0.0102,0.4777±0.0132,0.4771±0.0115,0.4724±0.0136,0.1246±0.0104,0.0759±0.0133,0.0434±0.0106,0.0098±0.0059
cc,0.7536±0.0413,0.7219±0.0369,0.6862±0.0314,0.6139±0.0322,0.6936±0.0077,0.5855±0.0144,0.4990±0.0141,0.3534±0.0141,0.5220±0.0121,0.5028±0.0165,0.4815±0.0171,0.4747±0.0200,0.5648±0.0105,0.4878±0.0124,0.4211±0.0136,0.3375±0.0143,0.9530±0.0009,0.9313±0.0020,0.9009±0.0040,0.8533±0.0053,0.4519±0.0111,0.3723±0.0118,0.3116±0.0122,0.2349±0.0126,0.1897±0.0261,0.1531±0.0100,0.1328±0.0070,0.1184±0.0049,0.2895±0.0304,0.1641±0.0091,0.1257±0.0053,0.1010±0.0043,0.1629±0.0235,0.1753±0.0206,0.1843±0.0198,0.2144±0.0227,1.0000±0.0000,0.9899±0.0032,0.9668±0.0067,0.9265±0.0104,0.5722±0.0103,0.4716±0.0087,0.3739±0.0111,0.2843±0.0101,0.6809±0.0086,0.4632±0.0113,0.3133±0.0114,0.2064±0.0080,0.4937±0.0144,0.4806±0.0116,0.4639±0.0145,0.4571±0.0182,0.1310±0.0205,0.0769±0.0117,0.0531±0.0108,0.0228±0.0094
