Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.1732±0.0106,0.2665±0.0196,0.4563±0.0312,0.6867±0.0298,0.6434±0.0163,0.5728±0.0217,0.4300±0.0172,0.2678±0.0168,0.8684±0.0058,0.9049±0.0121,0.9480±0.0105,0.9698±0.0081,0.6826±0.0134,0.6356±0.0181,0.5325±0.0136,0.3979±0.0157,0.7412±0.0145,0.6808±0.0180,0.5680±0.0186,0.4032±0.0229,0.6266±0.0152,0.5595±0.0196,0.4234±0.0162,0.2662±0.0164,0.5421±0.0146,0.5005±0.0161,0.4374±0.0099,0.3661±0.0091,0.4003±0.0161,0.3496±0.0149,0.2864±0.0087,0.2267±0.0068,0.8642±0.0073,0.9013±0.0122,0.9436±0.0110,0.9673±0.0084,0.2985±0.0197,0.3922±0.0367,0.5359±0.0384,0.7520±0.0288,0.5422±0.0140,0.5008±0.0160,0.4379±0.0098,0.3669±0.0092,0.3972±0.0149,0.3481±0.0145,0.2856±0.0086,0.2265±0.0069,0.8549±0.0058,0.8934±0.0120,0.9392±0.0114,0.9652±0.0088,0.5098±0.0170,0.4026±0.0218,0.2072±0.0216,0.0317±0.0147
PartialOrder__Hamming__None,0.1786±0.0095,0.2757±0.0194,0.4624±0.0305,0.6901±0.0288,0.6410±0.0166,0.5700±0.0215,0.4265±0.0168,0.2649±0.0159,0.8801±0.0051,0.9111±0.0111,0.9511±0.0104,0.9703±0.0081,0.6842±0.0137,0.6355±0.0179,0.5307±0.0134,0.3956±0.0151,0.7406±0.0141,0.6796±0.0177,0.5663±0.0185,0.4009±0.0223,0.6251±0.0151,0.5575±0.0194,0.4204±0.0158,0.2634±0.0155,0.5449±0.0141,0.5013±0.0156,0.4373±0.0100,0.3654±0.0089,0.4003±0.0152,0.3492±0.0144,0.2859±0.0087,0.2261±0.0067,0.8751±0.0050,0.9074±0.0109,0.9468±0.0108,0.9678±0.0083,0.3075±0.0176,0.3933±0.0355,0.5393±0.0386,0.7542±0.0280,0.5449±0.0137,0.5018±0.0155,0.4378±0.0099,0.3661±0.0090,0.3976±0.0145,0.3480±0.0141,0.2852±0.0086,0.2259±0.0068,0.8665±0.0024,0.9002±0.0108,0.9427±0.0111,0.9656±0.0087,0.5006±0.0169,0.3963±0.0214,0.2016±0.0212,0.0283±0.0135
PartialOrder__Subset__2,0.1717±0.0105,0.2657±0.0198,0.4560±0.0316,0.6865±0.0299,0.6428±0.0158,0.5725±0.0216,0.4299±0.0171,0.2676±0.0167,0.8657±0.0043,0.9039±0.0121,0.9476±0.0108,0.9695±0.0079,0.6813±0.0128,0.6351±0.0180,0.5323±0.0135,0.3978±0.0156,0.7397±0.0139,0.6804±0.0179,0.5679±0.0185,0.4030±0.0228,0.6258±0.0147,0.5592±0.0195,0.4233±0.0160,0.2660±0.0162,0.5399±0.0136,0.4999±0.0160,0.4372±0.0098,0.3660±0.0090,0.3984±0.0152,0.3492±0.0148,0.2862±0.0086,0.2266±0.0068,0.8619±0.0063,0.9002±0.0120,0.9432±0.0114,0.9669±0.0082,0.3015±0.0208,0.3917±0.0365,0.5360±0.0385,0.7517±0.0295,0.5399±0.0132,0.5003±0.0159,0.4377±0.0097,0.3667±0.0091,0.3953±0.0142,0.3477±0.0144,0.2855±0.0085,0.2264±0.0069,0.8522±0.0050,0.8924±0.0121,0.9387±0.0117,0.9648±0.0086,0.5102±0.0165,0.4027±0.0217,0.2074±0.0217,0.0317±0.0146
PartialOrder__Subset__None,0.1788±0.0111,0.2759±0.0193,0.4625±0.0308,0.6900±0.0287,0.6405±0.0165,0.5700±0.0215,0.4265±0.0167,0.2649±0.0159,0.8784±0.0058,0.9111±0.0112,0.9512±0.0105,0.9702±0.0081,0.6834±0.0135,0.6355±0.0179,0.5307±0.0133,0.3956±0.0151,0.7396±0.0135,0.6794±0.0176,0.5663±0.0184,0.4008±0.0223,0.6246±0.0149,0.5575±0.0194,0.4204±0.0157,0.2633±0.0155,0.5434±0.0133,0.5012±0.0156,0.4373±0.0098,0.3653±0.0089,0.3990±0.0144,0.3491±0.0144,0.2859±0.0086,0.2260±0.0067,0.8736±0.0046,0.9074±0.0109,0.9469±0.0110,0.9677±0.0083,0.3085±0.0173,0.3936±0.0354,0.5395±0.0397,0.7546±0.0278,0.5435±0.0129,0.5017±0.0156,0.4378±0.0097,0.3660±0.0090,0.3964±0.0138,0.3478±0.0141,0.2852±0.0085,0.2258±0.0068,0.8650±0.0033,0.9002±0.0109,0.9427±0.0112,0.9655±0.0087,0.5006±0.0169,0.3963±0.0214,0.2016±0.0212,0.0283±0.0134
PreOrder__Hamming__2,0.1658±0.0131,0.1701±0.0115,0.1789±0.0264,0.2079±0.0308,0.6528±0.0167,0.6376±0.0192,0.6022±0.0214,0.5101±0.0280,0.8622±0.0088,0.8682±0.0093,0.8837±0.0128,0.8788±0.0140,0.6880±0.0143,0.6794±0.0159,0.6592±0.0173,0.5969±0.0224,0.7499±0.0150,0.7443±0.0165,0.7335±0.0182,0.7036±0.0237,0.6335±0.0155,0.6192±0.0175,0.5854±0.0192,0.4989±0.0262,0.5480±0.0165,0.5444±0.0171,0.5382±0.0174,0.5120±0.0211,0.4090±0.0175,0.4030±0.0184,0.3921±0.0178,0.3644±0.0208,0.8563±0.0114,0.8637±0.0088,0.8768±0.0136,0.8742±0.0141,0.2871±0.0379,0.2843±0.0320,0.2874±0.0355,0.3087±0.0371,0.5482±0.0159,0.5447±0.0169,0.5388±0.0174,0.5119±0.0209,0.4056±0.0164,0.4004±0.0176,0.3909±0.0179,0.3637±0.0209,0.8464±0.0100,0.8530±0.0075,0.8678±0.0127,0.8658±0.0143,0.5177±0.0152,0.4898±0.0201,0.4232±0.0235,0.2749±0.0343
PreOrder__Hamming__None,0.1667±0.0132,0.1728±0.0120,0.2063±0.0229,0.2736±0.0261,0.6492±0.0167,0.6294±0.0191,0.5776±0.0199,0.4489±0.0242,0.8751±0.0087,0.8848±0.0102,0.9012±0.0109,0.9019±0.0125,0.6902±0.0139,0.6798±0.0162,0.6479±0.0163,0.5594±0.0202,0.7488±0.0147,0.7432±0.0159,0.7244±0.0174,0.6730±0.0205,0.6326±0.0146,0.6143±0.0174,0.5642±0.0178,0.4424±0.0233,0.5510±0.0157,0.5485±0.0169,0.5353±0.0164,0.4946±0.0175,0.4084±0.0167,0.4028±0.0172,0.3848±0.0163,0.3428±0.0161,0.8696±0.0090,0.8801±0.0097,0.8946±0.0106,0.8983±0.0123,0.2925±0.0277,0.2906±0.0269,0.3055±0.0288,0.3548±0.0282,0.5514±0.0150,0.5488±0.0168,0.5358±0.0164,0.4946±0.0172,0.4057±0.0158,0.4008±0.0169,0.3840±0.0164,0.3423±0.0159,0.8611±0.0076,0.8713±0.0087,0.8872±0.0105,0.8921±0.0122,0.5089±0.0147,0.4712±0.0198,0.3766±0.0221,0.1754±0.0305
PreOrder__Subset__2,0.1664±0.0131,0.1711±0.0119,0.1784±0.0259,0.2024±0.0302,0.6528±0.0174,0.6363±0.0191,0.6017±0.0213,0.5114±0.0283,0.8595±0.0077,0.8642±0.0102,0.8787±0.0131,0.8737±0.0146,0.6866±0.0147,0.6771±0.0160,0.6571±0.0171,0.5963±0.0227,0.7493±0.0152,0.7432±0.0166,0.7324±0.0185,0.7034±0.0235,0.6320±0.0160,0.6171±0.0175,0.5843±0.0190,0.4998±0.0262,0.5463±0.0165,0.5420±0.0173,0.5357±0.0175,0.5103±0.0210,0.4080±0.0178,0.4015±0.0185,0.3906±0.0180,0.3637±0.0208,0.8526±0.0096,0.8596±0.0092,0.8720±0.0140,0.8692±0.0140,0.2836±0.0360,0.2854±0.0310,0.2864±0.0363,0.3054±0.0354,0.5465±0.0157,0.5423±0.0170,0.5362±0.0174,0.5102±0.0209,0.4046±0.0165,0.3987±0.0177,0.3893±0.0181,0.3630±0.0209,0.8425±0.0078,0.8485±0.0085,0.8624±0.0130,0.8605±0.0141,0.5164±0.0163,0.4885±0.0197,0.4247±0.0229,0.2797±0.0338
PreOrder__Subset__None,0.1660±0.0138,0.1726±0.0122,0.2068±0.0225,0.2749±0.0272,0.6487±0.0168,0.6281±0.0198,0.5771±0.0200,0.4484±0.0249,0.8728±0.0091,0.8834±0.0107,0.9007±0.0114,0.9028±0.0127,0.6892±0.0140,0.6785±0.0167,0.6474±0.0166,0.5592±0.0207,0.7482±0.0148,0.7421±0.0163,0.7235±0.0178,0.6724±0.0209,0.6317±0.0145,0.6129±0.0181,0.5638±0.0179,0.4418±0.0238,0.5497±0.0160,0.5471±0.0174,0.5344±0.0169,0.4943±0.0177,0.4075±0.0168,0.4016±0.0178,0.3840±0.0167,0.3425±0.0163,0.8670±0.0095,0.8788±0.0102,0.8941±0.0107,0.8987±0.0127,0.2920±0.0260,0.2929±0.0266,0.3065±0.0315,0.3546±0.0310,0.5500±0.0154,0.5474±0.0173,0.5349±0.0170,0.4943±0.0174,0.4048±0.0159,0.3995±0.0174,0.3832±0.0168,0.3419±0.0161,0.8584±0.0080,0.8700±0.0092,0.8867±0.0105,0.8926±0.0123,0.5081±0.0143,0.4693±0.0210,0.3766±0.0215,0.1740±0.0310
br,0.3743±0.0174,0.3735±0.0211,0.3706±0.0283,0.3523±0.0328,0.6228±0.0154,0.6161±0.0204,0.6037±0.0275,0.5569±0.0271,0.6075±0.0142,0.6051±0.0191,0.6025±0.0276,0.5949±0.0297,0.6108±0.0141,0.6053±0.0194,0.5965±0.0268,0.5631±0.0273,0.9163±0.0028,0.9135±0.0036,0.9078±0.0043,0.8838±0.0053,0.6021±0.0134,0.5947±0.0190,0.5833±0.0258,0.5390±0.0264,0.7160±0.0120,0.7075±0.0145,0.6937±0.0194,0.6434±0.0205,0.9003±0.0164,0.8815±0.0159,0.8424±0.0171,0.7132±0.0208,0.6122±0.0162,0.6103±0.0202,0.6067±0.0267,0.5968±0.0297,0.6268±0.0352,0.6440±0.0284,0.6405±0.0470,0.5975±0.0678,0.7174±0.0109,0.7094±0.0145,0.6950±0.0187,0.6416±0.0196,0.9064±0.0180,0.8889±0.0184,0.8511±0.0186,0.7162±0.0226,0.5938±0.0127,0.5906±0.0182,0.5878±0.0263,0.5822±0.0302,0.5762±0.0112,0.5630±0.0184,0.5441±0.0235,0.4695±0.0257
cc,0.3551±0.0284,0.3648±0.0238,0.3656±0.0240,0.3559±0.0425,0.6456±0.0238,0.6264±0.0238,0.6064±0.0210,0.5559±0.0316,0.6266±0.0246,0.6146±0.0230,0.6062±0.0215,0.5910±0.0395,0.6322±0.0242,0.6155±0.0229,0.5997±0.0207,0.5605±0.0338,0.9176±0.0044,0.9150±0.0038,0.9075±0.0041,0.8832±0.0053,0.6246±0.0243,0.6057±0.0222,0.5864±0.0202,0.5363±0.0311,0.7281±0.0190,0.7158±0.0175,0.6967±0.0176,0.6420±0.0252,0.8910±0.0109,0.8832±0.0102,0.8395±0.0180,0.7143±0.0193,0.6293±0.0283,0.6188±0.0235,0.6106±0.0228,0.5936±0.0381,0.6131±0.0252,0.6316±0.0428,0.6276±0.0430,0.5670±0.0601,0.7261±0.0180,0.7161±0.0167,0.6957±0.0160,0.6384±0.0252,0.8956±0.0092,0.8894±0.0093,0.8453±0.0187,0.7159±0.0201,0.6109±0.0237,0.5996±0.0219,0.5916±0.0209,0.5775±0.0396,0.6016±0.0246,0.5763±0.0205,0.5473±0.0197,0.4666±0.0240
