Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6570±0.0130,0.6210±0.0217,0.5078±0.0230,0.4083±0.0219,0.6890±0.0063,0.6582±0.0080,0.5733±0.0094,0.4433±0.0095,0.6848±0.0102,0.7164±0.0079,0.7752±0.0089,0.8467±0.0080,0.6637±0.0059,0.6606±0.0046,0.6305±0.0070,0.5561±0.0077,0.8064±0.0049,0.7895±0.0048,0.7300±0.0069,0.5949±0.0102,0.5633±0.0072,0.5538±0.0065,0.5060±0.0083,0.4117±0.0090,0.4323±0.0100,0.4469±0.0118,0.4569±0.0099,0.4439±0.0071,0.5469±0.0218,0.4727±0.0228,0.3916±0.0096,0.3410±0.0067,0.4327±0.0066,0.4716±0.0107,0.5578±0.0153,0.7018±0.0229,1.0000±0.0000,0.9999±0.0005,0.9994±0.0011,0.9891±0.0086,0.6785±0.0068,0.6701±0.0056,0.6320±0.0067,0.5566±0.0072,0.6822±0.0076,0.6374±0.0085,0.5379±0.0089,0.4163±0.0083,0.6751±0.0111,0.7066±0.0103,0.7661±0.0107,0.8401±0.0103,0.2309±0.0199,0.1864±0.0193,0.0987±0.0150,0.0207±0.0078
PartialOrder__Hamming__None,0.6603±0.0109,0.6218±0.0218,0.5096±0.0229,0.4152±0.0212,0.6795±0.0084,0.6500±0.0089,0.5688±0.0097,0.4398±0.0093,0.7099±0.0108,0.7303±0.0083,0.7838±0.0088,0.8505±0.0076,0.6715±0.0066,0.6628±0.0055,0.6311±0.0072,0.5548±0.0078,0.8053±0.0058,0.7871±0.0053,0.7278±0.0071,0.5923±0.0101,0.5702±0.0078,0.5543±0.0076,0.5055±0.0085,0.4096±0.0088,0.4426±0.0090,0.4516±0.0117,0.4587±0.0099,0.4440±0.0075,0.5437±0.0196,0.4700±0.0211,0.3903±0.0094,0.3403±0.0069,0.4538±0.0073,0.4844±0.0108,0.5661±0.0152,0.7058±0.0229,1.0000±0.0000,0.9999±0.0005,0.9996±0.0010,0.9913±0.0076,0.6847±0.0078,0.6717±0.0062,0.6326±0.0069,0.5561±0.0073,0.6715±0.0097,0.6298±0.0089,0.5348±0.0088,0.4148±0.0083,0.6985±0.0118,0.7199±0.0104,0.7744±0.0104,0.8439±0.0100,0.2242±0.0208,0.1740±0.0206,0.0912±0.0142,0.0166±0.0075
PartialOrder__Subset__2,0.6562±0.0128,0.6208±0.0219,0.5077±0.0224,0.4082±0.0215,0.6880±0.0061,0.6581±0.0080,0.5732±0.0098,0.4431±0.0095,0.6849±0.0093,0.7162±0.0081,0.7752±0.0092,0.8469±0.0079,0.6636±0.0057,0.6606±0.0046,0.6304±0.0074,0.5560±0.0078,0.8062±0.0049,0.7895±0.0048,0.7298±0.0071,0.5948±0.0103,0.5632±0.0073,0.5539±0.0064,0.5058±0.0087,0.4115±0.0089,0.4326±0.0099,0.4472±0.0118,0.4568±0.0103,0.4440±0.0070,0.5465±0.0219,0.4732±0.0229,0.3915±0.0100,0.3410±0.0066,0.4332±0.0062,0.4719±0.0105,0.5578±0.0154,0.7023±0.0229,1.0000±0.0000,0.9999±0.0005,0.9991±0.0015,0.9893±0.0086,0.6784±0.0067,0.6701±0.0056,0.6318±0.0072,0.5566±0.0072,0.6815±0.0076,0.6373±0.0085,0.5377±0.0092,0.4162±0.0083,0.6755±0.0107,0.7067±0.0102,0.7661±0.0108,0.8402±0.0102,0.2313±0.0201,0.1871±0.0193,0.0984±0.0155,0.0204±0.0078
PartialOrder__Subset__None,0.6610±0.0104,0.6219±0.0217,0.5095±0.0227,0.4154±0.0212,0.6788±0.0081,0.6499±0.0090,0.5687±0.0098,0.4398±0.0094,0.7093±0.0104,0.7301±0.0084,0.7841±0.0089,0.8511±0.0075,0.6709±0.0062,0.6627±0.0056,0.6312±0.0074,0.5550±0.0079,0.8048±0.0055,0.7870±0.0054,0.7277±0.0073,0.5924±0.0102,0.5695±0.0072,0.5542±0.0076,0.5056±0.0087,0.4096±0.0088,0.4417±0.0089,0.4515±0.0116,0.4588±0.0100,0.4443±0.0075,0.5408±0.0179,0.4699±0.0210,0.3903±0.0094,0.3404±0.0069,0.4532±0.0068,0.4843±0.0106,0.5663±0.0153,0.7065±0.0230,1.0000±0.0000,0.9999±0.0005,0.9992±0.0015,0.9913±0.0076,0.6840±0.0074,0.6717±0.0063,0.6327±0.0072,0.5563±0.0074,0.6707±0.0093,0.6297±0.0090,0.5348±0.0090,0.4149±0.0083,0.6979±0.0113,0.7198±0.0102,0.7747±0.0107,0.8443±0.0099,0.2242±0.0196,0.1738±0.0205,0.0910±0.0143,0.0165±0.0073
PreOrder__Hamming__2,0.7456±0.0120,0.7440±0.0142,0.7299±0.0147,0.6677±0.0230,0.7328±0.0084,0.7258±0.0090,0.7119±0.0083,0.6622±0.0108,0.6002±0.0129,0.5990±0.0125,0.6036±0.0124,0.6210±0.0134,0.6319±0.0076,0.6287±0.0071,0.6263±0.0065,0.6156±0.0073,0.8129±0.0040,0.8097±0.0035,0.8041±0.0039,0.7833±0.0041,0.5295±0.0075,0.5252±0.0087,0.5193±0.0086,0.4994±0.0100,0.3791±0.0081,0.3721±0.0080,0.3722±0.0086,0.3852±0.0127,0.6452±0.0624,0.6138±0.0509,0.5608±0.0344,0.4551±0.0245,0.3516±0.0080,0.3487±0.0098,0.3533±0.0104,0.3802±0.0141,1.0000±0.0000,1.0000±0.0000,0.9995±0.0011,0.9905±0.0071,0.6573±0.0072,0.6528±0.0067,0.6475±0.0070,0.6312±0.0074,0.7376±0.0078,0.7291±0.0081,0.7108±0.0081,0.6508±0.0110,0.5930±0.0132,0.5912±0.0135,0.5947±0.0139,0.6131±0.0147,0.2003±0.0158,0.1902±0.0185,0.1705±0.0236,0.1213±0.0199
PreOrder__Hamming__None,0.6897±0.0141,0.6760±0.0163,0.6326±0.0158,0.5299±0.0292,0.6763±0.0083,0.6591±0.0106,0.6182±0.0102,0.5160±0.0107,0.7002±0.0115,0.7140±0.0111,0.7429±0.0101,0.7874±0.0086,0.6662±0.0051,0.6633±0.0070,0.6518±0.0070,0.6016±0.0079,0.8042±0.0049,0.7966±0.0060,0.7750±0.0063,0.7018±0.0085,0.5633±0.0057,0.5565±0.0082,0.5348±0.0085,0.4624±0.0091,0.4256±0.0092,0.4279±0.0106,0.4384±0.0096,0.4423±0.0092,0.5841±0.0319,0.5303±0.0336,0.4433±0.0141,0.3675±0.0109,0.4380±0.0091,0.4529±0.0089,0.4900±0.0109,0.5691±0.0111,1.0000±0.0000,1.0000±0.0000,0.9997±0.0008,0.9974±0.0035,0.6804±0.0060,0.6767±0.0074,0.6633±0.0074,0.6127±0.0081,0.6724±0.0091,0.6523±0.0107,0.6063±0.0105,0.5049±0.0107,0.6889±0.0115,0.7031±0.0110,0.7325±0.0110,0.7791±0.0098,0.2122±0.0188,0.1782±0.0203,0.1123±0.0134,0.0170±0.0072
PreOrder__Subset__2,0.7758±0.0119,0.7719±0.0132,0.7527±0.0158,0.6806±0.0227,0.7404±0.0067,0.7345±0.0088,0.7194±0.0086,0.6672±0.0102,0.5714±0.0146,0.5728±0.0131,0.5813±0.0128,0.5999±0.0140,0.6163±0.0091,0.6154±0.0083,0.6155±0.0067,0.6063±0.0074,0.8101±0.0044,0.8078±0.0037,0.8028±0.0038,0.7823±0.0042,0.5126±0.0095,0.5099±0.0093,0.5068±0.0086,0.4894±0.0095,0.3604±0.0093,0.3563±0.0081,0.3593±0.0093,0.3752±0.0137,0.6261±0.0679,0.6126±0.0496,0.5591±0.0381,0.4506±0.0234,0.3289±0.0085,0.3280±0.0091,0.3351±0.0105,0.3637±0.0146,1.0000±0.0000,0.9999±0.0004,0.9995±0.0009,0.9898±0.0076,0.6437±0.0084,0.6408±0.0076,0.6375±0.0069,0.6224±0.0075,0.7449±0.0060,0.7376±0.0075,0.7184±0.0083,0.6552±0.0113,0.5669±0.0142,0.5666±0.0133,0.5733±0.0137,0.5932±0.0148,0.1796±0.0146,0.1674±0.0163,0.1534±0.0207,0.1123±0.0179
PreOrder__Subset__None,0.6898±0.0158,0.6764±0.0159,0.6326±0.0154,0.5278±0.0293,0.6773±0.0082,0.6594±0.0106,0.6181±0.0104,0.5162±0.0103,0.6993±0.0121,0.7133±0.0112,0.7417±0.0095,0.7866±0.0093,0.6664±0.0054,0.6632±0.0073,0.6514±0.0070,0.6015±0.0076,0.8047±0.0050,0.7968±0.0061,0.7749±0.0065,0.7019±0.0080,0.5635±0.0059,0.5563±0.0083,0.5345±0.0085,0.4625±0.0088,0.4267±0.0097,0.4276±0.0107,0.4378±0.0095,0.4425±0.0093,0.5870±0.0326,0.5333±0.0317,0.4429±0.0131,0.3679±0.0108,0.4379±0.0094,0.4521±0.0084,0.4891±0.0104,0.5687±0.0115,1.0000±0.0000,1.0000±0.0000,0.9997±0.0008,0.9962±0.0043,0.6808±0.0061,0.6766±0.0077,0.6630±0.0074,0.6125±0.0076,0.6738±0.0089,0.6528±0.0108,0.6064±0.0107,0.5050±0.0102,0.6882±0.0116,0.7023±0.0109,0.7315±0.0105,0.7784±0.0100,0.2127±0.0204,0.1782±0.0192,0.1124±0.0128,0.0172±0.0068
br,0.7799±0.0118,0.7694±0.0134,0.7481±0.0150,0.6793±0.0213,0.7393±0.0078,0.7319±0.0083,0.7158±0.0088,0.6614±0.0105,0.5636±0.0121,0.5627±0.0132,0.5544±0.0139,0.5330±0.0130,0.6093±0.0074,0.6069±0.0084,0.5946±0.0083,0.5595±0.0093,0.8091±0.0040,0.8063±0.0039,0.7986±0.0041,0.7741±0.0062,0.5035±0.0095,0.4991±0.0092,0.4835±0.0091,0.4406±0.0101,0.3626±0.0080,0.3602±0.0086,0.3549±0.0091,0.3576±0.0111,0.6401±0.0548,0.6068±0.0501,0.5421±0.0469,0.4506±0.0187,0.3247±0.0081,0.3251±0.0093,0.3222±0.0094,0.3264±0.0112,1.0000±0.0000,1.0000±0.0000,0.9997±0.0007,0.9929±0.0041,0.6392±0.0077,0.6355±0.0082,0.6227±0.0081,0.5867±0.0092,0.7469±0.0085,0.7381±0.0086,0.7190±0.0102,0.6574±0.0124,0.5589±0.0129,0.5582±0.0136,0.5494±0.0136,0.5299±0.0120,0.1667±0.0175,0.1528±0.0171,0.1271±0.0179,0.0737±0.0139
cc,0.7515±0.0154,0.7705±0.0141,0.7577±0.0156,0.6882±0.0215,0.7275±0.0083,0.7318±0.0094,0.7180±0.0110,0.6674±0.0123,0.5814±0.0182,0.5635±0.0169,0.5555±0.0154,0.5378±0.0144,0.6117±0.0098,0.6037±0.0116,0.5956±0.0098,0.5644±0.0092,0.8082±0.0049,0.8067±0.0047,0.8005±0.0051,0.7773±0.0052,0.5134±0.0102,0.5021±0.0118,0.4883±0.0107,0.4465±0.0102,0.3793±0.0125,0.3599±0.0124,0.3543±0.0117,0.3606±0.0133,0.6016±0.0616,0.6145±0.0565,0.5697±0.0563,0.4578±0.0265,0.3460±0.0121,0.3257±0.0110,0.3217±0.0113,0.3293±0.0130,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9952±0.0040,0.6451±0.0088,0.6359±0.0099,0.6252±0.0098,0.5928±0.0092,0.7330±0.0055,0.7396±0.0096,0.7246±0.0098,0.6638±0.0119,0.5764±0.0161,0.5579±0.0152,0.5501±0.0162,0.5358±0.0144,0.2201±0.0155,0.1871±0.0205,0.1445±0.0175,0.0806±0.0146
clr,0.9204±0.0122,0.8856±0.0123,0.8668±0.0142,0.8316±0.0258,0.7412±0.0116,0.7542±0.0099,0.7479±0.0099,0.7237±0.0126,0.3935±0.0150,0.4605±0.0154,0.4553±0.0152,0.4178±0.0147,0.4938±0.0117,0.5453±0.0120,0.5375±0.0116,0.4995±0.0127,0.7823±0.0057,0.7953±0.0053,0.7931±0.0052,0.7832±0.0041,0.3796±0.0114,0.4335±0.0120,0.4257±0.0125,0.3891±0.0112,0.2188±0.0115,0.2719±0.0107,0.2740±0.0105,0.2660±0.0126,0.6093±0.0784,0.5787±0.0695,0.5793±0.0688,0.5532±0.0668,0.1948±0.0069,0.2391±0.0091,0.2385±0.0096,0.2234±0.0095,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.5274±0.0110,0.5781±0.0117,0.5718±0.0123,0.5394±0.0112,0.7690±0.0101,0.7681±0.0085,0.7651±0.0101,0.7555±0.0117,0.4014±0.0115,0.4637±0.0146,0.4567±0.0162,0.4197±0.0137,0.0550±0.0125,0.0969±0.0139,0.0932±0.0164,0.0727±0.0113
ecc,0.7491±0.0162,0.7810±0.0169,0.7760±0.0148,0.7342±0.0116,0.7316±0.0056,0.7370±0.0082,0.7264±0.0089,0.6965±0.0098,0.5990±0.0169,0.5700±0.0174,0.5651±0.0149,0.5631±0.0142,0.6260±0.0089,0.6110±0.0101,0.6060±0.0095,0.5933±0.0085,0.8126±0.0043,0.8089±0.0043,0.8045±0.0043,0.7924±0.0042,0.5270±0.0100,0.5074±0.0114,0.4985±0.0108,0.4803±0.0100,0.3726±0.0081,0.3513±0.0080,0.3483±0.0083,0.3567±0.0085,0.6421±0.0706,0.6279±0.0581,0.5972±0.0561,0.4995±0.0314,0.3483±0.0109,0.3235±0.0114,0.3211±0.0101,0.3306±0.0091,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9986±0.0018,0.6562±0.0086,0.6409±0.0097,0.6340±0.0092,0.6197±0.0078,0.7376±0.0075,0.7430±0.0098,0.7312±0.0099,0.6954±0.0102,0.5913±0.0173,0.5639±0.0175,0.5599±0.0149,0.5591±0.0142,0.2201±0.0215,0.1827±0.0174,0.1525±0.0187,0.1139±0.0164
