Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8583±0.0048,0.8088±0.0052,0.7403±0.0076,0.2593±0.0202,0.1773±0.0093,0.1471±0.0098,0.1208±0.0082,0.5972±0.0049,0.4454±0.0103,0.2995±0.0101,0.1785±0.0080,14.3961±0.5464,16.9347±0.7092,19.7243±0.7458,23.9409±0.7692,0.7028±0.0053,0.6457±0.0080,0.5776±0.0107,0.4506±0.0133,0.2092±0.0143,0.2363±0.0183,0.2959±0.0228,0.4363±0.0324,0.0939±0.0026,0.1200±0.0049,0.1528±0.0049,0.2113±0.0068
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9136±0.0012,0.8591±0.0041,0.8091±0.0052,0.7396±0.0070,0.2593±0.0202,0.1778±0.0106,0.1514±0.0104,0.1189±0.0086,0.5972±0.0049,0.4444±0.0095,0.2964±0.0086,0.1774±0.0087,14.3961±0.5464,16.8017±0.5178,19.5645±0.6456,24.1954±0.6165,0.7028±0.0053,0.6428±0.0072,0.5752±0.0112,0.4526±0.0123,0.2092±0.0143,0.2404±0.0204,0.2968±0.0198,0.4337±0.0270,0.0939±0.0026,0.1195±0.0040,0.1524±0.0051,0.2146±0.0065
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.9135±0.0038,0.8633±0.0038,0.8098±0.0053,0.7408±0.0090,0.2622±0.0163,0.1753±0.0094,0.1433±0.0077,0.1177±0.0067,0.5946±0.0068,0.4383±0.0115,0.2884±0.0096,0.1746±0.0097,14.5430±0.6457,16.5281±0.7681,19.8373±0.6457,23.8204±0.9316,0.7005±0.0052,0.6429±0.0076,0.5785±0.0096,0.4638±0.0142,0.2145±0.0153,0.2390±0.0224,0.2915±0.0221,0.4114±0.0250,0.0963±0.0043,0.1170±0.0050,0.1538±0.0050,0.2108±0.0096
