Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.6311±0.0793,0.5845±0.0627,0.4721±0.0388,0.3169±0.0264,0.6129±0.0088,0.4284±0.0086,0.2406±0.0095,0.1267±0.0043,0.6372±0.0103,0.6549±0.0129,0.6848±0.0128,0.6987±0.0204,0.5784±0.0048,0.4625±0.0077,0.3214±0.0093,0.2056±0.0062,0.8989±0.0086,0.8658±0.0105,0.7851±0.0122,0.6532±0.0105,0.4665±0.0050,0.3402±0.0082,0.2100±0.0075,0.1196±0.0040,0.1588±0.0111,0.1467±0.0055,0.1308±0.0040,0.1157±0.0027,0.1336±0.0069,0.1146±0.0043,0.0941±0.0031,0.0797±0.0018,0.2602±0.0651,0.2812±0.0529,0.3410±0.0352,0.4269±0.0432,0.9502±0.0137,0.9358±0.0118,0.8737±0.0135,0.7458±0.0293,0.4325±0.0200,0.3722±0.0166,0.2806±0.0105,0.2007±0.0056,0.3384±0.0255,0.2660±0.0177,0.1786±0.0086,0.1177±0.0038,0.6021±0.0148,0.6219±0.0131,0.6562±0.0130,0.6828±0.0163,0.1375±0.0151,0.0375±0.0093,0.0026±0.0029,0.0000±0.0000
PartialOrder__Hamming__None,0.6234±0.0768,0.5763±0.0609,0.4519±0.0369,0.3005±0.0230,0.6057±0.0089,0.4085±0.0081,0.2218±0.0081,0.1202±0.0033,0.6536±0.0093,0.6709±0.0109,0.7024±0.0123,0.7156±0.0195,0.5839±0.0061,0.4571±0.0065,0.3099±0.0084,0.1987±0.0051,0.8993±0.0085,0.8629±0.0102,0.7757±0.0116,0.6358±0.0094,0.4706±0.0067,0.3329±0.0068,0.1989±0.0067,0.1144±0.0031,0.1624±0.0095,0.1488±0.0048,0.1319±0.0037,0.1158±0.0028,0.1347±0.0058,0.1143±0.0040,0.0935±0.0028,0.0790±0.0018,0.2705±0.0627,0.2906±0.0507,0.3605±0.0355,0.4513±0.0459,0.9512±0.0136,0.9347±0.0126,0.8644±0.0134,0.7290±0.0282,0.4409±0.0202,0.3738±0.0156,0.2778±0.0095,0.1971±0.0047,0.3427±0.0253,0.2644±0.0166,0.1749±0.0077,0.1147±0.0031,0.6210±0.0144,0.6399±0.0118,0.6758±0.0120,0.7011±0.0157,0.1322±0.0123,0.0284±0.0067,0.0008±0.0021,0.0000±0.0000
PartialOrder__Subset__2,0.6311±0.0791,0.5842±0.0621,0.4705±0.0386,0.3165±0.0266,0.6130±0.0085,0.4279±0.0086,0.2396±0.0092,0.1262±0.0041,0.6363±0.0099,0.6534±0.0125,0.6833±0.0130,0.6973±0.0209,0.5782±0.0046,0.4618±0.0075,0.3205±0.0093,0.2050±0.0060,0.8989±0.0086,0.8656±0.0106,0.7847±0.0122,0.6527±0.0104,0.4665±0.0049,0.3397±0.0081,0.2092±0.0074,0.1191±0.0038,0.1587±0.0110,0.1466±0.0052,0.1307±0.0042,0.1156±0.0027,0.1336±0.0068,0.1146±0.0042,0.0941±0.0032,0.0797±0.0017,0.2600±0.0649,0.2811±0.0521,0.3419±0.0356,0.4270±0.0434,0.9502±0.0137,0.9356±0.0117,0.8736±0.0134,0.7429±0.0359,0.4321±0.0198,0.3713±0.0166,0.2799±0.0105,0.2003±0.0056,0.3381±0.0253,0.2654±0.0177,0.1780±0.0085,0.1174±0.0037,0.6012±0.0147,0.6205±0.0127,0.6551±0.0130,0.6819±0.0166,0.1381±0.0145,0.0381±0.0087,0.0025±0.0028,0.0000±0.0000
PartialOrder__Subset__None,0.6228±0.0768,0.5761±0.0614,0.4498±0.0372,0.3001±0.0219,0.6048±0.0090,0.4080±0.0084,0.2209±0.0081,0.1198±0.0034,0.6520±0.0089,0.6698±0.0117,0.7019±0.0124,0.7143±0.0200,0.5829±0.0062,0.4564±0.0069,0.3091±0.0084,0.1981±0.0052,0.8989±0.0085,0.8625±0.0103,0.7749±0.0116,0.6351±0.0096,0.4695±0.0068,0.3324±0.0071,0.1982±0.0068,0.1140±0.0032,0.1623±0.0094,0.1483±0.0050,0.1318±0.0038,0.1157±0.0026,0.1347±0.0059,0.1140±0.0040,0.0934±0.0028,0.0790±0.0017,0.2709±0.0627,0.2905±0.0514,0.3628±0.0367,0.4518±0.0425,0.9513±0.0149,0.9339±0.0123,0.8639±0.0134,0.7264±0.0348,0.4397±0.0200,0.3728±0.0157,0.2771±0.0093,0.1967±0.0048,0.3415±0.0250,0.2635±0.0165,0.1744±0.0075,0.1144±0.0032,0.6198±0.0142,0.6392±0.0123,0.6756±0.0119,0.7004±0.0159,0.1310±0.0127,0.0288±0.0066,0.0008±0.0021,0.0000±0.0000
PreOrder__Hamming__2,0.6505±0.0724,0.6352±0.0585,0.5970±0.0424,0.4930±0.0384,0.6409±0.0105,0.5124±0.0097,0.3872±0.0071,0.2236±0.0094,0.5998±0.0084,0.6084±0.0113,0.6173±0.0124,0.6275±0.0169,0.5707±0.0044,0.4981±0.0092,0.4192±0.0071,0.3012±0.0084,0.9019±0.0084,0.8915±0.0094,0.8644±0.0051,0.7909±0.0057,0.4586±0.0046,0.3781±0.0088,0.3017±0.0059,0.1947±0.0069,0.1510±0.0111,0.1492±0.0081,0.1409±0.0052,0.1254±0.0033,0.1337±0.0082,0.1269±0.0062,0.1122±0.0035,0.0920±0.0022,0.2382±0.0567,0.2438±0.0468,0.2604±0.0310,0.3085±0.0327,0.9546±0.0163,0.9521±0.0120,0.9366±0.0087,0.8828±0.0139,0.4241±0.0197,0.4045±0.0204,0.3573±0.0098,0.2711±0.0055,0.3409±0.0276,0.3126±0.0244,0.2562±0.0093,0.1743±0.0041,0.5644±0.0129,0.5758±0.0113,0.5908±0.0131,0.6100±0.0137,0.1293±0.0107,0.0630±0.0101,0.0237±0.0078,0.0008±0.0013
PreOrder__Hamming__None,0.6359±0.0660,0.6105±0.0546,0.5311±0.0387,0.3563±0.0290,0.6182±0.0136,0.4556±0.0098,0.2933±0.0078,0.1436±0.0030,0.6332±0.0063,0.6487±0.0107,0.6767±0.0124,0.7095±0.0144,0.5801±0.0088,0.4846±0.0086,0.3712±0.0076,0.2293±0.0043,0.9011±0.0090,0.8835±0.0090,0.8322±0.0049,0.6944±0.0045,0.4667±0.0087,0.3604±0.0090,0.2529±0.0062,0.1356±0.0029,0.1591±0.0076,0.1539±0.0064,0.1417±0.0047,0.1211±0.0024,0.1360±0.0077,0.1241±0.0051,0.1042±0.0032,0.0832±0.0018,0.2573±0.0515,0.2681±0.0437,0.3149±0.0326,0.4156±0.0304,0.9555±0.0158,0.9475±0.0123,0.9126±0.0127,0.8025±0.0212,0.4383±0.0229,0.4051±0.0180,0.3319±0.0081,0.2246±0.0032,0.3455±0.0292,0.3013±0.0201,0.2225±0.0069,0.1339±0.0021,0.6024±0.0084,0.6199±0.0080,0.6536±0.0124,0.6941±0.0102,0.1281±0.0055,0.0421±0.0099,0.0068±0.0042,0.0000±0.0000
PreOrder__Subset__2,0.6615±0.0744,0.6400±0.0586,0.6043±0.0408,0.5008±0.0381,0.6443±0.0089,0.5214±0.0094,0.3961±0.0074,0.2275±0.0096,0.5890±0.0101,0.5982±0.0108,0.6063±0.0121,0.6148±0.0174,0.5649±0.0042,0.4980±0.0086,0.4212±0.0070,0.3023±0.0085,0.9017±0.0086,0.8924±0.0092,0.8666±0.0052,0.7938±0.0057,0.4524±0.0039,0.3789±0.0084,0.3044±0.0057,0.1963±0.0071,0.1462±0.0114,0.1473±0.0080,0.1396±0.0055,0.1243±0.0035,0.1309±0.0086,0.1267±0.0061,0.1124±0.0038,0.0918±0.0023,0.2248±0.0592,0.2378±0.0462,0.2527±0.0293,0.3009±0.0318,0.9546±0.0163,0.9523±0.0117,0.9369±0.0105,0.8813±0.0135,0.4179±0.0206,0.4015±0.0200,0.3564±0.0104,0.2701±0.0053,0.3377±0.0285,0.3124±0.0243,0.2575±0.0100,0.1744±0.0040,0.5513±0.0137,0.5642±0.0118,0.5792±0.0132,0.5984±0.0141,0.1246±0.0103,0.0657±0.0099,0.0260±0.0064,0.0015±0.0019
PreOrder__Subset__None,0.6336±0.0689,0.6096±0.0554,0.5331±0.0399,0.3580±0.0292,0.6196±0.0124,0.4552±0.0094,0.2931±0.0075,0.1436±0.0030,0.6341±0.0063,0.6483±0.0104,0.6746±0.0123,0.7044±0.0144,0.5816±0.0071,0.4840±0.0083,0.3709±0.0076,0.2294±0.0043,0.9015±0.0086,0.8831±0.0092,0.8330±0.0049,0.6983±0.0046,0.4685±0.0073,0.3599±0.0087,0.2527±0.0061,0.1356±0.0029,0.1599±0.0082,0.1538±0.0062,0.1414±0.0049,0.1215±0.0027,0.1367±0.0077,0.1241±0.0051,0.1041±0.0031,0.0837±0.0020,0.2596±0.0550,0.2689±0.0448,0.3125±0.0341,0.4119±0.0310,0.9543±0.0173,0.9473±0.0125,0.9146±0.0120,0.8073±0.0230,0.4393±0.0218,0.4041±0.0183,0.3321±0.0081,0.2259±0.0033,0.3466±0.0281,0.3003±0.0204,0.2229±0.0068,0.1350±0.0022,0.6028±0.0087,0.6195±0.0076,0.6512±0.0125,0.6903±0.0102,0.1298±0.0080,0.0421±0.0100,0.0068±0.0041,0.0000±0.0000
br,0.7605±0.0435,0.7258±0.0378,0.6807±0.0323,0.5988±0.0336,0.6859±0.0182,0.5869±0.0157,0.4917±0.0166,0.3248±0.0121,0.5034±0.0094,0.4969±0.0108,0.4955±0.0148,0.4901±0.0188,0.5490±0.0097,0.4881±0.0104,0.4276±0.0109,0.3268±0.0108,0.9537±0.0010,0.9345±0.0017,0.9048±0.0039,0.8492±0.0050,0.4381±0.0082,0.3723±0.0087,0.3127±0.0097,0.2205±0.0085,0.1847±0.0324,0.1557±0.0116,0.1383±0.0088,0.1218±0.0049,0.2871±0.0500,0.1691±0.0093,0.1300±0.0087,0.1019±0.0036,0.1552±0.0262,0.1731±0.0213,0.1925±0.0206,0.2262±0.0284,1.0000±0.0000,0.9924±0.0029,0.9691±0.0056,0.9248±0.0100,0.5702±0.0076,0.4817±0.0100,0.3892±0.0095,0.2868±0.0075,0.6991±0.0116,0.4863±0.0140,0.3296±0.0114,0.2054±0.0062,0.4816±0.0102,0.4774±0.0102,0.4756±0.0112,0.4755±0.0137,0.1246±0.0104,0.0733±0.0101,0.0408±0.0086,0.0080±0.0042
cc,0.7536±0.0413,0.7212±0.0385,0.6841±0.0362,0.6130±0.0303,0.6936±0.0077,0.5859±0.0135,0.5046±0.0135,0.3577±0.0154,0.5220±0.0121,0.5064±0.0164,0.4900±0.0141,0.4748±0.0178,0.5648±0.0105,0.4888±0.0117,0.4284±0.0103,0.3413±0.0127,0.9530±0.0009,0.9308±0.0018,0.9014±0.0032,0.8531±0.0057,0.4519±0.0111,0.3731±0.0108,0.3182±0.0100,0.2381±0.0111,0.1897±0.0261,0.1514±0.0120,0.1316±0.0071,0.1183±0.0051,0.2895±0.0304,0.1607±0.0102,0.1236±0.0059,0.1004±0.0037,0.1629±0.0235,0.1758±0.0270,0.1868±0.0228,0.2171±0.0230,1.0000±0.0000,0.9909±0.0039,0.9679±0.0078,0.9309±0.0077,0.5722±0.0103,0.4703±0.0100,0.3779±0.0099,0.2858±0.0096,0.6809±0.0086,0.4592±0.0092,0.3162±0.0098,0.2072±0.0081,0.4937±0.0144,0.4822±0.0155,0.4697±0.0129,0.4610±0.0136,0.1310±0.0205,0.0801±0.0107,0.0558±0.0117,0.0234±0.0084
