Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PartialOrder__Hamming__None,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PartialOrder__Subset__2,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PartialOrder__Subset__None,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PreOrder__Hamming__2,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PreOrder__Hamming__None,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PreOrder__Subset__2,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
PreOrder__Subset__None,0.5822±0.0427,0.5868±0.0403,0.5681±0.0332,0.5475±0.0294,0.7816±0.0139,0.7731±0.0155,0.7475±0.0166,0.7045±0.0166,0.5158±0.0213,0.5189±0.0243,0.5035±0.0187,0.4855±0.0279,0.6829±0.0352,0.6779±0.0354,0.6544±0.0332,0.6089±0.0363,2.7459±0.0882,2.7827±0.0900,2.9099±0.1254,3.1168±0.1354,0.7913±0.0193,0.7863±0.0233,0.7657±0.0197,0.7314±0.0257,0.2486±0.0349,0.2562±0.0533,0.2908±0.0393,0.3438±0.0538,0.2113±0.0163,0.2191±0.0153,0.2473±0.0173,0.2922±0.0247
br,0.5822±0.0427,0.5776±0.0356,0.5688±0.0367,0.5538±0.0389,0.7816±0.0139,0.7714±0.0176,0.7452±0.0173,0.7026±0.0178,0.5158±0.0213,0.5180±0.0247,0.5021±0.0268,0.4868±0.0256,0.6829±0.0352,0.6781±0.0363,0.6529±0.0385,0.6040±0.0294,2.7459±0.0882,2.7975±0.0854,2.9214±0.1179,3.1106±0.1404,0.7913±0.0193,0.7819±0.0272,0.7615±0.0251,0.7303±0.0210,0.2486±0.0349,0.2656±0.0505,0.3009±0.0545,0.3470±0.0478,0.2113±0.0163,0.2237±0.0205,0.2509±0.0212,0.2925±0.0207
cc,0.5842±0.0304,0.5922±0.0227,0.5703±0.0354,0.5545±0.0331,0.7808±0.0125,0.7681±0.0158,0.7469±0.0202,0.7021±0.0241,0.5295±0.0192,0.5180±0.0206,0.5008±0.0205,0.4857±0.0283,0.6824±0.0253,0.6732±0.0302,0.6518±0.0350,0.6124±0.0445,2.6955±0.1219,2.7928±0.1147,2.9067±0.1327,3.1557±0.1456,0.7921±0.0221,0.7784±0.0258,0.7650±0.0262,0.7297±0.0330,0.2739±0.0335,0.2822±0.0496,0.2984±0.0533,0.3405±0.0677,0.2143±0.0231,0.2302±0.0231,0.2496±0.0274,0.2989±0.0311
