Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PartialOrder__Hamming__None,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PartialOrder__Subset__2,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PartialOrder__Subset__None,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PreOrder__Hamming__2,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PreOrder__Hamming__None,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PreOrder__Subset__2,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
PreOrder__Subset__None,0.7450±0.0111,0.7232±0.0092,0.6949±0.0117,0.6485±0.0125,0.7774±0.0061,0.7569±0.0064,0.7287±0.0085,0.6779±0.0099,0.6057±0.0223,0.5797±0.0226,0.5491±0.0208,0.5020±0.0248,0.6621±0.0141,0.6369±0.0162,0.5996±0.0164,0.5366±0.0227,8.4783±0.1043,8.7502±0.1461,9.0830±0.1594,9.6183±0.1408,0.7247±0.0099,0.7046±0.0137,0.6730±0.0125,0.6243±0.0167,0.2425±0.0273,0.2585±0.0367,0.3023±0.0217,0.3700±0.0399,0.2271±0.0057,0.2476±0.0072,0.2770±0.0086,0.3298±0.0109
br,0.7450±0.0111,0.7267±0.0109,0.6914±0.0097,0.6443±0.0122,0.7774±0.0061,0.7596±0.0077,0.7252±0.0076,0.6744±0.0112,0.6057±0.0223,0.5840±0.0213,0.5454±0.0241,0.4977±0.0205,0.6621±0.0141,0.6406±0.0145,0.5967±0.0193,0.5340±0.0226,8.4783±0.1043,8.7006±0.1386,9.1425±0.1501,9.7196±0.1596,0.7247±0.0099,0.7072±0.0134,0.6710±0.0163,0.6154±0.0183,0.2425±0.0273,0.2555±0.0358,0.2979±0.0342,0.3796±0.0460,0.2271±0.0057,0.2444±0.0067,0.2802±0.0095,0.3359±0.0116
cc,0.7471±0.0122,0.7284±0.0118,0.6979±0.0090,0.6475±0.0113,0.7786±0.0074,0.7605±0.0087,0.7320±0.0063,0.6796±0.0096,0.6081±0.0212,0.5846±0.0235,0.5523±0.0200,0.4997±0.0209,0.6638±0.0137,0.6405±0.0142,0.6016±0.0151,0.5382±0.0191,8.4151±0.1089,8.6919±0.1834,9.0249±0.1377,9.6317±0.1929,0.7259±0.0144,0.7077±0.0131,0.6767±0.0129,0.6239±0.0143,0.2462±0.0331,0.2530±0.0289,0.3068±0.0348,0.3658±0.0326,0.2241±0.0080,0.2444±0.0092,0.2734±0.0082,0.3280±0.0110
