Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.3290±0.0052,0.2878±0.0194,0.2351±0.0255,0.1860±0.0193,0.6073±0.0146,0.5617±0.0175,0.5168±0.0168,0.4599±0.0191,0.6564±0.0105,0.6667±0.0130,0.6802±0.0128,0.6635±0.0137,0.5980±0.0083,0.5777±0.0104,0.5561±0.0106,0.5156±0.0146,0.7051±0.0057,0.6796±0.0064,0.6448±0.0109,0.5932±0.0097,0.4522±0.0077,0.4303±0.0100,0.4077±0.0097,0.3682±0.0125,0.5496±0.0115,0.5435±0.0122,0.5348±0.0111,0.5071±0.0154,0.5386±0.0210,0.5075±0.0191,0.4742±0.0187,0.4333±0.0199,0.5769±0.0103,0.5951±0.0147,0.6202±0.0160,0.6208±0.0096,0.6454±0.0421,0.5681±0.0583,0.5273±0.0692,0.4619±0.0714,0.6104±0.0071,0.5948±0.0093,0.5753±0.0098,0.5377±0.0125,0.5856±0.0149,0.5490±0.0157,0.5079±0.0179,0.4572±0.0180,0.6379±0.0131,0.6494±0.0145,0.6643±0.0149,0.6532±0.0091,0.0198±0.0063,0.0083±0.0066,0.0038±0.0030,0.0006±0.0015
PartialOrder__Hamming__None,0.3046±0.0089,0.2662±0.0177,0.2329±0.0227,0.2025±0.0180,0.5904±0.0187,0.5452±0.0184,0.5049±0.0163,0.4536±0.0189,0.6884±0.0078,0.6982±0.0120,0.7106±0.0120,0.6895±0.0142,0.6044±0.0115,0.5824±0.0124,0.5609±0.0115,0.5201±0.0152,0.7019±0.0062,0.6718±0.0074,0.6368±0.0111,0.5844±0.0094,0.4581±0.0113,0.4346±0.0117,0.4121±0.0107,0.3721±0.0130,0.5663±0.0136,0.5557±0.0140,0.5438±0.0127,0.5127±0.0162,0.5340±0.0233,0.5005±0.0206,0.4690±0.0189,0.4290±0.0200,0.6154±0.0065,0.6326±0.0129,0.6540±0.0145,0.6477±0.0108,0.5845±0.0365,0.5604±0.0665,0.5726±0.0675,0.5177±0.0664,0.6206±0.0091,0.6013±0.0107,0.5812±0.0108,0.5421±0.0132,0.5759±0.0171,0.5371±0.0167,0.4994±0.0175,0.4514±0.0181,0.6734±0.0072,0.6835±0.0125,0.6959±0.0130,0.6793±0.0088,0.0142±0.0052,0.0055±0.0062,0.0030±0.0029,0.0006±0.0015
PartialOrder__Subset__2,0.3284±0.0047,0.2866±0.0198,0.2324±0.0251,0.1850±0.0192,0.6066±0.0148,0.5611±0.0177,0.5162±0.0167,0.4593±0.0191,0.6559±0.0101,0.6652±0.0123,0.6790±0.0127,0.6625±0.0137,0.5972±0.0078,0.5768±0.0103,0.5552±0.0105,0.5149±0.0148,0.7051±0.0052,0.6789±0.0059,0.6442±0.0108,0.5924±0.0099,0.4512±0.0070,0.4292±0.0096,0.4069±0.0095,0.3675±0.0126,0.5498±0.0106,0.5427±0.0115,0.5343±0.0113,0.5065±0.0156,0.5390±0.0207,0.5069±0.0189,0.4738±0.0190,0.4328±0.0201,0.5768±0.0092,0.5939±0.0138,0.6197±0.0153,0.6202±0.0090,0.6434±0.0417,0.5640±0.0557,0.5221±0.0715,0.4598±0.0701,0.6102±0.0061,0.5937±0.0087,0.5745±0.0099,0.5369±0.0128,0.5857±0.0146,0.5482±0.0158,0.5072±0.0180,0.4565±0.0183,0.6375±0.0125,0.6479±0.0135,0.6634±0.0146,0.6524±0.0089,0.0189±0.0060,0.0079±0.0068,0.0040±0.0032,0.0008±0.0017
PartialOrder__Subset__None,0.3047±0.0081,0.2662±0.0171,0.2321±0.0221,0.2029±0.0183,0.5898±0.0180,0.5447±0.0182,0.5043±0.0163,0.4533±0.0187,0.6884±0.0072,0.6984±0.0116,0.7109±0.0119,0.6904±0.0138,0.6041±0.0109,0.5822±0.0122,0.5607±0.0118,0.5203±0.0150,0.7017±0.0068,0.6714±0.0069,0.6364±0.0115,0.5842±0.0093,0.4579±0.0107,0.4343±0.0114,0.4119±0.0111,0.3723±0.0128,0.5660±0.0138,0.5554±0.0134,0.5439±0.0131,0.5130±0.0161,0.5337±0.0231,0.5000±0.0202,0.4687±0.0192,0.4290±0.0198,0.6154±0.0075,0.6328±0.0119,0.6550±0.0142,0.6490±0.0107,0.5857±0.0357,0.5616±0.0651,0.5728±0.0663,0.5204±0.0642,0.6206±0.0092,0.6011±0.0103,0.5812±0.0110,0.5425±0.0131,0.5756±0.0168,0.5366±0.0165,0.4990±0.0175,0.4513±0.0179,0.6736±0.0078,0.6837±0.0117,0.6966±0.0129,0.6806±0.0087,0.0142±0.0052,0.0055±0.0062,0.0028±0.0030,0.0004±0.0013
PreOrder__Hamming__2,0.4450±0.0091,0.4155±0.0164,0.3663±0.0280,0.2829±0.0214,0.6644±0.0210,0.6342±0.0203,0.5863±0.0189,0.5183±0.0226,0.5438±0.0097,0.5434±0.0094,0.5461±0.0115,0.5350±0.0139,0.5685±0.0085,0.5549±0.0102,0.5353±0.0122,0.4987±0.0160,0.7253±0.0076,0.7125±0.0068,0.6895±0.0088,0.6489±0.0093,0.4234±0.0074,0.4103±0.0090,0.3902±0.0116,0.3551±0.0138,0.4939±0.0111,0.4950±0.0125,0.4920±0.0167,0.4756±0.0165,0.5953±0.0320,0.5722±0.0268,0.5312±0.0277,0.4783±0.0246,0.4537±0.0077,0.4602±0.0095,0.4731±0.0146,0.4803±0.0111,0.8556±0.0227,0.7965±0.0370,0.7111±0.0472,0.5972±0.0587,0.5790±0.0087,0.5678±0.0085,0.5511±0.0122,0.5175±0.0142,0.6511±0.0190,0.6237±0.0182,0.5789±0.0204,0.5155±0.0220,0.5217±0.0109,0.5213±0.0090,0.5262±0.0126,0.5197±0.0090,0.0245±0.0035,0.0172±0.0075,0.0092±0.0062,0.0025±0.0033
PreOrder__Hamming__None,0.2970±0.0175,0.2699±0.0197,0.2484±0.0214,0.2481±0.0235,0.5927±0.0204,0.5518±0.0198,0.5055±0.0165,0.4553±0.0190,0.6780±0.0122,0.7018±0.0141,0.7278±0.0117,0.7341±0.0168,0.6053±0.0111,0.5922±0.0132,0.5714±0.0130,0.5381±0.0170,0.7096±0.0057,0.6853±0.0064,0.6461±0.0082,0.5893±0.0118,0.4609±0.0103,0.4451±0.0119,0.4223±0.0117,0.3891±0.0151,0.5762±0.0116,0.5714±0.0131,0.5587±0.0150,0.5347±0.0175,0.5511±0.0257,0.5189±0.0206,0.4783±0.0190,0.4371±0.0200,0.6183±0.0101,0.6462±0.0127,0.6783±0.0147,0.7002±0.0126,0.5834±0.0521,0.5548±0.0677,0.5870±0.0677,0.6055±0.0598,0.6267±0.0084,0.6157±0.0096,0.5960±0.0118,0.5635±0.0152,0.5867±0.0180,0.5522±0.0162,0.5083±0.0163,0.4583±0.0184,0.6733±0.0126,0.6964±0.0122,0.7211±0.0127,0.7320±0.0118,0.0142±0.0052,0.0047±0.0050,0.0028±0.0044,0.0004±0.0013
PreOrder__Subset__2,0.4929±0.0118,0.4558±0.0205,0.3939±0.0281,0.3059±0.0162,0.6805±0.0214,0.6443±0.0222,0.5946±0.0191,0.5207±0.0216,0.5006±0.0074,0.5055±0.0124,0.5158±0.0120,0.5066±0.0117,0.5445±0.0078,0.5345±0.0115,0.5210±0.0115,0.4854±0.0146,0.7196±0.0080,0.7085±0.0067,0.6881±0.0089,0.6478±0.0095,0.4000±0.0076,0.3905±0.0101,0.3765±0.0110,0.3430±0.0125,0.4594±0.0127,0.4671±0.0136,0.4730±0.0160,0.4606±0.0149,0.5917±0.0381,0.5704±0.0278,0.5306±0.0279,0.4761±0.0238,0.4053±0.0057,0.4200±0.0113,0.4414±0.0145,0.4531±0.0095,0.8750±0.0359,0.8341±0.0422,0.7432±0.0522,0.6267±0.0604,0.5498±0.0089,0.5442±0.0097,0.5343±0.0120,0.5025±0.0131,0.6576±0.0230,0.6279±0.0198,0.5823±0.0209,0.5148±0.0212,0.4727±0.0077,0.4805±0.0101,0.4941±0.0133,0.4911±0.0088,0.0217±0.0038,0.0172±0.0075,0.0091±0.0055,0.0034±0.0041
PreOrder__Subset__None,0.2971±0.0195,0.2699±0.0191,0.2473±0.0199,0.2462±0.0245,0.5937±0.0200,0.5516±0.0203,0.5055±0.0167,0.4555±0.0190,0.6780±0.0110,0.7005±0.0144,0.7271±0.0104,0.7326±0.0173,0.6062±0.0105,0.5915±0.0140,0.5713±0.0130,0.5379±0.0170,0.7105±0.0059,0.6852±0.0065,0.6463±0.0080,0.5900±0.0121,0.4621±0.0099,0.4447±0.0128,0.4223±0.0119,0.3891±0.0151,0.5769±0.0108,0.5710±0.0136,0.5587±0.0149,0.5347±0.0174,0.5530±0.0254,0.5191±0.0211,0.4786±0.0192,0.4375±0.0200,0.6185±0.0102,0.6452±0.0125,0.6778±0.0144,0.6992±0.0125,0.5955±0.0636,0.5525±0.0644,0.5822±0.0686,0.5976±0.0591,0.6274±0.0080,0.6152±0.0100,0.5960±0.0117,0.5635±0.0152,0.5880±0.0178,0.5522±0.0167,0.5085±0.0165,0.4588±0.0184,0.6731±0.0127,0.6951±0.0119,0.7205±0.0125,0.7308±0.0120,0.0142±0.0052,0.0053±0.0050,0.0026±0.0035,0.0004±0.0013
br,0.4370±0.0170,0.4174±0.0221,0.3769±0.0256,0.3086±0.0248,0.6579±0.0176,0.6356±0.0269,0.5875±0.0258,0.5137±0.0242,0.5193±0.0123,0.5141±0.0178,0.5051±0.0200,0.4941±0.0194,0.5508±0.0089,0.5371±0.0151,0.5109±0.0196,0.4732±0.0177,0.7318±0.0042,0.7199±0.0064,0.6944±0.0065,0.6513±0.0086,0.4129±0.0087,0.3991±0.0129,0.3724±0.0165,0.3353±0.0159,0.5070±0.0092,0.5018±0.0139,0.4860±0.0200,0.4644±0.0186,0.6285±0.0321,0.5993±0.0343,0.5444±0.0268,0.4815±0.0249,0.4544±0.0062,0.4546±0.0139,0.4528±0.0200,0.4561±0.0178,0.8473±0.0304,0.7991±0.0498,0.7259±0.0556,0.6071±0.0647,0.5820±0.0068,0.5696±0.0113,0.5439±0.0150,0.5069±0.0167,0.6685±0.0184,0.6430±0.0230,0.5920±0.0208,0.5198±0.0224,0.5156±0.0078,0.5118±0.0152,0.5034±0.0166,0.4950±0.0169,0.0274±0.0091,0.0191±0.0071,0.0089±0.0047,0.0038±0.0040
cc,0.4474±0.0201,0.4224±0.0246,0.3921±0.0279,0.3309±0.0319,0.6582±0.0228,0.6393±0.0265,0.5960±0.0233,0.5289±0.0201,0.5076±0.0081,0.5100±0.0201,0.5054±0.0204,0.4879±0.0203,0.5439±0.0092,0.5351±0.0162,0.5148±0.0151,0.4743±0.0151,0.7334±0.0045,0.7208±0.0074,0.6992±0.0071,0.6611±0.0101,0.4093±0.0086,0.3979±0.0148,0.3776±0.0134,0.3379±0.0126,0.5022±0.0119,0.4996±0.0163,0.4894±0.0166,0.4664±0.0191,0.6478±0.0372,0.6040±0.0378,0.5579±0.0249,0.4951±0.0249,0.4447±0.0093,0.4509±0.0162,0.4521±0.0197,0.4500±0.0213,0.8498±0.0281,0.8017±0.0456,0.7385±0.0414,0.6342±0.0719,0.5792±0.0083,0.5684±0.0126,0.5475±0.0124,0.5114±0.0154,0.6768±0.0236,0.6463±0.0245,0.6019±0.0189,0.5355±0.0206,0.5067±0.0105,0.5079±0.0165,0.5028±0.0194,0.4900±0.0201,0.0292±0.0055,0.0198±0.0079,0.0151±0.0087,0.0042±0.0049
