Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PartialOrder__Hamming__None,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PartialOrder__Subset__2,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PartialOrder__Subset__None,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PreOrder__Hamming__2,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PreOrder__Hamming__None,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PreOrder__Subset__2,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
PreOrder__Subset__None,0.7098±0.0108,0.6876±0.0116,0.6639±0.0092,0.6281±0.0109,0.8499±0.0041,0.8411±0.0053,0.8270±0.0049,0.7936±0.0064,0.5191±0.0119,0.4995±0.0091,0.4714±0.0082,0.4296±0.0077,0.7251±0.0068,0.7142±0.0084,0.6927±0.0085,0.6413±0.0093,6.2383±0.0537,6.4685±0.0734,6.8041±0.0879,7.4656±0.1290,0.7652±0.0054,0.7591±0.0057,0.7463±0.0058,0.7083±0.0064,0.2271±0.0160,0.2298±0.0135,0.2355±0.0119,0.2603±0.0116,0.1636±0.0036,0.1716±0.0039,0.1847±0.0029,0.2182±0.0051
br,0.7098±0.0108,0.6906±0.0119,0.6617±0.0132,0.6252±0.0110,0.8499±0.0041,0.8417±0.0053,0.8261±0.0050,0.7930±0.0066,0.5191±0.0119,0.4998±0.0064,0.4698±0.0095,0.4293±0.0086,0.7251±0.0068,0.7137±0.0084,0.6924±0.0096,0.6405±0.0096,6.2383±0.0537,6.4608±0.0851,6.7883±0.0905,7.4638±0.1278,0.7652±0.0054,0.7589±0.0051,0.7468±0.0068,0.7075±0.0078,0.2271±0.0160,0.2328±0.0136,0.2346±0.0149,0.2621±0.0143,0.1636±0.0036,0.1708±0.0037,0.1848±0.0052,0.2195±0.0055
cc,0.7044±0.0142,0.6807±0.0121,0.6651±0.0083,0.6295±0.0106,0.8439±0.0038,0.8372±0.0057,0.8267±0.0055,0.7952±0.0065,0.5148±0.0117,0.4947±0.0083,0.4729±0.0081,0.4312±0.0091,0.7053±0.0057,0.7033±0.0086,0.6903±0.0100,0.6443±0.0105,6.3673±0.1059,6.5107±0.1120,6.7472±0.0835,7.4376±0.1298,0.7522±0.0043,0.7536±0.0054,0.7465±0.0049,0.7106±0.0070,0.2516±0.0106,0.2430±0.0137,0.2405±0.0130,0.2602±0.0156,0.1727±0.0015,0.1765±0.0041,0.1849±0.0047,0.2167±0.0057
