Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PartialOrder__Hamming__None,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PartialOrder__Subset__2,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PartialOrder__Subset__None,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PreOrder__Hamming__2,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PreOrder__Hamming__None,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PreOrder__Subset__2,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
PreOrder__Subset__None,0.9461±0.0043,0.9331±0.0067,0.9163±0.0077,0.8837±0.0126,0.9534±0.0048,0.9395±0.0071,0.9206±0.0084,0.8856±0.0140,0.8511±0.0109,0.8276±0.0151,0.7923±0.0113,0.7074±0.0233,0.8577±0.0124,0.8344±0.0169,0.7962±0.0150,0.7046±0.0271,0.3826±0.0386,0.4231±0.0373,0.5054±0.0458,0.6892±0.0653,0.8884±0.0121,0.8811±0.0121,0.8632±0.0130,0.8179±0.0163,0.1890±0.0177,0.1963±0.0195,0.2167±0.0194,0.2802±0.0246,0.0600±0.0078,0.0673±0.0079,0.0832±0.0097,0.1188±0.0136
br,0.9461±0.0043,0.9332±0.0064,0.9154±0.0074,0.8854±0.0098,0.9534±0.0048,0.9396±0.0068,0.9210±0.0081,0.8877±0.0094,0.8511±0.0109,0.8282±0.0136,0.7896±0.0165,0.7075±0.0189,0.8577±0.0124,0.8344±0.0159,0.7956±0.0184,0.7067±0.0184,0.3826±0.0386,0.4216±0.0432,0.5061±0.0483,0.6652±0.0520,0.8884±0.0121,0.8829±0.0136,0.8628±0.0144,0.8207±0.0122,0.1890±0.0177,0.1924±0.0229,0.2164±0.0242,0.2803±0.0182,0.0600±0.0078,0.0670±0.0089,0.0834±0.0104,0.1141±0.0105
cc,0.9471±0.0056,0.9339±0.0055,0.9178±0.0065,0.8834±0.0095,0.9542±0.0055,0.9402±0.0062,0.9230±0.0076,0.8865±0.0103,0.8508±0.0120,0.8312±0.0118,0.7926±0.0122,0.7099±0.0208,0.8585±0.0130,0.8372±0.0139,0.7972±0.0144,0.7072±0.0229,0.3968±0.0452,0.4223±0.0381,0.5035±0.0486,0.6847±0.0550,0.8864±0.0123,0.8814±0.0120,0.8629±0.0131,0.8184±0.0144,0.1911±0.0184,0.1956±0.0189,0.2172±0.0206,0.2753±0.0222,0.0626±0.0093,0.0672±0.0080,0.0827±0.0097,0.1180±0.0116
