Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PartialOrder__Hamming__None,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PartialOrder__Subset__2,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PartialOrder__Subset__None,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PreOrder__Hamming__2,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PreOrder__Hamming__None,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PreOrder__Subset__2,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
PreOrder__Subset__None,0.6774±0.0221,0.6340±0.0426,0.6044±0.0287,0.5854±0.0272,0.8054±0.0162,0.7694±0.0179,0.7242±0.0181,0.6799±0.0237,0.2266±0.0366,0.1988±0.0245,0.1625±0.0141,0.1485±0.0162,0.3350±0.0268,0.2934±0.0210,0.2321±0.0201,0.1858±0.0231,2.3602±0.2236,2.5722±0.2361,3.0172±0.1882,3.6907±0.2781,0.5629±0.0155,0.5435±0.0217,0.4945±0.0172,0.4233±0.0325,0.6237±0.0204,0.6325±0.0265,0.6786±0.0230,0.7454±0.0409,0.2017±0.0184,0.2202±0.0195,0.2602±0.0158,0.3203±0.0246
br,0.6774±0.0221,0.6311±0.0288,0.6029±0.0325,0.5838±0.0290,0.8054±0.0162,0.7671±0.0171,0.7231±0.0179,0.6808±0.0237,0.2266±0.0366,0.1919±0.0187,0.1689±0.0183,0.1472±0.0095,0.3350±0.0268,0.2870±0.0222,0.2373±0.0219,0.1850±0.0145,2.3602±0.2236,2.5735±0.2074,3.0258±0.2127,3.6719±0.2996,0.5629±0.0155,0.5385±0.0184,0.4991±0.0246,0.4252±0.0247,0.6237±0.0204,0.6399±0.0237,0.6706±0.0312,0.7432±0.0289,0.2017±0.0184,0.2210±0.0174,0.2600±0.0181,0.3184±0.0263
cc,0.6793±0.0190,0.6389±0.0367,0.6049±0.0355,0.5839±0.0280,0.8091±0.0134,0.7700±0.0205,0.7270±0.0186,0.6844±0.0199,0.2345±0.0215,0.1923±0.0189,0.1681±0.0177,0.1519±0.0144,0.3455±0.0325,0.2932±0.0288,0.2409±0.0199,0.1880±0.0210,2.3007±0.1578,2.5692±0.2750,3.0083±0.2372,3.6496±0.2188,0.5724±0.0180,0.5446±0.0231,0.4954±0.0204,0.4324±0.0259,0.6115±0.0340,0.6323±0.0239,0.6728±0.0263,0.7327±0.0408,0.1961±0.0128,0.2205±0.0230,0.2592±0.0201,0.3163±0.0195
clr,0.7522±0.0147,0.6956±0.0262,0.6652±0.0378,0.6247±0.0383,0.8195±0.0203,0.8113±0.0178,0.7958±0.0204,0.7552±0.0245,0.3033±0.0240,0.2503±0.0206,0.2229±0.0270,0.1866±0.0219,0.3352±0.0255,0.3342±0.0272,0.3221±0.0293,0.2705±0.0359,2.1843±0.2109,2.2804±0.2088,2.4393±0.2526,2.8858±0.2877,0.5611±0.0146,0.5619±0.0170,0.5500±0.0237,0.5017±0.0294,0.6360±0.0223,0.6339±0.0246,0.6425±0.0264,0.6906±0.0350,0.1872±0.0169,0.1947±0.0170,0.2090±0.0210,0.2488±0.0250
ecc,0.6866±0.0281,0.6364±0.0341,0.6198±0.0272,0.5992±0.0249,0.8120±0.0172,0.7764±0.0202,0.7489±0.0156,0.7151±0.0241,0.2432±0.0374,0.2056±0.0209,0.1793±0.0170,0.1656±0.0185,0.3419±0.0254,0.3080±0.0253,0.2701±0.0158,0.2271±0.0310,2.1424±0.1739,2.3124±0.2564,2.4880±0.2022,2.9669±0.3554,0.5769±0.0194,0.5655±0.0227,0.5485±0.0166,0.5016±0.0361,0.6186±0.0266,0.6284±0.0265,0.6427±0.0210,0.6828±0.0403,0.1832±0.0139,0.1975±0.0212,0.2130±0.0172,0.2558±0.0311
