Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.7853±0.0118,0.8242±0.0236,0.8608±0.0269,0.8821±0.0177,0.1254±0.0066,0.1059±0.0054,0.0926±0.0023,0.0885±0.0010,0.9333±0.0036,0.9517±0.0074,0.9651±0.0071,0.9661±0.0072,0.1932±0.0066,0.1780±0.0051,0.1655±0.0030,0.1604±0.0016,0.2029±0.0090,0.1824±0.0079,0.1578±0.0109,0.1468±0.0078,0.1231±0.0063,0.1048±0.0048,0.0924±0.0022,0.0884±0.0010,0.1477±0.0019,0.1469±0.0024,0.1455±0.0019,0.1442±0.0015,0.0886±0.0012,0.0877±0.0013,0.0866±0.0011,0.0857±0.0009,0.9191±0.0095,0.9335±0.0211,0.9422±0.0233,0.9512±0.0138,0.9735±0.0065,0.9798±0.0099,0.9782±0.0088,0.9721±0.0101,0.1650±0.0019,0.1643±0.0024,0.1624±0.0020,0.1609±0.0015,0.0905±0.0011,0.0899±0.0014,0.0886±0.0012,0.0877±0.0009,0.9304±0.0044,0.9493±0.0078,0.9641±0.0063,0.9661±0.0062,0.0319±0.0065,0.0102±0.0044,0.0008±0.0010,0.0000±0.0000
PartialOrder__Hamming__None,0.7854±0.0118,0.8243±0.0236,0.8612±0.0268,0.8825±0.0178,0.1255±0.0065,0.1059±0.0053,0.0926±0.0023,0.0884±0.0010,0.9336±0.0034,0.9519±0.0075,0.9656±0.0072,0.9665±0.0072,0.1934±0.0065,0.1780±0.0051,0.1655±0.0030,0.1603±0.0016,0.2029±0.0090,0.1824±0.0079,0.1577±0.0109,0.1466±0.0078,0.1232±0.0063,0.1048±0.0048,0.0924±0.0022,0.0883±0.0010,0.1478±0.0019,0.1468±0.0024,0.1455±0.0019,0.1442±0.0015,0.0886±0.0012,0.0877±0.0013,0.0866±0.0011,0.0857±0.0008,0.9192±0.0095,0.9336±0.0211,0.9424±0.0233,0.9513±0.0138,0.9745±0.0074,0.9803±0.0090,0.9788±0.0086,0.9734±0.0095,0.1651±0.0019,0.1643±0.0024,0.1624±0.0020,0.1609±0.0015,0.0906±0.0011,0.0899±0.0014,0.0887±0.0012,0.0877±0.0009,0.9307±0.0042,0.9495±0.0079,0.9645±0.0064,0.9665±0.0061,0.0319±0.0065,0.0101±0.0043,0.0008±0.0010,0.0000±0.0000
PartialOrder__Subset__2,0.7853±0.0118,0.8242±0.0236,0.8608±0.0270,0.8817±0.0188,0.1254±0.0066,0.1059±0.0054,0.0926±0.0023,0.0885±0.0010,0.9333±0.0036,0.9517±0.0074,0.9652±0.0069,0.9662±0.0072,0.1932±0.0066,0.1780±0.0051,0.1655±0.0030,0.1604±0.0016,0.2029±0.0090,0.1824±0.0079,0.1578±0.0110,0.1468±0.0078,0.1231±0.0063,0.1048±0.0048,0.0924±0.0022,0.0884±0.0010,0.1477±0.0019,0.1469±0.0024,0.1455±0.0019,0.1442±0.0015,0.0886±0.0012,0.0877±0.0013,0.0866±0.0011,0.0858±0.0008,0.9191±0.0095,0.9335±0.0211,0.9422±0.0234,0.9508±0.0145,0.9735±0.0065,0.9799±0.0099,0.9783±0.0087,0.9717±0.0101,0.1650±0.0019,0.1643±0.0024,0.1624±0.0021,0.1609±0.0015,0.0905±0.0011,0.0899±0.0014,0.0887±0.0012,0.0877±0.0009,0.9304±0.0044,0.9493±0.0078,0.9642±0.0061,0.9662±0.0064,0.0319±0.0065,0.0102±0.0044,0.0008±0.0010,0.0000±0.0000
PartialOrder__Subset__None,0.7854±0.0118,0.8243±0.0236,0.8613±0.0268,0.8821±0.0189,0.1255±0.0065,0.1059±0.0053,0.0926±0.0023,0.0884±0.0010,0.9336±0.0034,0.9519±0.0075,0.9657±0.0070,0.9666±0.0072,0.1934±0.0065,0.1780±0.0051,0.1656±0.0030,0.1604±0.0016,0.2029±0.0090,0.1824±0.0079,0.1577±0.0110,0.1466±0.0078,0.1232±0.0063,0.1048±0.0048,0.0924±0.0022,0.0884±0.0010,0.1478±0.0019,0.1469±0.0024,0.1455±0.0019,0.1442±0.0015,0.0886±0.0012,0.0877±0.0013,0.0866±0.0011,0.0858±0.0008,0.9192±0.0095,0.9336±0.0211,0.9425±0.0233,0.9509±0.0146,0.9745±0.0074,0.9804±0.0090,0.9789±0.0085,0.9729±0.0095,0.1651±0.0019,0.1643±0.0024,0.1624±0.0021,0.1609±0.0015,0.0906±0.0011,0.0899±0.0014,0.0887±0.0012,0.0878±0.0009,0.9307±0.0042,0.9495±0.0079,0.9647±0.0063,0.9666±0.0063,0.0319±0.0065,0.0101±0.0043,0.0008±0.0010,0.0000±0.0000
PreOrder__Hamming__2,0.7490±0.0197,0.7063±0.0366,0.5995±0.0487,0.3653±0.0547,0.1234±0.0066,0.1199±0.0067,0.1157±0.0083,0.1180±0.0088,0.9083±0.0063,0.8938±0.0146,0.8656±0.0139,0.8032±0.0199,0.1896±0.0062,0.1886±0.0065,0.1878±0.0080,0.1969±0.0105,0.2103±0.0085,0.2350±0.0107,0.2807±0.0194,0.4011±0.0313,0.1207±0.0057,0.1176±0.0060,0.1138±0.0073,0.1164±0.0084,0.1464±0.0014,0.1469±0.0025,0.1475±0.0023,0.1495±0.0031,0.0882±0.0007,0.0887±0.0013,0.0897±0.0015,0.0922±0.0019,0.8942±0.0162,0.8792±0.0273,0.8234±0.0345,0.7012±0.0460,0.9633±0.0108,0.9429±0.0168,0.8989±0.0208,0.8130±0.0468,0.1624±0.0012,0.1645±0.0025,0.1689±0.0030,0.1847±0.0066,0.0892±0.0007,0.0906±0.0014,0.0936±0.0018,0.1044±0.0042,0.9047±0.0040,0.8897±0.0143,0.8628±0.0123,0.7999±0.0204,0.0306±0.0043,0.0233±0.0053,0.0136±0.0049,0.0036±0.0035
PreOrder__Hamming__None,0.7461±0.0229,0.7014±0.0385,0.5952±0.0465,0.3709±0.0545,0.1245±0.0064,0.1209±0.0065,0.1164±0.0079,0.1179±0.0080,0.9096±0.0052,0.8949±0.0138,0.8706±0.0132,0.8182±0.0178,0.1907±0.0061,0.1900±0.0063,0.1898±0.0080,0.1990±0.0103,0.2123±0.0084,0.2380±0.0109,0.2856±0.0196,0.4031±0.0302,0.1218±0.0056,0.1185±0.0059,0.1146±0.0070,0.1167±0.0076,0.1467±0.0014,0.1472±0.0025,0.1482±0.0023,0.1506±0.0030,0.0884±0.0007,0.0889±0.0014,0.0900±0.0014,0.0925±0.0018,0.8933±0.0174,0.8771±0.0295,0.8233±0.0324,0.7056±0.0461,0.9652±0.0111,0.9471±0.0148,0.9081±0.0181,0.8398±0.0456,0.1630±0.0012,0.1653±0.0024,0.1707±0.0032,0.1882±0.0068,0.0895±0.0007,0.0911±0.0014,0.0947±0.0020,0.1064±0.0043,0.9057±0.0034,0.8911±0.0135,0.8684±0.0113,0.8158±0.0178,0.0316±0.0039,0.0232±0.0052,0.0122±0.0039,0.0012±0.0016
PreOrder__Subset__2,0.7495±0.0200,0.7092±0.0365,0.6011±0.0479,0.3661±0.0548,0.1230±0.0065,0.1198±0.0066,0.1155±0.0082,0.1176±0.0091,0.9079±0.0072,0.8939±0.0146,0.8643±0.0144,0.8006±0.0194,0.1892±0.0062,0.1883±0.0065,0.1873±0.0078,0.1962±0.0106,0.2096±0.0086,0.2336±0.0105,0.2795±0.0193,0.4002±0.0315,0.1204±0.0056,0.1175±0.0060,0.1135±0.0072,0.1160±0.0086,0.1463±0.0014,0.1468±0.0025,0.1473±0.0022,0.1493±0.0031,0.0881±0.0007,0.0887±0.0013,0.0895±0.0014,0.0922±0.0019,0.8941±0.0163,0.8806±0.0273,0.8240±0.0335,0.7020±0.0450,0.9633±0.0108,0.9427±0.0163,0.8972±0.0212,0.8082±0.0470,0.1622±0.0012,0.1643±0.0025,0.1684±0.0028,0.1840±0.0066,0.0891±0.0007,0.0905±0.0014,0.0933±0.0017,0.1040±0.0042,0.9041±0.0045,0.8898±0.0144,0.8612±0.0131,0.7972±0.0200,0.0303±0.0039,0.0234±0.0054,0.0138±0.0050,0.0038±0.0039
PreOrder__Subset__None,0.7487±0.0213,0.7018±0.0389,0.5955±0.0465,0.3715±0.0551,0.1242±0.0065,0.1206±0.0065,0.1160±0.0077,0.1175±0.0078,0.9083±0.0059,0.8948±0.0139,0.8703±0.0134,0.8175±0.0184,0.1904±0.0062,0.1896±0.0063,0.1894±0.0079,0.1984±0.0100,0.2121±0.0082,0.2375±0.0107,0.2849±0.0195,0.4020±0.0303,0.1216±0.0057,0.1182±0.0059,0.1143±0.0069,0.1163±0.0074,0.1465±0.0015,0.1471±0.0025,0.1481±0.0023,0.1505±0.0029,0.0883±0.0007,0.0888±0.0013,0.0899±0.0014,0.0925±0.0017,0.8958±0.0164,0.8770±0.0300,0.8229±0.0325,0.7063±0.0467,0.9652±0.0111,0.9470±0.0162,0.9070±0.0190,0.8364±0.0451,0.1628±0.0012,0.1651±0.0024,0.1705±0.0032,0.1877±0.0067,0.0894±0.0007,0.0910±0.0014,0.0946±0.0020,0.1061±0.0042,0.9047±0.0039,0.8909±0.0135,0.8681±0.0114,0.8150±0.0181,0.0312±0.0042,0.0230±0.0054,0.0123±0.0037,0.0012±0.0016
br,0.9772±0.0021,0.9735±0.0036,0.9613±0.0060,0.9323±0.0083,0.0763±0.0099,0.0796±0.0118,0.1022±0.0144,0.1241±0.0160,0.0716±0.0087,0.0743±0.0099,0.0957±0.0140,0.1237±0.0156,0.0732±0.0091,0.0758±0.0105,0.0968±0.0138,0.1193±0.0152,0.9181±0.0015,0.9175±0.0015,0.9164±0.0019,0.9088±0.0028,0.0716±0.0087,0.0735±0.0098,0.0928±0.0132,0.1108±0.0146,0.0302±0.0040,0.0345±0.0050,0.0464±0.0082,0.0673±0.0101,0.1531±0.0498,0.2065±0.0528,0.1835±0.0375,0.1501±0.0258,0.0188±0.0025,0.0213±0.0033,0.0297±0.0055,0.0464±0.0078,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9993±0.0010,0.1174±0.0148,0.1221±0.0171,0.1530±0.0211,0.1791±0.0203,0.6636±0.0581,0.6127±0.0456,0.5381±0.0427,0.3767±0.0375,0.0644±0.0084,0.0679±0.0103,0.0894±0.0137,0.1178±0.0150,0.0670±0.0081,0.0670±0.0084,0.0813±0.0118,0.0871±0.0137
cc,0.9707±0.0027,0.9705±0.0045,0.9591±0.0060,0.9268±0.0118,0.0937±0.0087,0.0882±0.0121,0.1074±0.0151,0.1385±0.0245,0.0857±0.0070,0.0815±0.0111,0.1004±0.0141,0.1371±0.0262,0.0883±0.0075,0.0835±0.0113,0.1017±0.0142,0.1327±0.0247,0.9184±0.0013,0.9178±0.0016,0.9166±0.0017,0.9091±0.0030,0.0857±0.0070,0.0809±0.0109,0.0975±0.0136,0.1236±0.0237,0.0369±0.0037,0.0384±0.0065,0.0493±0.0079,0.0728±0.0131,0.1914±0.0277,0.1995±0.0462,0.1913±0.0416,0.1577±0.0285,0.0239±0.0026,0.0239±0.0041,0.0316±0.0054,0.0509±0.0105,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9995±0.0007,0.1413±0.0127,0.1337±0.0178,0.1595±0.0206,0.1950±0.0309,0.6477±0.0405,0.6203±0.0499,0.5430±0.0418,0.3891±0.0400,0.0794±0.0077,0.0751±0.0107,0.0937±0.0137,0.1306±0.0242,0.0782±0.0058,0.0732±0.0099,0.0854±0.0122,0.0979±0.0217
