Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5935±0.0187,0.5932±0.0505,0.5369±0.0671,0.4917±0.0612,0.6434±0.0195,0.6194±0.0212,0.5825±0.0283,0.5256±0.0232,0.7468±0.0244,0.7490±0.0193,0.7644±0.0247,0.7802±0.0230,0.6658±0.0157,0.6520±0.0155,0.6339±0.0242,0.6006±0.0206,0.7051±0.0119,0.6869±0.0134,0.6529±0.0164,0.5904±0.0193,0.5600±0.0182,0.5409±0.0173,0.5127±0.0258,0.4684±0.0203,0.5305±0.0101,0.5283±0.0245,0.5279±0.0236,0.5236±0.0172,0.4975±0.0051,0.4871±0.0230,0.4658±0.0239,0.4459±0.0189,0.5885±0.0198,0.6035±0.0432,0.6314±0.0362,0.6777±0.0477,0.9981±0.0037,0.9851±0.0186,0.9442±0.0451,0.8471±0.0675,0.6898±0.0155,0.6788±0.0142,0.6580±0.0215,0.6233±0.0193,0.6294±0.0170,0.6074±0.0201,0.5706±0.0257,0.5157±0.0230,0.7637±0.0250,0.7701±0.0210,0.7780±0.0251,0.7889±0.0234,0.2000±0.0209,0.1586±0.0296,0.1031±0.0286,0.0523±0.0219
PartialOrder__Hamming__None,0.5962±0.0104,0.5947±0.0460,0.5432±0.0640,0.5048±0.0606,0.6403±0.0223,0.6145±0.0219,0.5789±0.0293,0.5259±0.0238,0.7699±0.0275,0.7655±0.0190,0.7750±0.0241,0.7892±0.0235,0.6727±0.0191,0.6558±0.0162,0.6356±0.0252,0.6041±0.0211,0.7057±0.0119,0.6855±0.0133,0.6504±0.0181,0.5911±0.0192,0.5644±0.0229,0.5438±0.0177,0.5133±0.0275,0.4715±0.0209,0.5385±0.0122,0.5358±0.0234,0.5306±0.0242,0.5264±0.0166,0.4967±0.0087,0.4853±0.0214,0.4642±0.0240,0.4464±0.0185,0.6076±0.0213,0.6206±0.0430,0.6407±0.0373,0.6842±0.0474,0.9981±0.0037,0.9857±0.0188,0.9552±0.0355,0.8592±0.0639,0.6955±0.0184,0.6823±0.0147,0.6591±0.0225,0.6264±0.0196,0.6260±0.0202,0.6032±0.0204,0.5673±0.0262,0.5160±0.0230,0.7830±0.0278,0.7862±0.0211,0.7872±0.0247,0.7980±0.0239,0.1928±0.0265,0.1560±0.0281,0.1009±0.0320,0.0519±0.0207
PartialOrder__Subset__2,0.5906±0.0171,0.5892±0.0500,0.5362±0.0675,0.4904±0.0607,0.6433±0.0188,0.6188±0.0212,0.5825±0.0288,0.5252±0.0229,0.7472±0.0241,0.7484±0.0194,0.7638±0.0257,0.7793±0.0213,0.6660±0.0146,0.6516±0.0155,0.6337±0.0247,0.6001±0.0201,0.7051±0.0115,0.6864±0.0142,0.6529±0.0169,0.5897±0.0189,0.5604±0.0171,0.5405±0.0176,0.5125±0.0268,0.4679±0.0197,0.5307±0.0098,0.5282±0.0248,0.5275±0.0245,0.5232±0.0168,0.4974±0.0032,0.4865±0.0242,0.4659±0.0247,0.4457±0.0188,0.5889±0.0202,0.6031±0.0431,0.6306±0.0377,0.6771±0.0481,0.9963±0.0046,0.9851±0.0186,0.9424±0.0477,0.8449±0.0672,0.6898±0.0147,0.6782±0.0147,0.6578±0.0222,0.6227±0.0189,0.6294±0.0164,0.6070±0.0206,0.5707±0.0261,0.5152±0.0228,0.7638±0.0247,0.7693±0.0208,0.7773±0.0266,0.7882±0.0225,0.2036±0.0246,0.1593±0.0314,0.1027±0.0285,0.0523±0.0225
PartialOrder__Subset__None,0.5969±0.0094,0.5927±0.0430,0.5437±0.0650,0.5042±0.0604,0.6400±0.0214,0.6143±0.0216,0.5787±0.0292,0.5258±0.0231,0.7704±0.0270,0.7654±0.0188,0.7752±0.0246,0.7894±0.0222,0.6727±0.0179,0.6557±0.0159,0.6356±0.0251,0.6042±0.0202,0.7054±0.0113,0.6856±0.0133,0.6504±0.0177,0.5908±0.0187,0.5644±0.0216,0.5437±0.0175,0.5132±0.0276,0.4715±0.0201,0.5384±0.0116,0.5362±0.0233,0.5306±0.0240,0.5263±0.0160,0.4968±0.0071,0.4854±0.0215,0.4641±0.0235,0.4464±0.0180,0.6077±0.0212,0.6210±0.0431,0.6409±0.0377,0.6843±0.0477,0.9981±0.0037,0.9857±0.0188,0.9544±0.0364,0.8592±0.0647,0.6953±0.0173,0.6824±0.0146,0.6591±0.0225,0.6262±0.0190,0.6257±0.0193,0.6033±0.0204,0.5673±0.0260,0.5158±0.0226,0.7831±0.0272,0.7864±0.0211,0.7873±0.0254,0.7980±0.0236,0.1928±0.0265,0.1550±0.0284,0.1005±0.0322,0.0519±0.0206
PreOrder__Hamming__2,0.6343±0.0406,0.6221±0.0512,0.5664±0.0617,0.4631±0.0463,0.6851±0.0405,0.6707±0.0253,0.6514±0.0299,0.6107±0.0341,0.6577±0.0341,0.6241±0.0310,0.5922±0.0278,0.5697±0.0356,0.6451±0.0308,0.6194±0.0220,0.5921±0.0233,0.5617±0.0291,0.7177±0.0251,0.7010±0.0155,0.6843±0.0176,0.6526±0.0187,0.5354±0.0333,0.5058±0.0226,0.4767±0.0264,0.4412±0.0279,0.4861±0.0260,0.4637±0.0206,0.4541±0.0275,0.4549±0.0259,0.5267±0.0242,0.5084±0.0185,0.5007±0.0410,0.4772±0.0289,0.4856±0.0231,0.4595±0.0237,0.4436±0.0251,0.4512±0.0333,1.0000±0.0000,0.9946±0.0061,0.9644±0.0600,0.8490±0.1235,0.6664±0.0303,0.6426±0.0215,0.6186±0.0231,0.5871±0.0264,0.6780±0.0393,0.6610±0.0254,0.6436±0.0283,0.6004±0.0313,0.6564±0.0335,0.6261±0.0304,0.5964±0.0302,0.5754±0.0324,0.1784±0.0270,0.1427±0.0274,0.1193±0.0268,0.0811±0.0248
PreOrder__Hamming__None,0.5575±0.0261,0.5569±0.0394,0.5438±0.0497,0.4797±0.0498,0.6469±0.0232,0.6285±0.0239,0.5984±0.0277,0.5652±0.0240,0.7657±0.0265,0.7592±0.0261,0.7530±0.0311,0.7508±0.0379,0.6751±0.0180,0.6600±0.0201,0.6394±0.0220,0.6172±0.0224,0.7117±0.0102,0.6963±0.0165,0.6697±0.0152,0.6381±0.0169,0.5671±0.0220,0.5470±0.0236,0.5197±0.0243,0.4900±0.0223,0.5420±0.0087,0.5315±0.0167,0.5267±0.0265,0.5229±0.0222,0.5016±0.0097,0.4852±0.0172,0.4715±0.0269,0.4613±0.0203,0.6028±0.0186,0.5985±0.0253,0.6079±0.0335,0.6242±0.0573,0.9981±0.0037,0.9937±0.0082,0.9671±0.0295,0.8717±0.0560,0.6978±0.0166,0.6853±0.0206,0.6653±0.0211,0.6426±0.0205,0.6349±0.0220,0.6179±0.0247,0.5896±0.0267,0.5586±0.0238,0.7755±0.0260,0.7703±0.0292,0.7649±0.0326,0.7579±0.0338,0.1910±0.0454,0.1604±0.0377,0.1117±0.0338,0.0757±0.0271
PreOrder__Subset__2,0.6526±0.0532,0.6254±0.0589,0.5674±0.0604,0.4594±0.0441,0.6836±0.0432,0.6747±0.0262,0.6568±0.0304,0.6122±0.0390,0.6090±0.0350,0.5850±0.0296,0.5615±0.0302,0.5388±0.0353,0.6193±0.0353,0.5984±0.0204,0.5775±0.0250,0.5455±0.0303,0.7051±0.0246,0.6945±0.0161,0.6811±0.0179,0.6477±0.0202,0.5063±0.0374,0.4841±0.0221,0.4616±0.0265,0.4253±0.0274,0.4525±0.0328,0.4429±0.0228,0.4391±0.0261,0.4425±0.0255,0.5189±0.0325,0.5110±0.0282,0.5018±0.0374,0.4777±0.0266,0.4430±0.0223,0.4255±0.0237,0.4186±0.0236,0.4281±0.0321,1.0000±0.0000,0.9930±0.0066,0.9585±0.0695,0.8367±0.1241,0.6378±0.0334,0.6212±0.0210,0.6033±0.0238,0.5701±0.0275,0.6755±0.0420,0.6653±0.0246,0.6486±0.0291,0.5998±0.0340,0.6049±0.0327,0.5835±0.0296,0.5649±0.0299,0.5442±0.0309,0.1550±0.0319,0.1319±0.0240,0.1106±0.0267,0.0768±0.0247
PreOrder__Subset__None,0.5552±0.0262,0.5565±0.0398,0.5447±0.0512,0.4758±0.0473,0.6481±0.0254,0.6270±0.0241,0.5977±0.0277,0.5648±0.0250,0.7666±0.0254,0.7571±0.0268,0.7517±0.0298,0.7511±0.0387,0.6762±0.0197,0.6585±0.0203,0.6382±0.0217,0.6170±0.0231,0.7132±0.0124,0.6951±0.0166,0.6681±0.0143,0.6378±0.0176,0.5684±0.0239,0.5454±0.0236,0.5183±0.0236,0.4895±0.0232,0.5439±0.0110,0.5305±0.0171,0.5234±0.0251,0.5229±0.0220,0.5044±0.0136,0.4845±0.0174,0.4686±0.0263,0.4610±0.0208,0.6038±0.0181,0.5974±0.0263,0.6039±0.0293,0.6247±0.0568,0.9958±0.0052,0.9941±0.0073,0.9684±0.0284,0.8690±0.0563,0.6991±0.0180,0.6841±0.0208,0.6637±0.0205,0.6424±0.0213,0.6366±0.0238,0.6168±0.0249,0.5881±0.0265,0.5584±0.0248,0.7761±0.0251,0.7690±0.0299,0.7633±0.0312,0.7577±0.0344,0.1928±0.0465,0.1560±0.0360,0.1110±0.0308,0.0753±0.0272
br,0.6260±0.0387,0.6060±0.0405,0.5499±0.0517,0.4408±0.0689,0.6776±0.0226,0.6624±0.0317,0.6329±0.0294,0.5945±0.0361,0.6462±0.0313,0.6366±0.0313,0.6080±0.0386,0.5788±0.0472,0.6321±0.0170,0.6164±0.0251,0.5848±0.0253,0.5476±0.0305,0.7117±0.0147,0.6999±0.0157,0.6783±0.0153,0.6470±0.0174,0.5222±0.0148,0.5048±0.0260,0.4705±0.0250,0.4280±0.0290,0.4766±0.0172,0.4718±0.0202,0.4620±0.0279,0.4547±0.0352,0.5177±0.0135,0.5042±0.0282,0.4874±0.0419,0.4670±0.0280,0.4794±0.0258,0.4781±0.0202,0.4645±0.0329,0.4576±0.0504,1.0000±0.0000,0.9989±0.0040,0.9775±0.0573,0.9189±0.0926,0.6616±0.0174,0.6499±0.0233,0.6234±0.0221,0.5866±0.0278,0.6680±0.0203,0.6522±0.0329,0.6279±0.0280,0.5913±0.0315,0.6566±0.0314,0.6489±0.0292,0.6207±0.0354,0.5845±0.0451,0.1640±0.0175,0.1438±0.0298,0.1139±0.0273,0.0714±0.0278
cc,0.5378±0.0242,0.5491±0.0421,0.5336±0.0532,0.4428±0.0607,0.6622±0.0320,0.6486±0.0300,0.6409±0.0330,0.6000±0.0404,0.6929±0.0139,0.6572±0.0321,0.6149±0.0416,0.5936±0.0405,0.6508±0.0163,0.6242±0.0267,0.5938±0.0271,0.5590±0.0348,0.7147±0.0140,0.6979±0.0179,0.6831±0.0166,0.6518±0.0218,0.5461±0.0183,0.5162±0.0275,0.4816±0.0265,0.4429±0.0324,0.5179±0.0085,0.4889±0.0207,0.4653±0.0246,0.4611±0.0217,0.5135±0.0202,0.4942±0.0206,0.4838±0.0213,0.4678±0.0271,0.5374±0.0127,0.5018±0.0251,0.4686±0.0338,0.4671±0.0314,1.0000±0.0000,0.9974±0.0067,0.9933±0.0077,0.9198±0.0913,0.6794±0.0154,0.6549±0.0240,0.6291±0.0240,0.5969±0.0282,0.6581±0.0322,0.6433±0.0272,0.6337±0.0295,0.5951±0.0380,0.7036±0.0161,0.6678±0.0307,0.6267±0.0404,0.6006±0.0357,0.1946±0.0271,0.1668±0.0278,0.1279±0.0311,0.0897±0.0321
