Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.4391±0.0409,0.5023±0.0401,0.5919±0.0731,0.6549±0.1030,0.3758±0.0454,0.3118±0.0430,0.2768±0.0317,0.2424±0.0292,0.7731±0.0703,0.8299±0.0596,0.8846±0.0419,0.8892±0.0646,0.4634±0.0404,0.4206±0.0413,0.3996±0.0325,0.3664±0.0348,0.5782±0.0251,0.4924±0.0497,0.4343±0.0522,0.3756±0.0519,0.3593±0.0429,0.3011±0.0397,0.2718±0.0313,0.2386±0.0287,0.3516±0.0360,0.3272±0.0281,0.3291±0.0223,0.3149±0.0208,0.2550±0.0221,0.2280±0.0180,0.2243±0.0135,0.2144±0.0150,0.6697±0.0985,0.7085±0.1124,0.7754±0.1094,0.7827±0.1073,0.7736±0.0406,0.8725±0.0815,0.9169±0.0721,0.9012±0.0659,0.4256±0.0242,0.3983±0.0329,0.3889±0.0264,0.3666±0.0311,0.2942±0.0165,0.2630±0.0253,0.2496±0.0203,0.2313±0.0224,0.7719±0.0636,0.8261±0.0659,0.8842±0.0425,0.8887±0.0633,0.1308±0.0571,0.0522±0.0349,0.0232±0.0294,0.0048±0.0119
PartialOrder__Hamming__None,0.4501±0.0359,0.5068±0.0382,0.5961±0.0705,0.6581±0.1033,0.3730±0.0471,0.3113±0.0423,0.2759±0.0316,0.2426±0.0285,0.7803±0.0774,0.8332±0.0574,0.8870±0.0391,0.8902±0.0648,0.4646±0.0464,0.4213±0.0410,0.3992±0.0321,0.3667±0.0339,0.5773±0.0275,0.4920±0.0497,0.4326±0.0513,0.3750±0.0511,0.3590±0.0480,0.3013±0.0390,0.2713±0.0317,0.2387±0.0279,0.3532±0.0393,0.3276±0.0279,0.3288±0.0224,0.3151±0.0206,0.2560±0.0249,0.2279±0.0177,0.2239±0.0139,0.2145±0.0149,0.6743±0.1036,0.7105±0.1118,0.7766±0.1093,0.7849±0.1094,0.8126±0.0405,0.8804±0.0787,0.9200±0.0690,0.9012±0.0659,0.4277±0.0281,0.3994±0.0326,0.3888±0.0263,0.3665±0.0306,0.2950±0.0188,0.2635±0.0252,0.2493±0.0202,0.2312±0.0220,0.7803±0.0719,0.8302±0.0633,0.8866±0.0404,0.8896±0.0635,0.1259±0.0606,0.0503±0.0315,0.0242±0.0298,0.0048±0.0119
PartialOrder__Subset__2,0.4348±0.0433,0.5011±0.0409,0.5918±0.0732,0.6530±0.1035,0.3733±0.0490,0.3110±0.0430,0.2768±0.0317,0.2422±0.0295,0.7682±0.0777,0.8275±0.0603,0.8846±0.0419,0.8883±0.0647,0.4601±0.0456,0.4193±0.0413,0.3996±0.0325,0.3661±0.0353,0.5774±0.0259,0.4919±0.0495,0.4343±0.0522,0.3753±0.0522,0.3568±0.0460,0.3001±0.0397,0.2718±0.0313,0.2384±0.0290,0.3509±0.0366,0.3267±0.0282,0.3291±0.0223,0.3143±0.0213,0.2548±0.0224,0.2277±0.0181,0.2243±0.0134,0.2141±0.0154,0.6677±0.0991,0.7074±0.1120,0.7754±0.1094,0.7761±0.1076,0.7531±0.0305,0.8725±0.0815,0.9169±0.0721,0.9025±0.0655,0.4238±0.0275,0.3973±0.0329,0.3889±0.0264,0.3662±0.0314,0.2930±0.0184,0.2624±0.0253,0.2496±0.0203,0.2311±0.0226,0.7680±0.0702,0.8237±0.0664,0.8842±0.0425,0.8879±0.0634,0.1308±0.0571,0.0522±0.0349,0.0232±0.0294,0.0048±0.0119
PartialOrder__Subset__None,0.4501±0.0359,0.5068±0.0382,0.5962±0.0703,0.6562±0.1028,0.3730±0.0471,0.3113±0.0423,0.2758±0.0316,0.2423±0.0287,0.7803±0.0774,0.8332±0.0574,0.8870±0.0391,0.8892±0.0646,0.4646±0.0464,0.4213±0.0410,0.3991±0.0321,0.3663±0.0342,0.5773±0.0275,0.4920±0.0497,0.4324±0.0513,0.3747±0.0514,0.3590±0.0480,0.3013±0.0390,0.2713±0.0317,0.2385±0.0281,0.3532±0.0393,0.3276±0.0279,0.3288±0.0224,0.3145±0.0209,0.2560±0.0249,0.2279±0.0177,0.2239±0.0139,0.2142±0.0152,0.6743±0.1036,0.7105±0.1118,0.7766±0.1093,0.7783±0.1064,0.8126±0.0405,0.8804±0.0787,0.9200±0.0690,0.9025±0.0655,0.4277±0.0281,0.3994±0.0326,0.3887±0.0262,0.3662±0.0309,0.2950±0.0188,0.2635±0.0252,0.2493±0.0202,0.2310±0.0222,0.7803±0.0719,0.8302±0.0633,0.8866±0.0404,0.8887±0.0633,0.1259±0.0606,0.0503±0.0315,0.0242±0.0298,0.0048±0.0119
PreOrder__Hamming__2,0.3651±0.0646,0.3745±0.0553,0.4226±0.0915,0.3927±0.0833,0.4012±0.0526,0.3676±0.0549,0.3490±0.0519,0.3255±0.0627,0.6804±0.0413,0.7096±0.0790,0.7243±0.0839,0.7083±0.0834,0.4554±0.0464,0.4378±0.0493,0.4327±0.0477,0.4173±0.0605,0.6008±0.0364,0.5776±0.0495,0.5829±0.0661,0.5856±0.0728,0.3749±0.0453,0.3424±0.0468,0.3273±0.0448,0.3083±0.0571,0.3379±0.0437,0.3327±0.0369,0.3300±0.0458,0.3157±0.0345,0.2577±0.0285,0.2481±0.0296,0.2455±0.0311,0.2380±0.0246,0.5981±0.1136,0.6247±0.1096,0.6217±0.1316,0.5709±0.1240,0.6059±0.0890,0.6854±0.0860,0.7302±0.1054,0.7396±0.1204,0.4094±0.0284,0.4051±0.0422,0.4122±0.0421,0.4098±0.0540,0.2931±0.0233,0.2852±0.0345,0.2913±0.0371,0.2920±0.0493,0.6802±0.0390,0.7070±0.0779,0.7154±0.0776,0.7005±0.0775,0.2033±0.0460,0.1297±0.0498,0.0928±0.0419,0.0599±0.0434
PreOrder__Hamming__None,0.4134±0.0607,0.4161±0.0626,0.4534±0.1009,0.4098±0.0692,0.3876±0.0449,0.3599±0.0456,0.3398±0.0469,0.3064±0.0499,0.7100±0.0557,0.7437±0.0614,0.7566±0.0837,0.7554±0.0721,0.4555±0.0427,0.4456±0.0393,0.4360±0.0478,0.4141±0.0540,0.6007±0.0324,0.5774±0.0460,0.5751±0.0637,0.5620±0.0619,0.3617±0.0403,0.3431±0.0405,0.3244±0.0414,0.2949±0.0483,0.3397±0.0515,0.3381±0.0329,0.3328±0.0456,0.3233±0.0315,0.2572±0.0365,0.2493±0.0265,0.2434±0.0298,0.2361±0.0210,0.6057±0.1197,0.6396±0.1068,0.6397±0.1344,0.6238±0.1127,0.6466±0.0606,0.7450±0.1028,0.7829±0.1162,0.7634±0.1179,0.4173±0.0302,0.4178±0.0359,0.4192±0.0446,0.4108±0.0482,0.2967±0.0219,0.2914±0.0307,0.2921±0.0364,0.2845±0.0403,0.7046±0.0578,0.7449±0.0640,0.7510±0.0816,0.7471±0.0696,0.1499±0.0425,0.1093±0.0494,0.0734±0.0310,0.0310±0.0362
PreOrder__Subset__2,0.3586±0.0644,0.3663±0.0516,0.4138±0.0914,0.3935±0.0817,0.4039±0.0533,0.3717±0.0571,0.3511±0.0505,0.3225±0.0626,0.6707±0.0399,0.7042±0.0794,0.7224±0.0811,0.6982±0.0855,0.4520±0.0472,0.4382±0.0514,0.4330±0.0445,0.4119±0.0610,0.6000±0.0368,0.5786±0.0494,0.5831±0.0669,0.5835±0.0719,0.3724±0.0502,0.3451±0.0508,0.3275±0.0422,0.3050±0.0571,0.3363±0.0438,0.3333±0.0362,0.3310±0.0453,0.3127±0.0369,0.2582±0.0285,0.2493±0.0296,0.2467±0.0305,0.2358±0.0260,0.5925±0.1137,0.6233±0.1083,0.6268±0.1249,0.5707±0.1197,0.5836±0.0916,0.6640±0.0842,0.7219±0.1090,0.7128±0.1403,0.4047±0.0287,0.4036±0.0427,0.4110±0.0385,0.4054±0.0545,0.2905±0.0236,0.2847±0.0349,0.2909±0.0345,0.2891±0.0493,0.6685±0.0407,0.7012±0.0794,0.7115±0.0767,0.6915±0.0790,0.2033±0.0630,0.1394±0.0577,0.0918±0.0424,0.0618±0.0439
PreOrder__Subset__None,0.4161±0.0579,0.4176±0.0613,0.4478±0.0995,0.4097±0.0672,0.3846±0.0470,0.3574±0.0463,0.3404±0.0480,0.3051±0.0497,0.7196±0.0497,0.7437±0.0614,0.7590±0.0828,0.7574±0.0714,0.4563±0.0415,0.4431±0.0401,0.4369±0.0486,0.4131±0.0539,0.6015±0.0316,0.5740±0.0458,0.5754±0.0643,0.5600±0.0621,0.3602±0.0416,0.3400±0.0403,0.3250±0.0426,0.2939±0.0479,0.3408±0.0526,0.3369±0.0330,0.3350±0.0462,0.3237±0.0310,0.2578±0.0376,0.2480±0.0268,0.2452±0.0314,0.2361±0.0204,0.6094±0.1184,0.6400±0.1069,0.6431±0.1319,0.6261±0.1116,0.6561±0.0515,0.7455±0.0964,0.7861±0.1151,0.7626±0.1165,0.4204±0.0270,0.4155±0.0359,0.4199±0.0448,0.4106±0.0483,0.2984±0.0193,0.2893±0.0304,0.2925±0.0365,0.2839±0.0403,0.7123±0.0523,0.7440±0.0646,0.7525±0.0811,0.7495±0.0676,0.1452±0.0468,0.1064±0.0458,0.0734±0.0338,0.0310±0.0362
br,0.6610±0.0282,0.6480±0.0480,0.6062±0.0777,0.5587±0.0873,0.3216±0.0598,0.3311±0.0904,0.3377±0.0853,0.3042±0.0800,0.2927±0.0673,0.3152±0.0887,0.3373±0.0888,0.3439±0.0791,0.2999±0.0619,0.3117±0.0850,0.3236±0.0817,0.3047±0.0726,0.8221±0.0193,0.8171±0.0218,0.8019±0.0247,0.7617±0.0259,0.2854±0.0601,0.2893±0.0799,0.2976±0.0763,0.2686±0.0661,0.2495±0.0935,0.2501±0.0859,0.2577±0.0845,0.2460±0.0762,0.3096±0.0656,0.3125±0.0790,0.3117±0.1046,0.2880±0.0941,0.2208±0.1007,0.2247±0.0947,0.2443±0.0957,0.2526±0.0943,1.0000±0.0000,1.0000±0.0000,0.9969±0.0084,0.9741±0.0266,0.3832±0.0752,0.3953±0.0949,0.3994±0.0823,0.3636±0.0704,0.6438±0.0884,0.5972±0.0990,0.5214±0.0933,0.3985±0.0637,0.2761±0.0690,0.3023±0.0911,0.3302±0.0876,0.3407±0.0826,0.2419±0.0563,0.2232±0.0671,0.2223±0.0690,0.1662±0.0598
cc,0.6627±0.0327,0.6322±0.0568,0.6225±0.0819,0.5637±0.1008,0.3075±0.0760,0.3189±0.0653,0.3098±0.0659,0.2942±0.0942,0.2808±0.0755,0.2993±0.0625,0.3148±0.0805,0.3337±0.1127,0.2857±0.0727,0.2985±0.0600,0.2987±0.0682,0.2939±0.0944,0.8181±0.0164,0.8102±0.0205,0.8021±0.0210,0.7701±0.0208,0.2688±0.0685,0.2778±0.0564,0.2725±0.0639,0.2566±0.0842,0.2414±0.0996,0.2514±0.0927,0.2459±0.0860,0.2577±0.1042,0.2954±0.0837,0.3058±0.0960,0.3084±0.0864,0.2914±0.0969,0.2149±0.1033,0.2308±0.0978,0.2234±0.0975,0.2544±0.1259,1.0000±0.0000,1.0000±0.0000,0.9970±0.0082,0.9708±0.0383,0.3659±0.0783,0.3790±0.0718,0.3808±0.0760,0.3598±0.0850,0.6169±0.0555,0.5709±0.1109,0.5253±0.0811,0.4128±0.0747,0.2636±0.0702,0.2889±0.0670,0.3056±0.0803,0.3284±0.1046,0.2179±0.0567,0.2164±0.0532,0.1962±0.0602,0.1511±0.0612
