Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PartialOrder__Hamming__None,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PartialOrder__Subset__2,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PartialOrder__Subset__None,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PreOrder__Hamming__2,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PreOrder__Hamming__None,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PreOrder__Subset__2,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
PreOrder__Subset__None,0.8428±0.0350,0.8098±0.0332,0.7819±0.0496,0.7348±0.0423,0.8921±0.0134,0.8796±0.0145,0.8627±0.0189,0.8234±0.0203,0.6292±0.0426,0.6043±0.0448,0.5731±0.0515,0.5152±0.0318,0.7811±0.0250,0.7650±0.0290,0.7339±0.0395,0.6438±0.0438,0.4393±0.0357,0.4594±0.0515,0.4968±0.0575,0.6189±0.0615,0.8399±0.0114,0.8317±0.0186,0.8234±0.0186,0.7807±0.0213,0.2717±0.0193,0.2840±0.0337,0.2914±0.0323,0.3591±0.0405,0.1443±0.0114,0.1510±0.0168,0.1634±0.0190,0.2040±0.0216
br,0.8428±0.0350,0.8017±0.0331,0.7668±0.0460,0.7458±0.0453,0.8921±0.0134,0.8801±0.0128,0.8634±0.0180,0.8224±0.0257,0.6292±0.0426,0.5853±0.0176,0.5695±0.0432,0.5102±0.0337,0.7811±0.0250,0.7669±0.0226,0.7345±0.0257,0.6497±0.0382,0.4393±0.0357,0.4536±0.0424,0.4898±0.0522,0.6180±0.0726,0.8399±0.0114,0.8348±0.0172,0.8240±0.0143,0.7805±0.0228,0.2717±0.0193,0.2790±0.0333,0.2910±0.0214,0.3599±0.0356,0.1443±0.0114,0.1491±0.0141,0.1614±0.0168,0.2036±0.0245
cc,0.8356±0.0374,0.8164±0.0339,0.7692±0.0440,0.7432±0.0436,0.8951±0.0123,0.8841±0.0145,0.8655±0.0165,0.8220±0.0265,0.6342±0.0380,0.6022±0.0359,0.5711±0.0399,0.5134±0.0426,0.7844±0.0230,0.7723±0.0280,0.7365±0.0264,0.6468±0.0488,0.4201±0.0332,0.4486±0.0503,0.4975±0.0562,0.6366±0.0892,0.8444±0.0125,0.8341±0.0166,0.8212±0.0172,0.7762±0.0287,0.2640±0.0232,0.2817±0.0331,0.2964±0.0300,0.3646±0.0492,0.1379±0.0095,0.1472±0.0154,0.1637±0.0185,0.2101±0.0294
