Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PartialOrder__Hamming__None,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PartialOrder__Subset__2,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PartialOrder__Subset__None,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PreOrder__Hamming__2,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PreOrder__Hamming__None,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PreOrder__Subset__2,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
PreOrder__Subset__None,0.6396±0.0265,0.5870±0.0251,0.5734±0.0251,0.5569±0.0184,0.8464±0.0082,0.8107±0.0099,0.7823±0.0108,0.7378±0.0141,0.1897±0.0169,0.1624±0.0114,0.1474±0.0085,0.1296±0.0094,0.3926±0.0182,0.3529±0.0180,0.3059±0.0190,0.2347±0.0180,2.3668±0.1233,2.6197±0.1599,3.0726±0.1740,3.8644±0.1932,0.6014±0.0156,0.5849±0.0151,0.5497±0.0149,0.4776±0.0156,0.5715±0.0216,0.5804±0.0206,0.6052±0.0183,0.6710±0.0185,0.1558±0.0074,0.1744±0.0108,0.2066±0.0109,0.2653±0.0120
br,0.6396±0.0265,0.5873±0.0203,0.5685±0.0210,0.5553±0.0198,0.8464±0.0082,0.8104±0.0099,0.7828±0.0097,0.7371±0.0123,0.1897±0.0169,0.1605±0.0104,0.1463±0.0080,0.1295±0.0064,0.3926±0.0182,0.3501±0.0165,0.3056±0.0165,0.2303±0.0142,2.3668±0.1233,2.6468±0.1471,3.0952±0.1673,3.8565±0.1684,0.6014±0.0156,0.5839±0.0141,0.5475±0.0155,0.4752±0.0144,0.5715±0.0216,0.5786±0.0162,0.6077±0.0190,0.6756±0.0183,0.1558±0.0074,0.1758±0.0097,0.2084±0.0107,0.2652±0.0112
cc,0.6459±0.0084,0.5853±0.0225,0.5696±0.0226,0.5520±0.0213,0.8478±0.0070,0.8104±0.0101,0.7827±0.0120,0.7373±0.0128,0.1924±0.0163,0.1627±0.0126,0.1471±0.0081,0.1306±0.0082,0.3952±0.0160,0.3538±0.0189,0.3065±0.0169,0.2368±0.0188,2.3555±0.1018,2.6401±0.1629,3.0777±0.1824,3.8675±0.2187,0.6037±0.0121,0.5861±0.0165,0.5493±0.0130,0.4790±0.0187,0.5634±0.0156,0.5786±0.0225,0.6029±0.0181,0.6676±0.0254,0.1551±0.0066,0.1759±0.0107,0.2071±0.0119,0.2661±0.0152
