Algorithm,aabs__0.0,aabs__0.1,aabs__0.2,aabs__0.3,abs__0.0,abs__0.1,abs__0.2,abs__0.3,arec__0.0,arec__0.1,arec__0.2,arec__0.3,f1_pa__0.0,f1_pa__0.1,f1_pa__0.2,f1_pa__0.3,hamming_accuracy_pa__0.0,hamming_accuracy_pa__0.1,hamming_accuracy_pa__0.2,hamming_accuracy_pa__0.3,rec__0.0,rec__0.1,rec__0.2,rec__0.3,subset0_1_pa__0.0,subset0_1_pa__0.1,subset0_1_pa__0.2,subset0_1_pa__0.3
PartialOrder__Hamming__2,0.9045±0.0031,0.9257±0.0042,0.9212±0.0034,0.9036±0.0054,0.9893±0.0010,0.9955±0.0010,0.9977±0.0009,0.9973±0.0011,0.9798±0.0012,0.9821±0.0012,0.9759±0.0010,0.9622±0.0018,0.4439±0.0216,0.4197±0.0216,0.3545±0.0119,0.2443±0.0046,0.7888±0.0058,0.7590±0.0072,0.6937±0.0046,0.6079±0.0044,0.8679±0.0062,0.8816±0.0065,0.8482±0.0045,0.7845±0.0085,0.3654±0.0159,0.3461±0.0191,0.2778±0.0125,0.1717±0.0075
PartialOrder__Hamming__None,0.9045±0.0031,0.9257±0.0042,0.9212±0.0034,0.9035±0.0054,0.9893±0.0010,0.9954±0.0011,0.9978±0.0008,0.9973±0.0011,0.9797±0.0011,0.9819±0.0012,0.9757±0.0010,0.9619±0.0017,0.4439±0.0212,0.4194±0.0221,0.3543±0.0124,0.2444±0.0042,0.7876±0.0056,0.7569±0.0078,0.6909±0.0050,0.6048±0.0047,0.8677±0.0061,0.8813±0.0066,0.8480±0.0045,0.7841±0.0087,0.3642±0.0159,0.3444±0.0195,0.2770±0.0140,0.1703±0.0076
PartialOrder__Subset__2,0.9045±0.0031,0.9257±0.0042,0.9212±0.0033,0.9036±0.0054,0.9893±0.0010,0.9955±0.0010,0.9977±0.0009,0.9973±0.0011,0.9798±0.0012,0.9821±0.0012,0.9759±0.0010,0.9622±0.0017,0.4438±0.0216,0.4196±0.0218,0.3543±0.0121,0.2448±0.0046,0.7887±0.0059,0.7589±0.0076,0.6938±0.0049,0.6080±0.0045,0.8679±0.0062,0.8817±0.0066,0.8481±0.0046,0.7846±0.0085,0.3654±0.0159,0.3463±0.0193,0.2776±0.0127,0.1722±0.0075
PartialOrder__Subset__None,0.9045±0.0031,0.9257±0.0042,0.9212±0.0034,0.9035±0.0054,0.9893±0.0010,0.9954±0.0011,0.9978±0.0008,0.9973±0.0011,0.9797±0.0011,0.9819±0.0012,0.9756±0.0010,0.9619±0.0017,0.4440±0.0212,0.4194±0.0220,0.3540±0.0125,0.2449±0.0043,0.7876±0.0056,0.7568±0.0077,0.6908±0.0052,0.6050±0.0047,0.8678±0.0061,0.8813±0.0065,0.8479±0.0046,0.7842±0.0086,0.3644±0.0157,0.3444±0.0194,0.2764±0.0142,0.1705±0.0075
PreOrder__Hamming__2,0.8813±0.0028,0.8743±0.0063,0.8149±0.0054,0.6705±0.0100,0.9768±0.0025,0.9806±0.0024,0.9791±0.0033,0.9662±0.0069,0.9736±0.0012,0.9693±0.0019,0.9472±0.0018,0.8846±0.0033,0.4124±0.0151,0.3888±0.0087,0.3329±0.0120,0.2560±0.0063,0.7777±0.0065,0.7559±0.0055,0.7146±0.0052,0.6499±0.0043,0.8326±0.0066,0.8086±0.0085,0.6885±0.0088,0.4278±0.0113,0.3154±0.0123,0.2951±0.0092,0.2284±0.0108,0.1355±0.0087
PreOrder__Hamming__None,0.8801±0.0030,0.8740±0.0064,0.8146±0.0057,0.6695±0.0104,0.9761±0.0023,0.9811±0.0022,0.9798±0.0041,0.9677±0.0069,0.9731±0.0011,0.9686±0.0020,0.9456±0.0022,0.8793±0.0040,0.4142±0.0152,0.3882±0.0088,0.3328±0.0113,0.2563±0.0062,0.7759±0.0050,0.7509±0.0057,0.7063±0.0057,0.6347±0.0026,0.8310±0.0068,0.8068±0.0084,0.6855±0.0088,0.4227±0.0120,0.3119±0.0122,0.2899±0.0075,0.2224±0.0097,0.1290±0.0086
PreOrder__Subset__2,0.8823±0.0029,0.8747±0.0062,0.8155±0.0055,0.6710±0.0101,0.9775±0.0025,0.9807±0.0024,0.9794±0.0034,0.9666±0.0070,0.9738±0.0012,0.9694±0.0018,0.9474±0.0018,0.8850±0.0031,0.4116±0.0150,0.3884±0.0081,0.3324±0.0126,0.2554±0.0060,0.7770±0.0063,0.7560±0.0056,0.7150±0.0055,0.6504±0.0045,0.8336±0.0065,0.8091±0.0082,0.6892±0.0088,0.4285±0.0109,0.3161±0.0115,0.2953±0.0082,0.2292±0.0109,0.1364±0.0080
PreOrder__Subset__None,0.8809±0.0030,0.8743±0.0064,0.8150±0.0057,0.6700±0.0105,0.9764±0.0025,0.9812±0.0022,0.9800±0.0040,0.9682±0.0068,0.9732±0.0010,0.9686±0.0019,0.9457±0.0021,0.8793±0.0041,0.4140±0.0147,0.3886±0.0086,0.3329±0.0112,0.2560±0.0065,0.7755±0.0047,0.7505±0.0052,0.7063±0.0055,0.6343±0.0029,0.8317±0.0066,0.8072±0.0084,0.6859±0.0088,0.4230±0.0122,0.3120±0.0111,0.2902±0.0079,0.2226±0.0096,0.1294±0.0088
