Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PartialOrder__Hamming__None,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PartialOrder__Subset__2,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PartialOrder__Subset__None,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PreOrder__Hamming__2,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PreOrder__Hamming__None,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PreOrder__Subset__2,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
PreOrder__Subset__None,0.7285±0.0072,0.6908±0.0028,0.6596±0.0085,0.6221±0.0064,0.7863±0.0052,0.7251±0.0026,0.6851±0.0053,0.6432±0.0033,0.2543±0.0087,0.2350±0.0067,0.2078±0.0094,0.1731±0.0017,0.2974±0.0102,0.2691±0.0082,0.2359±0.0093,0.1867±0.0026,0.7574±0.0169,1.0491±0.0150,1.2223±0.0269,1.3555±0.0222,0.8086±0.0034,0.7791±0.0040,0.7576±0.0036,0.7362±0.0035,0.7246±0.0048,0.7500±0.0054,0.7747±0.0064,0.8040±0.0029,0.1167±0.0025,0.1540±0.0016,0.1779±0.0030,0.1984±0.0018
br,0.7285±0.0072,0.6887±0.0071,0.6620±0.0040,0.6249±0.0074,0.7863±0.0052,0.7231±0.0032,0.6882±0.0034,0.6453±0.0043,0.2543±0.0087,0.2316±0.0070,0.2079±0.0077,0.1769±0.0036,0.2974±0.0102,0.2672±0.0067,0.2359±0.0075,0.1903±0.0055,0.7574±0.0169,1.0658±0.0247,1.2021±0.0186,1.3648±0.0197,0.8086±0.0034,0.7771±0.0046,0.7596±0.0033,0.7357±0.0026,0.7246±0.0048,0.7530±0.0073,0.7741±0.0078,0.8049±0.0047,0.1167±0.0025,0.1571±0.0019,0.1754±0.0015,0.1996±0.0028
cc,0.7285±0.0075,0.6853±0.0070,0.6576±0.0045,0.6230±0.0059,0.7841±0.0044,0.7259±0.0041,0.6887±0.0046,0.6475±0.0059,0.2479±0.0079,0.2294±0.0087,0.2090±0.0070,0.1741±0.0050,0.2919±0.0085,0.2700±0.0090,0.2399±0.0090,0.1896±0.0059,0.7638±0.0138,1.0390±0.0275,1.2015±0.0170,1.3504±0.0230,0.8063±0.0025,0.7801±0.0034,0.7608±0.0031,0.7373±0.0040,0.7286±0.0040,0.7500±0.0055,0.7703±0.0085,0.8035±0.0087,0.1181±0.0017,0.1532±0.0022,0.1752±0.0027,0.1972±0.0032
clr,0.7080±0.0048,0.6820±0.0052,0.6584±0.0080,0.6279±0.0041,0.7745±0.0041,0.7336±0.0026,0.6989±0.0026,0.6592±0.0042,0.2360±0.0084,0.2349±0.0078,0.2132±0.0075,0.1800±0.0047,0.2818±0.0099,0.2806±0.0080,0.2488±0.0076,0.1999±0.0058,0.6828±0.0120,0.8965±0.0159,1.0574±0.0283,1.2057±0.0176,0.8218±0.0033,0.8005±0.0018,0.7810±0.0037,0.7586±0.0019,0.7065±0.0061,0.7255±0.0035,0.7463±0.0063,0.7754±0.0059,0.1064±0.0026,0.1334±0.0010,0.1548±0.0024,0.1764±0.0024
