Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.8766±0.0049,0.9126±0.0058,0.9125±0.0039,0.9020±0.0064,0.1204±0.0022,0.1141±0.0019,0.1107±0.0014,0.1086±0.0015,0.5269±0.0038,0.5333±0.0037,0.5318±0.0040,0.5274±0.0042,0.1835±0.0024,0.1791±0.0024,0.1762±0.0020,0.1739±0.0021,0.1626±0.0018,0.1474±0.0034,0.1455±0.0022,0.1498±0.0024,0.1172±0.0018,0.1124±0.0017,0.1097±0.0014,0.1078±0.0015,0.1843±0.0017,0.1843±0.0021,0.1839±0.0022,0.1839±0.0020,0.1063±0.0013,0.1061±0.0015,0.1059±0.0016,0.1060±0.0015,0.9442±0.0035,0.9621±0.0035,0.9601±0.0021,0.9553±0.0037,0.9436±0.0056,0.9662±0.0043,0.9583±0.0042,0.9404±0.0041,0.1938±0.0022,0.1932±0.0025,0.1926±0.0026,0.1924±0.0025,0.1078±0.0014,0.1072±0.0016,0.1069±0.0016,0.1069±0.0015,0.9579±0.0024,0.9711±0.0010,0.9696±0.0019,0.9636±0.0018,0.0045±0.0007,0.0015±0.0006,0.0004±0.0002,0.0001±0.0001
PartialOrder__Hamming__None,0.8772±0.0050,0.9131±0.0058,0.9132±0.0039,0.9028±0.0067,0.1202±0.0021,0.1139±0.0019,0.1106±0.0014,0.1085±0.0014,0.5271±0.0038,0.5335±0.0037,0.5320±0.0040,0.5277±0.0041,0.1836±0.0024,0.1791±0.0024,0.1762±0.0021,0.1739±0.0021,0.1625±0.0018,0.1473±0.0033,0.1453±0.0022,0.1495±0.0024,0.1172±0.0018,0.1123±0.0017,0.1096±0.0014,0.1078±0.0015,0.1843±0.0018,0.1843±0.0021,0.1839±0.0022,0.1840±0.0020,0.1063±0.0014,0.1062±0.0015,0.1059±0.0016,0.1061±0.0015,0.9446±0.0037,0.9625±0.0036,0.9605±0.0022,0.9558±0.0039,0.9438±0.0055,0.9673±0.0041,0.9589±0.0040,0.9415±0.0042,0.1939±0.0022,0.1932±0.0025,0.1926±0.0026,0.1925±0.0024,0.1079±0.0014,0.1073±0.0016,0.1069±0.0016,0.1069±0.0015,0.9583±0.0025,0.9714±0.0010,0.9701±0.0019,0.9643±0.0018,0.0043±0.0007,0.0013±0.0005,0.0004±0.0002,0.0000±0.0001
PartialOrder__Subset__2,0.8766±0.0049,0.9126±0.0058,0.9124±0.0040,0.9021±0.0064,0.1203±0.0022,0.1141±0.0019,0.1107±0.0014,0.1086±0.0014,0.5268±0.0038,0.5333±0.0037,0.5318±0.0040,0.5274±0.0042,0.1835±0.0024,0.1791±0.0025,0.1762±0.0020,0.1739±0.0021,0.1626±0.0018,0.1474±0.0034,0.1455±0.0022,0.1498±0.0024,0.1172±0.0018,0.1124±0.0017,0.1097±0.0014,0.1078±0.0014,0.1842±0.0017,0.1843±0.0021,0.1839±0.0022,0.1839±0.0020,0.1063±0.0013,0.1061±0.0015,0.1059±0.0016,0.1061±0.0015,0.9442±0.0035,0.9621±0.0035,0.9600±0.0021,0.9554±0.0037,0.9436±0.0056,0.9659±0.0042,0.9582±0.0042,0.9404±0.0042,0.1938±0.0022,0.1931±0.0025,0.1926±0.0025,0.1924±0.0025,0.1078±0.0013,0.1072±0.0016,0.1069±0.0016,0.1069±0.0015,0.9578±0.0025,0.9710±0.0010,0.9696±0.0019,0.9637±0.0017,0.0044±0.0007,0.0015±0.0006,0.0004±0.0002,0.0001±0.0001
PartialOrder__Subset__None,0.8772±0.0050,0.9132±0.0058,0.9131±0.0040,0.9029±0.0067,0.1202±0.0021,0.1139±0.0019,0.1106±0.0014,0.1085±0.0014,0.5271±0.0038,0.5335±0.0037,0.5320±0.0040,0.5277±0.0041,0.1836±0.0024,0.1791±0.0024,0.1762±0.0021,0.1739±0.0021,0.1625±0.0018,0.1472±0.0033,0.1452±0.0022,0.1495±0.0024,0.1172±0.0018,0.1123±0.0017,0.1096±0.0014,0.1078±0.0015,0.1843±0.0018,0.1843±0.0021,0.1839±0.0022,0.1840±0.0020,0.1063±0.0014,0.1062±0.0015,0.1059±0.0016,0.1061±0.0015,0.9446±0.0037,0.9625±0.0036,0.9604±0.0023,0.9559±0.0039,0.9438±0.0055,0.9673±0.0041,0.9587±0.0040,0.9414±0.0043,0.1939±0.0022,0.1932±0.0025,0.1926±0.0026,0.1925±0.0024,0.1078±0.0014,0.1073±0.0016,0.1069±0.0016,0.1069±0.0015,0.9583±0.0025,0.9714±0.0010,0.9700±0.0019,0.9644±0.0018,0.0043±0.0007,0.0013±0.0005,0.0004±0.0002,0.0000±0.0001
PreOrder__Hamming__2,0.8324±0.0048,0.8278±0.0116,0.7593±0.0117,0.6121±0.0108,0.1239±0.0013,0.1213±0.0023,0.1225±0.0019,0.1226±0.0020,0.5141±0.0033,0.5124±0.0040,0.4976±0.0047,0.4634±0.0043,0.1834±0.0017,0.1815±0.0027,0.1825±0.0026,0.1815±0.0022,0.1750±0.0017,0.1766±0.0043,0.2053±0.0033,0.2713±0.0057,0.1178±0.0010,0.1160±0.0020,0.1170±0.0019,0.1169±0.0017,0.1823±0.0013,0.1821±0.0020,0.1818±0.0020,0.1824±0.0014,0.1055±0.0011,0.1054±0.0015,0.1056±0.0015,0.1072±0.0012,0.9176±0.0053,0.9149±0.0076,0.8811±0.0077,0.8145±0.0063,0.9016±0.0078,0.9015±0.0102,0.8594±0.0158,0.7376±0.0112,0.1915±0.0018,0.1914±0.0025,0.1922±0.0024,0.1945±0.0019,0.1067±0.0012,0.1067±0.0016,0.1076±0.0015,0.1100±0.0012,0.9295±0.0037,0.9272±0.0047,0.8997±0.0075,0.8371±0.0048,0.0066±0.0009,0.0050±0.0007,0.0044±0.0005,0.0027±0.0006
PreOrder__Hamming__None,0.8320±0.0049,0.8302±0.0106,0.7658±0.0110,0.6280±0.0117,0.1241±0.0014,0.1207±0.0024,0.1214±0.0017,0.1211±0.0018,0.5148±0.0034,0.5131±0.0041,0.5000±0.0044,0.4685±0.0040,0.1838±0.0019,0.1815±0.0027,0.1825±0.0022,0.1815±0.0021,0.1755±0.0019,0.1761±0.0042,0.2040±0.0031,0.2667±0.0051,0.1183±0.0012,0.1158±0.0021,0.1167±0.0015,0.1163±0.0016,0.1826±0.0014,0.1822±0.0019,0.1823±0.0019,0.1832±0.0015,0.1057±0.0012,0.1054±0.0015,0.1059±0.0014,0.1075±0.0012,0.9176±0.0051,0.9165±0.0066,0.8855±0.0072,0.8239±0.0086,0.9037±0.0081,0.9036±0.0099,0.8688±0.0171,0.7564±0.0078,0.1918±0.0019,0.1916±0.0025,0.1929±0.0022,0.1954±0.0020,0.1069±0.0012,0.1068±0.0016,0.1079±0.0014,0.1105±0.0012,0.9311±0.0030,0.9289±0.0044,0.9050±0.0069,0.8475±0.0058,0.0067±0.0010,0.0044±0.0006,0.0036±0.0008,0.0017±0.0003
PreOrder__Subset__2,0.8327±0.0050,0.8274±0.0114,0.7591±0.0117,0.6103±0.0111,0.1236±0.0013,0.1214±0.0023,0.1225±0.0020,0.1224±0.0022,0.5139±0.0033,0.5120±0.0039,0.4973±0.0048,0.4623±0.0044,0.1829±0.0017,0.1814±0.0026,0.1823±0.0026,0.1811±0.0023,0.1742±0.0017,0.1764±0.0044,0.2051±0.0034,0.2712±0.0060,0.1175±0.0009,0.1158±0.0020,0.1169±0.0020,0.1167±0.0018,0.1822±0.0013,0.1819±0.0019,0.1817±0.0020,0.1821±0.0014,0.1054±0.0011,0.1053±0.0015,0.1056±0.0015,0.1071±0.0012,0.9172±0.0054,0.9143±0.0075,0.8808±0.0077,0.8128±0.0061,0.9009±0.0072,0.9003±0.0113,0.8578±0.0159,0.7338±0.0110,0.1913±0.0018,0.1912±0.0025,0.1920±0.0024,0.1941±0.0020,0.1066±0.0011,0.1066±0.0016,0.1075±0.0015,0.1098±0.0012,0.9291±0.0036,0.9263±0.0047,0.8989±0.0079,0.8352±0.0047,0.0065±0.0010,0.0050±0.0008,0.0046±0.0007,0.0029±0.0008
PreOrder__Subset__None,0.8329±0.0047,0.8307±0.0104,0.7665±0.0111,0.6278±0.0125,0.1238±0.0014,0.1207±0.0024,0.1213±0.0017,0.1208±0.0017,0.5149±0.0034,0.5131±0.0040,0.5001±0.0042,0.4680±0.0043,0.1836±0.0019,0.1814±0.0027,0.1824±0.0022,0.1812±0.0020,0.1749±0.0019,0.1759±0.0042,0.2037±0.0032,0.2662±0.0051,0.1181±0.0011,0.1157±0.0021,0.1167±0.0015,0.1161±0.0016,0.1825±0.0014,0.1822±0.0019,0.1823±0.0018,0.1830±0.0015,0.1056±0.0012,0.1054±0.0015,0.1059±0.0014,0.1074±0.0012,0.9177±0.0050,0.9167±0.0064,0.8859±0.0072,0.8233±0.0091,0.9044±0.0078,0.9035±0.0109,0.8690±0.0172,0.7555±0.0074,0.1918±0.0019,0.1915±0.0025,0.1928±0.0022,0.1952±0.0019,0.1069±0.0012,0.1068±0.0016,0.1079±0.0014,0.1103±0.0012,0.9313±0.0029,0.9289±0.0044,0.9051±0.0069,0.8467±0.0065,0.0066±0.0010,0.0044±0.0006,0.0036±0.0008,0.0017±0.0003
br,0.3315±0.0072,0.1950±0.0080,0.1068±0.0057,0.0668±0.0103,0.3791±0.0057,0.2825±0.0045,0.2131±0.0063,0.1650±0.0035,0.4743±0.0059,0.4272±0.0054,0.3835±0.0078,0.3463±0.0055,0.3984±0.0058,0.3159±0.0046,0.2523±0.0064,0.2061±0.0039,0.7943±0.0035,0.7231±0.0032,0.6668±0.0035,0.6134±0.0020,0.3492±0.0050,0.2618±0.0050,0.1961±0.0061,0.1506±0.0032,0.3035±0.0069,0.2688±0.0035,0.2477±0.0033,0.2235±0.0018,0.2232±0.0065,0.1874±0.0034,0.1685±0.0033,0.1491±0.0020,0.4824±0.0078,0.5400±0.0072,0.5680±0.0070,0.5665±0.0087,0.8807±0.0152,0.5181±0.0294,0.3198±0.0665,0.2415±0.0418,0.3662±0.0078,0.3101±0.0037,0.2764±0.0053,0.2441±0.0034,0.2708±0.0076,0.2101±0.0034,0.1791±0.0043,0.1536±0.0025,0.5655±0.0067,0.5920±0.0044,0.6053±0.0019,0.5938±0.0059,0.2204±0.0038,0.1324±0.0077,0.0689±0.0065,0.0319±0.0022
cc,0.3140±0.0146,0.1915±0.0069,0.1197±0.0087,0.0638±0.0097,0.3773±0.0053,0.2818±0.0066,0.2100±0.0036,0.1658±0.0022,0.4985±0.0061,0.4344±0.0057,0.3804±0.0074,0.3500±0.0046,0.4034±0.0055,0.3162±0.0066,0.2490±0.0039,0.2076±0.0025,0.7762±0.0037,0.7156±0.0061,0.6664±0.0021,0.6130±0.0013,0.3525±0.0047,0.2621±0.0069,0.1933±0.0028,0.1513±0.0015,0.3007±0.0075,0.2676±0.0050,0.2453±0.0041,0.2248±0.0035,0.2149±0.0060,0.1840±0.0045,0.1662±0.0031,0.1498±0.0029,0.5082±0.0132,0.5483±0.0069,0.5620±0.0087,0.5710±0.0085,0.8445±0.0399,0.5254±0.0180,0.3655±0.0380,0.1993±0.0538,0.3602±0.0086,0.3097±0.0065,0.2759±0.0056,0.2466±0.0045,0.2575±0.0076,0.2079±0.0056,0.1787±0.0039,0.1550±0.0031,0.5992±0.0090,0.6069±0.0036,0.6048±0.0097,0.6025±0.0083,0.2221±0.0031,0.1333±0.0083,0.0675±0.0017,0.0308±0.0014
