Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PartialOrder__Hamming__None,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PartialOrder__Subset__2,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PartialOrder__Subset__None,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PreOrder__Hamming__2,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PreOrder__Hamming__None,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PreOrder__Subset__2,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
PreOrder__Subset__None,0.6899±0.0048,0.6249±0.0301,0.6019±0.0171,0.5780±0.0095,0.8611±0.0079,0.7943±0.0164,0.7216±0.0079,0.6538±0.0087,0.2291±0.0147,0.1815±0.0211,0.1539±0.0067,0.1369±0.0070,0.3990±0.0275,0.3270±0.0219,0.2323±0.0099,0.1575±0.0039,2.1736±0.1386,3.0013±0.2148,3.9517±0.1369,4.8900±0.1776,0.6228±0.0177,0.5595±0.0192,0.4650±0.0063,0.3724±0.0094,0.5522±0.0252,0.5937±0.0164,0.7003±0.0080,0.8014±0.0095,0.1420±0.0089,0.2007±0.0146,0.2688±0.0087,0.3418±0.0121
br,0.6899±0.0048,0.6363±0.0201,0.6073±0.0229,0.5530±0.0178,0.8611±0.0079,0.8016±0.0077,0.7215±0.0063,0.6418±0.0130,0.2291±0.0147,0.1768±0.0106,0.1549±0.0127,0.1245±0.0047,0.3990±0.0275,0.3321±0.0139,0.2384±0.0158,0.1532±0.0091,2.1736±0.1386,2.9256±0.1474,3.9656±0.0957,5.0396±0.1540,0.6228±0.0177,0.5590±0.0173,0.4661±0.0138,0.3697±0.0101,0.5522±0.0252,0.6053±0.0210,0.6919±0.0184,0.7968±0.0096,0.1420±0.0089,0.1947±0.0110,0.2713±0.0061,0.3524±0.0110
cc,0.6924±0.0143,0.6228±0.0095,0.6035±0.0246,0.5707±0.0260,0.8525±0.0107,0.8024±0.0106,0.7261±0.0191,0.6573±0.0030,0.2199±0.0102,0.1843±0.0074,0.1548±0.0143,0.1313±0.0057,0.3538±0.0428,0.3461±0.0161,0.2409±0.0302,0.1597±0.0077,2.2760±0.1552,2.9115±0.1473,3.8915±0.2359,4.8011±0.0658,0.5975±0.0195,0.5683±0.0119,0.4680±0.0249,0.3872±0.0097,0.5840±0.0289,0.5850±0.0141,0.6983±0.0348,0.7827±0.0165,0.1500±0.0098,0.1936±0.0088,0.2657±0.0161,0.3330±0.0044
