Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.4429±0.0490,0.4916±0.0503,0.4993±0.0437,0.3634±0.0271,0.1820±0.0098,0.1295±0.0044,0.1098±0.0028,0.1070±0.0019,0.8339±0.0113,0.8530±0.0167,0.8557±0.0179,0.8006±0.0149,0.2484±0.0078,0.2055±0.0045,0.1886±0.0035,0.1854±0.0030,0.3710±0.0148,0.3364±0.0148,0.3388±0.0142,0.3930±0.0045,0.1762±0.0081,0.1273±0.0046,0.1089±0.0027,0.1061±0.0019,0.1558±0.0012,0.1519±0.0024,0.1496±0.0016,0.1488±0.0023,0.0965±0.0010,0.0931±0.0015,0.0914±0.0011,0.0919±0.0014,0.7684±0.0399,0.7762±0.0379,0.7853±0.0287,0.7111±0.0222,0.7878±0.0119,0.8250±0.0344,0.8253±0.0293,0.7107±0.0222,0.1825±0.0016,0.1782±0.0032,0.1788±0.0029,0.1827±0.0032,0.1025±0.0010,0.0995±0.0020,0.0999±0.0019,0.1031±0.0019,0.8294±0.0100,0.8496±0.0178,0.8502±0.0146,0.8014±0.0157,0.0654±0.0079,0.0155±0.0039,0.0016±0.0020,0.0000±0.0000
PartialOrder__Hamming__None,0.4471±0.0490,0.4985±0.0520,0.5070±0.0436,0.3807±0.0370,0.1798±0.0109,0.1292±0.0041,0.1089±0.0027,0.1063±0.0024,0.8389±0.0115,0.8614±0.0151,0.8616±0.0150,0.8085±0.0178,0.2481±0.0092,0.2064±0.0047,0.1879±0.0035,0.1846±0.0040,0.3698±0.0153,0.3356±0.0150,0.3355±0.0140,0.3858±0.0032,0.1743±0.0098,0.1271±0.0041,0.1081±0.0026,0.1055±0.0025,0.1560±0.0012,0.1525±0.0023,0.1496±0.0017,0.1486±0.0029,0.0965±0.0011,0.0934±0.0014,0.0912±0.0012,0.0915±0.0017,0.7705±0.0394,0.7811±0.0394,0.7887±0.0288,0.7204±0.0324,0.7945±0.0097,0.8316±0.0352,0.8374±0.0225,0.7281±0.0269,0.1832±0.0020,0.1793±0.0031,0.1791±0.0030,0.1824±0.0038,0.1029±0.0012,0.1001±0.0019,0.1000±0.0019,0.1028±0.0022,0.8346±0.0096,0.8574±0.0165,0.8558±0.0128,0.8095±0.0189,0.0599±0.0100,0.0138±0.0022,0.0013±0.0016,0.0000±0.0000
PartialOrder__Subset__2,0.4416±0.0485,0.4910±0.0503,0.4989±0.0440,0.3665±0.0347,0.1819±0.0098,0.1292±0.0044,0.1095±0.0028,0.1070±0.0018,0.8305±0.0107,0.8514±0.0170,0.8536±0.0182,0.8009±0.0156,0.2479±0.0079,0.2050±0.0045,0.1881±0.0035,0.1854±0.0030,0.3703±0.0150,0.3360±0.0147,0.3382±0.0141,0.3928±0.0043,0.1760±0.0081,0.1270±0.0046,0.1086±0.0027,0.1061±0.0019,0.1553±0.0012,0.1516±0.0024,0.1494±0.0016,0.1489±0.0021,0.0962±0.0010,0.0930±0.0015,0.0913±0.0011,0.0920±0.0012,0.7667±0.0392,0.7754±0.0380,0.7845±0.0290,0.7142±0.0301,0.7863±0.0121,0.8240±0.0344,0.8189±0.0290,0.7053±0.0253,0.1818±0.0017,0.1777±0.0032,0.1783±0.0029,0.1826±0.0031,0.1021±0.0010,0.0993±0.0020,0.0996±0.0019,0.1030±0.0018,0.8261±0.0098,0.8477±0.0181,0.8480±0.0147,0.8011±0.0164,0.0660±0.0076,0.0155±0.0039,0.0016±0.0020,0.0000±0.0000
PartialOrder__Subset__None,0.4466±0.0489,0.4984±0.0522,0.5070±0.0434,0.3804±0.0376,0.1797±0.0109,0.1290±0.0041,0.1086±0.0028,0.1062±0.0023,0.8372±0.0111,0.8607±0.0148,0.8597±0.0156,0.8078±0.0176,0.2478±0.0091,0.2061±0.0047,0.1874±0.0036,0.1844±0.0038,0.3695±0.0151,0.3352±0.0151,0.3349±0.0139,0.3854±0.0031,0.1742±0.0097,0.1270±0.0041,0.1078±0.0028,0.1053±0.0024,0.1558±0.0011,0.1524±0.0024,0.1494±0.0017,0.1485±0.0027,0.0963±0.0010,0.0933±0.0015,0.0911±0.0013,0.0915±0.0016,0.7698±0.0393,0.7807±0.0396,0.7881±0.0289,0.7197±0.0329,0.7936±0.0107,0.8325±0.0350,0.8319±0.0227,0.7232±0.0290,0.1828±0.0018,0.1791±0.0031,0.1786±0.0032,0.1822±0.0037,0.1027±0.0011,0.1000±0.0020,0.0997±0.0020,0.1026±0.0021,0.8332±0.0094,0.8566±0.0165,0.8539±0.0132,0.8087±0.0188,0.0599±0.0100,0.0138±0.0022,0.0013±0.0016,0.0000±0.0000
PreOrder__Hamming__2,0.4224±0.0416,0.3675±0.0425,0.2540±0.0217,0.2456±0.0376,0.1855±0.0126,0.1553±0.0078,0.1465±0.0025,0.1452±0.0036,0.8122±0.0060,0.7991±0.0197,0.7844±0.0249,0.7175±0.0157,0.2479±0.0115,0.2265±0.0085,0.2289±0.0036,0.2335±0.0041,0.3763±0.0177,0.3978±0.0185,0.4734±0.0133,0.5811±0.0028,0.1787±0.0112,0.1508±0.0076,0.1438±0.0022,0.1424±0.0035,0.1550±0.0022,0.1531±0.0037,0.1579±0.0019,0.1610±0.0057,0.0964±0.0015,0.0954±0.0024,0.0991±0.0013,0.1037±0.0032,0.7554±0.0330,0.7212±0.0268,0.6615±0.0293,0.5427±0.0521,0.7266±0.0339,0.7501±0.0491,0.7131±0.0295,0.6069±0.0309,0.1797±0.0036,0.1824±0.0061,0.2000±0.0025,0.2230±0.0028,0.1011±0.0022,0.1031±0.0037,0.1148±0.0017,0.1323±0.0016,0.8063±0.0053,0.7932±0.0222,0.7774±0.0228,0.7102±0.0116,0.0737±0.0097,0.0370±0.0086,0.0135±0.0026,0.0010±0.0008
PreOrder__Hamming__None,0.4242±0.0418,0.3839±0.0410,0.2808±0.0273,0.2443±0.0251,0.1845±0.0137,0.1545±0.0085,0.1381±0.0018,0.1307±0.0012,0.8214±0.0063,0.8127±0.0205,0.8020±0.0238,0.7685±0.0139,0.2494±0.0123,0.2284±0.0094,0.2229±0.0030,0.2188±0.0018,0.3764±0.0182,0.3952±0.0182,0.4598±0.0121,0.5281±0.0026,0.1783±0.0126,0.1505±0.0082,0.1363±0.0015,0.1291±0.0014,0.1557±0.0020,0.1543±0.0037,0.1573±0.0023,0.1597±0.0041,0.0966±0.0015,0.0958±0.0024,0.0980±0.0015,0.1007±0.0022,0.7559±0.0311,0.7329±0.0271,0.6757±0.0308,0.6056±0.0421,0.7422±0.0339,0.7672±0.0488,0.7459±0.0273,0.6438±0.0346,0.1814±0.0035,0.1847±0.0061,0.1997±0.0027,0.2149±0.0022,0.1020±0.0021,0.1043±0.0037,0.1142±0.0017,0.1250±0.0013,0.8156±0.0049,0.8087±0.0215,0.7964±0.0230,0.7629±0.0104,0.0686±0.0129,0.0322±0.0072,0.0048±0.0018,0.0000±0.0000
PreOrder__Subset__2,0.4241±0.0415,0.3640±0.0406,0.2510±0.0230,0.2323±0.0320,0.1834±0.0133,0.1549±0.0070,0.1465±0.0028,0.1456±0.0034,0.8105±0.0077,0.7940±0.0185,0.7801±0.0267,0.7092±0.0139,0.2454±0.0124,0.2252±0.0079,0.2280±0.0041,0.2330±0.0036,0.3738±0.0178,0.3972±0.0185,0.4728±0.0135,0.5819±0.0027,0.1766±0.0121,0.1503±0.0070,0.1438±0.0024,0.1427±0.0032,0.1545±0.0022,0.1525±0.0033,0.1576±0.0020,0.1612±0.0046,0.0961±0.0014,0.0951±0.0022,0.0990±0.0013,0.1040±0.0025,0.7548±0.0333,0.7179±0.0253,0.6600±0.0286,0.5460±0.0447,0.7217±0.0340,0.7399±0.0459,0.7025±0.0281,0.5620±0.0411,0.1787±0.0038,0.1813±0.0056,0.1989±0.0029,0.2215±0.0020,0.1005±0.0023,0.1025±0.0035,0.1142±0.0018,0.1315±0.0012,0.8042±0.0061,0.7881±0.0208,0.7733±0.0248,0.7026±0.0093,0.0731±0.0101,0.0383±0.0079,0.0151±0.0022,0.0019±0.0006
PreOrder__Subset__None,0.4273±0.0421,0.3848±0.0410,0.2834±0.0266,0.2419±0.0215,0.1839±0.0139,0.1541±0.0085,0.1380±0.0018,0.1302±0.0014,0.8225±0.0069,0.8126±0.0210,0.8016±0.0246,0.7675±0.0130,0.2488±0.0127,0.2279±0.0095,0.2226±0.0030,0.2179±0.0020,0.3746±0.0183,0.3942±0.0185,0.4586±0.0118,0.5263±0.0029,0.1778±0.0128,0.1502±0.0083,0.1361±0.0015,0.1286±0.0016,0.1556±0.0021,0.1542±0.0038,0.1572±0.0021,0.1599±0.0035,0.0966±0.0015,0.0957±0.0025,0.0979±0.0014,0.1008±0.0018,0.7570±0.0321,0.7329±0.0270,0.6777±0.0293,0.6139±0.0407,0.7436±0.0333,0.7647±0.0464,0.7459±0.0262,0.6428±0.0285,0.1811±0.0036,0.1843±0.0062,0.1994±0.0025,0.2142±0.0020,0.1019±0.0022,0.1041±0.0038,0.1140±0.0015,0.1246±0.0012,0.8167±0.0049,0.8082±0.0221,0.7964±0.0244,0.7626±0.0102,0.0686±0.0129,0.0322±0.0072,0.0048±0.0018,0.0000±0.0000
br,0.8305±0.0174,0.7905±0.0152,0.6604±0.0281,0.5079±0.0126,0.3049±0.0197,0.2937±0.0104,0.2270±0.0133,0.1559±0.0102,0.3127±0.0209,0.3437±0.0203,0.3766±0.0192,0.4080±0.0266,0.2984±0.0200,0.3013±0.0139,0.2632±0.0150,0.2102±0.0127,0.9136±0.0034,0.9000±0.0038,0.8448±0.0056,0.7557±0.0014,0.2773±0.0200,0.2675±0.0131,0.2092±0.0143,0.1465±0.0097,0.1652±0.0190,0.1691±0.0089,0.1661±0.0115,0.1465±0.0075,0.2718±0.0314,0.1960±0.0127,0.1456±0.0088,0.1135±0.0057,0.1339±0.0168,0.1552±0.0123,0.2220±0.0272,0.2749±0.0101,1.0000±0.0000,0.9964±0.0019,0.9399±0.0102,0.8569±0.0146,0.3698±0.0210,0.3583±0.0149,0.2859±0.0139,0.2190±0.0106,0.4837±0.0248,0.3929±0.0212,0.2343±0.0119,0.1501±0.0064,0.2996±0.0200,0.3300±0.0181,0.3671±0.0213,0.4050±0.0272,0.2164±0.0210,0.1745±0.0171,0.0798±0.0131,0.0203±0.0050
cc,0.7701±0.0166,0.7750±0.0066,0.6547±0.0226,0.4597±0.0266,0.4237±0.0213,0.3180±0.0194,0.2351±0.0227,0.1595±0.0090,0.4126±0.0217,0.3662±0.0209,0.3922±0.0299,0.4296±0.0063,0.4052±0.0208,0.3234±0.0188,0.2736±0.0238,0.2180±0.0070,0.9021±0.0049,0.8996±0.0023,0.8472±0.0055,0.7555±0.0051,0.3789±0.0222,0.2876±0.0173,0.2165±0.0216,0.1506±0.0075,0.1786±0.0093,0.1770±0.0083,0.1702±0.0170,0.1560±0.0047,0.2562±0.0425,0.1939±0.0139,0.1479±0.0129,0.1201±0.0037,0.1787±0.0129,0.1675±0.0066,0.2290±0.0257,0.3224±0.0220,1.0000±0.0000,0.9958±0.0024,0.9445±0.0063,0.7923±0.0654,0.4076±0.0184,0.3723±0.0161,0.2973±0.0222,0.2248±0.0044,0.4187±0.0251,0.3954±0.0118,0.2434±0.0175,0.1537±0.0041,0.3979±0.0197,0.3523±0.0231,0.3820±0.0309,0.4186±0.0030,0.3036±0.0283,0.1874±0.0136,0.0782±0.0167,0.0187±0.0086
