Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9255±0.0076,0.8854±0.0031,0.8059±0.0173,0.4077±0.0321,0.3119±0.0228,0.2400±0.0195,0.1608±0.0204,0.2847±0.0902,0.6841±0.0187,0.4316±0.0328,0.1950±0.0277,3.6879±0.5183,3.8080±0.4885,5.6316±0.1743,9.2267±0.8172,0.5061±0.1382,0.7913±0.0152,0.6490±0.0194,0.4561±0.0241,0.7881±0.2094,0.2393±0.0150,0.4202±0.0271,0.6462±0.0239,0.0655±0.0104,0.0642±0.0100,0.0982±0.0041,0.1762±0.0138
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9316±0.0108,0.9217±0.0089,0.8612±0.0175,0.8023±0.0047,0.4077±0.0321,0.3133±0.0248,0.2458±0.0149,0.1571±0.0071,0.2847±0.0902,0.6843±0.0288,0.4617±0.0271,0.2026±0.0215,3.6879±0.5183,3.9750±0.4684,6.8426±0.8581,9.5067±0.2712,0.5061±0.1382,0.7798±0.0242,0.6281±0.0234,0.4708±0.0166,0.7881±0.2094,0.2515±0.0288,0.4407±0.0247,0.6298±0.0187,0.0655±0.0104,0.0666±0.0102,0.1246±0.0162,0.1809±0.0059
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.9274±0.0121,0.9142±0.0086,0.8656±0.0165,0.7995±0.0079,0.3957±0.0257,0.3071±0.0152,0.2473±0.0271,0.1654±0.0148,0.2633±0.0739,0.6742±0.0267,0.4303±0.0336,0.2197±0.0083,3.8998±0.5539,4.6016±0.3613,6.7286±1.0389,9.7755±0.4285,0.4825±0.1122,0.7633±0.0208,0.6157±0.0273,0.4538±0.0198,0.8243±0.1790,0.2628±0.0295,0.4591±0.0263,0.6432±0.0253,0.0707±0.0140,0.0770±0.0060,0.1210±0.0179,0.1889±0.0110
