Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.798664343786295,0.011702210333880969
RF,CLR,subset0_1,0.004878048780487806,0.009756097560975611
RF,CLR,f1,0.008130081300813007,0.010283829789165462
XGBoost,CLR,hamming_accuracy,0.8163569492837784,0.014775316811215381
XGBoost,CLR,subset0_1,0.1399535423925668,0.027124042447426566
XGBoost,CLR,f1,0.19548586914440574,0.03307858860191486
ETC,CLR,hamming_accuracy,0.800271002710027,0.012697822522001991
ETC,CLR,subset0_1,0.014518002322880372,0.01945542318883009
ETC,CLR,f1,0.017770034843205572,0.018066275823787
LightGBM,CLR,hamming_accuracy,0.8051877661633761,0.01222050587793276
LightGBM,CLR,subset0_1,0.0727061556329849,0.026937901953057616
LightGBM,CLR,f1,0.09783197831978319,0.04133679312657752
