Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8022067363530777,0.013587250755997093
RF,CLR,subset0_1,0.03584204413472706,0.038945678597846624
RF,CLR,f1,0.046759581881533105,0.039800381386171174
XGBoost,CLR,hamming_accuracy,0.7939605110336817,0.020253953986456307
XGBoost,CLR,subset0_1,0.1383739837398374,0.04646559745461295
XGBoost,CLR,f1,0.23700425861401467,0.0652037604749662
ETC,CLR,hamming_accuracy,0.8014092140921408,0.014067142466724896
ETC,CLR,subset0_1,0.042671312427409985,0.03390256435943042
ETC,CLR,f1,0.06045063879210221,0.03633322992038724
LightGBM,CLR,hamming_accuracy,0.8036701509872242,0.021506882725939303
LightGBM,CLR,subset0_1,0.11103368176538908,0.07350916332143777
LightGBM,CLR,f1,0.15712504839334107,0.08209953980759621
