Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6337537537537538,0.01710879097852227
RF,CLR,subset0_1,0.04072072072072072,0.023231367872124247
RF,CLR,f1,0.33188502788502783,0.049446541477127195
XGBoost,CLR,hamming_accuracy,0.6332132132132132,0.013399721097786773
XGBoost,CLR,subset0_1,0.057297297297297295,0.015263292673547655
XGBoost,CLR,f1,0.43612212212212187,0.027373086587191613
ETC,CLR,hamming_accuracy,0.6313513513513513,0.015105552862335964
ETC,CLR,subset0_1,0.042522522522522525,0.014305897831552582
ETC,CLR,f1,0.35777606177606175,0.04265844717983283
LightGBM,CLR,hamming_accuracy,0.6254654654654656,0.016054583194011155
LightGBM,CLR,subset0_1,0.04684684684684685,0.020857363788811218
LightGBM,CLR,f1,0.41760932360932335,0.027490115677985524
