Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8639955371905579,0.005086510145092387
RF,CLR,subset0_1,0.2463738235522468,0.032115303086785625
RF,CLR,f1,0.2615917737079563,0.032817462009185054
XGBoost,CLR,hamming_accuracy,0.8718184798267785,0.004523949089876068
XGBoost,CLR,subset0_1,0.3233916201551056,0.02395408453007045
XGBoost,CLR,f1,0.3552583512334549,0.02695058257698406
ETC,CLR,hamming_accuracy,0.8580242866549921,0.003845214188483184
ETC,CLR,subset0_1,0.2136215181028459,0.022513264341400177
ETC,CLR,f1,0.2265960487869202,0.02424848228762046
LightGBM,CLR,hamming_accuracy,0.8816232606689037,0.005550951241446707
LightGBM,CLR,subset0_1,0.4207705247539273,0.029743460902224725
LightGBM,CLR,f1,0.48902265869900696,0.03340934621690541
