Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.9101046572475144,0.000923432600858972
RF,CLR,subset0_1,0.0,0.0
RF,CLR,f1,0.0,0.0
XGBoost,CLR,hamming_accuracy,0.9103610675039246,0.0011257573353300639
XGBoost,CLR,subset0_1,0.016378859236002095,0.013910991577726873
XGBoost,CLR,f1,0.01774638060352346,0.014888024706063117
ETC,CLR,hamming_accuracy,0.9101046572475144,0.000923432600858972
ETC,CLR,subset0_1,0.0,0.0
ETC,CLR,f1,0.0,0.0
LightGBM,CLR,hamming_accuracy,0.9097627769056341,0.0013675665591713448
LightGBM,CLR,subset0_1,0.0010204081632653062,0.002040816326530612
LightGBM,CLR,f1,0.0010204081632653062,0.002040816326530612
