Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.8696996230191252,0.002929261303730292
RF,CLR,subset0_1,0.27594344424219946,0.021670677554869445
RF,CLR,f1,0.2913997463789995,0.021206417858595446
XGBoost,CLR,hamming_accuracy,0.8856943665657359,0.00360190420792419
XGBoost,CLR,subset0_1,0.389527523054494,0.02143035342621417
XGBoost,CLR,f1,0.41352691344392584,0.022950897985069853
ETC,CLR,hamming_accuracy,0.8655733071085768,0.004009948317314141
ETC,CLR,subset0_1,0.25077388911413806,0.02251547174062031
ETC,CLR,f1,0.2666667529323131,0.024301284307165903
LightGBM,CLR,hamming_accuracy,0.8956650650011646,0.004939528465982231
LightGBM,CLR,subset0_1,0.45541981176835955,0.022076790278449422
LightGBM,CLR,f1,0.48946009207419977,0.02379564374252096
