Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.7615368181170774,0.013640220255839008
RF,CLR,subset0_1,0.13565019228030195,0.03383274789828522
RF,CLR,f1,0.3224914779471111,0.04207595298698808
XGBoost,CLR,hamming_accuracy,0.7708308408109006,0.014717804910823199
XGBoost,CLR,subset0_1,0.1800997008973081,0.031484978310168
XGBoost,CLR,f1,0.4693726032785993,0.03634363724342373
ETC,CLR,hamming_accuracy,0.7525219579357166,0.012090218835193567
ETC,CLR,subset0_1,0.10625836775388121,0.025231647864374682
ETC,CLR,f1,0.2932074253430186,0.04324312124181798
LightGBM,CLR,hamming_accuracy,0.7660565921283766,0.013518551534114104
LightGBM,CLR,subset0_1,0.16491667853582112,0.035958600689690035
LightGBM,CLR,f1,0.43920973135016694,0.03270215860491713
