Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PartialOrder__Hamming__None,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PartialOrder__Subset__2,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PartialOrder__Subset__None,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PreOrder__Hamming__2,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PreOrder__Hamming__None,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PreOrder__Subset__2,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
PreOrder__Subset__None,0.9558±0.0042,0.9391±0.0010,0.9053±0.0078,0.8316±0.0128,0.9622±0.0046,0.9440±0.0018,0.9079±0.0087,0.8293±0.0121,0.8757±0.0113,0.8340±0.0102,0.7644±0.0227,0.6158±0.0269,0.8803±0.0135,0.8396±0.0113,0.7694±0.0222,0.6077±0.0257,0.3465±0.0355,0.4254±0.0249,0.5866±0.0647,0.9493±0.0550,0.9023±0.0110,0.8837±0.0116,0.8463±0.0154,0.7506±0.0106,0.1678±0.0169,0.1940±0.0231,0.2447±0.0202,0.3872±0.0142,0.0530±0.0078,0.0671±0.0061,0.0989±0.0134,0.1702±0.0104
br,0.9558±0.0042,0.9393±0.0035,0.8998±0.0067,0.8385±0.0124,0.9622±0.0046,0.9447±0.0023,0.9009±0.0063,0.8389±0.0113,0.8757±0.0113,0.8376±0.0017,0.7617±0.0115,0.6170±0.0250,0.8803±0.0135,0.8428±0.0075,0.7622±0.0108,0.6118±0.0248,0.3465±0.0355,0.4233±0.0018,0.6174±0.0398,0.9077±0.0734,0.9023±0.0110,0.8831±0.0050,0.8389±0.0137,0.7611±0.0188,0.1678±0.0169,0.1965±0.0101,0.2543±0.0237,0.3718±0.0299,0.0530±0.0078,0.0672±0.0017,0.1041±0.0075,0.1625±0.0148
cc,0.9489±0.0077,0.9337±0.0043,0.9016±0.0038,0.8335±0.0090,0.9406±0.0091,0.9389±0.0051,0.9044±0.0051,0.8322±0.0092,0.8619±0.0132,0.8300±0.0141,0.7498±0.0080,0.6186±0.0223,0.8232±0.0135,0.8355±0.0125,0.7518±0.0106,0.6105±0.0280,0.4728±0.0654,0.4516±0.0298,0.6140±0.0276,0.9680±0.0650,0.8749±0.0159,0.8776±0.0043,0.8363±0.0108,0.7503±0.0202,0.2002±0.0215,0.2040±0.0071,0.2630±0.0197,0.3835±0.0350,0.0781±0.0131,0.0724±0.0056,0.1039±0.0063,0.1734±0.0139
