Base_Learner,Algorithm,Metric,Mean,Std
RF,CLR,hamming_accuracy,0.6657057057057056,0.018206620515079944
RF,CLR,subset0_1,0.06846846846846846,0.02403903434977718
RF,CLR,f1,0.43949492349492325,0.04083417062527231
XGBoost,CLR,hamming_accuracy,0.661981981981982,0.017382796699051063
XGBoost,CLR,subset0_1,0.08504504504504502,0.02673475602305068
XGBoost,CLR,f1,0.4883477763477759,0.028182053409344182
ETC,CLR,hamming_accuracy,0.6653453453453454,0.015443262291564619
ETC,CLR,subset0_1,0.06558558558558558,0.02933342187382879
ETC,CLR,f1,0.43627885027884994,0.03512932493082106
LightGBM,CLR,hamming_accuracy,0.6525525525525525,0.015563553777597524
LightGBM,CLR,subset0_1,0.07711711711711712,0.024451452906216035
LightGBM,CLR,f1,0.4619974259974257,0.033526404141087436
