Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8248±0.0276,0.7522±0.0207,0.6636±0.0162,0.5231±0.0603,0.3480±0.0503,0.2395±0.0435,0.1538±0.0143,0.5802±0.0689,0.4125±0.0655,0.2332±0.0715,0.1373±0.0302,1.6961±0.3231,2.7349±0.2722,3.5364±0.3468,4.2465±0.4672,0.8289±0.0053,0.7649±0.0137,0.7006±0.0191,0.6509±0.0199,0.6465±0.0600,0.7023±0.0492,0.8000±0.0508,0.8620±0.0426,0.0700±0.0091,0.1117±0.0097,0.1522±0.0077,0.1911±0.0109
br,nan±nan,nan±nan,nan±nan,nan±nan,0.9099±0.0144,0.8372±0.0183,0.7627±0.0191,0.6791±0.0308,0.5231±0.0603,0.3901±0.0441,0.2564±0.0434,0.1864±0.0301,0.5802±0.0689,0.4453±0.0683,0.2572±0.0639,0.1552±0.0310,1.6961±0.3231,2.5767±0.1850,3.2481±0.3494,4.0465±0.4257,0.8289±0.0053,0.7748±0.0064,0.7127±0.0096,0.6589±0.0315,0.6465±0.0600,0.7085±0.0534,0.7798±0.0467,0.8481±0.0327,0.0700±0.0091,0.1055±0.0046,0.1374±0.0076,0.1830±0.0181
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.9109±0.0146,0.8210±0.0154,0.7420±0.0283,0.6846±0.0177,0.5190±0.0596,0.3347±0.0303,0.2473±0.0486,0.2020±0.0428,0.5863±0.0735,0.4266±0.0544,0.2796±0.0566,0.1530±0.0271,1.6713±0.2243,2.9008±0.4626,3.6109±0.2174,4.1814±0.5441,0.8330±0.0097,0.7588±0.0202,0.7099±0.0106,0.6543±0.0324,0.6357±0.0600,0.7070±0.0536,0.7721±0.0429,0.8636±0.0262,0.0683±0.0084,0.1188±0.0144,0.1544±0.0059,0.1881±0.0185
