Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5260±0.0560,0.4941±0.0743,0.3119±0.0357,0.2748±0.0282,0.2132±0.0354,0.1320±0.0282,0.1066±0.0254,0.0833±0.0185,0.4727±0.0437,0.4480±0.0360,0.4099±0.0513,0.3447±0.0601,0.2337±0.0335,0.1732±0.0301,0.1545±0.0300,0.1276±0.0262,0.3163±0.0393,0.3222±0.0332,0.4857±0.0187,0.5707±0.0095,0.1858±0.0293,0.1212±0.0246,0.0999±0.0232,0.0783±0.0172,0.1051±0.0158,0.1027±0.0137,0.1186±0.0170,0.1219±0.0232,0.0586±0.0097,0.0574±0.0086,0.0680±0.0107,0.0720±0.0141,0.7571±0.0284,0.7296±0.0644,0.6448±0.0692,0.5629±0.0883,0.7972±0.0259,0.7337±0.0367,0.5619±0.0351,0.6378±0.0512,0.1144±0.0187,0.1115±0.0168,0.1326±0.0208,0.1371±0.0276,0.0616±0.0107,0.0601±0.0096,0.0730±0.0121,0.0770±0.0162,0.8227±0.0378,0.7948±0.0400,0.7350±0.0509,0.6343±0.0801,0.0744±0.0223,0.0124±0.0038,0.0016±0.0031,0.0000±0.0000
PartialOrder__Hamming__None,0.5405±0.0574,0.5153±0.0766,0.3359±0.0405,0.2935±0.0269,0.2048±0.0338,0.1225±0.0295,0.0973±0.0194,0.0768±0.0153,0.4771±0.0447,0.4590±0.0375,0.4276±0.0470,0.3648±0.0601,0.2311±0.0337,0.1688±0.0316,0.1478±0.0255,0.1216±0.0226,0.3146±0.0393,0.3175±0.0331,0.4672±0.0192,0.5275±0.0091,0.1820±0.0297,0.1150±0.0263,0.0928±0.0186,0.0735±0.0147,0.1063±0.0161,0.1046±0.0140,0.1200±0.0170,0.1197±0.0214,0.0592±0.0098,0.0583±0.0087,0.0685±0.0108,0.0696±0.0129,0.7696±0.0307,0.7539±0.0544,0.6939±0.0399,0.6208±0.1024,0.8030±0.0234,0.7690±0.0457,0.5811±0.0465,0.6308±0.0319,0.1157±0.0191,0.1136±0.0173,0.1332±0.0201,0.1336±0.0253,0.0623±0.0108,0.0612±0.0099,0.0731±0.0117,0.0742±0.0147,0.8347±0.0382,0.8173±0.0359,0.7659±0.0415,0.6791±0.0785,0.0667±0.0233,0.0047±0.0038,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__2,0.5213±0.0532,0.4918±0.0733,0.3122±0.0312,0.2707±0.0354,0.2136±0.0360,0.1326±0.0297,0.1081±0.0248,0.0830±0.0190,0.4712±0.0432,0.4471±0.0353,0.4130±0.0494,0.3414±0.0637,0.2332±0.0339,0.1730±0.0308,0.1564±0.0294,0.1269±0.0270,0.3164±0.0392,0.3217±0.0332,0.4872±0.0191,0.5716±0.0084,0.1857±0.0297,0.1212±0.0253,0.1011±0.0226,0.0778±0.0176,0.1047±0.0158,0.1023±0.0137,0.1199±0.0167,0.1206±0.0237,0.0584±0.0097,0.0571±0.0086,0.0688±0.0107,0.0713±0.0145,0.7527±0.0234,0.7186±0.0786,0.6460±0.0385,0.5526±0.0872,0.7972±0.0259,0.7338±0.0368,0.5562±0.0320,0.6151±0.0937,0.1141±0.0188,0.1110±0.0168,0.1339±0.0204,0.1358±0.0285,0.0614±0.0107,0.0598±0.0096,0.0737±0.0119,0.0763±0.0167,0.8195±0.0360,0.7916±0.0360,0.7414±0.0428,0.6256±0.0840,0.0744±0.0223,0.0140±0.0058,0.0000±0.0000,0.0000±0.0000
PartialOrder__Subset__None,0.5406±0.0572,0.5157±0.0742,0.3414±0.0433,0.2922±0.0241,0.2048±0.0338,0.1222±0.0293,0.0975±0.0189,0.0765±0.0160,0.4771±0.0447,0.4584±0.0367,0.4294±0.0469,0.3611±0.0635,0.2310±0.0336,0.1683±0.0313,0.1482±0.0249,0.1208±0.0237,0.3146±0.0392,0.3165±0.0326,0.4665±0.0188,0.5271±0.0090,0.1820±0.0296,0.1146±0.0260,0.0930±0.0182,0.0730±0.0153,0.1063±0.0161,0.1043±0.0139,0.1206±0.0170,0.1185±0.0216,0.0592±0.0098,0.0582±0.0087,0.0688±0.0108,0.0689±0.0130,0.7696±0.0307,0.7533±0.0522,0.6898±0.0223,0.6151±0.1026,0.8030±0.0234,0.7688±0.0460,0.5791±0.0422,0.6178±0.0321,0.1157±0.0190,0.1133±0.0171,0.1337±0.0201,0.1324±0.0262,0.0623±0.0108,0.0610±0.0098,0.0733±0.0117,0.0736±0.0152,0.8347±0.0382,0.8158±0.0310,0.7704±0.0406,0.6719±0.0832,0.0667±0.0233,0.0047±0.0038,0.0000±0.0000,0.0000±0.0000
PreOrder__Hamming__2,0.4856±0.0603,0.4273±0.0696,0.2796±0.0187,0.2721±0.0383,0.2266±0.0367,0.1582±0.0348,0.1250±0.0298,0.0935±0.0205,0.4610±0.0424,0.4234±0.0483,0.3641±0.0454,0.3287±0.0560,0.2383±0.0343,0.1865±0.0342,0.1678±0.0331,0.1375±0.0277,0.3197±0.0411,0.3443±0.0368,0.5468±0.0148,0.6473±0.0143,0.1928±0.0301,0.1373±0.0290,0.1137±0.0264,0.0859±0.0186,0.1018±0.0157,0.0979±0.0162,0.1181±0.0164,0.1337±0.0246,0.0569±0.0096,0.0550±0.0099,0.0690±0.0106,0.0810±0.0158,0.7138±0.0336,0.6592±0.0573,0.5449±0.0329,0.5500±0.0837,0.7620±0.0421,0.7383±0.0463,0.6067±0.0420,0.6684±0.1265,0.1111±0.0185,0.1074±0.0194,0.1356±0.0202,0.1539±0.0304,0.0599±0.0106,0.0581±0.0110,0.0756±0.0120,0.0886±0.0186,0.7903±0.0291,0.7344±0.0607,0.6653±0.0345,0.5964±0.0715,0.0884±0.0243,0.0310±0.0208,0.0047±0.0093,0.0000±0.0000
PreOrder__Hamming__None,0.5038±0.0556,0.4520±0.0755,0.3010±0.0187,0.2811±0.0070,0.2159±0.0341,0.1363±0.0295,0.1036±0.0220,0.0800±0.0146,0.4683±0.0462,0.4314±0.0479,0.3921±0.0534,0.3816±0.0491,0.2354±0.0352,0.1750±0.0299,0.1523±0.0284,0.1269±0.0212,0.3175±0.0410,0.3366±0.0345,0.5123±0.0173,0.5535±0.0117,0.1887±0.0307,0.1230±0.0241,0.0980±0.0202,0.0766±0.0138,0.1035±0.0169,0.0992±0.0153,0.1203±0.0183,0.1290±0.0195,0.0578±0.0103,0.0556±0.0094,0.0694±0.0115,0.0753±0.0124,0.7363±0.0403,0.6900±0.0726,0.6043±0.0426,0.6532±0.0829,0.7848±0.0224,0.7461±0.0455,0.5860±0.0269,0.6246±0.0445,0.1130±0.0200,0.1086±0.0183,0.1368±0.0219,0.1444±0.0240,0.0609±0.0114,0.0586±0.0104,0.0756±0.0129,0.0806±0.0143,0.8071±0.0307,0.7537±0.0590,0.7220±0.0446,0.7029±0.0491,0.0822±0.0228,0.0171±0.0133,0.0016±0.0031,0.0000±0.0000
PreOrder__Subset__2,0.4857±0.0679,0.4152±0.0731,0.2752±0.0260,0.2856±0.0414,0.2276±0.0358,0.1626±0.0376,0.1290±0.0334,0.0929±0.0204,0.4580±0.0417,0.4191±0.0484,0.3565±0.0468,0.3102±0.0455,0.2368±0.0326,0.1874±0.0349,0.1686±0.0351,0.1342±0.0258,0.3188±0.0401,0.3446±0.0367,0.5481±0.0166,0.6548±0.0146,0.1904±0.0277,0.1392±0.0303,0.1151±0.0284,0.0837±0.0176,0.1009±0.0150,0.0962±0.0159,0.1162±0.0166,0.1283±0.0228,0.0563±0.0092,0.0541±0.0098,0.0681±0.0108,0.0783±0.0150,0.7134±0.0407,0.6453±0.0593,0.5241±0.0266,0.5099±0.0579,0.7533±0.0426,0.7340±0.0447,0.6236±0.0421,0.6986±0.1047,0.1099±0.0177,0.1056±0.0190,0.1330±0.0209,0.1487±0.0279,0.0592±0.0101,0.0571±0.0108,0.0742±0.0125,0.0860±0.0174,0.7835±0.0334,0.7209±0.0633,0.6478±0.0404,0.5602±0.0494,0.0822±0.0253,0.0388±0.0190,0.0047±0.0093,0.0000±0.0000
PreOrder__Subset__None,0.5089±0.0589,0.4517±0.0760,0.2907±0.0181,0.2767±0.0207,0.2152±0.0337,0.1359±0.0296,0.1028±0.0228,0.0783±0.0136,0.4683±0.0462,0.4320±0.0478,0.3882±0.0546,0.3741±0.0496,0.2349±0.0349,0.1747±0.0301,0.1509±0.0291,0.1243±0.0201,0.3166±0.0406,0.3351±0.0343,0.5084±0.0161,0.5487±0.0076,0.1881±0.0304,0.1226±0.0244,0.0970±0.0211,0.0750±0.0131,0.1034±0.0168,0.0994±0.0151,0.1191±0.0189,0.1264±0.0185,0.0577±0.0102,0.0557±0.0093,0.0687±0.0119,0.0738±0.0117,0.7404±0.0396,0.6926±0.0711,0.5999±0.0418,0.6406±0.0900,0.7883±0.0230,0.7442±0.0451,0.5811±0.0342,0.6294±0.0419,0.1129±0.0199,0.1086±0.0182,0.1347±0.0226,0.1413±0.0223,0.0608±0.0113,0.0586±0.0103,0.0745±0.0132,0.0788±0.0132,0.8071±0.0307,0.7553±0.0581,0.7146±0.0481,0.6943±0.0495,0.0806±0.0217,0.0171±0.0133,0.0016±0.0031,0.0000±0.0000
br,0.6134±0.0515,0.5906±0.0584,0.5008±0.0390,0.3847±0.0538,0.7067±0.0062,0.5578±0.0304,0.2384±0.0266,0.1065±0.0248,0.6674±0.0169,0.5606±0.0323,0.3305±0.0424,0.2557±0.0417,0.6748±0.0118,0.5455±0.0311,0.2598±0.0295,0.1409±0.0301,0.9607±0.0036,0.9432±0.0036,0.8742±0.0067,0.7740±0.0090,0.6445±0.0185,0.5086±0.0340,0.2132±0.0233,0.0958±0.0218,0.3987±0.0449,0.3355±0.0564,0.2151±0.0219,0.1605±0.0307,0.5278±0.0604,0.3599±0.0404,0.1697±0.0253,0.1090±0.0233,0.3550±0.0323,0.3618±0.0719,0.3927±0.0292,0.4229±0.0635,1.0000±0.0000,0.9984±0.0031,0.9372±0.0186,0.8383±0.0486,0.5493±0.0337,0.4524±0.0555,0.2773±0.0461,0.1835±0.0369,0.6986±0.0390,0.4613±0.0611,0.2012±0.0396,0.1142±0.0257,0.4530±0.0324,0.4457±0.0585,0.4511±0.0378,0.4726±0.0455,0.5504±0.0398,0.3984±0.0479,0.1070±0.0179,0.0109±0.0038
cc,0.6162±0.0721,0.6377±0.0410,0.5358±0.0808,0.3997±0.0352,0.7115±0.0126,0.5606±0.0266,0.2535±0.0427,0.1115±0.0116,0.6675±0.0056,0.5537±0.0331,0.3291±0.0455,0.2657±0.0225,0.6748±0.0037,0.5418±0.0315,0.2683±0.0415,0.1454±0.0133,0.9601±0.0031,0.9399±0.0070,0.8729±0.0098,0.7740±0.0066,0.6427±0.0078,0.5042±0.0362,0.2242±0.0353,0.0993±0.0082,0.3945±0.0661,0.2848±0.0315,0.2114±0.0364,0.1527±0.0119,0.4965±0.0855,0.3082±0.0435,0.1659±0.0289,0.1021±0.0084,0.3512±0.0515,0.3112±0.0308,0.3573±0.0721,0.4013±0.0592,1.0000±0.0000,0.9953±0.0039,0.9399±0.0200,0.8221±0.0435,0.5445±0.0579,0.4280±0.0419,0.2744±0.0504,0.1804±0.0153,0.6807±0.0640,0.4330±0.0452,0.1981±0.0414,0.1120±0.0118,0.4541±0.0538,0.4235±0.0396,0.4510±0.0659,0.4696±0.0276,0.5442±0.0323,0.4000±0.0474,0.1225±0.0319,0.0171±0.0031
