Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PartialOrder__Hamming__None,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PartialOrder__Subset__2,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PartialOrder__Subset__None,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PreOrder__Hamming__2,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PreOrder__Hamming__None,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PreOrder__Subset__2,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
PreOrder__Subset__None,0.8424±0.0162,0.8289±0.0163,0.7852±0.0076,0.7173±0.0271,0.8618±0.0126,0.8431±0.0145,0.7980±0.0098,0.7251±0.0266,0.7231±0.0234,0.6951±0.0241,0.6570±0.0234,0.5616±0.0319,0.7413±0.0294,0.7054±0.0167,0.6628±0.0221,0.5535±0.0303,1.7554±0.1329,1.8295±0.1945,2.0640±0.1075,2.4163±0.2116,0.8068±0.0141,0.7875±0.0167,0.7557±0.0088,0.6923±0.0227,0.2613±0.0160,0.3052±0.0154,0.3272±0.0290,0.4283±0.0218,0.1526±0.0151,0.1702±0.0217,0.2072±0.0107,0.2782±0.0368
br,0.8424±0.0162,0.8150±0.0230,0.7869±0.0059,0.7166±0.0147,0.8618±0.0126,0.8329±0.0180,0.7990±0.0070,0.7231±0.0162,0.7231±0.0234,0.6884±0.0213,0.6489±0.0100,0.5478±0.0352,0.7413±0.0294,0.7051±0.0185,0.6537±0.0230,0.5433±0.0322,1.7554±0.1329,1.8955±0.1937,2.0774±0.1003,2.4536±0.1337,0.8068±0.0141,0.7883±0.0233,0.7568±0.0054,0.6826±0.0092,0.2613±0.0160,0.2816±0.0338,0.3221±0.0092,0.4318±0.0221,0.1526±0.0151,0.1742±0.0269,0.2089±0.0069,0.2881±0.0180
cc,0.8445±0.0189,0.8279±0.0282,0.7825±0.0169,0.7071±0.0280,0.8590±0.0167,0.8443±0.0265,0.7926±0.0169,0.7156±0.0287,0.7160±0.0255,0.6968±0.0284,0.6469±0.0160,0.5440±0.0164,0.7272±0.0293,0.7073±0.0263,0.6450±0.0190,0.5449±0.0213,1.7118±0.1509,1.8548±0.2739,2.1078±0.1295,2.4761±0.2546,0.8079±0.0223,0.7856±0.0293,0.7489±0.0150,0.6973±0.0284,0.2699±0.0481,0.3002±0.0268,0.3407±0.0323,0.3930±0.0254,0.1511±0.0192,0.1725±0.0366,0.2179±0.0200,0.2844±0.0366
